Country or Area,Subgroup,Proportion of population with sustainable access to an improved water source
Chad,Rural,44.0
Chad,Urban,70.0
Chad,Total,51.0
Chile,Rural,75.0
Chile,Urban,99.0
Chile,Total,96.0
China,Rural,85.0
China,Urban,98.0
China,Total,91.0
Colombia,Rural,72.0
Colombia,Urban,99.0
Colombia,Total,92.0
Comoros,Rural,97.0
Comoros,Urban,91.0
Comoros,Total,95.0
Congo,Rural,32.0
Congo,Urban,95.0
Congo,Total,71.0
Cook Islands,Urban,98.0
Costa Rica,Rural,91.0
Costa Rica,Urban,100.0
Costa Rica,Total,97.0
Côte d'Ivoire,Rural,68.0
Côte d'Ivoire,Urban,91.0
Côte d'Ivoire,Total,80.0
Croatia,Rural,97.0
Croatia,Urban,100.0
Croatia,Total,99.0
Cuba,Rural,89.0
Cuba,Urban,96.0
Cuba,Total,94.0
Cyprus,Rural,100.0
Cyprus,Urban,100.0
Cyprus,Total,100.0
Czech Republic,Rural,100.0
Czech Republic,Urban,100.0
Czech Republic,Total,100.0
Democratic People's Republic of Korea,Rural,97.0
Democratic People's Republic of Korea,Urban,99.0
Democratic People's Republic of Korea,Total,98.0
Democratic Republic of the Congo,Rural,27.0
Democratic Republic of the Congo,Urban,79.0
Democratic Republic of the Congo,Total,45.0
Denmark,Rural,100.0
Denmark,Urban,100.0
Denmark,Total,100.0
Djibouti,Rural,54.0
Djibouti,Urban,99.0
Djibouti,Total,88.0
Dominica,Urban,96.0
Dominican Republic,Rural,84.0
Dominican Republic,Urban,87.0
Dominican Republic,Total,86.0
East Asia and Pacific,Rural,84.0
East Asia and Pacific,Urban,97.0
East Asia and Pacific,Total,90.0
Eastern and Southern Africa,Rural,50.0
Eastern and Southern Africa,Urban,87.0
Eastern and Southern Africa,Total,61.0
Ecuador,Rural,89.0
Ecuador,Urban,96.0
Ecuador,Total,94.0
Egypt,Rural,99.0
Egypt,Urban,100.0
Egypt,Total,99.0
El Salvador,Rural,76.0
El Salvador,Urban,94.0
El Salvador,Total,88.0
Estonia,Rural,97.0
Estonia,Urban,99.0
Estonia,Total,98.0
Ethiopia,Rural,34.0
Ethiopia,Urban,97.0
Ethiopia,Total,44.0
Fiji,Rural,95.0
Fiji,Urban,100.0
Fiji,Total,98.0
Finland,Rural,100.0
Finland,Urban,100.0
Finland,Total,100.0
France,Rural,100.0
France,Urban,100.0
France,Total,100.0
Gabon,Rural,41.0
Gabon,Urban,95.0
Gabon,Total,87.0
Gambia,Rural,85.0
Gambia,Urban,92.0
Gambia,Total,89.0
Georgia,Rural,96.0
Georgia,Urban,100.0
Georgia,Total,98.0
Germany,Rural,100.0
Germany,Urban,100.0
Germany,Total,100.0
Ghana,Rural,80.0
Ghana,Urban,91.0
Ghana,Total,86.0
Greece,Rural,99.0
Greece,Urban,100.0
Greece,Total,100.0
Grenada,Urban,97.0
Guatemala,Rural,87.0
Guatemala,Urban,98.0
Guatemala,Total,92.0
Guinea,Rural,65.0
Guinea,Urban,90.0
Guinea,Total,74.0
Guinea-Bissau,Rural,53.0
Guinea-Bissau,Urban,91.0
Guinea-Bissau,Total,64.0
Guyana,Rural,93.0
Guyana,Urban,98.0
Guyana,Total,94.0
Haiti,Rural,51.0
Haiti,Urban,85.0
Haiti,Total,69.0
Honduras,Rural,79.0
Honduras,Urban,95.0
Honduras,Total,87.0
Hungary,Rural,100.0
Hungary,Urban,100.0
Hungary,Total,100.0
Iceland,Rural,100.0
Iceland,Urban,100.0
Iceland,Total,100.0
India,Rural,90.0
India,Urban,97.0
India,Total,92.0
Indonesia,Rural,74.0
Indonesia,Urban,92.0
Indonesia,Total,82.0
Iran (Islamic Republic of),Rural,92.0
Iran (Islamic Republic of),Urban,97.0
Iran (Islamic Republic of),Total,96.0
Iraq,Rural,56.0
Iraq,Urban,91.0
Iraq,Total,79.0
Ireland,Rural,100.0
Ireland,Urban,100.0
Ireland,Total,100.0
Israel,Rural,100.0
Israel,Urban,100.0
Israel,Total,100.0
Italy,Rural,100.0
Italy,Urban,100.0
Italy,Total,100.0
Jamaica,Rural,88.0
Jamaica,Urban,98.0
Jamaica,Total,93.0
Japan,Rural,100.0
Japan,Urban,100.0
Japan,Total,100.0
Jordan,Rural,92.0
Jordan,Urban,98.0
Jordan,Total,97.0
Kazakhstan,Rural,90.0
Kazakhstan,Urban,99.0
Kazakhstan,Total,95.0
Kenya,Rural,52.0
Kenya,Urban,82.0
Kenya,Total,59.0
Kuwait,Rural,99.0
Kuwait,Urban,99.0
Kuwait,Total,99.0
Kyrgyzstan,Rural,85.0
Kyrgyzstan,Urban,99.0
Kyrgyzstan,Total,90.0
Lao People's Democratic Republic,Rural,62.0
Lao People's Democratic Republic,Urban,77.0
Lao People's Democratic Republic,Total,67.0
Latin America and Caribbean,Rural,81.0
Latin America and Caribbean,Urban,98.0
Latin America and Caribbean,Total,94.0
Latvia,Rural,96.0
Latvia,Urban,100.0
Latvia,Total,99.0
Least Developed Countries/Territories,Rural,56.0
Least Developed Countries/Territories,Urban,82.0
Least Developed Countries/Territories,Total,63.0
Lebanon,Rural,100.0
Lebanon,Urban,100.0
Lebanon,Total,100.0
Lesotho,Rural,73.0
Lesotho,Urban,91.0
Lesotho,Total,78.0
Liberia,Rural,60.0
Liberia,Urban,88.0
Liberia,Total,73.0
Lithuania,Urban,98.0
Luxembourg,Rural,100.0
Luxembourg,Urban,100.0
Luxembourg,Total,100.0
Madagascar,Rural,34.0
Madagascar,Urban,74.0
Madagascar,Total,46.0
Malawi,Rural,80.0
Malawi,Urban,95.0
Malawi,Total,83.0
Malaysia,Rural,99.0
Malaysia,Urban,100.0
Malaysia,Total,100.0
Maldives,Rural,97.0
Maldives,Urban,100.0
Maldives,Total,98.0
Mali,Rural,51.0
Mali,Urban,87.0
Mali,Total,64.0
Malta,Rural,100.0
Malta,Urban,100.0
Malta,Total,100.0
Marshall Islands,Rural,99.0
Marshall Islands,Urban,92.0
Marshall Islands,Total,94.0
Mauritania,Rural,48.0
Mauritania,Urban,52.0
Mauritania,Total,50.0
Mauritius,Rural,99.0
Mauritius,Urban,100.0
Mauritius,Total,99.0
Mexico,Rural,91.0
Mexico,Urban,97.0
Mexico,Total,96.0
Middle East and North Africa,Rural,76.0
Middle East and North Africa,Urban,93.0
Middle East and North Africa,Total,86.0
Monaco,Urban,100.0
Monaco,Total,100.0
Mongolia,Rural,53.0
Mongolia,Urban,100.0
Mongolia,Total,82.0
Montenegro,Rural,96.0
Montenegro,Urban,99.0
Montenegro,Total,98.0
Morocco,Rural,61.0
Morocco,Urban,98.0
Morocco,Total,83.0
Mozambique,Rural,29.0
Mozambique,Urban,77.0
Mozambique,Total,47.0
Myanmar,Rural,78.0
Myanmar,Urban,93.0
Myanmar,Total,83.0
Namibia,Rural,90.0
Namibia,Urban,99.0
Namibia,Total,93.0
Nauru,Urban,88.0
Nauru,Total,88.0
Nepal,Rural,88.0
Nepal,Urban,93.0
Nepal,Total,89.0
Netherlands,Rural,100.0
Netherlands,Urban,100.0
Netherlands,Total,100.0
New Zealand,Rural,100.0
New Zealand,Urban,100.0
New Zealand,Total,100.0
Nicaragua,Rural,68.0
Nicaragua,Urban,98.0
Nicaragua,Total,85.0
Niger,Rural,39.0
Niger,Urban,100.0
Niger,Total,49.0
Nigeria,Rural,43.0
Nigeria,Urban,74.0
Nigeria,Total,58.0
Niue,Rural,100.0
Niue,Urban,100.0
Niue,Total,100.0
Norway,Rural,100.0
Norway,Urban,100.0
Norway,Total,100.0
Oman,Rural,78.0
Oman,Urban,93.0
Oman,Total,89.0
Pakistan,Rural,89.0
Pakistan,Urban,96.0
Pakistan,Total,92.0
Palau,Rural,96.0
Palau,Urban,83.0
Palau,Total,85.0
Panama,Urban,97.0
Papua New Guinea,Rural,33.0
Papua New Guinea,Urban,87.0
Papua New Guinea,Total,40.0
Paraguay,Rural,66.0
Paraguay,Urban,99.0
Paraguay,Total,86.0
Peru,Rural,65.0
Peru,Urban,91.0
Peru,Total,85.0
Philippines,Rural,92.0
Philippines,Urban,93.0
Philippines,Total,92.0
Poland,Urban,100.0
Portugal,Rural,100.0
Portugal,Urban,99.0
Portugal,Total,99.0
Qatar,Rural,100.0
Qatar,Urban,100.0
Qatar,Total,100.0
Republic of Korea,Rural,88.0
Republic of Korea,Urban,100.0
Republic of Korea,Total,98.0
Republic of Moldova,Rural,93.0
Republic of Moldova,Urban,99.0
Republic of Moldova,Total,96.0
Romania,Urban,99.0
Russian Federation,Rural,92.0
Russian Federation,Urban,99.0
Russian Federation,Total,97.0
Rwanda,Rural,63.0
Rwanda,Urban,76.0
Rwanda,Total,65.0
Saint Kitts and Nevis,Rural,99.0
Saint Kitts and Nevis,Urban,99.0
Saint Kitts and Nevis,Total,99.0
Saint Lucia,Rural,95.0
Saint Lucia,Urban,98.0
Saint Lucia,Total,96.0
Samoa,Rural,96.0
Samoa,Urban,96.0
Samoa,Total,96.0
Sao Tome and Principe,Rural,88.0
Sao Tome and Principe,Urban,89.0
Sao Tome and Principe,Total,89.0
Saudi Arabia,Urban,97.0
Senegal,Rural,56.0
Senegal,Urban,93.0
Senegal,Total,72.0
Serbia,Rural,98.0
Serbia,Urban,99.0
Serbia,Total,99.0
Seychelles,Urban,100.0
Sierra Leone,Rural,35.0
Sierra Leone,Urban,87.0
Sierra Leone,Total,55.0
Singapore,Urban,100.0
Singapore,Total,100.0
Slovakia,Rural,100.0
Slovakia,Urban,100.0
Slovakia,Total,100.0
Slovenia,Rural,99.0
Slovenia,Urban,100.0
Slovenia,Total,99.0
Somalia,Rural,7.0
Somalia,Urban,66.0
Somalia,Total,29.0
South Africa,Rural,79.0
South Africa,Urban,99.0
South Africa,Total,91.0
South Asia,Rural,88.0
South Asia,Urban,96.0
South Asia,Total,90.0
Spain,Rural,100.0
Spain,Urban,100.0
Spain,Total,100.0
Sri Lanka,Rural,90.0
Sri Lanka,Urban,99.0
Sri Lanka,Total,91.0
State of Palestine,Rural,81.0
State of Palestine,Urban,86.0
State of Palestine,Total,85.0
Sub-Saharan Africa,Rural,49.0
Sub-Saharan Africa,Urban,83.0
Sub-Saharan Africa,Total,61.0
Sudan (pre-cession),Rural,52.0
Sudan (pre-cession),Urban,67.0
Sudan (pre-cession),Total,58.0
Suriname,Rural,81.0
Suriname,Urban,97.0
Suriname,Total,92.0
Swaziland,Rural,65.0
Swaziland,Urban,91.0
Swaziland,Total,71.0
Sweden,Rural,100.0
Sweden,Urban,100.0
Sweden,Total,100.0
Switzerland,Rural,100.0
Switzerland,Urban,100.0
Switzerland,Total,100.0
Syrian Arab Republic,Rural,86.0
Syrian Arab Republic,Urban,93.0
Syrian Arab Republic,Total,90.0
Tajikistan,Rural,54.0
Tajikistan,Urban,92.0
Tajikistan,Total,64.0
Thailand,Rural,95.0
Thailand,Urban,97.0
Thailand,Total,96.0
The former Yugoslav Republic of Macedonia,Rural,99.0
The former Yugoslav Republic of Macedonia,Urban,100.0
The former Yugoslav Republic of Macedonia,Total,100.0
Timor-Leste,Rural,60.0
Timor-Leste,Urban,91.0
Timor-Leste,Total,69.0
Togo,Rural,40.0
Togo,Urban,89.0
Togo,Total,61.0
Tonga,Rural,100.0
Tonga,Urban,100.0
Tonga,Total,100.0
Trinidad and Tobago,Rural,93.0
Trinidad and Tobago,Urban,98.0
Trinidad and Tobago,Total,94.0
Tunisia,Urban,99.0
Turkey,Rural,99.0
Turkey,Urban,100.0
Turkey,Total,100.0
Turkmenistan,Urban,97.0
Tuvalu,Rural,97.0
Tuvalu,Urban,98.0
Tuvalu,Total,98.0
Uganda,Rural,68.0
Uganda,Urban,95.0
Uganda,Total,72.0
Ukraine,Rural,98.0
Ukraine,Urban,98.0
Ukraine,Total,98.0
United Arab Emirates,Rural,100.0
United Arab Emirates,Urban,100.0
United Arab Emirates,Total,100.0
United Kingdom,Rural,100.0
United Kingdom,Urban,100.0
United Kingdom,Total,100.0
United Republic of Tanzania,Rural,44.0
United Republic of Tanzania,Urban,79.0
United Republic of Tanzania,Total,53.0
United States,Rural,94.0
United States,Urban,100.0
United States,Total,99.0
Uruguay,Rural,100.0
Uruguay,Urban,100.0
Uruguay,Total,100.0
Uzbekistan,Rural,81.0
Uzbekistan,Urban,98.0
Uzbekistan,Total,87.0
Vanuatu,Rural,87.0
Vanuatu,Urban,98.0
Vanuatu,Total,90.0
Viet Nam,Rural,93.0
Viet Nam,Urban,99.0
Viet Nam,Total,95.0
Western and Central Africa,Rural,47.0
Western and Central Africa,Urban,82.0
Western and Central Africa,Total,62.0
World,Rural,81.0
World,Urban,96.0
World,Total,89.0
Yemen,Rural,47.0
Yemen,Urban,72.0
Yemen,Total,55.0
Zambia,Rural,46.0
Zambia,Urban,87.0
Zambia,Total,61.0
Zimbabwe,Rural,69.0
Zimbabwe,Urban,98.0
Zimbabwe,Total,80.0
