Country or Area,Subgroup,Unit,Prevalence of underweight (moderate and severe) - WHO
Honduras,Ratio of rural to urban,Ratio,2.4
India,Total <5 yr,Percent,43.0
India,Rural,Percent,46.0
India,Urban,Percent,33.0
India,Poorest 20%,Percent,57.0
India,Richest 20%,Percent,20.0
India,Ratio of poorest to richest,Ratio,2.9
India,Ratio of rural to urban,Ratio,1.4
Indonesia,Total <5 yr,Percent,18.0
Indonesia,Rural,Percent,21.0
Indonesia,Urban,Percent,15.0
Indonesia,Poorest 20%,Percent,23.0
Indonesia,Richest 20%,Percent,10.0
Indonesia,Ratio of poorest to richest,Ratio,2.2
Indonesia,Ratio of rural to urban,Ratio,1.4
Iraq,Total <5 yr,Percent,6.0
Iraq,Rural,Percent,7.0
Iraq,Urban,Percent,6.0
Iraq,Ratio of rural to urban,Ratio,1.1
Jamaica,Total <5 yr,Percent,2.0
Jordan,Total <5 yr,Percent,2.0
Jordan,Rural,Percent,2.0
Jordan,Urban,Percent,2.0
Jordan,Poorest 20%,Percent,3.0
Jordan,Richest 20%,Percent,0.0
Jordan,Ratio of poorest to richest,Ratio,26.0
Jordan,Ratio of rural to urban,Ratio,1.3
Kazakhstan,Total <5 yr,Percent,4.0
Kazakhstan,Rural,Percent,5.0
Kazakhstan,Urban,Percent,3.0
Kazakhstan,Poorest 20%,Percent,5.0
Kazakhstan,Richest 20%,Percent,2.0
Kazakhstan,Ratio of poorest to richest,Ratio,2.8
Kazakhstan,Ratio of rural to urban,Ratio,1.7
Kenya,Total <5 yr,Percent,16.0
Kenya,Rural,Percent,17.0
Kenya,Urban,Percent,10.0
Kenya,Poorest 20%,Percent,25.0
Kenya,Richest 20%,Percent,9.0
Kenya,Ratio of poorest to richest,Ratio,2.8
Kenya,Ratio of rural to urban,Ratio,1.7
Kyrgyzstan,Total <5 yr,Percent,2.0
Kyrgyzstan,Rural,Percent,2.0
Kyrgyzstan,Urban,Percent,2.0
Kyrgyzstan,Poorest 20%,Percent,2.0
Kyrgyzstan,Richest 20%,Percent,2.0
Kyrgyzstan,Ratio of poorest to richest,Ratio,0.8
Kyrgyzstan,Ratio of rural to urban,Ratio,0.9
Lao People's Democratic Republic,Total <5 yr,Percent,31.0
Lao People's Democratic Republic,Rural,Percent,34.0
Lao People's Democratic Republic,Urban,Percent,20.0
Lao People's Democratic Republic,Poorest 20%,Percent,38.0
Lao People's Democratic Republic,Richest 20%,Percent,14.0
Lao People's Democratic Republic,Ratio of poorest to richest,Ratio,2.7
Lao People's Democratic Republic,Ratio of rural to urban,Ratio,1.7
Latin America and Caribbean,Total <5 yr,Percent,3.0
Least Developed Countries/Territories,Total <5 yr,Percent,23.0
Least Developed Countries/Territories,Rural,Percent,27.0
Least Developed Countries/Territories,Urban,Percent,18.0
Least Developed Countries/Territories,Poorest 20%,Percent,33.0
Least Developed Countries/Territories,Richest 20%,Percent,15.0
Least Developed Countries/Territories,Ratio of poorest to richest,Ratio,2.3
Least Developed Countries/Territories,Ratio of rural to urban,Ratio,1.5
Lesotho,Total <5 yr,Percent,13.0
Lesotho,Rural,Percent,13.0
Lesotho,Urban,Percent,12.0
Lesotho,Poorest 20%,Percent,18.0
Lesotho,Richest 20%,Percent,9.0
Lesotho,Ratio of poorest to richest,Ratio,1.9
Lesotho,Ratio of rural to urban,Ratio,1.1
Liberia,Total <5 yr,Percent,15.0
Liberia,Rural,Percent,20.0
Liberia,Urban,Percent,17.0
Liberia,Poorest 20%,Percent,21.0
Liberia,Richest 20%,Percent,13.0
Liberia,Ratio of poorest to richest,Ratio,1.6
Liberia,Ratio of rural to urban,Ratio,1.2
Madagascar,Total <5 yr,Percent,36.0
Madagascar,Rural,Percent,37.0
Madagascar,Urban,Percent,31.0
Madagascar,Poorest 20%,Percent,40.0
Madagascar,Richest 20%,Percent,24.0
Madagascar,Ratio of poorest to richest,Ratio,1.7
Madagascar,Ratio of rural to urban,Ratio,1.2
Malawi,Total <5 yr,Percent,13.0
Malawi,Rural,Percent,13.0
Malawi,Urban,Percent,10.0
Malawi,Poorest 20%,Percent,17.0
Malawi,Richest 20%,Percent,13.0
Malawi,Ratio of poorest to richest,Ratio,1.3
Malawi,Ratio of rural to urban,Ratio,1.3
Malaysia,Total <5 yr,Percent,13.0
Maldives,Total <5 yr,Percent,17.0
Maldives,Rural,Percent,20.0
Maldives,Urban,Percent,11.0
Maldives,Poorest 20%,Percent,24.0
Maldives,Richest 20%,Percent,11.0
Maldives,Ratio of poorest to richest,Ratio,2.3
Maldives,Ratio of rural to urban,Ratio,1.8
Mali,Total <5 yr,Percent,27.0
Mali,Rural,Percent,29.0
Mali,Urban,Percent,20.0
Mali,Poorest 20%,Percent,31.0
Mali,Richest 20%,Percent,17.0
Mali,Ratio of poorest to richest,Ratio,1.8
Mali,Ratio of rural to urban,Ratio,1.5
Mauritania,Total <5 yr,Percent,20.0
Mexico,Total <5 yr,Percent,3.0
Middle East and North Africa,Total <5 yr,Percent,8.0
Mongolia,Total <5 yr,Percent,5.0
Mongolia,Rural,Percent,5.0
Mongolia,Urban,Percent,4.0
Mongolia,Poorest 20%,Percent,6.0
Mongolia,Richest 20%,Percent,2.0
Mongolia,Ratio of poorest to richest,Ratio,2.7
Mongolia,Ratio of rural to urban,Ratio,1.2
Montenegro,Total <5 yr,Percent,2.0
Montenegro,Rural,Percent,1.0
Montenegro,Urban,Percent,2.0
Montenegro,Poorest 20%,Percent,4.0
Montenegro,Richest 20%,Percent,1.0
Montenegro,Ratio of poorest to richest,Ratio,4.1
Montenegro,Ratio of rural to urban,Ratio,0.7
Morocco,Total <5 yr,Percent,3.0
Morocco,Rural,Percent,4.0
Morocco,Urban,Percent,2.0
Morocco,Ratio of rural to urban,Ratio,2.5
Mozambique,Total <5 yr,Percent,15.0
Mozambique,Rural,Percent,17.0
Mozambique,Urban,Percent,10.0
Mozambique,Ratio of rural to urban,Ratio,1.7
Myanmar,Total <5 yr,Percent,23.0
Myanmar,Rural,Percent,24.0
Myanmar,Urban,Percent,19.0
Myanmar,Poorest 20%,Percent,33.0
Myanmar,Richest 20%,Percent,14.0
Myanmar,Ratio of poorest to richest,Ratio,2.5
Myanmar,Ratio of rural to urban,Ratio,1.3
Namibia,Total <5 yr,Percent,17.0
Namibia,Rural,Percent,19.0
Namibia,Urban,Percent,12.0
Namibia,Poorest 20%,Percent,22.0
Namibia,Richest 20%,Percent,7.0
Namibia,Ratio of poorest to richest,Ratio,3.1
Namibia,Ratio of rural to urban,Ratio,1.7
Nauru,Total <5 yr,Percent,5.0
Nauru,Poorest 20%,Percent,7.0
Nauru,Richest 20%,Percent,3.0
Nauru,Ratio of poorest to richest,Ratio,2.7
Nepal,Total <5 yr,Percent,29.0
Nepal,Rural,Percent,30.0
Nepal,Urban,Percent,17.0
Nepal,Poorest 20%,Percent,40.0
Nepal,Richest 20%,Percent,10.0
Nepal,Ratio of poorest to richest,Ratio,4.0
Nepal,Ratio of rural to urban,Ratio,1.8
Nicaragua,Total <5 yr,Percent,6.0
Nicaragua,Rural,Percent,7.0
Nicaragua,Urban,Percent,4.0
Nicaragua,Poorest 20%,Percent,9.0
Nicaragua,Richest 20%,Percent,1.0
Nicaragua,Ratio of poorest to richest,Ratio,6.6
Nicaragua,Ratio of rural to urban,Ratio,1.7
Niger,Total <5 yr,Percent,39.0
Niger,Rural,Percent,39.0
Niger,Urban,Percent,44.0
Niger,Ratio of rural to urban,Ratio,0.9
Nigeria,Total <5 yr,Percent,23.0
Nigeria,Rural,Percent,27.0
Nigeria,Urban,Percent,16.0
Nigeria,Poorest 20%,Percent,35.0
Nigeria,Richest 20%,Percent,10.0
Nigeria,Ratio of poorest to richest,Ratio,3.5
Nigeria,Ratio of rural to urban,Ratio,1.7
Oman,Total <5 yr,Percent,9.0
Pakistan,Total <5 yr,Percent,32.0
Pakistan,Rural,Percent,33.0
Pakistan,Urban,Percent,27.0
Pakistan,Ratio of rural to urban,Ratio,1.3
Panama,Total <5 yr,Percent,4.0
Papua New Guinea,Total <5 yr,Percent,18.0
Papua New Guinea,Rural,Percent,20.0
Papua New Guinea,Urban,Percent,12.0
Papua New Guinea,Ratio of rural to urban,Ratio,1.6
Paraguay,Total <5 yr,Percent,3.0
Peru,Total <5 yr,Percent,4.0
Peru,Rural,Percent,8.0
Peru,Urban,Percent,2.0
Peru,Poorest 20%,Percent,9.0
Peru,Richest 20%,Percent,1.0
Peru,Ratio of poorest to richest,Ratio,15.7
Peru,Ratio of rural to urban,Ratio,3.8
Philippines,Total <5 yr,Percent,22.0
Republic of Moldova,Total <5 yr,Percent,3.0
Republic of Moldova,Rural,Percent,4.0
Republic of Moldova,Urban,Percent,2.0
Republic of Moldova,Poorest 20%,Percent,5.0
Republic of Moldova,Richest 20%,Percent,1.0
Republic of Moldova,Ratio of poorest to richest,Ratio,8.2
Republic of Moldova,Ratio of rural to urban,Ratio,2.0
Romania,Total <5 yr,Percent,4.0
Romania,Rural,Percent,4.0
Romania,Urban,Percent,3.0
Romania,Ratio of rural to urban,Ratio,1.3
Rwanda,Total <5 yr,Percent,11.0
Rwanda,Rural,Percent,12.0
Rwanda,Urban,Percent,6.0
Rwanda,Poorest 20%,Percent,16.0
Rwanda,Richest 20%,Percent,5.0
Rwanda,Ratio of poorest to richest,Ratio,3.0
Rwanda,Ratio of rural to urban,Ratio,1.9
Sao Tome and Principe,Total <5 yr,Percent,13.0
Sao Tome and Principe,Rural,Percent,14.0
Sao Tome and Principe,Urban,Percent,12.0
Sao Tome and Principe,Poorest 20%,Percent,18.0
Sao Tome and Principe,Richest 20%,Percent,7.0
Sao Tome and Principe,Ratio of poorest to richest,Ratio,2.6
Sao Tome and Principe,Ratio of rural to urban,Ratio,1.1
Senegal,Total <5 yr,Percent,18.0
Senegal,Rural,Percent,21.0
Senegal,Urban,Percent,12.0
Senegal,Poorest 20%,Percent,24.0
Senegal,Richest 20%,Percent,10.0
Senegal,Ratio of poorest to richest,Ratio,2.4
Senegal,Ratio of rural to urban,Ratio,1.8
Serbia,Total <5 yr,Percent,2.0
Serbia,Rural,Percent,1.0
Serbia,Urban,Percent,2.0
Serbia,Poorest 20%,Percent,3.0
Serbia,Richest 20%,Percent,2.0
Serbia,Ratio of poorest to richest,Ratio,1.4
Serbia,Ratio of rural to urban,Ratio,0.7
Sierra Leone,Total <5 yr,Percent,22.0
Sierra Leone,Rural,Percent,22.0
Sierra Leone,Urban,Percent,20.0
Sierra Leone,Poorest 20%,Percent,22.0
Sierra Leone,Richest 20%,Percent,15.0
Sierra Leone,Ratio of poorest to richest,Ratio,1.4
Sierra Leone,Ratio of rural to urban,Ratio,1.1
Singapore,Total <5 yr,Percent,3.0
Solomon Islands,Total <5 yr,Percent,12.0
Solomon Islands,Rural,Percent,12.0
Solomon Islands,Urban,Percent,8.0
Solomon Islands,Poorest 20%,Percent,14.0
Solomon Islands,Richest 20%,Percent,10.0
Solomon Islands,Ratio of poorest to richest,Ratio,1.4
Solomon Islands,Ratio of rural to urban,Ratio,1.5
Somalia,Total <5 yr,Percent,32.0
Somalia,Rural,Percent,38.0
Somalia,Urban,Percent,20.0
Somalia,Poorest 20%,Percent,42.0
Somalia,Richest 20%,Percent,14.0
Somalia,Ratio of poorest to richest,Ratio,3.0
Somalia,Ratio of rural to urban,Ratio,1.9
South Africa,Total <5 yr,Percent,9.0
South Africa,Rural,Percent,9.0
South Africa,Urban,Percent,10.0
South Africa,Ratio of rural to urban,Ratio,0.9
South Asia,Total <5 yr,Percent,33.0
South Asia,Rural,Percent,43.0
South Asia,Urban,Percent,31.0
South Asia,Poorest 20%,Percent,55.0
South Asia,Richest 20%,Percent,19.0
South Asia,Ratio of poorest to richest,Ratio,2.8
South Asia,Ratio of rural to urban,Ratio,1.4
South Sudan,Total <5 yr,Percent,28.0
South Sudan,Rural,Percent,29.0
South Sudan,Urban,Percent,23.0
South Sudan,Poorest 20%,Percent,32.0
South Sudan,Richest 20%,Percent,21.0
South Sudan,Ratio of poorest to richest,Ratio,1.6
South Sudan,Ratio of rural to urban,Ratio,1.3
Sri Lanka,Total <5 yr,Percent,21.0
Sri Lanka,Poorest 20%,Percent,29.0
Sri Lanka,Richest 20%,Percent,11.0
Sri Lanka,Ratio of poorest to richest,Ratio,2.6
Sub-Saharan Africa,Total <5 yr,Percent,21.0
Sub-Saharan Africa,Rural,Percent,24.0
Sub-Saharan Africa,Urban,Percent,15.0
Sub-Saharan Africa,Poorest 20%,Percent,30.0
Sub-Saharan Africa,Richest 20%,Percent,12.0
Sub-Saharan Africa,Ratio of poorest to richest,Ratio,2.5
Sub-Saharan Africa,Ratio of rural to urban,Ratio,1.6
Sudan,Total <5 yr,Percent,32.0
Sudan,Rural,Percent,35.0
Sudan,Urban,Percent,24.0
Sudan,Poorest 20%,Percent,40.0
Sudan,Richest 20%,Percent,17.0
Sudan,Ratio of poorest to richest,Ratio,2.4
Sudan,Ratio of rural to urban,Ratio,1.5
Suriname,Total <5 yr,Percent,7.0
Suriname,Rural,Percent,8.0
Suriname,Urban,Percent,7.0
Suriname,Poorest 20%,Percent,9.0
Suriname,Richest 20%,Percent,5.0
Suriname,Ratio of poorest to richest,Ratio,1.8
Suriname,Ratio of rural to urban,Ratio,1.1
Swaziland,Total <5 yr,Percent,6.0
Swaziland,Rural,Percent,6.0
Swaziland,Urban,Percent,4.0
Swaziland,Poorest 20%,Percent,8.0
Swaziland,Richest 20%,Percent,4.0
Swaziland,Ratio of poorest to richest,Ratio,2.3
Swaziland,Ratio of rural to urban,Ratio,1.5
Syrian Arab Republic,Total <5 yr,Percent,10.0
Syrian Arab Republic,Rural,Percent,9.0
Syrian Arab Republic,Urban,Percent,9.0
Syrian Arab Republic,Poorest 20%,Percent,10.0
Syrian Arab Republic,Richest 20%,Percent,7.0
Syrian Arab Republic,Ratio of poorest to richest,Ratio,1.5
Syrian Arab Republic,Ratio of rural to urban,Ratio,1.0
Tajikistan,Total <5 yr,Percent,15.0
Tajikistan,Rural,Percent,16.0
Tajikistan,Urban,Percent,12.0
Tajikistan,Poorest 20%,Percent,17.0
Tajikistan,Richest 20%,Percent,13.0
Tajikistan,Ratio of poorest to richest,Ratio,1.3
Tajikistan,Ratio of rural to urban,Ratio,1.3
Thailand,Total <5 yr,Percent,7.0
Thailand,Rural,Percent,8.0
Thailand,Urban,Percent,5.0
Thailand,Poorest 20%,Percent,11.0
Thailand,Richest 20%,Percent,3.0
Thailand,Ratio of poorest to richest,Ratio,3.3
Thailand,Ratio of rural to urban,Ratio,1.7
The former Yugoslav Republic of Macedonia,Total <5 yr,Percent,1.0
The former Yugoslav Republic of Macedonia,Rural,Percent,2.0
The former Yugoslav Republic of Macedonia,Urban,Percent,1.0
The former Yugoslav Republic of Macedonia,Poorest 20%,Percent,2.0
The former Yugoslav Republic of Macedonia,Richest 20%,Percent,0.0
The former Yugoslav Republic of Macedonia,Ratio of rural to urban,Ratio,2.3
Timor-Leste,Total <5 yr,Percent,45.0
Timor-Leste,Rural,Percent,47.0
Timor-Leste,Urban,Percent,35.0
Timor-Leste,Poorest 20%,Percent,49.0
Timor-Leste,Richest 20%,Percent,35.0
Timor-Leste,Ratio of poorest to richest,Ratio,1.4
Timor-Leste,Ratio of rural to urban,Ratio,1.4
Togo,Total <5 yr,Percent,17.0
Togo,Rural,Percent,20.0
Togo,Urban,Percent,10.0
Togo,Poorest 20%,Percent,21.0
Togo,Richest 20%,Percent,9.0
Togo,Ratio of poorest to richest,Ratio,2.5
