Country or Area,Year,Average annual rate of reduction of under-five mortality rate
Eastern and Southern Africa,1990-2011,3.1
Eastern and Southern Africa,1990-2000,1.8
Eastern and Southern Africa,1970-1990,1.4
Ecuador,2000-2011,3.7
Ecuador,1990-2011,4.0
Ecuador,1990-2000,4.3
Ecuador,1970-1990,4.8
Egypt,2000-2011,6.8
Egypt,1990-2011,6.7
Egypt,1990-2000,6.6
Egypt,1970-1990,5.1
El Salvador,2000-2011,7.3
El Salvador,1990-2011,6.6
El Salvador,1990-2000,5.7
El Salvador,1970-1990,4.8
Equatorial Guinea,2000-2011,2.3
Equatorial Guinea,1990-2011,2.3
Equatorial Guinea,1990-2000,2.2
Eritrea,2000-2011,3.4
Eritrea,1990-2011,3.4
Eritrea,1990-2000,3.4
Eritrea,1970-1990,2.9
Estonia,2000-2011,9.7
Estonia,1990-2011,8.1
Estonia,1990-2000,6.2
Ethiopia,2000-2011,5.3
Ethiopia,1990-2011,4.5
Ethiopia,1990-2000,3.6
Ethiopia,1970-1990,0.7
Fiji,2000-2011,2.8
Fiji,1990-2011,2.8
Fiji,1990-2000,2.8
Fiji,1970-1990,2.9
Finland,2000-2011,3.6
Finland,1990-2011,4.0
Finland,1990-2000,4.4
Finland,1970-1990,4.4
France,2000-2011,2.5
France,1990-2011,3.6
France,1990-2000,4.9
France,1970-1990,3.6
Gabon,2000-2011,2.1
Gabon,1990-2011,1.7
Gabon,1990-2000,1.4
Gambia,2000-2011,2.4
Gambia,1990-2011,2.3
Gambia,1990-2000,2.3
Gambia,1970-1990,2.8
Georgia,2000-2011,4.2
Georgia,1990-2011,3.9
Georgia,1990-2000,3.6
Germany,2000-2011,2.7
Germany,1990-2011,3.6
Germany,1990-2000,4.5
Germany,1970-1990,5.6
Ghana,2000-2011,2.2
Ghana,1990-2011,2.1
Ghana,1990-2000,2.0
Ghana,1970-1990,2.1
Greece,2000-2011,5.1
Greece,1990-2011,5.0
Greece,1990-2000,5.0
Greece,1970-1990,5.5
Grenada,2000-2011,1.9
Grenada,1990-2011,2.4
Grenada,1990-2000,2.9
Guatemala,2000-2011,4.2
Guatemala,1990-2011,4.5
Guatemala,1990-2000,4.8
Guatemala,1970-1990,4.0
Guinea,2000-2011,3.0
Guinea,1990-2011,2.8
Guinea,1990-2000,2.7
Guinea,1970-1990,1.6
Guinea-Bissau,2000-2011,1.3
Guinea-Bissau,1990-2011,1.3
Guinea-Bissau,1990-2000,1.2
Guinea-Bissau,1970-1990,0.7
Guyana,2000-2011,2.8
Guyana,1990-2011,2.7
Guyana,1990-2000,2.5
Guyana,1970-1990,1.0
Haiti,2000-2011,3.4
Haiti,1990-2011,3.4
Haiti,1990-2000,3.4
Haiti,1970-1990,2.3
Honduras,2000-2011,4.5
Honduras,1990-2011,4.5
Honduras,1990-2000,4.5
Honduras,1970-1990,5.2
Hungary,2000-2011,5.1
Hungary,1990-2011,5.2
Hungary,1990-2000,5.3
Hungary,1970-1990,4.2
Iceland,2000-2011,4.0
Iceland,1990-2011,4.4
Iceland,1990-2000,4.8
Iceland,1970-1990,4.6
India,2000-2011,3.3
India,1990-2011,3.0
India,1990-2000,2.6
India,1970-1990,2.5
Indonesia,2000-2011,4.6
Indonesia,1990-2011,4.5
Indonesia,1990-2000,4.4
Indonesia,1970-1990,3.5
Iran (Islamic Republic of),2000-2011,5.1
Iran (Islamic Republic of),1990-2011,4.3
Iran (Islamic Republic of),1990-2000,3.3
Iran (Islamic Republic of),1970-1990,6.0
Iraq,2000-2011,1.1
Iraq,1990-2011,0.9
Iraq,1990-2000,0.7
Iraq,1970-1990,4.6
Ireland,2000-2011,5.1
Ireland,1990-2011,3.9
Ireland,1990-2000,2.5
Ireland,1970-1990,4.6
Israel,2000-2011,4.3
Israel,1990-2011,4.7
Israel,1990-2000,5.1
Italy,2000-2011,3.8
Italy,1990-2011,4.6
Italy,1990-2000,5.5
Italy,1970-1990,6.1
Jamaica,2000-2011,3.0
Jamaica,1990-2011,3.0
Jamaica,1990-2000,3.0
Jamaica,1970-1990,3.0
Japan,2000-2011,2.5
Japan,1990-2011,3.0
Japan,1990-2000,3.5
Japan,1970-1990,5.1
Jordan,2000-2011,2.7
Jordan,1990-2011,2.7
Jordan,1990-2000,2.7
Jordan,1970-1990,4.8
Kazakhstan,2000-2011,3.7
Kazakhstan,1990-2011,3.3
Kazakhstan,1990-2000,3.0
Kazakhstan,1970-1990,1.7
Kenya,2000-2011,4.0
Kenya,1990-2011,1.4
Kenya,1990-2000,-1.5
Kenya,1970-1990,2.2
Kiribati,2000-2011,2.9
Kiribati,1990-2011,2.9
Kiribati,1990-2000,2.9
Kiribati,1970-1990,2.8
Kuwait,2000-2011,1.4
Kuwait,1990-2011,2.1
Kuwait,1990-2000,2.9
Kuwait,1970-1990,6.4
Kyrgyzstan,2000-2011,4.0
Kyrgyzstan,1990-2011,4.0
Kyrgyzstan,1990-2000,3.9
Kyrgyzstan,1970-1990,3.6
Lao People's Democratic Republic,2000-2011,6.0
Lao People's Democratic Republic,1990-2011,6.0
Lao People's Democratic Republic,1990-2000,6.0
Latin America and Caribbean,2000-2011,5.2
Latin America and Caribbean,1990-2011,4.8
Latin America and Caribbean,1990-2000,4.4
Latin America and Caribbean,1970-1990,4.0
Latvia,2000-2011,6.7
Latvia,1990-2011,4.3
Latvia,1990-2000,1.7
Least Developed Countries/Territories,2000-2011,3.0
Least Developed Countries/Territories,1990-2011,2.7
Least Developed Countries/Territories,1990-2000,2.3
Least Developed Countries/Territories,1970-1990,1.7
Lebanon,2000-2011,6.5
Lebanon,1990-2011,6.0
Lebanon,1990-2000,5.6
Lebanon,1970-1990,2.7
Lesotho,2000-2011,2.8
Lesotho,1990-2011,0.1
Lesotho,1990-2000,-2.9
Lesotho,1970-1990,3.5
Liberia,2000-2011,6.7
Liberia,1990-2011,5.4
Liberia,1990-2000,3.9
Liberia,1970-1990,0.7
Libya,2000-2011,4.7
Libya,1990-2011,4.8
Libya,1990-2000,4.9
Libya,1970-1990,5.7
Lithuania,2000-2011,6.6
Lithuania,1990-2011,5.3
Lithuania,1990-2000,3.9
Lithuania,1970-1990,2.0
Luxembourg,2000-2011,3.9
Luxembourg,1990-2011,4.6
Luxembourg,1990-2000,5.4
Luxembourg,1970-1990,4.7
Madagascar,2000-2011,4.8
Madagascar,1990-2011,4.6
Madagascar,1990-2000,4.4
Madagascar,1970-1990,0.4
Malawi,2000-2011,6.2
Malawi,1990-2011,4.8
Malawi,1990-2000,3.2
Malawi,1970-1990,1.9
Malaysia,2000-2011,4.4
Malaysia,1990-2011,4.6
Malaysia,1990-2000,4.8
Malaysia,1970-1990,5.8
Maldives,2000-2011,14.5
Maldives,1990-2011,10.9
Maldives,1990-2000,6.9
Maldives,1970-1990,4.6
Mali,2000-2011,1.8
Mali,1990-2011,1.8
Mali,1990-2000,1.8
Mali,1970-1990,1.9
Malta,2000-2011,2.5
Malta,1990-2011,3.1
Malta,1990-2000,3.7
Malta,1970-1990,4.4
Marshall Islands,2000-2011,3.3
Marshall Islands,1990-2011,3.3
Marshall Islands,1990-2000,3.2
Marshall Islands,1970-1990,3.2
Mauritania,2000-2011,0.5
Mauritania,1990-2011,0.5
Mauritania,1990-2000,0.6
Mauritania,1970-1990,2.3
Mauritius,2000-2011,1.9
Mauritius,1990-2011,2.2
Mauritius,1990-2000,2.5
Mauritius,1970-1990,6.3
Mexico,2000-2011,5.6
Mexico,1990-2011,5.4
Mexico,1990-2000,5.2
Mexico,1970-1990,4.0
Micronesia (Federated States of),2000-2011,1.4
Micronesia (Federated States of),1990-2011,1.5
Micronesia (Federated States of),1990-2000,1.5
Middle East and North Africa,2000-2011,3.3
Middle East and North Africa,1990-2011,3.3
Middle East and North Africa,1990-2000,3.4
Middle East and North Africa,1970-1990,4.8
Monaco,2000-2011,2.4
Monaco,1990-2011,3.3
Monaco,1990-2000,4.2
Mongolia,2000-2011,6.6
Mongolia,1990-2011,5.9
Mongolia,1990-2000,5.2
Montenegro,2000-2011,5.1
Montenegro,1990-2011,4.3
Montenegro,1990-2000,3.3
Morocco,2000-2011,4.3
Morocco,1990-2011,4.3
Morocco,1990-2000,4.3
Morocco,1970-1990,3.9
Mozambique,2000-2011,4.7
Mozambique,1990-2011,3.7
Mozambique,1990-2000,2.7
Mozambique,1970-1990,1.0
Myanmar,2000-2011,2.6
Myanmar,1990-2011,2.6
Myanmar,1990-2000,2.5
Myanmar,1970-1990,2.4
Namibia,2000-2011,5.2
Namibia,1990-2011,2.7
Namibia,1990-2000,-0.1
Namibia,1970-1990,2.2
Nauru,2000-2011,0.0
Nauru,1990-2011,0.0
Nauru,1990-2000,0.0
Nepal,2000-2011,5.0
Nepal,1990-2011,4.9
Nepal,1990-2000,4.8
Nepal,1970-1990,3.1
Netherlands,2000-2011,4.0
Netherlands,1990-2011,3.5
Netherlands,1990-2000,2.9
Netherlands,1970-1990,3.2
New Zealand,2000-2011,2.1
New Zealand,1990-2011,3.0
New Zealand,1990-2000,4.1
New Zealand,1970-1990,3.1
Nicaragua,2000-2011,4.6
Nicaragua,1990-2011,4.5
Nicaragua,1990-2000,4.5
Nicaragua,1970-1990,4.5
Niger,2000-2011,5.0
Niger,1990-2011,4.4
Niger,1990-2000,3.8
Niger,1970-1990,0.2
Nigeria,2000-2011,3.8
Nigeria,1990-2011,2.6
Nigeria,1990-2000,1.3
Nigeria,1970-1990,1.0
Niue,2000-2011,3.0
Niue,1990-2011,-1.9
Niue,1990-2000,-7.3
Norway,2000-2011,4.2
Norway,1990-2011,4.7
Norway,1990-2000,5.4
Norway,1970-1990,3.3
Oman,2000-2011,8.3
Oman,1990-2011,8.1
Oman,1990-2000,7.8
Oman,1970-1990,7.1
Pakistan,2000-2011,2.5
Pakistan,1990-2011,2.5
Pakistan,1990-2000,2.5
Pakistan,1970-1990,2.0
Palau,2000-2011,2.6
Palau,1990-2011,2.6
Palau,1990-2000,2.6
Panama,2000-2011,2.5
Panama,1990-2011,2.5
Panama,1990-2000,2.6
Panama,1970-1990,3.1
Papua New Guinea,2000-2011,2.0
Papua New Guinea,1990-2011,2.0
Papua New Guinea,1990-2000,2.0
Papua New Guinea,1970-1990,2.7
Paraguay,2000-2011,4.1
Paraguay,1990-2011,4.1
Paraguay,1990-2000,4.0
Paraguay,1970-1990,1.7
Peru,2000-2011,7.0
Peru,1990-2011,6.8
Peru,1990-2000,6.6
Peru,1970-1990,3.7
Philippines,2000-2011,3.9
Philippines,1990-2011,3.8
Philippines,1990-2000,3.8
Philippines,1970-1990,2.2
Poland,2000-2011,4.6
Poland,1990-2011,5.2
Poland,1990-2000,5.9
Poland,1970-1990,3.6
Portugal,2000-2011,6.8
Portugal,1990-2011,6.9
Portugal,1990-2000,7.1
Portugal,1970-1990,7.5
Qatar,2000-2011,4.5
Qatar,1990-2011,4.6
Qatar,1990-2000,4.7
Qatar,1970-1990,5.2
Republic of Korea,2000-2011,1.6
Republic of Korea,1990-2011,2.1
Republic of Korea,1990-2000,2.7
Republic of Korea,1970-1990,9.4
Republic of Moldova,2000-2011,3.6
Republic of Moldova,1990-2011,3.7
Republic of Moldova,1990-2000,3.8
Republic of Moldova,1970-1990,3.5
Romania,2000-2011,6.9
Romania,1990-2011,5.2
Romania,1990-2000,3.3
Romania,1970-1990,2.7
Russian Federation,2000-2011,5.3
Russian Federation,1990-2011,4.0
Russian Federation,1990-2000,2.5
Russian Federation,1970-1990,2.0
Rwanda,2000-2011,11.1
Rwanda,1990-2011,5.1
Rwanda,1990-2000,-1.6
Rwanda,1970-1990,1.8
Saint Kitts and Nevis,2000-2011,7.2
Saint Kitts and Nevis,1990-2011,6.4
Saint Kitts and Nevis,1990-2000,5.5
Saint Kitts and Nevis,1970-1990,4.6
Saint Lucia,2000-2011,1.4
Saint Lucia,1990-2011,1.7
Saint Lucia,1990-2000,2.2
Saint Lucia,1970-1990,5.2
Saint Vincent and the Grenadines,2000-2011,0.4
Saint Vincent and the Grenadines,1990-2011,1.1
Saint Vincent and the Grenadines,1990-2000,1.9
Saint Vincent and the Grenadines,1970-1990,6.5
Samoa,2000-2011,1.8
Samoa,1990-2011,2.2
Samoa,1990-2000,2.6
San Marino,2000-2011,9.8
San Marino,1990-2011,9.0
San Marino,1990-2000,8.1
Sao Tome and Principe,2000-2011,0.4
Sao Tome and Principe,1990-2011,0.4
Sao Tome and Principe,1990-2000,0.4
Sao Tome and Principe,1970-1990,0.0
Saudi Arabia,2000-2011,7.3
Saudi Arabia,1990-2011,7.3
Saudi Arabia,1990-2000,7.3
Senegal,2000-2011,6.4
Senegal,1990-2011,3.5
Senegal,1990-2000,0.4
Senegal,1970-1990,3.9
Serbia,2000-2011,5.3
Serbia,1990-2011,6.6
Serbia,1990-2000,8.1
Seychelles,2000-2011,0.0
Seychelles,1990-2011,0.9
Seychelles,1990-2000,1.8
Seychelles,1970-1990,6.9
Sierra Leone,2000-2011,2.4
Sierra Leone,1990-2011,1.7
Sierra Leone,1990-2000,1.0
Sierra Leone,1970-1990,1.2
Singapore,2000-2011,3.7
Singapore,1990-2011,5.0
Singapore,1990-2000,6.5
Singapore,1970-1990,6.4
Slovakia,2000-2011,3.7
Slovakia,1990-2011,3.9
Slovakia,1990-2000,4.2
Slovenia,2000-2011,6.0
Slovenia,1990-2011,6.2
Slovenia,1990-2000,6.6
Solomon Islands,2000-2011,3.1
Solomon Islands,1990-2011,3.1
Solomon Islands,1990-2000,3.2
Solomon Islands,1970-1990,4.5
Somalia,2000-2011,0.0
Somalia,1990-2011,0.0
Somalia,1990-2000,0.0
South Africa,2000-2011,4.2
South Africa,1990-2011,1.4
South Africa,1990-2000,-1.7
South Asia,2000-2011,3.3
South Asia,1990-2011,3.1
South Asia,1990-2000,2.9
South Asia,1970-1990,2.5
South Sudan,2000-2011,2.8
South Sudan,1990-2011,2.8
South Sudan,1990-2000,2.8
South Sudan,1970-1990,1.6
Spain,2000-2011,4.1
Spain,1990-2011,4.5
Spain,1990-2000,5.0
Spain,1970-1990,4.9
Sri Lanka,2000-2011,4.1
Sri Lanka,1990-2011,4.1
Sri Lanka,1990-2000,4.1
Sri Lanka,1970-1990,4.8
State of Palestine,2000-2011,2.8
State of Palestine,1990-2011,3.2
State of Palestine,1990-2000,3.6
Sub-Saharan Africa,2000-2011,3.1
Sub-Saharan Africa,1990-2011,2.3
Sub-Saharan Africa,1990-2000,1.5
Sub-Saharan Africa,1970-1990,1.4
Sudan,2000-2011,1.7
Sudan,1990-2011,1.7
Sudan,1990-2000,1.7
Sudan,1970-1990,0.9
Suriname,2000-2011,2.7
Suriname,1990-2011,2.7
Suriname,1990-2000,2.6
Swaziland,2000-2011,0.9
Swaziland,1990-2011,-1.0
Swaziland,1990-2000,-3.2
Swaziland,1970-1990,3.9
Sweden,2000-2011,3.5
Sweden,1990-2011,4.2
Sweden,1990-2000,4.9
Sweden,1970-1990,3.4
Switzerland,2000-2011,2.4
Switzerland,1990-2011,2.9
Switzerland,1990-2000,3.5
Switzerland,1970-1990,4.1
Syrian Arab Republic,2000-2011,3.6
Syrian Arab Republic,1990-2011,4.1
Syrian Arab Republic,1990-2000,4.6
Syrian Arab Republic,1970-1990,5.7
Tajikistan,2000-2011,3.7
Tajikistan,1990-2011,2.8
Tajikistan,1990-2000,1.9
Thailand,2000-2011,3.7
Thailand,1990-2011,5.0
Thailand,1990-2000,6.4
Thailand,1970-1990,5.3
The former Yugoslav Republic of Macedonia,2000-2011,4.8
The former Yugoslav Republic of Macedonia,1990-2011,6.5
The former Yugoslav Republic of Macedonia,1990-2000,8.4
Timor-Leste,2000-2011,6.4
Timor-Leste,1990-2011,5.7
Timor-Leste,1990-2000,5.0
Togo,2000-2011,1.4
Togo,1990-2011,1.4
Togo,1990-2000,1.4
Togo,1970-1990,2.0
Tonga,2000-2011,2.2
Tonga,1990-2011,2.2
Tonga,1990-2000,2.2
Tonga,1970-1990,2.9
Trinidad and Tobago,2000-2011,1.3
Trinidad and Tobago,1990-2011,1.4
Trinidad and Tobago,1990-2000,1.4
Trinidad and Tobago,1970-1990,1.7
Tunisia,2000-2011,5.5
Tunisia,1990-2011,5.5
Tunisia,1990-2000,5.5
Tunisia,1970-1990,6.3
Turkey,2000-2011,7.7
Turkey,1990-2011,7.4
Turkey,1990-2000,7.1
Turkey,1970-1990,5.0
Turkmenistan,2000-2011,2.8
Turkmenistan,1990-2011,2.8
Turkmenistan,1990-2000,2.8
Tuvalu,2000-2011,3.3
Tuvalu,1990-2011,3.1
Tuvalu,1990-2000,2.9
Uganda,2000-2011,4.1
Uganda,1990-2011,3.3
Uganda,1990-2000,2.4
Uganda,1970-1990,0.3
Ukraine,2000-2011,5.6
Ukraine,1990-2011,3.1
Ukraine,1990-2000,0.4
Ukraine,1970-1990,2.8
United Arab Emirates,2000-2011,5.7
United Arab Emirates,1990-2011,5.8
United Arab Emirates,1990-2000,5.9
United Arab Emirates,1970-1990,7.1
United Kingdom,2000-2011,2.3
United Kingdom,1990-2011,2.8
United Kingdom,1990-2000,3.3
United Kingdom,1970-1990,4.1
United Republic of Tanzania,2000-2011,5.7
United Republic of Tanzania,1990-2011,4.0
United Republic of Tanzania,1990-2000,2.2
United Republic of Tanzania,1970-1990,1.4
United States,2000-2011,1.1
United States,1990-2011,2.0
United States,1990-2000,2.8
United States,1970-1990,3.6
Uruguay,2000-2011,4.6
Uruguay,1990-2011,3.8
Uruguay,1990-2000,3.0
Uruguay,1970-1990,4.3
Uzbekistan,2000-2011,2.1
Uzbekistan,1990-2011,2.1
Uzbekistan,1990-2000,2.1
Vanuatu,2000-2011,5.0
Vanuatu,1990-2011,5.1
Vanuatu,1990-2000,5.2
Vanuatu,1970-1990,4.9
Venezuela (Bolivarian Republic of),2000-2011,3.6
Venezuela (Bolivarian Republic of),1990-2011,3.4
Venezuela (Bolivarian Republic of),1990-2000,3.3
Venezuela (Bolivarian Republic of),1970-1990,3.4
Viet Nam,2000-2011,4.1
Viet Nam,1990-2011,4.0
Viet Nam,1990-2000,3.9
Western and Central Africa,2000-2011,2.6
Western and Central Africa,1990-2011,1.9
Western and Central Africa,1990-2000,1.2
Western and Central Africa,1970-1990,1.4
World,2000-2011,3.2
World,1990-2011,2.5
World,1990-2000,1.8
World,1970-1990,2.4
Yemen,2000-2011,2.4
Yemen,1990-2011,2.4
Yemen,1990-2000,2.4
Yemen,1970-1990,4.2
Zambia,2000-2011,5.6
Zambia,1990-2011,4.0
Zambia,1990-2000,2.3
Zambia,1970-1990,-0.4
Zimbabwe,2000-2011,4.1
Zimbabwe,1990-2011,0.8
Zimbabwe,1990-2000,-2.9
Zimbabwe,1970-1990,2.0
