Country or Area,Year,Life expectancy at birth
Serbia,2011.0,75.0
Serbia,1990.0,72.0
Serbia,1970.0,68.0
Sierra Leone,2011.0,48.0
Sierra Leone,1990.0,39.0
Sierra Leone,1970.0,35.0
Singapore,2011.0,81.0
Singapore,1990.0,76.0
Singapore,1970.0,68.0
Slovakia,2011.0,75.0
Slovakia,1990.0,71.0
Slovakia,1970.0,70.0
Slovenia,2011.0,79.0
Slovenia,1990.0,73.0
Slovenia,1970.0,69.0
Solomon Islands,2011.0,68.0
Solomon Islands,1990.0,57.0
Solomon Islands,1970.0,54.0
Somalia,2011.0,51.0
Somalia,1990.0,45.0
Somalia,1970.0,40.0
South Africa,2011.0,53.0
South Africa,1990.0,62.0
South Africa,1970.0,53.0
South Asia,2011.0,66.0
South Asia,1990.0,59.0
South Asia,1970.0,49.0
Spain,2011.0,81.0
Spain,1990.0,77.0
Spain,1970.0,72.0
Sri Lanka,2011.0,75.0
Sri Lanka,1990.0,70.0
Sri Lanka,1970.0,63.0
State of Palestine,2011.0,73.0
State of Palestine,1990.0,68.0
State of Palestine,1970.0,56.0
Sub-Saharan Africa,2011.0,55.0
Sub-Saharan Africa,1990.0,50.0
Sub-Saharan Africa,1970.0,44.0
Sudan (pre-cession),2011.0,61.0
Sudan (pre-cession),1990.0,53.0
Sudan (pre-cession),1970.0,45.0
Suriname,2011.0,71.0
Suriname,1990.0,67.0
Suriname,1970.0,63.0
Swaziland,2011.0,49.0
Swaziland,1990.0,59.0
Swaziland,1970.0,48.0
Sweden,2011.0,81.0
Sweden,1990.0,78.0
Sweden,1970.0,74.0
Switzerland,2011.0,82.0
Switzerland,1990.0,78.0
Switzerland,1970.0,73.0
Syrian Arab Republic,2011.0,76.0
Syrian Arab Republic,1990.0,71.0
Syrian Arab Republic,1970.0,60.0
Tajikistan,2011.0,68.0
Tajikistan,1990.0,63.0
Tajikistan,1970.0,60.0
Thailand,2011.0,74.0
Thailand,1990.0,73.0
Thailand,1970.0,60.0
The former Yugoslav Republic of Macedonia,2011.0,75.0
The former Yugoslav Republic of Macedonia,1990.0,71.0
The former Yugoslav Republic of Macedonia,1970.0,66.0
Timor-Leste,2011.0,62.0
Timor-Leste,1990.0,46.0
Timor-Leste,1970.0,40.0
Togo,2011.0,57.0
Togo,1990.0,53.0
Togo,1970.0,45.0
Tonga,2011.0,72.0
Tonga,1990.0,70.0
Tonga,1970.0,65.0
Trinidad and Tobago,2011.0,70.0
Trinidad and Tobago,1990.0,69.0
Trinidad and Tobago,1970.0,65.0
Tunisia,2011.0,75.0
Tunisia,1990.0,69.0
Tunisia,1970.0,54.0
Turkey,2011.0,74.0
Turkey,1990.0,63.0
Turkey,1970.0,50.0
Turkmenistan,2011.0,65.0
Turkmenistan,1990.0,63.0
Turkmenistan,1970.0,58.0
Uganda,2011.0,54.0
Uganda,1990.0,47.0
Uganda,1970.0,50.0
Ukraine,2011.0,68.0
Ukraine,1990.0,70.0
Ukraine,1970.0,71.0
United Arab Emirates,2011.0,77.0
United Arab Emirates,1990.0,72.0
United Arab Emirates,1970.0,62.0
United Kingdom,2011.0,80.0
United Kingdom,1990.0,76.0
United Kingdom,1970.0,72.0
United Republic of Tanzania,2011.0,58.0
United Republic of Tanzania,1990.0,51.0
United Republic of Tanzania,1970.0,47.0
United States,2011.0,79.0
United States,1990.0,75.0
United States,1970.0,71.0
Uruguay,2011.0,77.0
Uruguay,1990.0,73.0
Uruguay,1970.0,69.0
Uzbekistan,2011.0,68.0
Uzbekistan,1990.0,67.0
Uzbekistan,1970.0,63.0
Vanuatu,2011.0,71.0
Vanuatu,1990.0,63.0
Vanuatu,1970.0,52.0
Venezuela (Bolivarian Republic of),2011.0,74.0
Venezuela (Bolivarian Republic of),1990.0,71.0
Venezuela (Bolivarian Republic of),1970.0,64.0
Viet Nam,2011.0,75.0
Viet Nam,1990.0,66.0
Viet Nam,1970.0,48.0
Western and Central Africa,2011.0,53.0
Western and Central Africa,1990.0,48.0
Western and Central Africa,1970.0,42.0
World,2011.0,69.0
World,1990.0,65.0
World,1970.0,59.0
Yemen,2011.0,65.0
Yemen,1990.0,56.0
Yemen,1970.0,40.0
Zambia,2011.0,49.0
Zambia,1990.0,47.0
Zambia,1970.0,49.0
Zimbabwe,2011.0,51.0
Zimbabwe,1990.0,61.0
Zimbabwe,1970.0,55.0
