Country or Area,Subgroup,Birth registration
Bosnia and Herzegovina,Total,100.0
Bosnia and Herzegovina,Ratio of urban to rural,1.0
Bosnia and Herzegovina,Poorest 20%,99.0
Bosnia and Herzegovina,Ratio of richest to poorest,1.0
Bosnia and Herzegovina,Richest 20%,100.0
Botswana,Rural,67.0
Botswana,Urban,78.0
Botswana,Total,72.0
Botswana,Ratio of urban to rural,1.2
Brazil,Total,93.0
Burkina Faso,Rural,74.0
Burkina Faso,Urban,93.0
Burkina Faso,Total,77.0
Burkina Faso,Ratio of urban to rural,1.3
Burkina Faso,Poorest 20%,62.0
Burkina Faso,Ratio of richest to poorest,1.5
Burkina Faso,Richest 20%,95.0
Burundi,Rural,74.0
Burundi,Urban,87.0
Burundi,Total,75.0
Burundi,Ratio of urban to rural,1.2
Burundi,Poorest 20%,64.0
Burundi,Ratio of richest to poorest,1.4
Burundi,Richest 20%,87.0
Cambodia,Rural,60.0
Cambodia,Urban,74.0
Cambodia,Total,62.0
Cambodia,Ratio of urban to rural,1.2
Cambodia,Poorest 20%,48.0
Cambodia,Ratio of richest to poorest,1.6
Cambodia,Richest 20%,78.0
Cameroon,Rural,58.0
Cameroon,Urban,86.0
Cameroon,Total,70.0
Cameroon,Ratio of urban to rural,1.5
Cameroon,Poorest 20%,51.0
Cameroon,Ratio of richest to poorest,1.8
Cameroon,Richest 20%,91.0
Cape Verde,Total,91.0
CEE/CIS,Rural,96.0
CEE/CIS,Urban,97.0
CEE/CIS,Total,96.0
CEE/CIS,Ratio of urban to rural,1.0
CEE/CIS,Poorest 20%,94.0
CEE/CIS,Ratio of richest to poorest,1.0
CEE/CIS,Richest 20%,98.0
Central African Republic,Rural,52.0
Central African Republic,Urban,78.0
Central African Republic,Total,61.0
Central African Republic,Ratio of urban to rural,1.5
Central African Republic,Poorest 20%,46.0
Central African Republic,Ratio of richest to poorest,1.8
Central African Republic,Richest 20%,85.0
Chad,Rural,9.0
Chad,Urban,42.0
Chad,Total,16.0
Chad,Ratio of urban to rural,4.9
Chad,Poorest 20%,5.0
Chad,Ratio of richest to poorest,9.2
Chad,Richest 20%,46.0
Chile,Total,100.0
Colombia,Rural,95.0
Colombia,Urban,97.0
Colombia,Total,97.0
Colombia,Ratio of urban to rural,1.0
Comoros,Rural,83.0
Comoros,Urban,87.0
Comoros,Total,83.0
Comoros,Ratio of urban to rural,1.1
Comoros,Poorest 20%,72.0
Comoros,Ratio of richest to poorest,1.3
Comoros,Richest 20%,93.0
Congo,Rural,75.0
Congo,Urban,88.0
Congo,Total,81.0
Congo,Ratio of urban to rural,1.2
Congo,Poorest 20%,69.0
Congo,Ratio of richest to poorest,1.3
Congo,Richest 20%,91.0
Côte d'Ivoire,Rural,41.0
Côte d'Ivoire,Urban,79.0
Côte d'Ivoire,Total,55.0
Côte d'Ivoire,Ratio of urban to rural,2.0
Côte d'Ivoire,Poorest 20%,28.0
Côte d'Ivoire,Ratio of richest to poorest,3.2
Côte d'Ivoire,Richest 20%,89.0
Cuba,Rural,100.0
Cuba,Urban,100.0
Cuba,Total,100.0
Cuba,Ratio of urban to rural,1.0
Democratic People's Republic of Korea,Rural,100.0
Democratic People's Republic of Korea,Urban,100.0
Democratic People's Republic of Korea,Total,100.0
Democratic People's Republic of Korea,Ratio of urban to rural,1.0
Democratic Republic of the Congo,Rural,29.0
Democratic Republic of the Congo,Urban,24.0
Democratic Republic of the Congo,Total,28.0
Democratic Republic of the Congo,Ratio of urban to rural,0.8
Democratic Republic of the Congo,Poorest 20%,25.0
Democratic Republic of the Congo,Ratio of richest to poorest,1.1
Democratic Republic of the Congo,Richest 20%,27.0
Djibouti,Rural,82.0
Djibouti,Urban,90.0
Djibouti,Total,89.0
Djibouti,Ratio of urban to rural,1.1
Dominican Republic,Rural,73.0
Dominican Republic,Urban,83.0
Dominican Republic,Total,79.0
Dominican Republic,Ratio of urban to rural,1.1
Dominican Republic,Poorest 20%,61.0
Dominican Republic,Ratio of richest to poorest,1.5
Dominican Republic,Richest 20%,93.0
East Asia and Pacific,Rural,65.0
East Asia and Pacific,Urban,80.0
East Asia and Pacific,Total,70.0
East Asia and Pacific,Ratio of urban to rural,1.2
East Asia and Pacific,Poorest 20%,48.0
East Asia and Pacific,Ratio of richest to poorest,1.9
East Asia and Pacific,Richest 20%,89.0
Eastern and Southern Africa,Rural,28.0
Eastern and Southern Africa,Urban,49.0
Eastern and Southern Africa,Total,37.0
Eastern and Southern Africa,Ratio of urban to rural,1.7
Eastern and Southern Africa,Poorest 20%,23.0
Eastern and Southern Africa,Ratio of richest to poorest,2.2
Eastern and Southern Africa,Richest 20%,50.0
Ecuador,Rural,92.0
Ecuador,Urban,89.0
Ecuador,Total,90.0
Ecuador,Ratio of urban to rural,1.0
Egypt,Rural,99.0
Egypt,Urban,99.0
Egypt,Total,99.0
Egypt,Ratio of urban to rural,1.0
Egypt,Poorest 20%,99.0
Egypt,Ratio of richest to poorest,1.0
Egypt,Richest 20%,100.0
El Salvador,Rural,99.0
El Salvador,Urban,99.0
El Salvador,Total,99.0
El Salvador,Ratio of urban to rural,1.0
El Salvador,Poorest 20%,98.0
El Salvador,Ratio of richest to poorest,1.0
El Salvador,Richest 20%,99.0
Equatorial Guinea,Rural,24.0
Equatorial Guinea,Urban,43.0
Equatorial Guinea,Total,32.0
Equatorial Guinea,Ratio of urban to rural,1.8
Ethiopia,Rural,5.0
Ethiopia,Urban,29.0
Ethiopia,Total,7.0
Ethiopia,Ratio of urban to rural,5.9
Ethiopia,Poorest 20%,3.0
Ethiopia,Ratio of richest to poorest,7.0
Ethiopia,Richest 20%,18.0
Gabon,Rural,87.0
Gabon,Urban,90.0
Gabon,Total,89.0
Gabon,Ratio of urban to rural,1.0
Gabon,Poorest 20%,88.0
Gabon,Ratio of richest to poorest,1.0
Gabon,Richest 20%,92.0
Gambia,Rural,52.0
Gambia,Urban,54.0
Gambia,Total,53.0
Gambia,Ratio of urban to rural,1.0
Gambia,Poorest 20%,46.0
Gambia,Ratio of richest to poorest,1.3
Gambia,Richest 20%,61.0
Georgia,Rural,98.0
Georgia,Urban,99.0
Georgia,Total,99.0
Georgia,Ratio of urban to rural,1.0
Georgia,Poorest 20%,99.0
Georgia,Ratio of richest to poorest,1.0
Georgia,Richest 20%,98.0
Ghana,Rural,55.0
Ghana,Urban,72.0
Ghana,Total,63.0
Ghana,Ratio of urban to rural,1.3
Ghana,Poorest 20%,47.0
Ghana,Ratio of richest to poorest,1.7
Ghana,Richest 20%,82.0
Guatemala,Rural,97.0
Guatemala,Urban,96.0
Guatemala,Total,97.0
Guatemala,Ratio of urban to rural,1.0
Guinea,Rural,33.0
Guinea,Urban,78.0
Guinea,Total,43.0
Guinea,Ratio of urban to rural,2.4
Guinea,Poorest 20%,21.0
Guinea,Ratio of richest to poorest,4.0
Guinea,Richest 20%,83.0
Guinea-Bissau,Rural,21.0
Guinea-Bissau,Urban,30.0
Guinea-Bissau,Total,24.0
Guinea-Bissau,Ratio of urban to rural,1.4
Guinea-Bissau,Poorest 20%,17.0
Guinea-Bissau,Ratio of richest to poorest,2.0
Guinea-Bissau,Richest 20%,35.0
Guyana,Rural,87.0
Guyana,Urban,91.0
Guyana,Total,88.0
Guyana,Ratio of urban to rural,1.0
Guyana,Poorest 20%,84.0
Guyana,Ratio of richest to poorest,1.1
Guyana,Richest 20%,92.0
Haiti,Rural,78.0
Haiti,Urban,87.0
Haiti,Total,81.0
Haiti,Ratio of urban to rural,1.1
Haiti,Poorest 20%,72.0
Haiti,Ratio of richest to poorest,1.3
Haiti,Richest 20%,92.0
Honduras,Rural,93.0
Honduras,Urban,95.0
Honduras,Total,94.0
Honduras,Ratio of urban to rural,1.0
Honduras,Poorest 20%,92.0
Honduras,Ratio of richest to poorest,1.0
Honduras,Richest 20%,96.0
India,Rural,35.0
India,Urban,59.0
India,Total,41.0
India,Ratio of urban to rural,1.7
India,Poorest 20%,24.0
India,Ratio of richest to poorest,3.0
India,Richest 20%,72.0
Indonesia,Rural,41.0
Indonesia,Urban,71.0
Indonesia,Total,53.0
Indonesia,Ratio of urban to rural,1.7
Indonesia,Poorest 20%,23.0
Indonesia,Ratio of richest to poorest,3.7
Indonesia,Richest 20%,84.0
Iraq,Rural,96.0
Iraq,Urban,95.0
Iraq,Total,95.0
Iraq,Ratio of urban to rural,1.0
Jamaica,Total,98.0
Jamaica,Poorest 20%,96.0
Jamaica,Ratio of richest to poorest,1.0
Jamaica,Richest 20%,99.0
Kazakhstan,Rural,100.0
Kazakhstan,Urban,100.0
Kazakhstan,Total,100.0
Kazakhstan,Ratio of urban to rural,1.0
Kazakhstan,Poorest 20%,100.0
Kazakhstan,Ratio of richest to poorest,1.0
Kazakhstan,Richest 20%,100.0
Kenya,Rural,57.0
Kenya,Urban,76.0
Kenya,Total,60.0
Kenya,Ratio of urban to rural,1.3
Kenya,Poorest 20%,48.0
Kenya,Ratio of richest to poorest,1.7
Kenya,Richest 20%,80.0
Kiribati,Rural,93.0
Kiribati,Urban,95.0
Kiribati,Total,94.0
Kiribati,Ratio of urban to rural,1.0
Kiribati,Poorest 20%,93.0
Kiribati,Ratio of richest to poorest,1.0
Kiribati,Richest 20%,94.0
Kyrgyzstan,Rural,93.0
Kyrgyzstan,Urban,96.0
Kyrgyzstan,Total,94.0
Kyrgyzstan,Ratio of urban to rural,1.0
Kyrgyzstan,Poorest 20%,94.0
Kyrgyzstan,Ratio of richest to poorest,1.0
Kyrgyzstan,Richest 20%,95.0
Lao People's Democratic Republic,Rural,68.0
Lao People's Democratic Republic,Urban,84.0
Lao People's Democratic Republic,Total,72.0
Lao People's Democratic Republic,Ratio of urban to rural,1.2
Lao People's Democratic Republic,Poorest 20%,62.0
Lao People's Democratic Republic,Ratio of richest to poorest,1.4
Lao People's Democratic Republic,Richest 20%,85.0
Latin America and Caribbean,Total,93.0
Least Developed Countries/Territories,Rural,31.0
Least Developed Countries/Territories,Urban,50.0
Least Developed Countries/Territories,Total,35.0
Least Developed Countries/Territories,Ratio of urban to rural,1.6
Least Developed Countries/Territories,Poorest 20%,25.0
Least Developed Countries/Territories,Ratio of richest to poorest,2.1
Least Developed Countries/Territories,Richest 20%,52.0
Lebanon,Total,100.0
Lesotho,Rural,46.0
Lesotho,Urban,43.0
Lesotho,Total,45.0
Lesotho,Ratio of urban to rural,1.0
Lesotho,Poorest 20%,42.0
Lesotho,Ratio of richest to poorest,1.2
Lesotho,Richest 20%,49.0
Liberia,Rural,3.0
Liberia,Urban,5.0
Liberia,Total,4.0
Liberia,Ratio of urban to rural,1.9
Liberia,Poorest 20%,1.0
Liberia,Ratio of richest to poorest,6.1
Liberia,Richest 20%,7.0
Madagascar,Rural,78.0
Madagascar,Urban,92.0
Madagascar,Total,80.0
Madagascar,Ratio of urban to rural,1.2
Madagascar,Poorest 20%,61.0
Madagascar,Ratio of richest to poorest,1.5
Madagascar,Richest 20%,93.0
Maldives,Rural,92.0
Maldives,Urban,93.0
Maldives,Total,93.0
Maldives,Ratio of urban to rural,1.0
Maldives,Poorest 20%,92.0
Maldives,Ratio of richest to poorest,1.0
Maldives,Richest 20%,94.0
Mali,Rural,77.0
Mali,Urban,92.0
Mali,Total,81.0
Mali,Ratio of urban to rural,1.2
Mali,Poorest 20%,65.0
Mali,Ratio of richest to poorest,1.5
Mali,Richest 20%,96.0
Marshall Islands,Rural,96.0
Marshall Islands,Urban,96.0
Marshall Islands,Total,96.0
Marshall Islands,Ratio of urban to rural,1.0
Marshall Islands,Poorest 20%,92.0
Marshall Islands,Ratio of richest to poorest,1.1
Marshall Islands,Richest 20%,98.0
Mauritania,Rural,42.0
Mauritania,Urban,75.0
Mauritania,Total,56.0
Mauritania,Ratio of urban to rural,1.8
Mauritania,Poorest 20%,28.0
Mauritania,Ratio of richest to poorest,2.9
Mauritania,Richest 20%,83.0
Middle East and North Africa,Rural,72.0
Middle East and North Africa,Urban,91.0
Middle East and North Africa,Total,81.0
Middle East and North Africa,Ratio of urban to rural,1.3
Mongolia,Rural,99.0
Mongolia,Urban,99.0
Mongolia,Total,99.0
Mongolia,Ratio of urban to rural,1.0
Mongolia,Poorest 20%,99.0
Mongolia,Ratio of richest to poorest,1.0
Mongolia,Richest 20%,99.0
Montenegro,Rural,99.0
Montenegro,Urban,98.0
Montenegro,Total,98.0
Montenegro,Ratio of urban to rural,1.0
Montenegro,Poorest 20%,94.0
Montenegro,Ratio of richest to poorest,1.0
Montenegro,Richest 20%,99.0
Morocco,Rural,80.0
Morocco,Urban,92.0
Morocco,Total,85.0
Morocco,Ratio of urban to rural,1.1
Mozambique,Rural,28.0
Mozambique,Urban,39.0
Mozambique,Total,31.0
Mozambique,Ratio of urban to rural,1.4
Mozambique,Poorest 20%,20.0
Mozambique,Ratio of richest to poorest,2.4
Mozambique,Richest 20%,48.0
Myanmar,Rural,64.0
Myanmar,Urban,94.0
Myanmar,Total,72.0
Myanmar,Ratio of urban to rural,1.5
Myanmar,Poorest 20%,50.0
Myanmar,Ratio of richest to poorest,1.9
Myanmar,Richest 20%,96.0
Namibia,Rural,59.0
Namibia,Urban,83.0
Namibia,Total,67.0
Namibia,Ratio of urban to rural,1.4
Namibia,Poorest 20%,46.0
Namibia,Ratio of richest to poorest,2.0
Namibia,Richest 20%,92.0
Nauru,Total,83.0
Nauru,Poorest 20%,71.0
Nauru,Ratio of richest to poorest,1.2
Nauru,Richest 20%,88.0
Nepal,Rural,42.0
Nepal,Urban,44.0
Nepal,Total,42.0
Nepal,Ratio of urban to rural,1.0
Nepal,Poorest 20%,36.0
Nepal,Ratio of richest to poorest,1.5
Nepal,Richest 20%,52.0
Nicaragua,Rural,77.0
Nicaragua,Urban,87.0
Nicaragua,Total,81.0
Nicaragua,Ratio of urban to rural,1.1
Nicaragua,Poorest 20%,72.0
Nicaragua,Ratio of richest to poorest,1.3
Nicaragua,Richest 20%,93.0
Niger,Rural,25.0
Niger,Urban,71.0
Niger,Total,32.0
Niger,Ratio of urban to rural,2.9
Niger,Poorest 20%,20.0
Niger,Ratio of richest to poorest,3.3
Niger,Richest 20%,67.0
Nigeria,Rural,22.0
Nigeria,Urban,49.0
Nigeria,Total,30.0
Nigeria,Ratio of urban to rural,2.2
Nigeria,Poorest 20%,9.0
Nigeria,Ratio of richest to poorest,7.0
Nigeria,Richest 20%,62.0
Pakistan,Rural,24.0
Pakistan,Urban,32.0
Pakistan,Total,27.0
Pakistan,Ratio of urban to rural,1.3
Pakistan,Poorest 20%,18.0
Pakistan,Ratio of richest to poorest,2.1
Pakistan,Richest 20%,38.0
Peru,Total,93.0
Philippines,Rural,78.0
Philippines,Urban,87.0
Philippines,Total,83.0
Philippines,Ratio of urban to rural,1.1
Republic of Moldova,Rural,98.0
Republic of Moldova,Urban,98.0
Republic of Moldova,Total,98.0
Republic of Moldova,Ratio of urban to rural,1.0
Republic of Moldova,Poorest 20%,97.0
Republic of Moldova,Ratio of richest to poorest,1.0
Republic of Moldova,Richest 20%,98.0
Rwanda,Rural,64.0
Rwanda,Urban,60.0
Rwanda,Total,63.0
Rwanda,Ratio of urban to rural,0.9
Rwanda,Poorest 20%,58.0
Rwanda,Ratio of richest to poorest,1.1
Rwanda,Richest 20%,64.0
Samoa,Rural,44.0
Samoa,Urban,62.0
Samoa,Total,48.0
Samoa,Ratio of urban to rural,1.4
Samoa,Poorest 20%,31.0
Samoa,Ratio of richest to poorest,2.1
Samoa,Richest 20%,63.0
Sao Tome and Principe,Rural,74.0
Sao Tome and Principe,Urban,76.0
Sao Tome and Principe,Total,75.0
Sao Tome and Principe,Ratio of urban to rural,1.0
Sao Tome and Principe,Poorest 20%,74.0
Sao Tome and Principe,Ratio of richest to poorest,1.1
Sao Tome and Principe,Richest 20%,86.0
Senegal,Rural,66.0
Senegal,Urban,89.0
Senegal,Total,75.0
Senegal,Ratio of urban to rural,1.4
Senegal,Poorest 20%,50.0
Senegal,Ratio of richest to poorest,1.9
Senegal,Richest 20%,94.0
Serbia,Rural,99.0
Serbia,Urban,99.0
Serbia,Total,99.0
Serbia,Ratio of urban to rural,1.0
Serbia,Poorest 20%,97.0
Serbia,Ratio of richest to poorest,1.0
Serbia,Richest 20%,100.0
Sierra Leone,Rural,78.0
Sierra Leone,Urban,78.0
Sierra Leone,Total,78.0
Sierra Leone,Ratio of urban to rural,1.0
Sierra Leone,Poorest 20%,74.0
Sierra Leone,Ratio of richest to poorest,1.2
Sierra Leone,Richest 20%,88.0
Somalia,Rural,2.0
Somalia,Urban,6.0
Somalia,Total,3.0
Somalia,Ratio of urban to rural,3.7
Somalia,Poorest 20%,1.0
Somalia,Ratio of richest to poorest,6.6
Somalia,Richest 20%,7.0
South Africa,Total,92.0
South Asia,Rural,32.0
South Asia,Urban,52.0
South Asia,Total,37.0
South Asia,Ratio of urban to rural,1.6
South Asia,Poorest 20%,23.0
South Asia,Ratio of richest to poorest,2.7
South Asia,Richest 20%,63.0
South Sudan,Rural,32.0
South Sudan,Urban,45.0
South Sudan,Total,35.0
South Sudan,Ratio of urban to rural,1.4
South Sudan,Poorest 20%,21.0
South Sudan,Ratio of richest to poorest,2.7
South Sudan,Richest 20%,57.0
Sri Lanka,Rural,98.0
Sri Lanka,Urban,97.0
Sri Lanka,Total,97.0
Sri Lanka,Ratio of urban to rural,1.0
Sri Lanka,Poorest 20%,97.0
Sri Lanka,Ratio of richest to poorest,1.0
Sri Lanka,Richest 20%,98.0
State of Palestine,Rural,96.0
State of Palestine,Urban,97.0
State of Palestine,Total,96.0
State of Palestine,Ratio of urban to rural,1.0
Sub-Saharan Africa,Rural,33.0
Sub-Saharan Africa,Urban,56.0
Sub-Saharan Africa,Total,41.0
Sub-Saharan Africa,Ratio of urban to rural,1.7
Sub-Saharan Africa,Poorest 20%,25.0
Sub-Saharan Africa,Ratio of richest to poorest,2.4
Sub-Saharan Africa,Richest 20%,60.0
Sudan,Rural,50.0
Sudan,Urban,85.0
Sudan,Total,59.0
Sudan,Ratio of urban to rural,1.7
Sudan,Poorest 20%,26.0
Sudan,Ratio of richest to poorest,3.8
Sudan,Richest 20%,98.0
Suriname,Rural,95.0
Suriname,Urban,98.0
Suriname,Total,97.0
Suriname,Ratio of urban to rural,1.0
Suriname,Poorest 20%,94.0
Suriname,Ratio of richest to poorest,1.0
Suriname,Richest 20%,98.0
Swaziland,Rural,47.0
Swaziland,Urban,62.0
Swaziland,Total,50.0
Swaziland,Ratio of urban to rural,1.3
Swaziland,Poorest 20%,39.0
Swaziland,Ratio of richest to poorest,1.9
Swaziland,Richest 20%,73.0
Syrian Arab Republic,Rural,95.0
Syrian Arab Republic,Urban,96.0
Syrian Arab Republic,Total,95.0
Syrian Arab Republic,Ratio of urban to rural,1.0
Syrian Arab Republic,Poorest 20%,92.0
Syrian Arab Republic,Ratio of richest to poorest,1.1
Syrian Arab Republic,Richest 20%,99.0
Tajikistan,Rural,90.0
Tajikistan,Urban,85.0
Tajikistan,Total,88.0
Tajikistan,Ratio of urban to rural,0.9
Tajikistan,Poorest 20%,89.0
Tajikistan,Ratio of richest to poorest,1.0
Tajikistan,Richest 20%,86.0
Thailand,Rural,99.0
Thailand,Urban,100.0
Thailand,Total,99.0
Thailand,Ratio of urban to rural,1.0
Thailand,Poorest 20%,99.0
Thailand,Ratio of richest to poorest,1.0
Thailand,Richest 20%,100.0
The former Yugoslav Republic of Macedonia,Rural,100.0
The former Yugoslav Republic of Macedonia,Urban,100.0
The former Yugoslav Republic of Macedonia,Total,100.0
The former Yugoslav Republic of Macedonia,Ratio of urban to rural,1.0
The former Yugoslav Republic of Macedonia,Poorest 20%,99.0
The former Yugoslav Republic of Macedonia,Ratio of richest to poorest,1.0
The former Yugoslav Republic of Macedonia,Richest 20%,100.0
Timor-Leste,Rural,57.0
Timor-Leste,Urban,50.0
Timor-Leste,Total,55.0
Timor-Leste,Ratio of urban to rural,0.9
Timor-Leste,Poorest 20%,50.0
Timor-Leste,Ratio of richest to poorest,1.1
Timor-Leste,Richest 20%,56.0
Togo,Rural,71.0
Togo,Urban,93.0
Togo,Total,78.0
Togo,Ratio of urban to rural,1.3
Togo,Poorest 20%,59.0
Togo,Ratio of richest to poorest,1.7
Togo,Richest 20%,97.0
Trinidad and Tobago,Total,96.0
Trinidad and Tobago,Poorest 20%,94.0
Trinidad and Tobago,Ratio of richest to poorest,1.0
Trinidad and Tobago,Richest 20%,98.0
Turkey,Rural,92.0
Turkey,Urban,95.0
Turkey,Total,94.0
Turkey,Ratio of urban to rural,1.0
Turkey,Poorest 20%,89.0
Turkey,Ratio of richest to poorest,1.1
Turkey,Richest 20%,99.0
Turkmenistan,Rural,95.0
Turkmenistan,Urban,96.0
Turkmenistan,Total,96.0
Turkmenistan,Ratio of urban to rural,1.0
Turkmenistan,Poorest 20%,94.0
Turkmenistan,Ratio of richest to poorest,1.0
Turkmenistan,Richest 20%,97.0
Tuvalu,Rural,38.0
Tuvalu,Urban,60.0
Tuvalu,Total,50.0
Tuvalu,Ratio of urban to rural,1.6
Tuvalu,Poorest 20%,39.0
Tuvalu,Ratio of richest to poorest,1.8
Tuvalu,Richest 20%,71.0
Uganda,Rural,29.0
Uganda,Urban,38.0
Uganda,Total,30.0
Uganda,Ratio of urban to rural,1.3
Uganda,Poorest 20%,27.0
Uganda,Ratio of richest to poorest,1.6
Uganda,Richest 20%,44.0
Ukraine,Rural,100.0
Ukraine,Urban,100.0
Ukraine,Total,100.0
Ukraine,Ratio of urban to rural,1.0
Ukraine,Poorest 20%,100.0
Ukraine,Ratio of richest to poorest,1.0
Ukraine,Richest 20%,100.0
United Republic of Tanzania,Rural,10.0
United Republic of Tanzania,Urban,44.0
United Republic of Tanzania,Total,16.0
United Republic of Tanzania,Ratio of urban to rural,4.6
United Republic of Tanzania,Poorest 20%,4.0
United Republic of Tanzania,Ratio of richest to poorest,12.7
United Republic of Tanzania,Richest 20%,56.0
Uzbekistan,Rural,100.0
Uzbekistan,Urban,100.0
Uzbekistan,Total,100.0
Uzbekistan,Ratio of urban to rural,1.0
Uzbekistan,Poorest 20%,100.0
Uzbekistan,Ratio of richest to poorest,1.0
Uzbekistan,Richest 20%,100.0
Vanuatu,Rural,23.0
Vanuatu,Urban,39.0
Vanuatu,Total,26.0
Vanuatu,Ratio of urban to rural,1.7
Vanuatu,Poorest 20%,13.0
Vanuatu,Ratio of richest to poorest,3.1
Vanuatu,Richest 20%,41.0
Venezuela (Bolivarian Republic of),Total,92.0
Venezuela (Bolivarian Republic of),Poorest 20%,87.0
Venezuela (Bolivarian Republic of),Ratio of richest to poorest,1.1
Venezuela (Bolivarian Republic of),Richest 20%,95.0
Viet Nam,Rural,94.0
Viet Nam,Urban,97.0
Viet Nam,Total,95.0
Viet Nam,Ratio of urban to rural,1.0
Viet Nam,Poorest 20%,87.0
Viet Nam,Ratio of richest to poorest,1.1
Viet Nam,Richest 20%,98.0
Western and Central Africa,Rural,36.0
Western and Central Africa,Urban,57.0
Western and Central Africa,Total,42.0
Western and Central Africa,Ratio of urban to rural,1.6
Western and Central Africa,Poorest 20%,26.0
Western and Central Africa,Ratio of richest to poorest,2.5
Western and Central Africa,Richest 20%,65.0
World,Rural,41.0
World,Urban,65.0
World,Total,51.0
World,Ratio of urban to rural,1.6
World,Poorest 20%,32.0
World,Ratio of richest to poorest,2.1
World,Richest 20%,68.0
Yemen,Rural,16.0
Yemen,Urban,38.0
Yemen,Total,22.0
Yemen,Ratio of urban to rural,2.3
Yemen,Poorest 20%,5.0
Yemen,Ratio of richest to poorest,9.3
Yemen,Richest 20%,50.0
Zambia,Rural,9.0
Zambia,Urban,28.0
Zambia,Total,14.0
Zambia,Ratio of urban to rural,3.2
Zambia,Poorest 20%,5.0
Zambia,Ratio of richest to poorest,5.8
Zambia,Richest 20%,31.0
Zimbabwe,Rural,43.0
Zimbabwe,Urban,65.0
Zimbabwe,Total,49.0
Zimbabwe,Ratio of urban to rural,1.5
Zimbabwe,Poorest 20%,35.0
Zimbabwe,Ratio of richest to poorest,2.1
Zimbabwe,Richest 20%,75.0
