Country or Area,Subgroup,Children left in inadequate care
Serbia,Female,1.0
Serbia,Male,1.0
Serbia,Poorest 20%,2.0
Serbia,Richest 20%,1.0
Sierra Leone,Total,32.0
Sierra Leone,Female,32.0
Sierra Leone,Male,33.0
Sierra Leone,Poorest 20%,29.0
Sierra Leone,Richest 20%,28.0
Suriname,Total,7.0
Suriname,Female,8.0
Suriname,Male,6.0
Suriname,Poorest 20%,13.0
Suriname,Richest 20%,1.0
Swaziland,Total,15.0
Swaziland,Female,15.0
Swaziland,Male,15.0
Swaziland,Poorest 20%,20.0
Swaziland,Richest 20%,9.0
Syrian Arab Republic,Total,17.0
Syrian Arab Republic,Female,17.0
Syrian Arab Republic,Male,17.0
Syrian Arab Republic,Poorest 20%,22.0
Syrian Arab Republic,Richest 20%,15.0
Tajikistan,Total,13.0
Tajikistan,Female,12.0
Tajikistan,Male,13.0
Tajikistan,Poorest 20%,15.0
Tajikistan,Richest 20%,11.0
Thailand,Total,13.0
Thailand,Female,13.0
Thailand,Male,14.0
Thailand,Poorest 20%,18.0
Thailand,Richest 20%,7.0
The former Yugoslav Republic of Macedonia,Total,5.0
The former Yugoslav Republic of Macedonia,Female,5.0
The former Yugoslav Republic of Macedonia,Male,5.0
The former Yugoslav Republic of Macedonia,Poorest 20%,10.0
The former Yugoslav Republic of Macedonia,Richest 20%,1.0
Togo,Total,41.0
Togo,Female,41.0
Togo,Male,42.0
Togo,Poorest 20%,45.0
Togo,Richest 20%,35.0
Trinidad and Tobago,Total,1.0
Trinidad and Tobago,Female,1.0
Trinidad and Tobago,Male,1.0
Trinidad and Tobago,Poorest 20%,2.0
Trinidad and Tobago,Richest 20%,0.0
Ukraine,Total,10.0
Ukraine,Female,10.0
Ukraine,Male,11.0
Ukraine,Poorest 20%,15.0
Ukraine,Richest 20%,4.0
Uzbekistan,Total,5.0
Uzbekistan,Female,5.0
Uzbekistan,Male,5.0
Uzbekistan,Poorest 20%,6.0
Uzbekistan,Richest 20%,7.0
Viet Nam,Total,9.0
Viet Nam,Female,9.0
Viet Nam,Male,10.0
Viet Nam,Poorest 20%,17.0
Viet Nam,Richest 20%,4.0
Western and Central Africa,Total,43.0
Western and Central Africa,Female,43.0
Western and Central Africa,Male,43.0
Western and Central Africa,Poorest 20%,47.0
Western and Central Africa,Richest 20%,34.0
Yemen,Total,34.0
Yemen,Female,33.0
Yemen,Male,36.0
Yemen,Poorest 20%,46.0
Yemen,Richest 20%,22.0
