Country or Area,Subgroup,Unit,Population size
Belarus,Total 10-19 yr,Percent,11.0
Belgium,Total <18 yr,Thousand,2182.0
Belgium,Total <5 yr,Thousand,619.0
Belgium,Total,Thousand,10754.0
Belgium,Total 10-19 yr,Thousand,1207.0
Belgium,Total 10-19 yr,Percent,11.0
Belize,Total <18 yr,Thousand,131.0
Belize,Total <5 yr,Thousand,37.0
Belize,Total,Thousand,318.0
Belize,Total 10-19 yr,Thousand,73.0
Belize,Total 10-19 yr,Percent,23.0
Benin,Total <18 yr,Thousand,4568.0
Benin,Total <5 yr,Thousand,1546.0
Benin,Total,Thousand,9100.0
Benin,Total 10-19 yr,Thousand,2094.0
Benin,Total 10-19 yr,Percent,23.0
Bhutan,Total <18 yr,Thousand,258.0
Bhutan,Total <5 yr,Thousand,70.0
Bhutan,Total,Thousand,738.0
Bhutan,Total 10-19 yr,Thousand,148.0
Bhutan,Total 10-19 yr,Percent,20.0
Bolivia (Plurinational State of),Total <18 yr,Thousand,4254.0
Bolivia (Plurinational State of),Total <5 yr,Thousand,1230.0
Bolivia (Plurinational State of),Total,Thousand,10088.0
Bolivia (Plurinational State of),Total 10-19 yr,Thousand,2232.0
Bolivia (Plurinational State of),Total 10-19 yr,Percent,22.0
Bosnia and Herzegovina,Total <18 yr,Thousand,686.0
Bosnia and Herzegovina,Total <5 yr,Thousand,167.0
Bosnia and Herzegovina,Total,Thousand,3752.0
Bosnia and Herzegovina,Total 10-19 yr,Thousand,434.0
Bosnia and Herzegovina,Total 10-19 yr,Percent,12.0
Botswana,Total <18 yr,Thousand,788.0
Botswana,Total <5 yr,Thousand,229.0
Botswana,Total,Thousand,2031.0
Botswana,Total 10-19 yr,Thousand,434.0
Botswana,Total 10-19 yr,Percent,21.0
Brazil,Total <18 yr,Thousand,59010.0
Brazil,Total <5 yr,Thousand,14662.0
Brazil,Total,Thousand,196655.0
Brazil,Total 10-19 yr,Thousand,33906.0
Brazil,Total 10-19 yr,Percent,17.0
Brunei Darussalam,Total <18 yr,Thousand,124.0
Brunei Darussalam,Total <5 yr,Thousand,37.0
Brunei Darussalam,Total,Thousand,406.0
Brunei Darussalam,Total 10-19 yr,Thousand,65.0
Brunei Darussalam,Total 10-19 yr,Percent,16.0
Bulgaria,Total <18 yr,Thousand,1249.0
Bulgaria,Total <5 yr,Thousand,378.0
Bulgaria,Total,Thousand,7446.0
Bulgaria,Total 10-19 yr,Thousand,696.0
Bulgaria,Total 10-19 yr,Percent,9.0
Burkina Faso,Total <18 yr,Thousand,8824.0
Burkina Faso,Total <5 yr,Thousand,3047.0
Burkina Faso,Total,Thousand,16968.0
Burkina Faso,Total 10-19 yr,Thousand,3978.0
Burkina Faso,Total 10-19 yr,Percent,23.0
Burundi,Total <18 yr,Thousand,3813.0
Burundi,Total <5 yr,Thousand,1221.0
Burundi,Total,Thousand,8575.0
Burundi,Total 10-19 yr,Thousand,1946.0
Burundi,Total 10-19 yr,Percent,23.0
Cambodia,Total <18 yr,Thousand,5480.0
Cambodia,Total <5 yr,Thousand,1505.0
Cambodia,Total,Thousand,14305.0
Cambodia,Total 10-19 yr,Thousand,3222.0
Cambodia,Total 10-19 yr,Percent,23.0
Cameroon,Total <18 yr,Thousand,9420.0
Cameroon,Total <5 yr,Thousand,3102.0
Cameroon,Total,Thousand,20030.0
Cameroon,Total 10-19 yr,Thousand,4481.0
Cameroon,Total 10-19 yr,Percent,22.0
Canada,Total <18 yr,Thousand,6926.0
Canada,Total <5 yr,Thousand,1936.0
Canada,Total,Thousand,34350.0
Canada,Total 10-19 yr,Thousand,4137.0
Canada,Total 10-19 yr,Percent,12.0
Cape Verde,Total <18 yr,Thousand,190.0
Cape Verde,Total <5 yr,Thousand,50.0
Cape Verde,Total,Thousand,501.0
Cape Verde,Total 10-19 yr,Thousand,113.0
Cape Verde,Total 10-19 yr,Percent,23.0
CEE/CIS,Total <18 yr,Thousand,95460.0
CEE/CIS,Total <5 yr,Thousand,28590.0
CEE/CIS,Total,Thousand,405743.0
CEE/CIS,Total 10-19 yr,Thousand,53462.0
CEE/CIS,Total 10-19 yr,Percent,13.0
Central African Republic,Total <18 yr,Thousand,2098.0
Central African Republic,Total <5 yr,Thousand,658.0
Central African Republic,Total,Thousand,4487.0
Central African Republic,Total 10-19 yr,Thousand,1030.0
Central African Republic,Total 10-19 yr,Percent,23.0
Chad,Total <18 yr,Thousand,5992.0
Chad,Total <5 yr,Thousand,2047.0
Chad,Total,Thousand,11525.0
Chad,Total 10-19 yr,Thousand,2690.0
Chad,Total 10-19 yr,Percent,23.0
Chile,Total <18 yr,Thousand,4615.0
Chile,Total <5 yr,Thousand,1222.0
Chile,Total,Thousand,17270.0
Chile,Total 10-19 yr,Thousand,2769.0
Chile,Total 10-19 yr,Percent,16.0
China,Total <18 yr,Thousand,317892.0
China,Total <5 yr,Thousand,82205.0
China,Total,Thousand,1347565.0
China,Total 10-19 yr,Thousand,195432.0
China,Total 10-19 yr,Percent,15.0
Colombia,Total <18 yr,Thousand,15951.0
Colombia,Total <5 yr,Thousand,4509.0
Colombia,Total,Thousand,46927.0
Colombia,Total 10-19 yr,Thousand,8759.0
Colombia,Total 10-19 yr,Percent,19.0
Comoros,Total <18 yr,Thousand,366.0
Comoros,Total <5 yr,Thousand,124.0
Comoros,Total,Thousand,754.0
Comoros,Total 10-19 yr,Thousand,161.0
Comoros,Total 10-19 yr,Percent,21.0
Congo,Total <18 yr,Thousand,1940.0
Congo,Total <5 yr,Thousand,637.0
Congo,Total,Thousand,4140.0
Congo,Total 10-19 yr,Thousand,909.0
Congo,Total 10-19 yr,Percent,22.0
Cook Islands,Total <18 yr,Thousand,8.0
Cook Islands,Total <5 yr,Thousand,2.0
Cook Islands,Total,Thousand,20.0
Costa Rica,Total <18 yr,Thousand,1405.0
Costa Rica,Total <5 yr,Thousand,359.0
Costa Rica,Total,Thousand,4727.0
Costa Rica,Total 10-19 yr,Thousand,832.0
Costa Rica,Total 10-19 yr,Percent,18.0
Côte d'Ivoire,Total <18 yr,Thousand,9539.0
Côte d'Ivoire,Total <5 yr,Thousand,2992.0
Côte d'Ivoire,Total,Thousand,20153.0
Côte d'Ivoire,Total 10-19 yr,Thousand,4653.0
Côte d'Ivoire,Total 10-19 yr,Percent,23.0
Croatia,Total <18 yr,Thousand,806.0
Croatia,Total <5 yr,Thousand,215.0
Croatia,Total,Thousand,4396.0
Croatia,Total 10-19 yr,Thousand,490.0
Croatia,Total 10-19 yr,Percent,11.0
Cuba,Total <18 yr,Thousand,2343.0
Cuba,Total <5 yr,Thousand,543.0
Cuba,Total,Thousand,11254.0
Cuba,Total 10-19 yr,Thousand,1454.0
Cuba,Total 10-19 yr,Percent,13.0
Cyprus,Total <18 yr,Thousand,244.0
Cyprus,Total <5 yr,Thousand,65.0
Cyprus,Total,Thousand,1117.0
Cyprus,Total 10-19 yr,Thousand,153.0
Cyprus,Total 10-19 yr,Percent,14.0
Czech Republic,Total <18 yr,Thousand,1836.0
Czech Republic,Total <5 yr,Thousand,567.0
Czech Republic,Total,Thousand,10534.0
Czech Republic,Total 10-19 yr,Thousand,1069.0
Czech Republic,Total 10-19 yr,Percent,10.0
Democratic People's Republic of Korea,Total <18 yr,Thousand,6757.0
Democratic People's Republic of Korea,Total <5 yr,Thousand,1706.0
Democratic People's Republic of Korea,Total,Thousand,24451.0
Democratic People's Republic of Korea,Total 10-19 yr,Thousand,4103.0
Democratic People's Republic of Korea,Total 10-19 yr,Percent,17.0
Democratic Republic of the Congo,Total <18 yr,Thousand,35852.0
Democratic Republic of the Congo,Total <5 yr,Thousand,12037.0
Democratic Republic of the Congo,Total,Thousand,67758.0
Democratic Republic of the Congo,Total 10-19 yr,Thousand,16323.0
Democratic Republic of the Congo,Total 10-19 yr,Percent,24.0
Denmark,Total <18 yr,Thousand,1212.0
Denmark,Total <5 yr,Thousand,327.0
Denmark,Total,Thousand,5573.0
Denmark,Total 10-19 yr,Thousand,701.0
Denmark,Total 10-19 yr,Percent,13.0
Djibouti,Total <18 yr,Thousand,382.0
Djibouti,Total <5 yr,Thousand,115.0
Djibouti,Total,Thousand,906.0
Djibouti,Total 10-19 yr,Thousand,202.0
Djibouti,Total 10-19 yr,Percent,22.0
Dominica,Total <18 yr,Thousand,21.0
Dominica,Total <5 yr,Thousand,6.0
Dominica,Total,Thousand,68.0
Dominican Republic,Total <18 yr,Thousand,3672.0
Dominican Republic,Total <5 yr,Thousand,1051.0
Dominican Republic,Total,Thousand,10056.0
Dominican Republic,Total 10-19 yr,Thousand,1967.0
Dominican Republic,Total 10-19 yr,Percent,20.0
East Asia and Pacific,Total <18 yr,Thousand,533810.0
East Asia and Pacific,Total <5 yr,Thousand,141248.0
East Asia and Pacific,Total,Thousand,2032532.0
East Asia and Pacific,Total 10-19 yr,Thousand,317250.0
East Asia and Pacific,Total 10-19 yr,Percent,16.0
Eastern and Southern Africa,Total <18 yr,Thousand,196675.0
Eastern and Southern Africa,Total <5 yr,Thousand,63188.0
Eastern and Southern Africa,Total,Thousand,418709.0
Eastern and Southern Africa,Total 10-19 yr,Thousand,94195.0
Eastern and Southern Africa,Total 10-19 yr,Percent,22.0
Ecuador,Total <18 yr,Thousand,5234.0
Ecuador,Total <5 yr,Thousand,1469.0
Ecuador,Total,Thousand,14666.0
Ecuador,Total 10-19 yr,Thousand,2843.0
Ecuador,Total 10-19 yr,Percent,19.0
Egypt,Total <18 yr,Thousand,30537.0
Egypt,Total <5 yr,Thousand,9092.0
Egypt,Total,Thousand,82537.0
Egypt,Total 10-19 yr,Thousand,15964.0
Egypt,Total 10-19 yr,Percent,19.0
El Salvador,Total <18 yr,Thousand,2394.0
El Salvador,Total <5 yr,Thousand,631.0
El Salvador,Total,Thousand,6227.0
El Salvador,Total 10-19 yr,Thousand,1440.0
El Salvador,Total 10-19 yr,Percent,23.0
Equatorial Guinea,Total <18 yr,Thousand,327.0
Equatorial Guinea,Total <5 yr,Thousand,111.0
Equatorial Guinea,Total,Thousand,720.0
Equatorial Guinea,Total 10-19 yr,Thousand,154.0
Equatorial Guinea,Total 10-19 yr,Percent,21.0
Eritrea,Total <18 yr,Thousand,2588.0
Eritrea,Total <5 yr,Thousand,879.0
Eritrea,Total,Thousand,5415.0
Eritrea,Total 10-19 yr,Thousand,1171.0
Eritrea,Total 10-19 yr,Percent,22.0
Estonia,Total <18 yr,Thousand,250.0
Estonia,Total <5 yr,Thousand,80.0
Estonia,Total,Thousand,1341.0
Estonia,Total 10-19 yr,Thousand,133.0
Estonia,Total 10-19 yr,Percent,10.0
Ethiopia,Total <18 yr,Thousand,40698.0
Ethiopia,Total <5 yr,Thousand,11915.0
Ethiopia,Total,Thousand,84734.0
Ethiopia,Total 10-19 yr,Thousand,20948.0
Ethiopia,Total 10-19 yr,Percent,25.0
Fiji,Total <18 yr,Thousand,300.0
Fiji,Total <5 yr,Thousand,91.0
Fiji,Total,Thousand,868.0
Fiji,Total 10-19 yr,Thousand,159.0
Fiji,Total 10-19 yr,Percent,18.0
Finland,Total <18 yr,Thousand,1084.0
Finland,Total <5 yr,Thousand,303.0
Finland,Total,Thousand,5385.0
Finland,Total 10-19 yr,Thousand,627.0
Finland,Total 10-19 yr,Percent,12.0
France,Total <18 yr,Thousand,13837.0
France,Total <5 yr,Thousand,3985.0
France,Total,Thousand,63126.0
France,Total 10-19 yr,Thousand,7482.0
France,Total 10-19 yr,Percent,12.0
Gabon,Total <18 yr,Thousand,642.0
Gabon,Total <5 yr,Thousand,188.0
Gabon,Total,Thousand,1534.0
Gabon,Total 10-19 yr,Thousand,346.0
Gabon,Total 10-19 yr,Percent,23.0
Gambia,Total <18 yr,Thousand,897.0
Gambia,Total <5 yr,Thousand,292.0
Gambia,Total,Thousand,1776.0
Gambia,Total 10-19 yr,Thousand,421.0
Gambia,Total 10-19 yr,Percent,24.0
Georgia,Total <18 yr,Thousand,892.0
Georgia,Total <5 yr,Thousand,258.0
Georgia,Total,Thousand,4329.0
Georgia,Total 10-19 yr,Thousand,541.0
Georgia,Total 10-19 yr,Percent,13.0
Germany,Total <18 yr,Thousand,13437.0
Germany,Total <5 yr,Thousand,3504.0
Germany,Total,Thousand,82163.0
Germany,Total 10-19 yr,Thousand,8059.0
Germany,Total 10-19 yr,Percent,10.0
Ghana,Total <18 yr,Thousand,11174.0
Ghana,Total <5 yr,Thousand,3591.0
Ghana,Total,Thousand,24966.0
Ghana,Total 10-19 yr,Thousand,5412.0
Ghana,Total 10-19 yr,Percent,22.0
Greece,Total <18 yr,Thousand,2001.0
Greece,Total <5 yr,Thousand,600.0
Greece,Total,Thousand,11390.0
Greece,Total 10-19 yr,Thousand,1087.0
Greece,Total 10-19 yr,Percent,10.0
Grenada,Total <18 yr,Thousand,35.0
Grenada,Total <5 yr,Thousand,10.0
Grenada,Total,Thousand,105.0
Grenada,Total 10-19 yr,Thousand,20.0
Grenada,Total 10-19 yr,Percent,20.0
Guatemala,Total <18 yr,Thousand,7072.0
Guatemala,Total <5 yr,Thousand,2192.0
Guatemala,Total,Thousand,14757.0
Guatemala,Total 10-19 yr,Thousand,3467.0
Guatemala,Total 10-19 yr,Percent,23.0
Guinea,Total <18 yr,Thousand,5045.0
Guinea,Total <5 yr,Thousand,1691.0
Guinea,Total,Thousand,10222.0
Guinea,Total 10-19 yr,Thousand,2334.0
Guinea,Total 10-19 yr,Percent,23.0
Guinea-Bissau,Total <18 yr,Thousand,739.0
Guinea-Bissau,Total <5 yr,Thousand,244.0
Guinea-Bissau,Total,Thousand,1547.0
Guinea-Bissau,Total 10-19 yr,Thousand,349.0
Guinea-Bissau,Total 10-19 yr,Percent,23.0
Guyana,Total <18 yr,Thousand,297.0
Guyana,Total <5 yr,Thousand,60.0
Guyana,Total,Thousand,756.0
Guyana,Total 10-19 yr,Thousand,181.0
Guyana,Total 10-19 yr,Percent,24.0
Haiti,Total <18 yr,Thousand,4271.0
Haiti,Total <5 yr,Thousand,1245.0
Haiti,Total,Thousand,10124.0
Haiti,Total 10-19 yr,Thousand,2270.0
Haiti,Total 10-19 yr,Percent,22.0
Holy See,Total <18 yr,Thousand,0.0
Holy See,Total <5 yr,Thousand,0.0
Holy See,Total,Thousand,0.0
Honduras,Total <18 yr,Thousand,3338.0
Honduras,Total <5 yr,Thousand,975.0
Honduras,Total,Thousand,7755.0
Honduras,Total 10-19 yr,Thousand,1777.0
Honduras,Total 10-19 yr,Percent,23.0
Hungary,Total <18 yr,Thousand,1800.0
Hungary,Total <5 yr,Thousand,493.0
Hungary,Total,Thousand,9966.0
Hungary,Total 10-19 yr,Thousand,1072.0
Hungary,Total 10-19 yr,Percent,11.0
Iceland,Total <18 yr,Thousand,81.0
Iceland,Total <5 yr,Thousand,24.0
Iceland,Total,Thousand,324.0
Iceland,Total 10-19 yr,Thousand,45.0
Iceland,Total 10-19 yr,Percent,14.0
India,Total <18 yr,Thousand,448336.0
India,Total <5 yr,Thousand,128542.0
India,Total,Thousand,1241492.0
India,Total 10-19 yr,Thousand,243492.0
India,Total 10-19 yr,Percent,20.0
Indonesia,Total <18 yr,Thousand,77471.0
Indonesia,Total <5 yr,Thousand,21210.0
Indonesia,Total,Thousand,242326.0
Indonesia,Total 10-19 yr,Thousand,42771.0
Indonesia,Total 10-19 yr,Percent,18.0
Iran (Islamic Republic of),Total <18 yr,Thousand,20819.0
Iran (Islamic Republic of),Total <5 yr,Thousand,6269.0
Iran (Islamic Republic of),Total,Thousand,74799.0
Iran (Islamic Republic of),Total 10-19 yr,Thousand,12015.0
Iran (Islamic Republic of),Total 10-19 yr,Percent,16.0
Iraq,Total <18 yr,Thousand,16146.0
Iraq,Total <5 yr,Thousand,5294.0
Iraq,Total,Thousand,32665.0
Iraq,Total 10-19 yr,Thousand,7490.0
Iraq,Total 10-19 yr,Percent,23.0
Ireland,Total <18 yr,Thousand,1137.0
Ireland,Total <5 yr,Thousand,370.0
Ireland,Total,Thousand,4526.0
Ireland,Total 10-19 yr,Thousand,567.0
Ireland,Total 10-19 yr,Percent,13.0
Israel,Total <18 yr,Thousand,2417.0
Israel,Total <5 yr,Thousand,754.0
Israel,Total,Thousand,7562.0
Israel,Total 10-19 yr,Thousand,1206.0
Israel,Total 10-19 yr,Percent,16.0
Italy,Total <18 yr,Thousand,10308.0
Italy,Total <5 yr,Thousand,2910.0
Italy,Total,Thousand,60789.0
Italy,Total 10-19 yr,Thousand,5742.0
Italy,Total 10-19 yr,Percent,9.0
Jamaica,Total <18 yr,Thousand,956.0
Jamaica,Total <5 yr,Thousand,254.0
Jamaica,Total,Thousand,2751.0
Jamaica,Total 10-19 yr,Thousand,562.0
Jamaica,Total 10-19 yr,Percent,21.0
Japan,Total <18 yr,Thousand,20375.0
Japan,Total <5 yr,Thousand,5418.0
Japan,Total,Thousand,126497.0
Japan,Total 10-19 yr,Thousand,11799.0
Japan,Total 10-19 yr,Percent,9.0
Jordan,Total <18 yr,Thousand,2747.0
Jordan,Total <5 yr,Thousand,817.0
Jordan,Total,Thousand,6330.0
Jordan,Total 10-19 yr,Thousand,1418.0
Jordan,Total 10-19 yr,Percent,23.0
Kazakhstan,Total <18 yr,Thousand,4800.0
Kazakhstan,Total <5 yr,Thousand,1726.0
Kazakhstan,Total,Thousand,16207.0
Kazakhstan,Total 10-19 yr,Thousand,2402.0
Kazakhstan,Total 10-19 yr,Percent,15.0
Kenya,Total <18 yr,Thousand,20317.0
Kenya,Total <5 yr,Thousand,6805.0
Kenya,Total,Thousand,41610.0
Kenya,Total 10-19 yr,Thousand,9322.0
Kenya,Total 10-19 yr,Percent,22.0
Kiribati,Total <18 yr,Thousand,36.0
Kiribati,Total <5 yr,Thousand,10.0
Kiribati,Total,Thousand,101.0
Kuwait,Total <18 yr,Thousand,863.0
Kuwait,Total <5 yr,Thousand,282.0
Kuwait,Total,Thousand,2818.0
Kuwait,Total 10-19 yr,Thousand,394.0
Kuwait,Total 10-19 yr,Percent,14.0
Kyrgyzstan,Total <18 yr,Thousand,1957.0
Kyrgyzstan,Total <5 yr,Thousand,624.0
Kyrgyzstan,Total,Thousand,5393.0
Kyrgyzstan,Total 10-19 yr,Thousand,1082.0
Kyrgyzstan,Total 10-19 yr,Percent,20.0
Lao People's Democratic Republic,Total <18 yr,Thousand,2581.0
Lao People's Democratic Republic,Total <5 yr,Thousand,682.0
Lao People's Democratic Republic,Total,Thousand,6288.0
Lao People's Democratic Republic,Total 10-19 yr,Thousand,1509.0
Lao People's Democratic Republic,Total 10-19 yr,Percent,24.0
Latin America and Caribbean,Total <18 yr,Thousand,195081.0
Latin America and Caribbean,Total <5 yr,Thousand,52898.0
Latin America and Caribbean,Total,Thousand,591212.0
Latin America and Caribbean,Total 10-19 yr,Thousand,108552.0
Latin America and Caribbean,Total 10-19 yr,Percent,18.0
Latvia,Total <18 yr,Thousand,382.0
Latvia,Total <5 yr,Thousand,117.0
Latvia,Total,Thousand,2243.0
Latvia,Total 10-19 yr,Thousand,216.0
Latvia,Total 10-19 yr,Percent,10.0
Least Developed Countries/Territories,Total <18 yr,Thousand,395405.0
Least Developed Countries/Territories,Total <5 yr,Thousand,124162.0
Least Developed Countries/Territories,Total,Thousand,851103.0
Least Developed Countries/Territories,Total 10-19 yr,Thousand,193984.0
Least Developed Countries/Territories,Total 10-19 yr,Percent,23.0
Lebanon,Total <18 yr,Thousand,1271.0
Lebanon,Total <5 yr,Thousand,328.0
Lebanon,Total,Thousand,4259.0
Lebanon,Total 10-19 yr,Thousand,772.0
Lebanon,Total 10-19 yr,Percent,18.0
Lesotho,Total <18 yr,Thousand,970.0
Lesotho,Total <5 yr,Thousand,276.0
Lesotho,Total,Thousand,2194.0
Lesotho,Total 10-19 yr,Thousand,531.0
Lesotho,Total 10-19 yr,Percent,24.0
Liberia,Total <18 yr,Thousand,2057.0
Liberia,Total <5 yr,Thousand,700.0
Liberia,Total,Thousand,4129.0
Liberia,Total 10-19 yr,Thousand,921.0
Liberia,Total 10-19 yr,Percent,22.0
Libya,Total <18 yr,Thousand,2293.0
Libya,Total <5 yr,Thousand,717.0
Libya,Total,Thousand,6423.0
Libya,Total 10-19 yr,Thousand,1117.0
Libya,Total 10-19 yr,Percent,17.0
Liechtenstein,Total <18 yr,Thousand,7.0
Liechtenstein,Total <5 yr,Thousand,2.0
Liechtenstein,Total,Thousand,36.0
Lithuania,Total <18 yr,Thousand,616.0
Lithuania,Total <5 yr,Thousand,173.0
Lithuania,Total,Thousand,3307.0
Lithuania,Total 10-19 yr,Thousand,391.0
Lithuania,Total 10-19 yr,Percent,12.0
Luxembourg,Total <18 yr,Thousand,110.0
Luxembourg,Total <5 yr,Thousand,29.0
Luxembourg,Total,Thousand,516.0
Luxembourg,Total 10-19 yr,Thousand,63.0
Luxembourg,Total 10-19 yr,Percent,12.0
Madagascar,Total <18 yr,Thousand,10570.0
Madagascar,Total <5 yr,Thousand,3378.0
Madagascar,Total,Thousand,21315.0
Madagascar,Total 10-19 yr,Thousand,5060.0
Madagascar,Total 10-19 yr,Percent,24.0
Malawi,Total <18 yr,Thousand,8116.0
Malawi,Total <5 yr,Thousand,2829.0
Malawi,Total,Thousand,15381.0
Malawi,Total 10-19 yr,Thousand,3673.0
Malawi,Total 10-19 yr,Percent,24.0
Malaysia,Total <18 yr,Thousand,10244.0
Malaysia,Total <5 yr,Thousand,2796.0
Malaysia,Total,Thousand,28859.0
Malaysia,Total 10-19 yr,Thousand,5537.0
Malaysia,Total 10-19 yr,Percent,19.0
Maldives,Total <18 yr,Thousand,104.0
Maldives,Total <5 yr,Thousand,26.0
Maldives,Total,Thousand,320.0
Maldives,Total 10-19 yr,Thousand,66.0
Maldives,Total 10-19 yr,Percent,21.0
Mali,Total <18 yr,Thousand,8525.0
Mali,Total <5 yr,Thousand,2995.0
Mali,Total,Thousand,15840.0
Mali,Total 10-19 yr,Thousand,3723.0
Mali,Total 10-19 yr,Percent,24.0
Malta,Total <18 yr,Thousand,77.0
Malta,Total <5 yr,Thousand,20.0
Malta,Total,Thousand,418.0
Malta,Total 10-19 yr,Thousand,50.0
Malta,Total 10-19 yr,Percent,12.0
Marshall Islands,Total <18 yr,Thousand,20.0
Marshall Islands,Total <5 yr,Thousand,5.0
Marshall Islands,Total,Thousand,55.0
Mauritania,Total <18 yr,Thousand,1635.0
Mauritania,Total <5 yr,Thousand,522.0
Mauritania,Total,Thousand,3542.0
Mauritania,Total 10-19 yr,Thousand,791.0
Mauritania,Total 10-19 yr,Percent,22.0
Mauritius,Total <18 yr,Thousand,344.0
Mauritius,Total <5 yr,Thousand,81.0
Mauritius,Total,Thousand,1307.0
Mauritius,Total 10-19 yr,Thousand,211.0
Mauritius,Total 10-19 yr,Percent,16.0
Mexico,Total <18 yr,Thousand,39440.0
Mexico,Total <5 yr,Thousand,10943.0
Mexico,Total,Thousand,114793.0
Mexico,Total 10-19 yr,Thousand,21658.0
Mexico,Total 10-19 yr,Percent,19.0
Micronesia (Federated States of),Total <18 yr,Thousand,48.0
Micronesia (Federated States of),Total <5 yr,Thousand,13.0
Micronesia (Federated States of),Total,Thousand,112.0
Micronesia (Federated States of),Total 10-19 yr,Thousand,27.0
Micronesia (Federated States of),Total 10-19 yr,Percent,24.0
Middle East and North Africa,Total <18 yr,Thousand,157845.0
Middle East and North Africa,Total <5 yr,Thousand,48169.0
Middle East and North Africa,Total,Thousand,415633.0
Middle East and North Africa,Total 10-19 yr,Thousand,82134.0
Middle East and North Africa,Total 10-19 yr,Percent,20.0
Monaco,Total <18 yr,Thousand,7.0
Monaco,Total <5 yr,Thousand,2.0
Monaco,Total,Thousand,35.0
Mongolia,Total <18 yr,Thousand,934.0
Mongolia,Total <5 yr,Thousand,317.0
Mongolia,Total,Thousand,2800.0
Mongolia,Total 10-19 yr,Thousand,500.0
Mongolia,Total 10-19 yr,Percent,18.0
Montenegro,Total <18 yr,Thousand,145.0
Montenegro,Total <5 yr,Thousand,39.0
Montenegro,Total,Thousand,632.0
Montenegro,Total 10-19 yr,Thousand,83.0
Montenegro,Total 10-19 yr,Percent,13.0
Morocco,Total <18 yr,Thousand,10790.0
Morocco,Total <5 yr,Thousand,3048.0
Morocco,Total,Thousand,32273.0
Morocco,Total 10-19 yr,Thousand,6094.0
Morocco,Total 10-19 yr,Percent,19.0
Mozambique,Total <18 yr,Thousand,12086.0
Mozambique,Total <5 yr,Thousand,3877.0
