Country or Area,Subgroup,Unit,Proportion of births attended by skilled health personnel
Belize,Rural,Percent,93.0
Belize,Urban,Percent,99.0
Belize,Ratio of urban to rural,Ratio,1.1
Benin,Total,Percent,84.0
Benin,Rural,Percent,79.0
Benin,Urban,Percent,92.0
Benin,Ratio of urban to rural,Ratio,1.2
Benin,Poorest 20%,Percent,52.0
Benin,Richest 20%,Percent,96.0
Benin,Ratio of richest to poorest,Ratio,1.9
Bhutan,Total,Percent,65.0
Bhutan,Rural,Percent,54.0
Bhutan,Urban,Percent,90.0
Bhutan,Ratio of urban to rural,Ratio,1.6
Bhutan,Poorest 20%,Percent,34.0
Bhutan,Richest 20%,Percent,95.0
Bhutan,Ratio of richest to poorest,Ratio,2.8
Bolivia (Plurinational State of),Total,Percent,71.0
Bolivia (Plurinational State of),Rural,Percent,51.0
Bolivia (Plurinational State of),Urban,Percent,88.0
Bolivia (Plurinational State of),Ratio of urban to rural,Ratio,1.7
Bolivia (Plurinational State of),Poorest 20%,Percent,38.0
Bolivia (Plurinational State of),Richest 20%,Percent,99.0
Bolivia (Plurinational State of),Ratio of richest to poorest,Ratio,2.6
Bosnia and Herzegovina,Total,Percent,100.0
Bosnia and Herzegovina,Rural,Percent,100.0
Bosnia and Herzegovina,Urban,Percent,100.0
Bosnia and Herzegovina,Ratio of urban to rural,Ratio,1.0
Bosnia and Herzegovina,Poorest 20%,Percent,99.0
Bosnia and Herzegovina,Richest 20%,Percent,100.0
Bosnia and Herzegovina,Ratio of richest to poorest,Ratio,1.0
Botswana,Total,Percent,95.0
Botswana,Rural,Percent,90.0
Botswana,Urban,Percent,99.0
Botswana,Ratio of urban to rural,Ratio,1.1
Botswana,Poorest 20%,Percent,84.0
Botswana,Richest 20%,Percent,100.0
Botswana,Ratio of richest to poorest,Ratio,1.2
Brazil,Total,Percent,97.0
Brazil,Rural,Percent,94.0
Brazil,Urban,Percent,98.0
Brazil,Ratio of urban to rural,Ratio,1.0
Brunei Darussalam,Total,Percent,100.0
Bulgaria,Total,Percent,100.0
Burkina Faso,Total,Percent,66.0
Burkina Faso,Rural,Percent,61.0
Burkina Faso,Urban,Percent,93.0
Burkina Faso,Ratio of urban to rural,Ratio,1.5
Burkina Faso,Poorest 20%,Percent,46.0
Burkina Faso,Richest 20%,Percent,92.0
Burkina Faso,Ratio of richest to poorest,Ratio,2.0
Burundi,Total,Percent,60.0
Burundi,Rural,Percent,58.0
Burundi,Urban,Percent,88.0
Burundi,Ratio of urban to rural,Ratio,1.5
Burundi,Poorest 20%,Percent,51.0
Burundi,Richest 20%,Percent,81.0
Burundi,Ratio of richest to poorest,Ratio,1.6
Cambodia,Total,Percent,71.0
Cambodia,Rural,Percent,67.0
Cambodia,Urban,Percent,95.0
Cambodia,Ratio of urban to rural,Ratio,1.4
Cambodia,Poorest 20%,Percent,49.0
Cambodia,Richest 20%,Percent,97.0
Cambodia,Ratio of richest to poorest,Ratio,2.0
Cameroon,Total,Percent,64.0
Cameroon,Rural,Percent,47.0
Cameroon,Urban,Percent,87.0
Cameroon,Ratio of urban to rural,Ratio,1.9
Cameroon,Poorest 20%,Percent,23.0
Cameroon,Richest 20%,Percent,98.0
Cameroon,Ratio of richest to poorest,Ratio,4.4
Canada,Total,Percent,100.0
Cape Verde,Total,Percent,78.0
Cape Verde,Rural,Percent,64.0
Cape Verde,Urban,Percent,91.0
Cape Verde,Ratio of urban to rural,Ratio,1.4
CEE/CIS,Total,Percent,97.0
Central African Republic,Total,Percent,54.0
Central African Republic,Rural,Percent,38.0
Central African Republic,Urban,Percent,83.0
Central African Republic,Ratio of urban to rural,Ratio,2.2
Central African Republic,Poorest 20%,Percent,33.0
Central African Republic,Richest 20%,Percent,87.0
Central African Republic,Ratio of richest to poorest,Ratio,2.6
Chad,Total,Percent,23.0
Chad,Rural,Percent,12.0
Chad,Urban,Percent,60.0
Chad,Ratio of urban to rural,Ratio,5.1
Chad,Poorest 20%,Percent,8.0
Chad,Richest 20%,Percent,61.0
Chad,Ratio of richest to poorest,Ratio,7.6
Chile,Total,Percent,100.0
Chile,Rural,Percent,99.0
Chile,Urban,Percent,100.0
Chile,Ratio of urban to rural,Ratio,1.0
China,Total,Percent,100.0
China,Rural,Percent,99.0
China,Urban,Percent,100.0
China,Ratio of urban to rural,Ratio,1.0
Colombia,Total,Percent,99.0
Colombia,Rural,Percent,86.0
Colombia,Urban,Percent,98.0
Colombia,Ratio of urban to rural,Ratio,1.1
Colombia,Poorest 20%,Percent,84.0
Colombia,Richest 20%,Percent,99.0
Colombia,Ratio of richest to poorest,Ratio,1.2
Comoros,Total,Percent,62.0
Comoros,Rural,Percent,57.0
Comoros,Urban,Percent,79.0
Comoros,Ratio of urban to rural,Ratio,1.4
Comoros,Poorest 20%,Percent,49.0
Comoros,Richest 20%,Percent,77.0
Comoros,Ratio of richest to poorest,Ratio,1.6
Congo,Total,Percent,93.0
Congo,Rural,Percent,86.0
Congo,Urban,Percent,98.0
Congo,Ratio of urban to rural,Ratio,1.1
Congo,Poorest 20%,Percent,40.0
Congo,Richest 20%,Percent,95.0
Congo,Ratio of richest to poorest,Ratio,2.4
Cook Islands,Total,Percent,100.0
Costa Rica,Total,Percent,99.0
Costa Rica,Rural,Percent,99.0
Costa Rica,Urban,Percent,100.0
Costa Rica,Ratio of urban to rural,Ratio,1.0
Côte d'Ivoire,Total,Percent,59.0
Côte d'Ivoire,Rural,Percent,45.0
Côte d'Ivoire,Urban,Percent,84.0
Côte d'Ivoire,Ratio of urban to rural,Ratio,1.9
Côte d'Ivoire,Poorest 20%,Percent,29.0
Côte d'Ivoire,Richest 20%,Percent,95.0
Côte d'Ivoire,Ratio of richest to poorest,Ratio,3.3
Croatia,Total,Percent,100.0
Cuba,Total,Percent,100.0
Czech Republic,Total,Percent,100.0
Democratic People's Republic of Korea,Total,Percent,100.0
Democratic People's Republic of Korea,Rural,Percent,100.0
Democratic People's Republic of Korea,Urban,Percent,100.0
Democratic People's Republic of Korea,Ratio of urban to rural,Ratio,1.0
Democratic Republic of the Congo,Total,Percent,80.0
Democratic Republic of the Congo,Rural,Percent,75.0
Democratic Republic of the Congo,Urban,Percent,96.0
Democratic Republic of the Congo,Ratio of urban to rural,Ratio,1.3
Democratic Republic of the Congo,Poorest 20%,Percent,69.0
Democratic Republic of the Congo,Richest 20%,Percent,99.0
Democratic Republic of the Congo,Ratio of richest to poorest,Ratio,1.4
Djibouti,Total,Percent,93.0
Djibouti,Rural,Percent,40.0
Djibouti,Urban,Percent,95.0
Djibouti,Ratio of urban to rural,Ratio,2.3
Dominica,Total,Percent,100.0
Dominican Republic,Total,Percent,98.0
Dominican Republic,Rural,Percent,97.0
Dominican Republic,Urban,Percent,98.0
Dominican Republic,Ratio of urban to rural,Ratio,1.0
Dominican Republic,Poorest 20%,Percent,95.0
Dominican Republic,Richest 20%,Percent,99.0
Dominican Republic,Ratio of richest to poorest,Ratio,1.0
East Asia and Pacific,Total,Percent,92.0
East Asia and Pacific,Rural,Percent,88.0
East Asia and Pacific,Urban,Percent,95.0
East Asia and Pacific,Ratio of urban to rural,Ratio,1.1
East Asia and Pacific,Poorest 20%,Percent,54.0
East Asia and Pacific,Richest 20%,Percent,92.0
East Asia and Pacific,Ratio of richest to poorest,Ratio,1.7
Eastern and Southern Africa,Total,Percent,44.0
Eastern and Southern Africa,Rural,Percent,36.0
Eastern and Southern Africa,Urban,Percent,75.0
Eastern and Southern Africa,Ratio of urban to rural,Ratio,2.1
Eastern and Southern Africa,Poorest 20%,Percent,28.0
Eastern and Southern Africa,Richest 20%,Percent,77.0
Eastern and Southern Africa,Ratio of richest to poorest,Ratio,2.7
Ecuador,Total,Percent,98.0
Ecuador,Rural,Percent,99.0
Ecuador,Urban,Percent,98.0
Ecuador,Ratio of urban to rural,Ratio,1.0
Ecuador,Poorest 20%,Percent,99.0
Ecuador,Richest 20%,Percent,98.0
Ecuador,Ratio of richest to poorest,Ratio,1.0
Egypt,Total,Percent,79.0
Egypt,Rural,Percent,72.0
Egypt,Urban,Percent,90.0
Egypt,Ratio of urban to rural,Ratio,1.2
Egypt,Poorest 20%,Percent,55.0
Egypt,Richest 20%,Percent,97.0
Egypt,Ratio of richest to poorest,Ratio,1.8
El Salvador,Total,Percent,96.0
El Salvador,Rural,Percent,94.0
El Salvador,Urban,Percent,97.0
El Salvador,Ratio of urban to rural,Ratio,1.0
El Salvador,Poorest 20%,Percent,91.0
El Salvador,Richest 20%,Percent,98.0
El Salvador,Ratio of richest to poorest,Ratio,1.1
Equatorial Guinea,Total,Percent,65.0
Equatorial Guinea,Rural,Percent,49.0
Equatorial Guinea,Urban,Percent,87.0
Equatorial Guinea,Ratio of urban to rural,Ratio,1.8
Equatorial Guinea,Poorest 20%,Percent,47.0
Equatorial Guinea,Richest 20%,Percent,85.0
Equatorial Guinea,Ratio of richest to poorest,Ratio,1.8
Eritrea,Total,Percent,28.0
Eritrea,Rural,Percent,10.0
Eritrea,Urban,Percent,65.0
Eritrea,Ratio of urban to rural,Ratio,6.2
Eritrea,Poorest 20%,Percent,7.0
Eritrea,Richest 20%,Percent,81.0
Eritrea,Ratio of richest to poorest,Ratio,12.1
Estonia,Total,Percent,100.0
Ethiopia,Total,Percent,10.0
Ethiopia,Rural,Percent,4.0
Ethiopia,Urban,Percent,51.0
Ethiopia,Ratio of urban to rural,Ratio,12.7
Ethiopia,Poorest 20%,Percent,2.0
Ethiopia,Richest 20%,Percent,46.0
Ethiopia,Ratio of richest to poorest,Ratio,26.8
Fiji,Total,Percent,100.0
Gabon,Total,Percent,86.0
Gabon,Rural,Percent,67.0
Gabon,Urban,Percent,92.0
Gabon,Ratio of urban to rural,Ratio,1.4
Gambia,Total,Percent,57.0
Gambia,Rural,Percent,41.0
Gambia,Urban,Percent,77.0
Gambia,Ratio of urban to rural,Ratio,1.9
Gambia,Poorest 20%,Percent,34.0
Gambia,Richest 20%,Percent,58.0
Gambia,Ratio of richest to poorest,Ratio,1.7
Georgia,Total,Percent,100.0
Georgia,Rural,Percent,98.0
Georgia,Urban,Percent,99.0
Georgia,Ratio of urban to rural,Ratio,1.0
Georgia,Poorest 20%,Percent,95.0
Georgia,Richest 20%,Percent,99.0
Georgia,Ratio of richest to poorest,Ratio,1.0
Ghana,Total,Percent,68.0
Ghana,Rural,Percent,54.0
Ghana,Urban,Percent,88.0
Ghana,Ratio of urban to rural,Ratio,1.6
Ghana,Poorest 20%,Percent,39.0
Ghana,Richest 20%,Percent,98.0
Ghana,Ratio of richest to poorest,Ratio,2.5
Grenada,Total,Percent,99.0
Guatemala,Total,Percent,52.0
Guatemala,Rural,Percent,37.0
Guatemala,Urban,Percent,77.0
Guatemala,Ratio of urban to rural,Ratio,2.1
Guatemala,Poorest 20%,Percent,20.0
Guatemala,Richest 20%,Percent,95.0
Guatemala,Ratio of richest to poorest,Ratio,4.7
Guinea,Total,Percent,46.0
Guinea,Rural,Percent,31.0
Guinea,Urban,Percent,84.0
Guinea,Ratio of urban to rural,Ratio,2.7
Guinea,Poorest 20%,Percent,26.0
Guinea,Richest 20%,Percent,57.0
Guinea,Ratio of richest to poorest,Ratio,2.2
Guinea-Bissau,Total,Percent,44.0
Guinea-Bissau,Rural,Percent,27.0
Guinea-Bissau,Urban,Percent,69.0
Guinea-Bissau,Ratio of urban to rural,Ratio,2.6
Guinea-Bissau,Poorest 20%,Percent,19.0
Guinea-Bissau,Richest 20%,Percent,79.0
Guinea-Bissau,Ratio of richest to poorest,Ratio,4.0
Guyana,Total,Percent,92.0
Guyana,Rural,Percent,90.0
Guyana,Urban,Percent,98.0
Guyana,Ratio of urban to rural,Ratio,1.1
Guyana,Poorest 20%,Percent,81.0
Guyana,Richest 20%,Percent,96.0
Guyana,Ratio of richest to poorest,Ratio,1.2
Haiti,Total,Percent,26.0
Haiti,Rural,Percent,15.0
Haiti,Urban,Percent,47.0
Haiti,Ratio of urban to rural,Ratio,3.0
Haiti,Poorest 20%,Percent,6.0
Haiti,Richest 20%,Percent,68.0
Haiti,Ratio of richest to poorest,Ratio,10.5
Honduras,Total,Percent,67.0
Honduras,Rural,Percent,50.0
Honduras,Urban,Percent,90.0
Honduras,Ratio of urban to rural,Ratio,1.8
Honduras,Poorest 20%,Percent,33.0
Honduras,Richest 20%,Percent,99.0
Honduras,Ratio of richest to poorest,Ratio,2.9
Hungary,Total,Percent,100.0
India,Total,Percent,52.0
India,Rural,Percent,43.0
India,Urban,Percent,76.0
India,Ratio of urban to rural,Ratio,1.7
India,Poorest 20%,Percent,24.0
India,Richest 20%,Percent,85.0
India,Ratio of richest to poorest,Ratio,3.6
Indonesia,Total,Percent,79.0
Indonesia,Rural,Percent,76.0
Indonesia,Urban,Percent,84.0
Indonesia,Ratio of urban to rural,Ratio,1.1
Indonesia,Poorest 20%,Percent,65.0
Indonesia,Richest 20%,Percent,86.0
Indonesia,Ratio of richest to poorest,Ratio,1.3
Iran (Islamic Republic of),Total,Percent,97.0
Iraq,Total,Percent,80.0
Iraq,Rural,Percent,71.0
Iraq,Urban,Percent,86.0
Iraq,Ratio of urban to rural,Ratio,1.2
Ireland,Total,Percent,100.0
Jamaica,Total,Percent,98.0
Jamaica,Rural,Percent,98.0
Jamaica,Urban,Percent,99.0
Jamaica,Ratio of urban to rural,Ratio,1.0
Jamaica,Poorest 20%,Percent,97.0
Jamaica,Richest 20%,Percent,98.0
Jamaica,Ratio of richest to poorest,Ratio,1.0
Jordan,Total,Percent,99.0
Jordan,Rural,Percent,99.0
Jordan,Urban,Percent,99.0
Jordan,Ratio of urban to rural,Ratio,1.0
Jordan,Poorest 20%,Percent,98.0
Jordan,Richest 20%,Percent,100.0
Jordan,Ratio of richest to poorest,Ratio,1.0
Kazakhstan,Total,Percent,100.0
Kazakhstan,Rural,Percent,100.0
Kazakhstan,Urban,Percent,100.0
Kazakhstan,Ratio of urban to rural,Ratio,1.0
Kazakhstan,Poorest 20%,Percent,100.0
Kazakhstan,Richest 20%,Percent,100.0
Kazakhstan,Ratio of richest to poorest,Ratio,1.0
Kenya,Total,Percent,44.0
Kenya,Rural,Percent,37.0
Kenya,Urban,Percent,75.0
Kenya,Ratio of urban to rural,Ratio,2.0
Kenya,Poorest 20%,Percent,20.0
Kenya,Richest 20%,Percent,81.0
Kenya,Ratio of richest to poorest,Ratio,4.0
Kiribati,Total,Percent,80.0
Kiribati,Rural,Percent,77.0
Kiribati,Urban,Percent,84.0
Kiribati,Ratio of urban to rural,Ratio,1.1
Kiribati,Poorest 20%,Percent,76.0
Kiribati,Richest 20%,Percent,93.0
Kiribati,Ratio of richest to poorest,Ratio,1.2
Kuwait,Total,Percent,100.0
Kyrgyzstan,Total,Percent,99.0
Kyrgyzstan,Rural,Percent,96.0
Kyrgyzstan,Urban,Percent,100.0
Kyrgyzstan,Ratio of urban to rural,Ratio,1.0
Kyrgyzstan,Poorest 20%,Percent,93.0
Kyrgyzstan,Richest 20%,Percent,100.0
Kyrgyzstan,Ratio of richest to poorest,Ratio,1.1
Lao People's Democratic Republic,Total,Percent,20.0
Lao People's Democratic Republic,Rural,Percent,11.0
Lao People's Democratic Republic,Urban,Percent,68.0
Lao People's Democratic Republic,Ratio of urban to rural,Ratio,6.2
Lao People's Democratic Republic,Poorest 20%,Percent,3.0
Lao People's Democratic Republic,Richest 20%,Percent,81.0
Lao People's Democratic Republic,Ratio of richest to poorest,Ratio,27.1
Latin America and Caribbean,Total,Percent,90.0
Latvia,Total,Percent,100.0
Least Developed Countries/Territories,Total,Percent,48.0
Least Developed Countries/Territories,Rural,Percent,40.0
Least Developed Countries/Territories,Urban,Percent,76.0
Least Developed Countries/Territories,Ratio of urban to rural,Ratio,1.9
Least Developed Countries/Territories,Poorest 20%,Percent,30.0
Least Developed Countries/Territories,Richest 20%,Percent,78.0
Least Developed Countries/Territories,Ratio of richest to poorest,Ratio,2.6
Lebanon,Total,Percent,98.0
Lesotho,Total,Percent,62.0
Lesotho,Rural,Percent,54.0
Lesotho,Urban,Percent,88.0
Lesotho,Ratio of urban to rural,Ratio,1.6
Lesotho,Poorest 20%,Percent,35.0
Lesotho,Richest 20%,Percent,90.0
Lesotho,Ratio of richest to poorest,Ratio,2.6
Liberia,Total,Percent,46.0
Liberia,Rural,Percent,32.0
Liberia,Urban,Percent,79.0
Liberia,Ratio of urban to rural,Ratio,2.4
Liberia,Poorest 20%,Percent,26.0
Liberia,Richest 20%,Percent,81.0
Liberia,Ratio of richest to poorest,Ratio,3.2
Libya,Total,Percent,100.0
Lithuania,Total,Percent,100.0
Luxembourg,Total,Percent,100.0
Madagascar,Total,Percent,44.0
Madagascar,Rural,Percent,39.0
Madagascar,Urban,Percent,82.0
Madagascar,Ratio of urban to rural,Ratio,2.1
Madagascar,Poorest 20%,Percent,22.0
Madagascar,Richest 20%,Percent,90.0
Madagascar,Ratio of richest to poorest,Ratio,4.1
Malawi,Total,Percent,71.0
Malawi,Rural,Percent,69.0
Malawi,Urban,Percent,84.0
Malawi,Ratio of urban to rural,Ratio,1.2
Malawi,Poorest 20%,Percent,63.0
Malawi,Richest 20%,Percent,89.0
Malawi,Ratio of richest to poorest,Ratio,1.4
Malaysia,Total,Percent,99.0
Maldives,Total,Percent,95.0
Maldives,Rural,Percent,93.0
Maldives,Urban,Percent,99.0
Maldives,Ratio of urban to rural,Ratio,1.1
Maldives,Poorest 20%,Percent,89.0
Maldives,Richest 20%,Percent,99.0
Maldives,Ratio of richest to poorest,Ratio,1.1
Mali,Total,Percent,49.0
Mali,Rural,Percent,38.0
Mali,Urban,Percent,80.0
Mali,Ratio of urban to rural,Ratio,2.1
Mali,Poorest 20%,Percent,35.0
Mali,Richest 20%,Percent,86.0
Mali,Ratio of richest to poorest,Ratio,2.5
Marshall Islands,Total,Percent,99.0
Marshall Islands,Rural,Percent,68.0
Marshall Islands,Urban,Percent,97.0
Marshall Islands,Ratio of urban to rural,Ratio,1.4
Marshall Islands,Poorest 20%,Percent,68.0
Marshall Islands,Richest 20%,Percent,99.0
Marshall Islands,Ratio of richest to poorest,Ratio,1.5
Mauritania,Total,Percent,61.0
Mauritania,Rural,Percent,39.0
Mauritania,Urban,Percent,90.0
Mauritania,Ratio of urban to rural,Ratio,2.3
Mauritania,Poorest 20%,Percent,21.0
Mauritania,Richest 20%,Percent,95.0
Mauritania,Ratio of richest to poorest,Ratio,4.6
Mauritius,Total,Percent,98.0
Mexico,Total,Percent,95.0
Mexico,Rural,Percent,87.0
Mexico,Urban,Percent,98.0
Mexico,Ratio of urban to rural,Ratio,1.1
Micronesia (Federated States of),Total,Percent,100.0
Middle East and North Africa,Total,Percent,73.0
Middle East and North Africa,Rural,Percent,57.0
Middle East and North Africa,Urban,Percent,84.0
Middle East and North Africa,Ratio of urban to rural,Ratio,1.5
Mongolia,Total,Percent,99.0
Mongolia,Rural,Percent,98.0
Mongolia,Urban,Percent,99.0
Mongolia,Ratio of urban to rural,Ratio,1.0
Mongolia,Poorest 20%,Percent,98.0
Mongolia,Richest 20%,Percent,99.0
Mongolia,Ratio of richest to poorest,Ratio,1.0
Montenegro,Total,Percent,100.0
Montenegro,Rural,Percent,98.0
Montenegro,Urban,Percent,100.0
Montenegro,Ratio of urban to rural,Ratio,1.0
Montenegro,Poorest 20%,Percent,98.0
Montenegro,Richest 20%,Percent,100.0
Montenegro,Ratio of richest to poorest,Ratio,1.0
Morocco,Total,Percent,74.0
Morocco,Rural,Percent,55.0
Morocco,Urban,Percent,92.0
Morocco,Ratio of urban to rural,Ratio,1.7
Morocco,Poorest 20%,Percent,30.0
Morocco,Richest 20%,Percent,95.0
Morocco,Ratio of richest to poorest,Ratio,3.2
Mozambique,Total,Percent,55.0
Mozambique,Rural,Percent,46.0
Mozambique,Urban,Percent,78.0
Mozambique,Ratio of urban to rural,Ratio,1.7
Mozambique,Poorest 20%,Percent,37.0
Mozambique,Richest 20%,Percent,89.0
Mozambique,Ratio of richest to poorest,Ratio,2.4
Myanmar,Total,Percent,71.0
Myanmar,Rural,Percent,63.0
Myanmar,Urban,Percent,90.0
Myanmar,Ratio of urban to rural,Ratio,1.4
Myanmar,Poorest 20%,Percent,51.0
Myanmar,Richest 20%,Percent,96.0
Myanmar,Ratio of richest to poorest,Ratio,1.9
Namibia,Total,Percent,81.0
Namibia,Rural,Percent,73.0
Namibia,Urban,Percent,94.0
Namibia,Ratio of urban to rural,Ratio,1.3
Namibia,Poorest 20%,Percent,60.0
Namibia,Richest 20%,Percent,98.0
Namibia,Ratio of richest to poorest,Ratio,1.6
Nauru,Total,Percent,97.0
Nauru,Poorest 20%,Percent,97.0
Nauru,Richest 20%,Percent,98.0
Nauru,Ratio of richest to poorest,Ratio,1.0
Nepal,Total,Percent,36.0
Nepal,Rural,Percent,32.0
Nepal,Urban,Percent,73.0
Nepal,Ratio of urban to rural,Ratio,2.3
Nepal,Poorest 20%,Percent,11.0
Nepal,Richest 20%,Percent,82.0
Nepal,Ratio of richest to poorest,Ratio,7.6
Nicaragua,Total,Percent,74.0
Nicaragua,Rural,Percent,56.0
Nicaragua,Urban,Percent,92.0
Nicaragua,Ratio of urban to rural,Ratio,1.7
Nicaragua,Poorest 20%,Percent,42.0
Nicaragua,Richest 20%,Percent,99.0
Nicaragua,Ratio of richest to poorest,Ratio,2.4
Niger,Total,Percent,18.0
Niger,Rural,Percent,8.0
Niger,Urban,Percent,71.0
Niger,Ratio of urban to rural,Ratio,8.5
Niger,Poorest 20%,Percent,5.0
Niger,Richest 20%,Percent,59.0
Niger,Ratio of richest to poorest,Ratio,11.8
Nigeria,Total,Percent,39.0
Nigeria,Rural,Percent,28.0
Nigeria,Urban,Percent,65.0
Nigeria,Ratio of urban to rural,Ratio,2.4
Nigeria,Poorest 20%,Percent,8.0
Nigeria,Richest 20%,Percent,86.0
Nigeria,Ratio of richest to poorest,Ratio,10.3
Niue,Total,Percent,100.0
Oman,Total,Percent,99.0
Pakistan,Total,Percent,43.0
Pakistan,Rural,Percent,33.0
Pakistan,Urban,Percent,66.0
Pakistan,Ratio of urban to rural,Ratio,2.0
Pakistan,Poorest 20%,Percent,16.0
Pakistan,Richest 20%,Percent,77.0
Pakistan,Ratio of richest to poorest,Ratio,4.8
Palau,Total,Percent,100.0
Panama,Total,Percent,89.0
Panama,Rural,Percent,84.0
Panama,Urban,Percent,99.0
Panama,Ratio of urban to rural,Ratio,1.2
Papua New Guinea,Total,Percent,53.0
Papua New Guinea,Rural,Percent,47.0
Papua New Guinea,Urban,Percent,88.0
Papua New Guinea,Ratio of urban to rural,Ratio,1.9
Paraguay,Total,Percent,82.0
Peru,Total,Percent,85.0
Peru,Rural,Percent,64.0
Peru,Urban,Percent,96.0
Peru,Ratio of urban to rural,Ratio,1.5
Peru,Poorest 20%,Percent,56.0
Peru,Richest 20%,Percent,100.0
Peru,Ratio of richest to poorest,Ratio,1.8
Philippines,Total,Percent,62.0
Philippines,Rural,Percent,48.0
Philippines,Urban,Percent,78.0
Philippines,Ratio of urban to rural,Ratio,1.6
Philippines,Poorest 20%,Percent,26.0
Philippines,Richest 20%,Percent,94.0
Philippines,Ratio of richest to poorest,Ratio,3.7
Poland,Total,Percent,100.0
Portugal,Total,Percent,100.0
Qatar,Total,Percent,100.0
Republic of Moldova,Total,Percent,100.0
Republic of Moldova,Rural,Percent,99.0
Republic of Moldova,Urban,Percent,100.0
Republic of Moldova,Ratio of urban to rural,Ratio,1.0
Republic of Moldova,Poorest 20%,Percent,99.0
Republic of Moldova,Richest 20%,Percent,100.0
Republic of Moldova,Ratio of richest to poorest,Ratio,1.0
Romania,Total,Percent,99.0
Romania,Rural,Percent,98.0
Romania,Urban,Percent,100.0
Romania,Ratio of urban to rural,Ratio,1.0
Russian Federation,Total,Percent,100.0
Rwanda,Total,Percent,69.0
Rwanda,Rural,Percent,67.0
Rwanda,Urban,Percent,82.0
Rwanda,Ratio of urban to rural,Ratio,1.2
Rwanda,Poorest 20%,Percent,61.0
Rwanda,Richest 20%,Percent,86.0
Rwanda,Ratio of richest to poorest,Ratio,1.4
Saint Kitts and Nevis,Total,Percent,100.0
Saint Lucia,Total,Percent,100.0
Saint Vincent and the Grenadines,Total,Percent,99.0
Samoa,Total,Percent,81.0
Samoa,Rural,Percent,78.0
Samoa,Urban,Percent,94.0
Samoa,Ratio of urban to rural,Ratio,1.2
Samoa,Poorest 20%,Percent,66.0
Samoa,Richest 20%,Percent,95.0
Samoa,Ratio of richest to poorest,Ratio,1.4
Sao Tome and Principe,Total,Percent,82.0
Sao Tome and Principe,Rural,Percent,75.0
Sao Tome and Principe,Urban,Percent,89.0
Sao Tome and Principe,Ratio of urban to rural,Ratio,1.2
Sao Tome and Principe,Poorest 20%,Percent,74.0
Sao Tome and Principe,Richest 20%,Percent,93.0
Sao Tome and Principe,Ratio of richest to poorest,Ratio,1.3
Saudi Arabia,Total,Percent,97.0
Senegal,Total,Percent,65.0
Senegal,Rural,Percent,49.0
Senegal,Urban,Percent,91.0
Senegal,Ratio of urban to rural,Ratio,1.8
Senegal,Poorest 20%,Percent,30.0
Senegal,Richest 20%,Percent,96.0
Senegal,Ratio of richest to poorest,Ratio,3.2
Serbia,Total,Percent,100.0
Serbia,Rural,Percent,100.0
Serbia,Urban,Percent,100.0
Serbia,Ratio of urban to rural,Ratio,1.0
