Country or Area,Year,Infant mortality rate (IMR)
Saint Kitts and Nevis,2011.0,6.0
Saint Kitts and Nevis,1990.0,22.0
Saint Lucia,2011.0,14.0
Saint Lucia,1990.0,18.0
Saint Vincent and the Grenadines,2011.0,20.0
Saint Vincent and the Grenadines,1990.0,21.0
Samoa,2011.0,16.0
Samoa,1990.0,25.0
San Marino,2011.0,2.0
San Marino,1990.0,11.0
Sao Tome and Principe,2011.0,58.0
Sao Tome and Principe,1990.0,62.0
Saudi Arabia,2011.0,8.0
Saudi Arabia,1990.0,34.0
Senegal,2011.0,47.0
Senegal,1990.0,69.0
Serbia,2011.0,6.0
Serbia,1990.0,25.0
Seychelles,2011.0,12.0
Seychelles,1990.0,14.0
Sierra Leone,2011.0,119.0
Sierra Leone,1990.0,158.0
Singapore,2011.0,2.0
Singapore,1990.0,6.0
Slovakia,2011.0,7.0
Slovakia,1990.0,16.0
Slovenia,2011.0,2.0
Slovenia,1990.0,9.0
Solomon Islands,2011.0,18.0
Solomon Islands,1990.0,34.0
Somalia,2011.0,108.0
Somalia,1990.0,108.0
South Africa,2011.0,35.0
South Africa,1990.0,48.0
South Asia,2011.0,48.0
South Asia,1990.0,85.0
South Sudan,2011.0,76.0
South Sudan,1990.0,129.0
Spain,2011.0,4.0
Spain,1990.0,9.0
Sri Lanka,2011.0,11.0
Sri Lanka,1990.0,24.0
State of Palestine,2011.0,20.0
State of Palestine,1990.0,36.0
Sub-Saharan Africa,2011.0,69.0
Sub-Saharan Africa,1990.0,107.0
Sudan,2011.0,57.0
Sudan,1990.0,77.0
Suriname,2011.0,26.0
Suriname,1990.0,44.0
Swaziland,2011.0,69.0
Swaziland,1990.0,61.0
Sweden,2011.0,2.0
Sweden,1990.0,6.0
Switzerland,2011.0,4.0
Switzerland,1990.0,7.0
Syrian Arab Republic,2011.0,13.0
Syrian Arab Republic,1990.0,30.0
Tajikistan,2011.0,53.0
Tajikistan,1990.0,89.0
Thailand,2011.0,11.0
Thailand,1990.0,29.0
The former Yugoslav Republic of Macedonia,2011.0,9.0
The former Yugoslav Republic of Macedonia,1990.0,34.0
Timor-Leste,2011.0,46.0
Timor-Leste,1990.0,135.0
Togo,2011.0,73.0
Togo,1990.0,85.0
Tonga,2011.0,13.0
Tonga,1990.0,21.0
Trinidad and Tobago,2011.0,25.0
Trinidad and Tobago,1990.0,32.0
Tunisia,2011.0,14.0
Tunisia,1990.0,40.0
Turkey,2011.0,12.0
Turkey,1990.0,60.0
Turkmenistan,2011.0,45.0
Turkmenistan,1990.0,75.0
Tuvalu,2011.0,25.0
Tuvalu,1990.0,45.0
Uganda,2011.0,58.0
Uganda,1990.0,106.0
Ukraine,2011.0,9.0
Ukraine,1990.0,17.0
United Arab Emirates,2011.0,6.0
United Arab Emirates,1990.0,19.0
United Kingdom,2011.0,4.0
United Kingdom,1990.0,8.0
United Republic of Tanzania,2011.0,45.0
United Republic of Tanzania,1990.0,97.0
United States,2011.0,6.0
United States,1990.0,9.0
Uruguay,2011.0,9.0
Uruguay,1990.0,20.0
Uzbekistan,2011.0,42.0
Uzbekistan,1990.0,62.0
Vanuatu,2011.0,11.0
Vanuatu,1990.0,31.0
Venezuela (Bolivarian Republic of),2011.0,13.0
Venezuela (Bolivarian Republic of),1990.0,26.0
Viet Nam,2011.0,17.0
Viet Nam,1990.0,36.0
Western and Central Africa,2011.0,83.0
Western and Central Africa,1990.0,116.0
World,2011.0,37.0
World,1990.0,61.0
Yemen,2011.0,57.0
Yemen,1990.0,89.0
Zambia,2011.0,53.0
Zambia,1990.0,114.0
Zimbabwe,2011.0,43.0
Zimbabwe,1990.0,53.0
