Country or Area,Subgroup,Unit,Proportion of population with access to improved sanitation
Cook Islands,Rural,Percent,100.0
Cook Islands,Urban,Percent,100.0
Cook Islands,Total,Percent,100.0
Cook Islands,Ratio of urban to rural,Ratio,1.0
Costa Rica,Rural,Percent,96.0
Costa Rica,Urban,Percent,95.0
Costa Rica,Total,Percent,95.0
Costa Rica,Ratio of urban to rural,Ratio,1.0
Côte d'Ivoire,Rural,Percent,11.0
Côte d'Ivoire,Urban,Percent,36.0
Côte d'Ivoire,Total,Percent,24.0
Côte d'Ivoire,Ratio of urban to rural,Ratio,3.3
Croatia,Rural,Percent,98.0
Croatia,Urban,Percent,99.0
Croatia,Total,Percent,99.0
Croatia,Ratio of urban to rural,Ratio,1.0
Cuba,Rural,Percent,81.0
Cuba,Urban,Percent,94.0
Cuba,Total,Percent,91.0
Cuba,Ratio of urban to rural,Ratio,1.2
Cyprus,Rural,Percent,100.0
Cyprus,Urban,Percent,100.0
Cyprus,Total,Percent,100.0
Cyprus,Ratio of urban to rural,Ratio,1.0
Czech Republic,Rural,Percent,97.0
Czech Republic,Urban,Percent,99.0
Czech Republic,Total,Percent,98.0
Czech Republic,Ratio of urban to rural,Ratio,1.0
Democratic People's Republic of Korea,Rural,Percent,71.0
Democratic People's Republic of Korea,Urban,Percent,86.0
Democratic People's Republic of Korea,Total,Percent,80.0
Democratic People's Republic of Korea,Ratio of urban to rural,Ratio,1.2
Democratic Republic of the Congo,Rural,Percent,24.0
Democratic Republic of the Congo,Urban,Percent,24.0
Democratic Republic of the Congo,Total,Percent,24.0
Democratic Republic of the Congo,Ratio of urban to rural,Ratio,1.0
Denmark,Rural,Percent,100.0
Denmark,Urban,Percent,100.0
Denmark,Total,Percent,100.0
Denmark,Ratio of urban to rural,Ratio,1.0
Djibouti,Rural,Percent,10.0
Djibouti,Urban,Percent,63.0
Djibouti,Total,Percent,50.0
Djibouti,Ratio of urban to rural,Ratio,6.3
Dominican Republic,Rural,Percent,75.0
Dominican Republic,Urban,Percent,87.0
Dominican Republic,Total,Percent,83.0
Dominican Republic,Ratio of urban to rural,Ratio,1.2
East Asia and Pacific,Rural,Percent,58.0
East Asia and Pacific,Urban,Percent,77.0
East Asia and Pacific,Total,Percent,67.0
East Asia and Pacific,Ratio of urban to rural,Ratio,1.3
Eastern and Southern Africa,Rural,Percent,27.0
Eastern and Southern Africa,Urban,Percent,54.0
Eastern and Southern Africa,Total,Percent,35.0
Eastern and Southern Africa,Ratio of urban to rural,Ratio,2.0
Ecuador,Rural,Percent,84.0
Ecuador,Urban,Percent,96.0
Ecuador,Total,Percent,92.0
Ecuador,Ratio of urban to rural,Ratio,1.1
Egypt,Rural,Percent,93.0
Egypt,Urban,Percent,97.0
Egypt,Total,Percent,95.0
Egypt,Ratio of urban to rural,Ratio,1.0
El Salvador,Rural,Percent,83.0
El Salvador,Urban,Percent,89.0
El Salvador,Total,Percent,87.0
El Salvador,Ratio of urban to rural,Ratio,1.1
Eritrea,Rural,Percent,4.0
Estonia,Rural,Percent,94.0
Estonia,Urban,Percent,96.0
Estonia,Total,Percent,95.0
Estonia,Ratio of urban to rural,Ratio,1.0
Ethiopia,Rural,Percent,19.0
Ethiopia,Urban,Percent,29.0
Ethiopia,Total,Percent,21.0
Ethiopia,Ratio of urban to rural,Ratio,1.5
Fiji,Rural,Percent,71.0
Fiji,Urban,Percent,94.0
Fiji,Total,Percent,83.0
Fiji,Ratio of urban to rural,Ratio,1.3
Finland,Rural,Percent,100.0
Finland,Urban,Percent,100.0
Finland,Total,Percent,100.0
Finland,Ratio of urban to rural,Ratio,1.0
France,Rural,Percent,100.0
France,Urban,Percent,100.0
France,Total,Percent,100.0
France,Ratio of urban to rural,Ratio,1.0
Gabon,Rural,Percent,30.0
Gabon,Urban,Percent,33.0
Gabon,Total,Percent,33.0
Gabon,Ratio of urban to rural,Ratio,1.1
Gambia,Rural,Percent,65.0
Gambia,Urban,Percent,70.0
Gambia,Total,Percent,68.0
Gambia,Ratio of urban to rural,Ratio,1.1
Georgia,Rural,Percent,93.0
Georgia,Urban,Percent,96.0
Georgia,Total,Percent,95.0
Georgia,Ratio of urban to rural,Ratio,1.0
Germany,Rural,Percent,100.0
Germany,Urban,Percent,100.0
Germany,Total,Percent,100.0
Germany,Ratio of urban to rural,Ratio,1.0
Ghana,Rural,Percent,8.0
Ghana,Urban,Percent,19.0
Ghana,Total,Percent,14.0
Ghana,Ratio of urban to rural,Ratio,2.4
Greece,Rural,Percent,97.0
Greece,Urban,Percent,99.0
Greece,Total,Percent,98.0
Greece,Ratio of urban to rural,Ratio,1.0
Grenada,Rural,Percent,97.0
Grenada,Urban,Percent,96.0
Grenada,Total,Percent,97.0
Grenada,Ratio of urban to rural,Ratio,1.0
Guatemala,Rural,Percent,70.0
Guatemala,Urban,Percent,87.0
Guatemala,Total,Percent,78.0
Guatemala,Ratio of urban to rural,Ratio,1.2
Guinea,Rural,Percent,11.0
Guinea,Urban,Percent,32.0
Guinea,Total,Percent,18.0
Guinea,Ratio of urban to rural,Ratio,2.9
Guinea-Bissau,Rural,Percent,9.0
Guinea-Bissau,Urban,Percent,44.0
Guinea-Bissau,Total,Percent,20.0
Guinea-Bissau,Ratio of urban to rural,Ratio,4.9
Guyana,Rural,Percent,82.0
Guyana,Urban,Percent,88.0
Guyana,Total,Percent,84.0
Guyana,Ratio of urban to rural,Ratio,1.1
Haiti,Rural,Percent,10.0
Haiti,Urban,Percent,24.0
Haiti,Total,Percent,17.0
Haiti,Ratio of urban to rural,Ratio,2.4
Honduras,Rural,Percent,69.0
Honduras,Urban,Percent,85.0
Honduras,Total,Percent,77.0
Honduras,Ratio of urban to rural,Ratio,1.2
Hungary,Rural,Percent,100.0
Hungary,Urban,Percent,100.0
Hungary,Total,Percent,100.0
Hungary,Ratio of urban to rural,Ratio,1.0
Iceland,Rural,Percent,100.0
Iceland,Urban,Percent,100.0
Iceland,Total,Percent,100.0
Iceland,Ratio of urban to rural,Ratio,1.0
India,Rural,Percent,23.0
India,Urban,Percent,58.0
India,Total,Percent,34.0
India,Ratio of urban to rural,Ratio,2.5
Indonesia,Rural,Percent,39.0
Indonesia,Urban,Percent,73.0
Indonesia,Total,Percent,54.0
Indonesia,Ratio of urban to rural,Ratio,1.9
Iran (Islamic Republic of),Rural,Percent,100.0
Iran (Islamic Republic of),Urban,Percent,100.0
Iran (Islamic Republic of),Total,Percent,100.0
Iran (Islamic Republic of),Ratio of urban to rural,Ratio,1.0
Iraq,Rural,Percent,67.0
Iraq,Urban,Percent,76.0
Iraq,Total,Percent,73.0
Iraq,Ratio of urban to rural,Ratio,1.1
Ireland,Rural,Percent,98.0
Ireland,Urban,Percent,100.0
Ireland,Total,Percent,99.0
Ireland,Ratio of urban to rural,Ratio,1.0
Israel,Rural,Percent,100.0
Israel,Urban,Percent,100.0
Israel,Total,Percent,100.0
Israel,Ratio of urban to rural,Ratio,1.0
Jamaica,Rural,Percent,82.0
Jamaica,Urban,Percent,78.0
Jamaica,Total,Percent,80.0
Jamaica,Ratio of urban to rural,Ratio,1.0
Japan,Rural,Percent,100.0
Japan,Urban,Percent,100.0
Japan,Total,Percent,100.0
Japan,Ratio of urban to rural,Ratio,1.0
Jordan,Rural,Percent,98.0
Jordan,Urban,Percent,98.0
Jordan,Total,Percent,98.0
Jordan,Ratio of urban to rural,Ratio,1.0
Kazakhstan,Rural,Percent,98.0
Kazakhstan,Urban,Percent,97.0
Kazakhstan,Total,Percent,97.0
Kazakhstan,Ratio of urban to rural,Ratio,1.0
Kenya,Rural,Percent,32.0
Kenya,Urban,Percent,32.0
Kenya,Total,Percent,32.0
Kenya,Ratio of urban to rural,Ratio,1.0
Kuwait,Rural,Percent,100.0
Kuwait,Urban,Percent,100.0
Kuwait,Total,Percent,100.0
Kuwait,Ratio of urban to rural,Ratio,1.0
Kyrgyzstan,Rural,Percent,93.0
Kyrgyzstan,Urban,Percent,94.0
Kyrgyzstan,Total,Percent,93.0
Kyrgyzstan,Ratio of urban to rural,Ratio,1.0
Lao People's Democratic Republic,Rural,Percent,50.0
Lao People's Democratic Republic,Urban,Percent,89.0
Lao People's Democratic Republic,Total,Percent,63.0
Lao People's Democratic Republic,Ratio of urban to rural,Ratio,1.8
Latin America and Caribbean,Rural,Percent,60.0
Latin America and Caribbean,Urban,Percent,84.0
Latin America and Caribbean,Total,Percent,79.0
Latin America and Caribbean,Ratio of urban to rural,Ratio,1.4
Least Developed Countries/Territories,Rural,Percent,30.0
Least Developed Countries/Territories,Urban,Percent,48.0
Least Developed Countries/Territories,Total,Percent,35.0
Least Developed Countries/Territories,Ratio of urban to rural,Ratio,1.6
Lebanon,Urban,Percent,100.0
Lesotho,Rural,Percent,24.0
Lesotho,Urban,Percent,32.0
Lesotho,Total,Percent,26.0
Lesotho,Ratio of urban to rural,Ratio,1.3
Liberia,Rural,Percent,7.0
Liberia,Urban,Percent,29.0
Liberia,Total,Percent,18.0
Liberia,Ratio of urban to rural,Ratio,4.1
Libya,Rural,Percent,96.0
Libya,Urban,Percent,97.0
Libya,Total,Percent,97.0
Libya,Ratio of urban to rural,Ratio,1.0
Lithuania,Urban,Percent,95.0
Luxembourg,Rural,Percent,100.0
Luxembourg,Urban,Percent,100.0
Luxembourg,Total,Percent,100.0
Luxembourg,Ratio of urban to rural,Ratio,1.0
Madagascar,Rural,Percent,12.0
Madagascar,Urban,Percent,21.0
Madagascar,Total,Percent,15.0
Madagascar,Ratio of urban to rural,Ratio,1.8
Malawi,Rural,Percent,51.0
Malawi,Urban,Percent,49.0
Malawi,Total,Percent,51.0
Malawi,Ratio of urban to rural,Ratio,1.0
Malaysia,Rural,Percent,95.0
Malaysia,Urban,Percent,96.0
Malaysia,Total,Percent,96.0
Malaysia,Ratio of urban to rural,Ratio,1.0
Maldives,Rural,Percent,97.0
Maldives,Urban,Percent,98.0
Maldives,Total,Percent,97.0
Maldives,Ratio of urban to rural,Ratio,1.0
Mali,Rural,Percent,14.0
Mali,Urban,Percent,35.0
Mali,Total,Percent,22.0
Mali,Ratio of urban to rural,Ratio,2.5
Malta,Rural,Percent,100.0
Malta,Urban,Percent,100.0
Malta,Total,Percent,100.0
Malta,Ratio of urban to rural,Ratio,1.0
Marshall Islands,Rural,Percent,53.0
Marshall Islands,Urban,Percent,83.0
Marshall Islands,Total,Percent,75.0
Marshall Islands,Ratio of urban to rural,Ratio,1.6
Mauritania,Rural,Percent,9.0
Mauritania,Urban,Percent,51.0
Mauritania,Total,Percent,26.0
Mauritania,Ratio of urban to rural,Ratio,5.7
Mauritius,Rural,Percent,88.0
Mauritius,Urban,Percent,91.0
Mauritius,Total,Percent,89.0
Mauritius,Ratio of urban to rural,Ratio,1.0
Mexico,Rural,Percent,79.0
Mexico,Urban,Percent,87.0
Mexico,Total,Percent,85.0
Mexico,Ratio of urban to rural,Ratio,1.1
Middle East and North Africa,Rural,Percent,70.0
Middle East and North Africa,Urban,Percent,91.0
Middle East and North Africa,Total,Percent,82.0
Middle East and North Africa,Ratio of urban to rural,Ratio,1.3
Monaco,Urban,Percent,100.0
Monaco,Total,Percent,100.0
Mongolia,Rural,Percent,29.0
Mongolia,Urban,Percent,64.0
Mongolia,Total,Percent,51.0
Mongolia,Ratio of urban to rural,Ratio,2.2
Montenegro,Rural,Percent,87.0
Montenegro,Urban,Percent,92.0
Montenegro,Total,Percent,90.0
Montenegro,Ratio of urban to rural,Ratio,1.1
Morocco,Rural,Percent,52.0
Morocco,Urban,Percent,83.0
Morocco,Total,Percent,70.0
Morocco,Ratio of urban to rural,Ratio,1.6
Mozambique,Rural,Percent,5.0
Mozambique,Urban,Percent,38.0
Mozambique,Total,Percent,18.0
Mozambique,Ratio of urban to rural,Ratio,7.6
Myanmar,Rural,Percent,73.0
Myanmar,Urban,Percent,83.0
Myanmar,Total,Percent,76.0
Myanmar,Ratio of urban to rural,Ratio,1.1
Namibia,Rural,Percent,17.0
Namibia,Urban,Percent,57.0
Namibia,Total,Percent,32.0
Namibia,Ratio of urban to rural,Ratio,3.4
Nauru,Urban,Percent,65.0
Nauru,Total,Percent,65.0
Nepal,Rural,Percent,27.0
Nepal,Urban,Percent,48.0
Nepal,Total,Percent,31.0
Nepal,Ratio of urban to rural,Ratio,1.8
Netherlands,Rural,Percent,100.0
Netherlands,Urban,Percent,100.0
Netherlands,Total,Percent,100.0
Netherlands,Ratio of urban to rural,Ratio,1.0
Nicaragua,Rural,Percent,37.0
Nicaragua,Urban,Percent,63.0
Nicaragua,Total,Percent,52.0
Nicaragua,Ratio of urban to rural,Ratio,1.7
Niger,Rural,Percent,4.0
Niger,Urban,Percent,34.0
Niger,Total,Percent,9.0
Niger,Ratio of urban to rural,Ratio,8.5
Nigeria,Rural,Percent,27.0
Nigeria,Urban,Percent,35.0
Nigeria,Total,Percent,31.0
Nigeria,Ratio of urban to rural,Ratio,1.3
Niue,Rural,Percent,100.0
Niue,Urban,Percent,100.0
Niue,Total,Percent,100.0
Niue,Ratio of urban to rural,Ratio,1.0
Norway,Rural,Percent,100.0
Norway,Urban,Percent,100.0
Norway,Total,Percent,100.0
Norway,Ratio of urban to rural,Ratio,1.0
Oman,Rural,Percent,95.0
Oman,Urban,Percent,100.0
Oman,Total,Percent,99.0
Oman,Ratio of urban to rural,Ratio,1.1
Pakistan,Rural,Percent,34.0
Pakistan,Urban,Percent,72.0
Pakistan,Total,Percent,48.0
Pakistan,Ratio of urban to rural,Ratio,2.1
Palau,Rural,Percent,100.0
Palau,Urban,Percent,100.0
Palau,Total,Percent,100.0
Palau,Ratio of urban to rural,Ratio,1.0
Papua New Guinea,Rural,Percent,41.0
Papua New Guinea,Urban,Percent,71.0
Papua New Guinea,Total,Percent,45.0
Papua New Guinea,Ratio of urban to rural,Ratio,1.7
Paraguay,Rural,Percent,40.0
Paraguay,Urban,Percent,90.0
Paraguay,Total,Percent,71.0
Paraguay,Ratio of urban to rural,Ratio,2.3
Peru,Rural,Percent,37.0
Peru,Urban,Percent,81.0
Peru,Total,Percent,71.0
Peru,Ratio of urban to rural,Ratio,2.2
Philippines,Rural,Percent,69.0
Philippines,Urban,Percent,79.0
Philippines,Total,Percent,74.0
Philippines,Ratio of urban to rural,Ratio,1.1
Poland,Urban,Percent,96.0
Portugal,Rural,Percent,100.0
Portugal,Urban,Percent,100.0
Portugal,Total,Percent,100.0
Portugal,Ratio of urban to rural,Ratio,1.0
Qatar,Rural,Percent,100.0
Qatar,Urban,Percent,100.0
Qatar,Total,Percent,100.0
Qatar,Ratio of urban to rural,Ratio,1.0
Republic of Korea,Rural,Percent,100.0
Republic of Korea,Urban,Percent,100.0
Republic of Korea,Total,Percent,100.0
Republic of Korea,Ratio of urban to rural,Ratio,1.0
Republic of Moldova,Rural,Percent,82.0
Republic of Moldova,Urban,Percent,89.0
Republic of Moldova,Total,Percent,85.0
Republic of Moldova,Ratio of urban to rural,Ratio,1.1
Russian Federation,Rural,Percent,59.0
Russian Federation,Urban,Percent,74.0
Russian Federation,Total,Percent,70.0
Russian Federation,Ratio of urban to rural,Ratio,1.3
Rwanda,Rural,Percent,56.0
Rwanda,Urban,Percent,52.0
Rwanda,Total,Percent,55.0
Rwanda,Ratio of urban to rural,Ratio,0.9
Saint Kitts and Nevis,Rural,Percent,96.0
Saint Kitts and Nevis,Urban,Percent,96.0
Saint Kitts and Nevis,Total,Percent,96.0
Saint Kitts and Nevis,Ratio of urban to rural,Ratio,1.0
Saint Lucia,Rural,Percent,63.0
Saint Lucia,Urban,Percent,71.0
Saint Lucia,Total,Percent,65.0
Saint Lucia,Ratio of urban to rural,Ratio,1.1
Saint Vincent and the Grenadines,Rural,Percent,96.0
Samoa,Rural,Percent,98.0
Samoa,Urban,Percent,98.0
Samoa,Total,Percent,98.0
Samoa,Ratio of urban to rural,Ratio,1.0
Sao Tome and Principe,Rural,Percent,19.0
Sao Tome and Principe,Urban,Percent,30.0
Sao Tome and Principe,Total,Percent,26.0
Sao Tome and Principe,Ratio of urban to rural,Ratio,1.6
Saudi Arabia,Urban,Percent,100.0
Senegal,Rural,Percent,39.0
Senegal,Urban,Percent,70.0
Senegal,Total,Percent,52.0
Senegal,Ratio of urban to rural,Ratio,1.8
Serbia,Rural,Percent,88.0
Serbia,Urban,Percent,96.0
Serbia,Total,Percent,92.0
Serbia,Ratio of urban to rural,Ratio,1.1
Seychelles,Urban,Percent,98.0
Sierra Leone,Rural,Percent,6.0
Sierra Leone,Urban,Percent,23.0
Sierra Leone,Total,Percent,13.0
Sierra Leone,Ratio of urban to rural,Ratio,3.8
Singapore,Urban,Percent,100.0
Singapore,Total,Percent,100.0
Slovakia,Rural,Percent,99.0
Slovakia,Urban,Percent,100.0
Slovakia,Total,Percent,100.0
Slovakia,Ratio of urban to rural,Ratio,1.0
Slovenia,Rural,Percent,100.0
Slovenia,Urban,Percent,100.0
Slovenia,Total,Percent,100.0
Slovenia,Ratio of urban to rural,Ratio,1.0
Solomon Islands,Urban,Percent,98.0
Somalia,Rural,Percent,6.0
Somalia,Urban,Percent,52.0
Somalia,Total,Percent,23.0
Somalia,Ratio of urban to rural,Ratio,8.7
South Africa,Rural,Percent,67.0
South Africa,Urban,Percent,86.0
South Africa,Total,Percent,79.0
South Africa,Ratio of urban to rural,Ratio,1.3
South Asia,Rural,Percent,28.0
South Asia,Urban,Percent,60.0
South Asia,Total,Percent,38.0
South Asia,Ratio of urban to rural,Ratio,2.1
Spain,Rural,Percent,100.0
Spain,Urban,Percent,100.0
Spain,Total,Percent,100.0
Spain,Ratio of urban to rural,Ratio,1.0
Sri Lanka,Rural,Percent,93.0
Sri Lanka,Urban,Percent,88.0
Sri Lanka,Total,Percent,92.0
Sri Lanka,Ratio of urban to rural,Ratio,0.9
State of Palestine,Rural,Percent,92.0
State of Palestine,Urban,Percent,92.0
State of Palestine,Total,Percent,92.0
State of Palestine,Ratio of urban to rural,Ratio,1.0
Sub-Saharan Africa,Rural,Percent,23.0
Sub-Saharan Africa,Urban,Percent,43.0
Sub-Saharan Africa,Total,Percent,30.0
Sub-Saharan Africa,Ratio of urban to rural,Ratio,1.9
Sudan (pre-cession),Rural,Percent,14.0
Sudan (pre-cession),Urban,Percent,44.0
Sudan (pre-cession),Total,Percent,26.0
Sudan (pre-cession),Ratio of urban to rural,Ratio,3.1
Suriname,Rural,Percent,66.0
Suriname,Urban,Percent,90.0
Suriname,Total,Percent,83.0
Suriname,Ratio of urban to rural,Ratio,1.4
Swaziland,Rural,Percent,55.0
Swaziland,Urban,Percent,64.0
Swaziland,Total,Percent,57.0
Swaziland,Ratio of urban to rural,Ratio,1.2
Sweden,Rural,Percent,100.0
Sweden,Urban,Percent,100.0
Sweden,Total,Percent,100.0
Sweden,Ratio of urban to rural,Ratio,1.0
Switzerland,Rural,Percent,100.0
Switzerland,Urban,Percent,100.0
Switzerland,Total,Percent,100.0
Switzerland,Ratio of urban to rural,Ratio,1.0
Syrian Arab Republic,Rural,Percent,93.0
Syrian Arab Republic,Urban,Percent,96.0
Syrian Arab Republic,Total,Percent,95.0
Syrian Arab Republic,Ratio of urban to rural,Ratio,1.0
Tajikistan,Rural,Percent,94.0
Tajikistan,Urban,Percent,95.0
Tajikistan,Total,Percent,94.0
Tajikistan,Ratio of urban to rural,Ratio,1.0
Thailand,Rural,Percent,96.0
Thailand,Urban,Percent,95.0
Thailand,Total,Percent,96.0
Thailand,Ratio of urban to rural,Ratio,1.0
The former Yugoslav Republic of Macedonia,Rural,Percent,82.0
The former Yugoslav Republic of Macedonia,Urban,Percent,92.0
The former Yugoslav Republic of Macedonia,Total,Percent,88.0
The former Yugoslav Republic of Macedonia,Ratio of urban to rural,Ratio,1.1
Timor-Leste,Rural,Percent,37.0
Timor-Leste,Urban,Percent,73.0
Timor-Leste,Total,Percent,47.0
Timor-Leste,Ratio of urban to rural,Ratio,2.0
Togo,Rural,Percent,3.0
Togo,Urban,Percent,26.0
Togo,Total,Percent,13.0
Togo,Ratio of urban to rural,Ratio,8.7
Tonga,Rural,Percent,96.0
Tonga,Urban,Percent,98.0
Tonga,Total,Percent,96.0
Tonga,Ratio of urban to rural,Ratio,1.0
Trinidad and Tobago,Rural,Percent,92.0
Trinidad and Tobago,Urban,Percent,92.0
Trinidad and Tobago,Total,Percent,92.0
Trinidad and Tobago,Ratio of urban to rural,Ratio,1.0
Tunisia,Urban,Percent,96.0
Turkey,Rural,Percent,75.0
Turkey,Urban,Percent,97.0
Turkey,Total,Percent,90.0
Turkey,Ratio of urban to rural,Ratio,1.3
Turkmenistan,Rural,Percent,97.0
Turkmenistan,Urban,Percent,99.0
Turkmenistan,Total,Percent,98.0
Turkmenistan,Ratio of urban to rural,Ratio,1.0
Tuvalu,Rural,Percent,81.0
Tuvalu,Urban,Percent,88.0
Tuvalu,Total,Percent,85.0
Tuvalu,Ratio of urban to rural,Ratio,1.1
Uganda,Rural,Percent,34.0
Uganda,Urban,Percent,34.0
Uganda,Total,Percent,34.0
Uganda,Ratio of urban to rural,Ratio,1.0
Ukraine,Rural,Percent,89.0
Ukraine,Urban,Percent,96.0
Ukraine,Total,Percent,94.0
Ukraine,Ratio of urban to rural,Ratio,1.1
United Arab Emirates,Rural,Percent,95.0
United Arab Emirates,Urban,Percent,98.0
United Arab Emirates,Total,Percent,98.0
United Arab Emirates,Ratio of urban to rural,Ratio,1.0
United Kingdom,Rural,Percent,100.0
United Kingdom,Urban,Percent,100.0
United Kingdom,Total,Percent,100.0
United Kingdom,Ratio of urban to rural,Ratio,1.0
United Republic of Tanzania,Rural,Percent,7.0
United Republic of Tanzania,Urban,Percent,20.0
United Republic of Tanzania,Total,Percent,10.0
United Republic of Tanzania,Ratio of urban to rural,Ratio,2.9
United States,Rural,Percent,99.0
United States,Urban,Percent,100.0
United States,Total,Percent,100.0
United States,Ratio of urban to rural,Ratio,1.0
Uruguay,Rural,Percent,99.0
Uruguay,Urban,Percent,100.0
Uruguay,Total,Percent,100.0
Uruguay,Ratio of urban to rural,Ratio,1.0
Uzbekistan,Rural,Percent,100.0
