Country or Area,Year,Total fertility rate (TFR)
Jordan,1990.0,5.8
Jordan,1970.0,7.9
Kazakhstan,2011.0,2.5
Kazakhstan,1990.0,2.8
Kazakhstan,1970.0,3.5
Kenya,2011.0,4.7
Kenya,1990.0,6.0
Kenya,1970.0,8.1
Kuwait,2011.0,2.3
Kuwait,1990.0,2.6
Kuwait,1970.0,7.2
Kyrgyzstan,2011.0,2.7
Kyrgyzstan,1990.0,3.9
Kyrgyzstan,1970.0,4.9
Lao People's Democratic Republic,2011.0,2.7
Lao People's Democratic Republic,1990.0,6.2
Lao People's Democratic Republic,1970.0,6.0
Latin America and Caribbean,2011.0,2.2
Latin America and Caribbean,1990.0,3.2
Latin America and Caribbean,1970.0,5.3
Latvia,2011.0,1.5
Latvia,1990.0,1.9
Latvia,1970.0,1.9
Least Developed Countries/Territories,2011.0,4.2
Least Developed Countries/Territories,1990.0,5.9
Least Developed Countries/Territories,1970.0,6.7
Lebanon,2011.0,1.8
Lebanon,1990.0,3.1
Lebanon,1970.0,5.1
Lesotho,2011.0,3.1
Lesotho,1990.0,4.9
Lesotho,1970.0,5.8
Liberia,2011.0,5.2
Liberia,1990.0,6.5
Liberia,1970.0,6.7
Libya,2011.0,2.5
Libya,1990.0,4.8
Libya,1970.0,7.6
Lithuania,2011.0,1.5
Lithuania,1990.0,2.0
Lithuania,1970.0,2.3
Luxembourg,2011.0,1.7
Luxembourg,1990.0,1.6
Luxembourg,1970.0,2.0
Madagascar,2011.0,4.6
Madagascar,1990.0,6.3
Madagascar,1970.0,7.3
Malawi,2011.0,6.0
Malawi,1990.0,6.8
Malawi,1970.0,7.3
Malaysia,2011.0,2.6
Malaysia,1990.0,3.5
Malaysia,1970.0,4.9
Maldives,2011.0,1.7
Maldives,1990.0,6.1
Maldives,1970.0,7.2
Mali,2011.0,6.2
Mali,1990.0,7.1
Mali,1970.0,6.9
Malta,2011.0,1.3
Malta,1990.0,2.1
Malta,1970.0,2.0
Mauritania,2011.0,4.5
Mauritania,1990.0,5.9
Mauritania,1970.0,6.8
Mauritius,2011.0,1.6
Mauritius,1990.0,2.3
Mauritius,1970.0,4.0
Mexico,2011.0,2.3
Mexico,1990.0,3.4
Mexico,1970.0,6.7
Micronesia (Federated States of),2011.0,3.4
Micronesia (Federated States of),1990.0,5.0
Micronesia (Federated States of),1970.0,6.9
Middle East and North Africa,2011.0,2.8
Middle East and North Africa,1990.0,5.0
Middle East and North Africa,1970.0,6.7
Mongolia,2011.0,2.5
Mongolia,1990.0,4.1
Mongolia,1970.0,7.6
Montenegro,2011.0,1.6
Montenegro,1990.0,1.9
Montenegro,1970.0,2.4
Morocco,2011.0,2.2
Morocco,1990.0,4.0
Morocco,1970.0,7.1
Mozambique,2011.0,4.8
Mozambique,1990.0,6.2
Mozambique,1970.0,6.6
Myanmar,2011.0,2.0
Myanmar,1990.0,3.4
Myanmar,1970.0,6.1
Namibia,2011.0,3.2
Namibia,1990.0,5.2
Namibia,1970.0,6.5
Nepal,2011.0,2.7
Nepal,1990.0,5.2
Nepal,1970.0,6.1
Netherlands,2011.0,1.8
Netherlands,1990.0,1.6
Netherlands,1970.0,2.4
New Zealand,2011.0,2.2
New Zealand,1990.0,2.1
New Zealand,1970.0,3.1
Nicaragua,2011.0,2.6
Nicaragua,1990.0,4.8
Nicaragua,1970.0,6.9
Niger,2011.0,7.0
Niger,1990.0,7.8
Niger,1970.0,7.4
Nigeria,2011.0,5.5
Nigeria,1990.0,6.4
Nigeria,1970.0,6.5
Norway,2011.0,1.9
Norway,1990.0,1.9
Norway,1970.0,2.5
Oman,2011.0,2.2
Oman,1990.0,7.2
Oman,1970.0,7.3
Pakistan,2011.0,3.3
Pakistan,1990.0,6.0
Pakistan,1970.0,6.6
Panama,2011.0,2.5
Panama,1990.0,3.0
Panama,1970.0,5.3
Papua New Guinea,2011.0,3.9
Papua New Guinea,1990.0,4.8
Papua New Guinea,1970.0,6.2
Paraguay,2011.0,2.9
Paraguay,1990.0,4.5
Paraguay,1970.0,5.7
Peru,2011.0,2.5
Peru,1990.0,3.8
Peru,1970.0,6.3
Philippines,2011.0,3.1
Philippines,1990.0,4.3
Philippines,1970.0,6.3
Poland,2011.0,1.4
Poland,1990.0,2.0
Poland,1970.0,2.2
Portugal,2011.0,1.3
Portugal,1990.0,1.5
Portugal,1970.0,3.0
Qatar,2011.0,2.2
Qatar,1990.0,4.2
Qatar,1970.0,6.9
Republic of Korea,2011.0,1.4
Republic of Korea,1990.0,1.6
Republic of Korea,1970.0,4.5
Republic of Moldova,2011.0,1.5
Republic of Moldova,1990.0,2.4
Republic of Moldova,1970.0,2.6
Romania,2011.0,1.4
Romania,1990.0,1.9
Romania,1970.0,2.9
Russian Federation,2011.0,1.5
Russian Federation,1990.0,1.9
Russian Federation,1970.0,2.0
Rwanda,2011.0,5.3
Rwanda,1990.0,7.0
Rwanda,1970.0,8.1
Saint Lucia,2011.0,2.0
Saint Lucia,1990.0,3.4
Saint Lucia,1970.0,6.1
Saint Vincent and the Grenadines,2011.0,2.0
Saint Vincent and the Grenadines,1990.0,3.0
Saint Vincent and the Grenadines,1970.0,6.0
Samoa,2011.0,3.8
Samoa,1990.0,4.8
Samoa,1970.0,6.1
Sao Tome and Principe,2011.0,3.6
Sao Tome and Principe,1990.0,5.4
Sao Tome and Principe,1970.0,6.5
Saudi Arabia,2011.0,2.7
Saudi Arabia,1990.0,5.8
Saudi Arabia,1970.0,7.3
Senegal,2011.0,4.7
Senegal,1990.0,6.6
Senegal,1970.0,7.4
Serbia,2011.0,1.6
Serbia,1990.0,2.1
Serbia,1970.0,2.4
Sierra Leone,2011.0,4.9
Sierra Leone,1990.0,5.7
Sierra Leone,1970.0,5.9
Singapore,2011.0,1.3
Singapore,1990.0,1.8
Singapore,1970.0,3.2
Slovakia,2011.0,1.3
Slovakia,1990.0,2.0
Slovakia,1970.0,2.5
Slovenia,2011.0,1.5
Slovenia,1990.0,1.5
Slovenia,1970.0,2.3
Solomon Islands,2011.0,4.2
Solomon Islands,1990.0,5.9
Solomon Islands,1970.0,6.9
Somalia,2011.0,6.3
Somalia,1990.0,6.6
Somalia,1970.0,7.2
South Africa,2011.0,2.4
South Africa,1990.0,3.7
South Africa,1970.0,5.6
South Asia,2011.0,2.7
South Asia,1990.0,4.2
South Asia,1970.0,5.7
Spain,2011.0,1.5
Spain,1990.0,1.3
Spain,1970.0,2.9
Sri Lanka,2011.0,2.3
Sri Lanka,1990.0,2.5
Sri Lanka,1970.0,4.3
State of Palestine,2011.0,4.4
State of Palestine,1990.0,6.5
State of Palestine,1970.0,7.9
Sub-Saharan Africa,2011.0,4.9
Sub-Saharan Africa,1990.0,6.2
Sub-Saharan Africa,1970.0,6.7
Sudan (pre-cession),2011.0,4.3
Sudan (pre-cession),1990.0,6.0
Sudan (pre-cession),1970.0,6.6
Suriname,2011.0,2.3
Suriname,1990.0,2.7
Suriname,1970.0,5.7
Swaziland,2011.0,3.3
Swaziland,1990.0,5.7
Swaziland,1970.0,6.9
Sweden,2011.0,1.9
Sweden,1990.0,2.0
Sweden,1970.0,2.0
Switzerland,2011.0,1.5
Switzerland,1990.0,1.5
Switzerland,1970.0,2.1
Syrian Arab Republic,2011.0,2.9
Syrian Arab Republic,1990.0,5.3
Syrian Arab Republic,1970.0,7.6
Tajikistan,2011.0,3.2
Tajikistan,1990.0,5.2
Tajikistan,1970.0,6.9
Thailand,2011.0,1.6
Thailand,1990.0,2.1
Thailand,1970.0,5.6
The former Yugoslav Republic of Macedonia,2011.0,1.4
The former Yugoslav Republic of Macedonia,1990.0,2.1
The former Yugoslav Republic of Macedonia,1970.0,3.1
Timor-Leste,2011.0,6.1
Timor-Leste,1990.0,5.3
Timor-Leste,1970.0,5.9
Togo,2011.0,4.0
Togo,1990.0,6.3
Togo,1970.0,7.1
Tonga,2011.0,3.9
Tonga,1990.0,4.6
Tonga,1970.0,5.9
Trinidad and Tobago,2011.0,1.6
Trinidad and Tobago,1990.0,2.4
Trinidad and Tobago,1970.0,3.5
Tunisia,2011.0,2.0
Tunisia,1990.0,3.6
Tunisia,1970.0,6.6
Turkey,2011.0,2.1
Turkey,1990.0,3.0
Turkey,1970.0,5.5
Turkmenistan,2011.0,2.4
Turkmenistan,1990.0,4.3
Turkmenistan,1970.0,6.3
Uganda,2011.0,6.1
Uganda,1990.0,7.1
Uganda,1970.0,7.1
Ukraine,2011.0,1.5
Ukraine,1990.0,1.9
Ukraine,1970.0,2.1
United Arab Emirates,2011.0,1.7
United Arab Emirates,1990.0,4.4
United Arab Emirates,1970.0,6.6
United Kingdom,2011.0,1.9
United Kingdom,1990.0,1.8
United Kingdom,1970.0,2.3
United Republic of Tanzania,2011.0,5.5
United Republic of Tanzania,1990.0,6.2
United Republic of Tanzania,1970.0,6.8
United States,2011.0,2.1
United States,1990.0,1.9
United States,1970.0,2.2
Uruguay,2011.0,2.1
Uruguay,1990.0,2.5
Uruguay,1970.0,2.9
Uzbekistan,2011.0,2.3
Uzbekistan,1990.0,4.2
Uzbekistan,1970.0,6.5
Vanuatu,2011.0,3.8
Vanuatu,1990.0,4.9
Vanuatu,1970.0,6.3
Venezuela (Bolivarian Republic of),2011.0,2.4
Venezuela (Bolivarian Republic of),1990.0,3.4
Venezuela (Bolivarian Republic of),1970.0,5.4
Viet Nam,2011.0,1.8
Viet Nam,1990.0,3.6
Viet Nam,1970.0,7.4
Western and Central Africa,2011.0,5.3
Western and Central Africa,1990.0,6.5
Western and Central Africa,1970.0,6.6
World,2011.0,2.4
World,1990.0,3.2
World,1970.0,4.7
Yemen,2011.0,5.1
Yemen,1990.0,8.7
Yemen,1970.0,7.5
Zambia,2011.0,6.3
Zambia,1990.0,6.5
Zambia,1970.0,7.4
Zimbabwe,2011.0,3.2
Zimbabwe,1990.0,5.2
Zimbabwe,1970.0,7.4
