Country or Area,Subgroup,Unit,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding
Burkina Faso,Richest 20%,Percent,31.0
Burkina Faso,Ratio of richest to poorest,Ratio,2.5
Burundi,Total <5 yr,Percent,38.0
Burundi,Rural,Percent,38.0
Burundi,Urban,Percent,33.0
Burundi,Ratio of urban to rural,Ratio,0.9
Burundi,Poorest 20%,Percent,35.0
Burundi,Richest 20%,Percent,42.0
Burundi,Ratio of richest to poorest,Ratio,1.2
Cambodia,Total <5 yr,Percent,34.0
Cambodia,Rural,Percent,34.0
Cambodia,Urban,Percent,33.0
Cambodia,Ratio of urban to rural,Ratio,1.0
Cambodia,Poorest 20%,Percent,32.0
Cambodia,Richest 20%,Percent,34.0
Cambodia,Ratio of richest to poorest,Ratio,1.1
Cameroon,Total <5 yr,Percent,17.0
Cameroon,Rural,Percent,12.0
Cameroon,Urban,Percent,27.0
Cameroon,Ratio of urban to rural,Ratio,2.2
Cameroon,Poorest 20%,Percent,5.0
Cameroon,Richest 20%,Percent,34.0
Cameroon,Ratio of richest to poorest,Ratio,6.8
Central African Republic,Total <5 yr,Percent,16.0
Central African Republic,Rural,Percent,12.0
Central African Republic,Urban,Percent,23.0
Central African Republic,Ratio of urban to rural,Ratio,2.0
Central African Republic,Poorest 20%,Percent,11.0
Central African Republic,Richest 20%,Percent,28.0
Central African Republic,Ratio of richest to poorest,Ratio,2.5
Chad,Total <5 yr,Percent,13.0
Chad,Rural,Percent,10.0
Chad,Urban,Percent,27.0
Chad,Ratio of urban to rural,Ratio,2.8
Chad,Poorest 20%,Percent,5.0
Chad,Richest 20%,Percent,29.0
Chad,Ratio of richest to poorest,Ratio,5.3
Colombia,Total <5 yr,Percent,54.0
Colombia,Rural,Percent,49.0
Colombia,Urban,Percent,57.0
Colombia,Ratio of urban to rural,Ratio,1.2
Colombia,Poorest 20%,Percent,47.0
Colombia,Richest 20%,Percent,61.0
Colombia,Ratio of richest to poorest,Ratio,1.3
Comoros,Total <5 yr,Percent,19.0
Comoros,Rural,Percent,17.0
Comoros,Urban,Percent,25.0
Comoros,Ratio of urban to rural,Ratio,1.5
Comoros,Poorest 20%,Percent,16.0
Comoros,Richest 20%,Percent,24.0
Comoros,Ratio of richest to poorest,Ratio,1.5
Congo,Total <5 yr,Percent,35.0
Congo,Rural,Percent,27.0
Congo,Urban,Percent,38.0
Congo,Ratio of urban to rural,Ratio,1.4
Congo,Poorest 20%,Percent,13.0
Congo,Richest 20%,Percent,18.0
Congo,Ratio of richest to poorest,Ratio,1.4
Côte d'Ivoire,Total <5 yr,Percent,17.0
Côte d'Ivoire,Rural,Percent,14.0
Côte d'Ivoire,Urban,Percent,22.0
Côte d'Ivoire,Ratio of urban to rural,Ratio,1.5
Côte d'Ivoire,Poorest 20%,Percent,6.0
Côte d'Ivoire,Richest 20%,Percent,12.0
Côte d'Ivoire,Ratio of richest to poorest,Ratio,2.0
Cuba,Total <5 yr,Percent,51.0
Cuba,Rural,Percent,37.0
Cuba,Urban,Percent,54.0
Cuba,Ratio of urban to rural,Ratio,1.4
Democratic People's Republic of Korea,Total <5 yr,Percent,74.0
Democratic People's Republic of Korea,Rural,Percent,73.0
Democratic People's Republic of Korea,Urban,Percent,75.0
Democratic People's Republic of Korea,Ratio of urban to rural,Ratio,1.0
Democratic Republic of the Congo,Total <5 yr,Percent,27.0
Democratic Republic of the Congo,Rural,Percent,27.0
Democratic Republic of the Congo,Urban,Percent,26.0
Democratic Republic of the Congo,Ratio of urban to rural,Ratio,1.0
Democratic Republic of the Congo,Poorest 20%,Percent,28.0
Democratic Republic of the Congo,Richest 20%,Percent,26.0
Democratic Republic of the Congo,Ratio of richest to poorest,Ratio,0.9
Djibouti,Total <5 yr,Percent,62.0
Dominican Republic,Total <5 yr,Percent,41.0
Dominican Republic,Rural,Percent,39.0
Dominican Republic,Urban,Percent,42.0
Dominican Republic,Ratio of urban to rural,Ratio,1.1
Dominican Republic,Poorest 20%,Percent,41.0
Dominican Republic,Richest 20%,Percent,38.0
Dominican Republic,Ratio of richest to poorest,Ratio,0.9
East Asia and Pacific,Total <5 yr,Percent,43.0
East Asia and Pacific,Rural,Percent,41.0
East Asia and Pacific,Urban,Percent,46.0
East Asia and Pacific,Ratio of urban to rural,Ratio,1.1
East Asia and Pacific,Poorest 20%,Percent,36.0
East Asia and Pacific,Richest 20%,Percent,41.0
East Asia and Pacific,Ratio of richest to poorest,Ratio,1.1
Eastern and Southern Africa,Total <5 yr,Percent,39.0
Eastern and Southern Africa,Rural,Percent,38.0
Eastern and Southern Africa,Urban,Percent,46.0
Eastern and Southern Africa,Ratio of urban to rural,Ratio,1.2
Eastern and Southern Africa,Poorest 20%,Percent,34.0
Eastern and Southern Africa,Richest 20%,Percent,44.0
Eastern and Southern Africa,Ratio of richest to poorest,Ratio,1.3
Egypt,Total <5 yr,Percent,28.0
Egypt,Rural,Percent,29.0
Egypt,Urban,Percent,28.0
Egypt,Ratio of urban to rural,Ratio,1.0
Egypt,Poorest 20%,Percent,34.0
Egypt,Richest 20%,Percent,23.0
Egypt,Ratio of richest to poorest,Ratio,0.7
El Salvador,Total <5 yr,Percent,58.0
El Salvador,Rural,Percent,56.0
El Salvador,Urban,Percent,60.0
El Salvador,Ratio of urban to rural,Ratio,1.1
Equatorial Guinea,Total <5 yr,Percent,29.0
Equatorial Guinea,Rural,Percent,19.0
Equatorial Guinea,Urban,Percent,43.0
Equatorial Guinea,Ratio of urban to rural,Ratio,2.2
Equatorial Guinea,Poorest 20%,Percent,24.0
Equatorial Guinea,Richest 20%,Percent,37.0
Equatorial Guinea,Ratio of richest to poorest,Ratio,1.5
Eritrea,Total <5 yr,Percent,45.0
Eritrea,Rural,Percent,39.0
Eritrea,Urban,Percent,59.0
Eritrea,Ratio of urban to rural,Ratio,1.5
Ethiopia,Total <5 yr,Percent,26.0
Ethiopia,Rural,Percent,24.0
Ethiopia,Urban,Percent,45.0
Ethiopia,Ratio of urban to rural,Ratio,1.9
Ethiopia,Poorest 20%,Percent,18.0
Ethiopia,Richest 20%,Percent,45.0
Ethiopia,Ratio of richest to poorest,Ratio,2.5
Gabon,Total <5 yr,Percent,25.0
Gabon,Rural,Percent,29.0
Gabon,Urban,Percent,23.0
Gabon,Ratio of urban to rural,Ratio,0.8
Gambia,Total <5 yr,Percent,39.0
Gambia,Rural,Percent,39.0
Gambia,Urban,Percent,39.0
Gambia,Ratio of urban to rural,Ratio,1.0
Gambia,Poorest 20%,Percent,43.0
Gambia,Richest 20%,Percent,32.0
Gambia,Ratio of richest to poorest,Ratio,0.7
Georgia,Total <5 yr,Percent,40.0
Georgia,Rural,Percent,36.0
Georgia,Urban,Percent,44.0
Georgia,Ratio of urban to rural,Ratio,1.2
Ghana,Total <5 yr,Percent,35.0
Ghana,Rural,Percent,34.0
Ghana,Urban,Percent,37.0
Ghana,Ratio of urban to rural,Ratio,1.1
Ghana,Poorest 20%,Percent,45.0
Ghana,Richest 20%,Percent,34.0
Ghana,Ratio of richest to poorest,Ratio,0.7
Guatemala,Total <5 yr,Percent,37.0
Guatemala,Rural,Percent,37.0
Guatemala,Urban,Percent,38.0
Guatemala,Ratio of urban to rural,Ratio,1.0
Guatemala,Poorest 20%,Percent,39.0
Guatemala,Richest 20%,Percent,51.0
Guatemala,Ratio of richest to poorest,Ratio,1.3
Guinea,Total <5 yr,Percent,33.0
Guinea,Rural,Percent,28.0
Guinea,Urban,Percent,52.0
Guinea,Ratio of urban to rural,Ratio,1.9
Guinea,Poorest 20%,Percent,18.0
Guinea,Richest 20%,Percent,59.0
Guinea,Ratio of richest to poorest,Ratio,3.3
Guinea-Bissau,Total <5 yr,Percent,19.0
Guinea-Bissau,Rural,Percent,13.0
Guinea-Bissau,Urban,Percent,28.0
Guinea-Bissau,Ratio of urban to rural,Ratio,2.1
Guinea-Bissau,Poorest 20%,Percent,16.0
Guinea-Bissau,Richest 20%,Percent,37.0
Guinea-Bissau,Ratio of richest to poorest,Ratio,2.3
Guyana,Total <5 yr,Percent,50.0
Guyana,Rural,Percent,38.0
Guyana,Urban,Percent,42.0
Guyana,Ratio of urban to rural,Ratio,1.1
Haiti,Total <5 yr,Percent,40.0
Haiti,Rural,Percent,35.0
Haiti,Urban,Percent,51.0
Haiti,Ratio of urban to rural,Ratio,1.4
Haiti,Poorest 20%,Percent,29.0
Haiti,Richest 20%,Percent,50.0
Haiti,Ratio of richest to poorest,Ratio,1.7
Honduras,Total <5 yr,Percent,56.0
Honduras,Rural,Percent,56.0
Honduras,Urban,Percent,55.0
Honduras,Ratio of urban to rural,Ratio,1.0
Honduras,Poorest 20%,Percent,56.0
Honduras,Richest 20%,Percent,47.0
Honduras,Ratio of richest to poorest,Ratio,0.8
India,Total <5 yr,Percent,26.0
India,Rural,Percent,24.0
India,Urban,Percent,33.0
India,Ratio of urban to rural,Ratio,1.4
India,Poorest 20%,Percent,19.0
India,Richest 20%,Percent,43.0
India,Ratio of richest to poorest,Ratio,2.3
Indonesia,Total <5 yr,Percent,35.0
Indonesia,Rural,Percent,35.0
Indonesia,Urban,Percent,33.0
Indonesia,Ratio of urban to rural,Ratio,0.9
Indonesia,Poorest 20%,Percent,32.0
Indonesia,Richest 20%,Percent,27.0
Indonesia,Ratio of richest to poorest,Ratio,0.9
Iraq,Total <5 yr,Percent,31.0
Iraq,Rural,Percent,32.0
Iraq,Urban,Percent,30.0
Iraq,Ratio of urban to rural,Ratio,0.9
Jamaica,Total <5 yr,Percent,40.0
Jordan,Total <5 yr,Percent,20.0
Jordan,Rural,Percent,20.0
Jordan,Urban,Percent,20.0
Jordan,Ratio of urban to rural,Ratio,1.0
Jordan,Poorest 20%,Percent,18.0
Jordan,Richest 20%,Percent,30.0
Jordan,Ratio of richest to poorest,Ratio,1.6
Kazakhstan,Total <5 yr,Percent,74.0
Kenya,Total <5 yr,Percent,39.0
Kenya,Rural,Percent,39.0
Kenya,Urban,Percent,40.0
Kenya,Ratio of urban to rural,Ratio,1.0
Kenya,Poorest 20%,Percent,40.0
Kenya,Richest 20%,Percent,37.0
Kenya,Ratio of richest to poorest,Ratio,0.9
Kiribati,Total <5 yr,Percent,62.0
Kyrgyzstan,Total <5 yr,Percent,20.0
Lao People's Democratic Republic,Total <5 yr,Percent,46.0
Lao People's Democratic Republic,Rural,Percent,43.0
Lao People's Democratic Republic,Urban,Percent,79.0
Lao People's Democratic Republic,Ratio of urban to rural,Ratio,1.9
Lao People's Democratic Republic,Poorest 20%,Percent,42.0
Lao People's Democratic Republic,Richest 20%,Percent,80.0
Lao People's Democratic Republic,Ratio of richest to poorest,Ratio,1.9
Least Developed Countries/Territories,Total <5 yr,Percent,42.0
Least Developed Countries/Territories,Rural,Percent,41.0
Least Developed Countries/Territories,Urban,Percent,47.0
Least Developed Countries/Territories,Ratio of urban to rural,Ratio,1.1
Least Developed Countries/Territories,Poorest 20%,Percent,40.0
Least Developed Countries/Territories,Richest 20%,Percent,47.0
Least Developed Countries/Territories,Ratio of richest to poorest,Ratio,1.2
Lebanon,Total <5 yr,Percent,44.0
Lesotho,Total <5 yr,Percent,51.0
Lesotho,Rural,Percent,50.0
Lesotho,Urban,Percent,57.0
Lesotho,Ratio of urban to rural,Ratio,1.1
Liberia,Total <5 yr,Percent,53.0
Liberia,Rural,Percent,52.0
Liberia,Urban,Percent,57.0
Liberia,Ratio of urban to rural,Ratio,1.1
Liberia,Poorest 20%,Percent,41.0
Liberia,Richest 20%,Percent,64.0
Liberia,Ratio of richest to poorest,Ratio,1.6
Madagascar,Total <5 yr,Percent,17.0
Madagascar,Rural,Percent,14.0
Madagascar,Urban,Percent,32.0
Madagascar,Ratio of urban to rural,Ratio,2.2
Madagascar,Poorest 20%,Percent,12.0
Madagascar,Richest 20%,Percent,29.0
Madagascar,Ratio of richest to poorest,Ratio,2.4
Malawi,Total <5 yr,Percent,69.0
Malawi,Rural,Percent,69.0
Malawi,Urban,Percent,72.0
Malawi,Ratio of urban to rural,Ratio,1.0
Malawi,Poorest 20%,Percent,67.0
Malawi,Richest 20%,Percent,73.0
Malawi,Ratio of richest to poorest,Ratio,1.1
Maldives,Total <5 yr,Percent,57.0
Mali,Total <5 yr,Percent,14.0
Mali,Rural,Percent,11.0
Mali,Urban,Percent,26.0
Mali,Ratio of urban to rural,Ratio,2.3
Mali,Poorest 20%,Percent,8.0
Mali,Richest 20%,Percent,29.0
Mali,Ratio of richest to poorest,Ratio,3.5
Mauritania,Total <5 yr,Percent,20.0
Mauritania,Rural,Percent,11.0
Mauritania,Urban,Percent,16.0
Mauritania,Ratio of urban to rural,Ratio,1.5
Mauritania,Poorest 20%,Percent,10.0
Mauritania,Richest 20%,Percent,34.0
Mauritania,Ratio of richest to poorest,Ratio,3.2
Mongolia,Total <5 yr,Percent,38.0
Mongolia,Rural,Percent,36.0
Mongolia,Urban,Percent,41.0
Mongolia,Ratio of urban to rural,Ratio,1.1
Montenegro,Total <5 yr,Percent,16.0
Morocco,Total <5 yr,Percent,23.0
Morocco,Rural,Percent,18.0
Morocco,Urban,Percent,28.0
Morocco,Ratio of urban to rural,Ratio,1.5
Morocco,Poorest 20%,Percent,18.0
Morocco,Richest 20%,Percent,25.0
Morocco,Ratio of richest to poorest,Ratio,1.4
Mozambique,Total <5 yr,Percent,55.0
Mozambique,Rural,Percent,50.0
Mozambique,Urban,Percent,65.0
Mozambique,Ratio of urban to rural,Ratio,1.3
Mozambique,Poorest 20%,Percent,40.0
Mozambique,Richest 20%,Percent,50.0
Mozambique,Ratio of richest to poorest,Ratio,1.3
Myanmar,Total <5 yr,Percent,61.0
Myanmar,Rural,Percent,56.0
Myanmar,Urban,Percent,72.0
Myanmar,Ratio of urban to rural,Ratio,1.3
Myanmar,Poorest 20%,Percent,52.0
Myanmar,Richest 20%,Percent,75.0
Myanmar,Ratio of richest to poorest,Ratio,1.4
Namibia,Total <5 yr,Percent,63.0
Namibia,Rural,Percent,60.0
Namibia,Urban,Percent,67.0
Namibia,Ratio of urban to rural,Ratio,1.1
Namibia,Poorest 20%,Percent,50.0
Namibia,Richest 20%,Percent,59.0
Namibia,Ratio of richest to poorest,Ratio,1.2
Nepal,Total <5 yr,Percent,39.0
Nepal,Rural,Percent,39.0
Nepal,Urban,Percent,44.0
Nepal,Ratio of urban to rural,Ratio,1.1
Nepal,Poorest 20%,Percent,39.0
Nepal,Richest 20%,Percent,36.0
Nepal,Ratio of richest to poorest,Ratio,0.9
Nicaragua,Total <5 yr,Percent,59.0
Nicaragua,Rural,Percent,55.0
Nicaragua,Urban,Percent,64.0
Nicaragua,Ratio of urban to rural,Ratio,1.2
Nicaragua,Poorest 20%,Percent,53.0
Nicaragua,Richest 20%,Percent,64.0
Nicaragua,Ratio of richest to poorest,Ratio,1.2
Niger,Total <5 yr,Percent,34.0
Niger,Rural,Percent,16.0
Niger,Urban,Percent,31.0
Niger,Ratio of urban to rural,Ratio,2.0
Niger,Poorest 20%,Percent,14.0
Niger,Richest 20%,Percent,32.0
Niger,Ratio of richest to poorest,Ratio,2.3
Nigeria,Total <5 yr,Percent,26.0
Nigeria,Rural,Percent,21.0
Nigeria,Urban,Percent,41.0
Nigeria,Ratio of urban to rural,Ratio,1.9
Nigeria,Poorest 20%,Percent,15.0
Nigeria,Richest 20%,Percent,53.0
Nigeria,Ratio of richest to poorest,Ratio,3.5
Pakistan,Total <5 yr,Percent,41.0
Pakistan,Rural,Percent,40.0
Pakistan,Urban,Percent,44.0
Pakistan,Ratio of urban to rural,Ratio,1.1
Pakistan,Poorest 20%,Percent,41.0
Pakistan,Richest 20%,Percent,44.0
Pakistan,Ratio of richest to poorest,Ratio,1.1
Peru,Total <5 yr,Percent,32.0
Peru,Rural,Percent,24.0
Peru,Urban,Percent,37.0
Peru,Ratio of urban to rural,Ratio,1.6
Peru,Poorest 20%,Percent,27.0
Peru,Richest 20%,Percent,42.0
Peru,Ratio of richest to poorest,Ratio,1.6
Philippines,Total <5 yr,Percent,47.0
Philippines,Rural,Percent,36.0
Philippines,Urban,Percent,58.0
Philippines,Ratio of urban to rural,Ratio,1.6
Philippines,Poorest 20%,Percent,37.0
Philippines,Richest 20%,Percent,55.0
Philippines,Ratio of richest to poorest,Ratio,1.5
Republic of Moldova,Total <5 yr,Percent,33.0
Republic of Moldova,Rural,Percent,6.0
Republic of Moldova,Urban,Percent,9.0
Republic of Moldova,Ratio of urban to rural,Ratio,1.5
Rwanda,Total <5 yr,Percent,29.0
Rwanda,Rural,Percent,30.0
Rwanda,Urban,Percent,26.0
Rwanda,Ratio of urban to rural,Ratio,0.9
Rwanda,Poorest 20%,Percent,22.0
Rwanda,Richest 20%,Percent,37.0
Rwanda,Ratio of richest to poorest,Ratio,1.7
Samoa,Total <5 yr,Percent,68.0
Sao Tome and Principe,Total <5 yr,Percent,49.0
Sao Tome and Principe,Rural,Percent,52.0
Sao Tome and Principe,Urban,Percent,45.0
Sao Tome and Principe,Ratio of urban to rural,Ratio,0.9
Senegal,Total <5 yr,Percent,22.0
Senegal,Rural,Percent,21.0
Senegal,Urban,Percent,24.0
Senegal,Ratio of urban to rural,Ratio,1.2
Senegal,Poorest 20%,Percent,21.0
Senegal,Richest 20%,Percent,31.0
Senegal,Ratio of richest to poorest,Ratio,1.5
Serbia,Total <5 yr,Percent,36.0
Serbia,Rural,Percent,22.0
Serbia,Urban,Percent,50.0
Serbia,Ratio of urban to rural,Ratio,2.3
Sierra Leone,Total <5 yr,Percent,73.0
Sierra Leone,Rural,Percent,75.0
Sierra Leone,Urban,Percent,66.0
Sierra Leone,Ratio of urban to rural,Ratio,0.9
Sierra Leone,Poorest 20%,Percent,75.0
Sierra Leone,Richest 20%,Percent,70.0
Sierra Leone,Ratio of richest to poorest,Ratio,0.9
Somalia,Total <5 yr,Percent,13.0
Somalia,Rural,Percent,9.0
Somalia,Urban,Percent,25.0
Somalia,Ratio of urban to rural,Ratio,2.9
Somalia,Poorest 20%,Percent,7.0
Somalia,Richest 20%,Percent,31.0
Somalia,Ratio of richest to poorest,Ratio,4.8
South Africa,Total <5 yr,Percent,40.0
South Africa,Rural,Percent,32.0
South Africa,Urban,Percent,41.0
South Africa,Ratio of urban to rural,Ratio,1.3
South Asia,Total <5 yr,Percent,34.0
South Asia,Rural,Percent,32.0
South Asia,Urban,Percent,39.0
South Asia,Ratio of urban to rural,Ratio,1.2
South Asia,Poorest 20%,Percent,29.0
South Asia,Richest 20%,Percent,46.0
South Asia,Ratio of richest to poorest,Ratio,1.6
South Sudan,Total <5 yr,Percent,39.0
South Sudan,Rural,Percent,37.0
South Sudan,Urban,Percent,44.0
South Sudan,Ratio of urban to rural,Ratio,1.2
South Sudan,Poorest 20%,Percent,27.0
South Sudan,Richest 20%,Percent,52.0
South Sudan,Ratio of richest to poorest,Ratio,1.9
Sri Lanka,Total <5 yr,Percent,50.0
Sri Lanka,Rural,Percent,50.0
Sri Lanka,Urban,Percent,57.0
Sri Lanka,Ratio of urban to rural,Ratio,1.1
Sub-Saharan Africa,Total <5 yr,Percent,32.0
Sub-Saharan Africa,Rural,Percent,31.0
Sub-Saharan Africa,Urban,Percent,38.0
Sub-Saharan Africa,Ratio of urban to rural,Ratio,1.2
Sub-Saharan Africa,Poorest 20%,Percent,27.0
Sub-Saharan Africa,Richest 20%,Percent,42.0
Sub-Saharan Africa,Ratio of richest to poorest,Ratio,1.5
Sudan,Total <5 yr,Percent,22.0
Sudan,Rural,Percent,22.0
Sudan,Urban,Percent,23.0
Sudan,Ratio of urban to rural,Ratio,1.1
Sudan,Poorest 20%,Percent,21.0
Sudan,Richest 20%,Percent,16.0
Sudan,Ratio of richest to poorest,Ratio,0.7
Suriname,Total <5 yr,Percent,44.0
Suriname,Rural,Percent,60.0
Suriname,Urban,Percent,24.0
Suriname,Ratio of urban to rural,Ratio,0.4
Swaziland,Total <5 yr,Percent,57.0
Swaziland,Rural,Percent,55.0
Swaziland,Urban,Percent,65.0
Swaziland,Ratio of urban to rural,Ratio,1.2
Swaziland,Poorest 20%,Percent,58.0
Swaziland,Richest 20%,Percent,60.0
Swaziland,Ratio of richest to poorest,Ratio,1.0
Syrian Arab Republic,Total <5 yr,Percent,50.0
Syrian Arab Republic,Rural,Percent,44.0
Syrian Arab Republic,Urban,Percent,56.0
Syrian Arab Republic,Ratio of urban to rural,Ratio,1.3
Syrian Arab Republic,Poorest 20%,Percent,45.0
Syrian Arab Republic,Richest 20%,Percent,59.0
Syrian Arab Republic,Ratio of richest to poorest,Ratio,1.3
Tajikistan,Total <5 yr,Percent,73.0
Tajikistan,Rural,Percent,78.0
Tajikistan,Urban,Percent,70.0
Tajikistan,Ratio of urban to rural,Ratio,0.9
Tajikistan,Poorest 20%,Percent,52.0
Tajikistan,Richest 20%,Percent,50.0
Tajikistan,Ratio of richest to poorest,Ratio,1.0
Thailand,Total <5 yr,Percent,57.0
Thailand,Rural,Percent,59.0
Thailand,Urban,Percent,50.0
Thailand,Ratio of urban to rural,Ratio,0.9
Thailand,Poorest 20%,Percent,56.0
Thailand,Richest 20%,Percent,54.0
Thailand,Ratio of richest to poorest,Ratio,1.0
The former Yugoslav Republic of Macedonia,Total <5 yr,Percent,62.0
The former Yugoslav Republic of Macedonia,Rural,Percent,30.0
The former Yugoslav Republic of Macedonia,Urban,Percent,19.0
The former Yugoslav Republic of Macedonia,Ratio of urban to rural,Ratio,0.6
Timor-Leste,Total <5 yr,Percent,71.0
Timor-Leste,Rural,Percent,74.0
Timor-Leste,Urban,Percent,65.0
Timor-Leste,Ratio of urban to rural,Ratio,0.9
Timor-Leste,Poorest 20%,Percent,70.0
Timor-Leste,Richest 20%,Percent,71.0
Timor-Leste,Ratio of richest to poorest,Ratio,1.0
Togo,Total <5 yr,Percent,11.0
Togo,Rural,Percent,10.0
Togo,Urban,Percent,15.0
Togo,Ratio of urban to rural,Ratio,1.5
Togo,Poorest 20%,Percent,8.0
Togo,Richest 20%,Percent,19.0
Togo,Ratio of richest to poorest,Ratio,2.5
Tunisia,Total <5 yr,Percent,55.0
Tunisia,Rural,Percent,50.0
Tunisia,Urban,Percent,58.0
Tunisia,Ratio of urban to rural,Ratio,1.1
Turkmenistan,Total <5 yr,Percent,40.0
Turkmenistan,Rural,Percent,45.0
Turkmenistan,Urban,Percent,32.0
Turkmenistan,Ratio of urban to rural,Ratio,0.7
Turkmenistan,Poorest 20%,Percent,45.0
Turkmenistan,Richest 20%,Percent,30.0
Turkmenistan,Ratio of richest to poorest,Ratio,0.7
Uganda,Total <5 yr,Percent,44.0
Uganda,Rural,Percent,43.0
Uganda,Urban,Percent,46.0
Uganda,Ratio of urban to rural,Ratio,1.1
Uganda,Poorest 20%,Percent,43.0
Uganda,Richest 20%,Percent,45.0
Uganda,Ratio of richest to poorest,Ratio,1.1
United Republic of Tanzania,Total <5 yr,Percent,44.0
United Republic of Tanzania,Rural,Percent,44.0
United Republic of Tanzania,Urban,Percent,44.0
United Republic of Tanzania,Ratio of urban to rural,Ratio,1.0
United Republic of Tanzania,Poorest 20%,Percent,41.0
United Republic of Tanzania,Richest 20%,Percent,38.0
United Republic of Tanzania,Ratio of richest to poorest,Ratio,0.9
Uzbekistan,Total <5 yr,Percent,28.0
Uzbekistan,Rural,Percent,31.0
Uzbekistan,Urban,Percent,34.0
Uzbekistan,Ratio of urban to rural,Ratio,1.1
Vanuatu,Total <5 yr,Percent,23.0
Venezuela (Bolivarian Republic of),Total <5 yr,Percent,38.0
Venezuela (Bolivarian Republic of),Poorest 20%,Percent,39.0
Venezuela (Bolivarian Republic of),Richest 20%,Percent,55.0
Venezuela (Bolivarian Republic of),Ratio of richest to poorest,Ratio,1.4
Viet Nam,Total <5 yr,Percent,47.0
Viet Nam,Rural,Percent,46.0
Viet Nam,Urban,Percent,47.0
Viet Nam,Ratio of urban to rural,Ratio,1.0
Western and Central Africa,Total <5 yr,Percent,27.0
Western and Central Africa,Rural,Percent,23.0
Western and Central Africa,Urban,Percent,35.0
Western and Central Africa,Ratio of urban to rural,Ratio,1.5
Western and Central Africa,Poorest 20%,Percent,21.0
Western and Central Africa,Richest 20%,Percent,42.0
Western and Central Africa,Ratio of richest to poorest,Ratio,2.0
World,Total <5 yr,Percent,35.0
World,Rural,Percent,33.0
World,Urban,Percent,40.0
