Country or Area,Subgroup,Unit,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV
Democratic People's Republic of Korea,Rural Female 15-24 yr,Percent,4.0
Democratic People's Republic of Korea,Urban Female 15-24 yr,Percent,11.0
Democratic People's Republic of Korea,Female 15-24 yr Ratio of urban to rural,Ratio,2.8
Democratic Republic of the Congo,Female 15-24 yr,Percent,15.0
Democratic Republic of the Congo,Female 15-19 yr,Percent,13.0
Democratic Republic of the Congo,Rural Female 15-24 yr,Percent,12.0
Democratic Republic of the Congo,Urban Female 15-24 yr,Percent,21.0
Democratic Republic of the Congo,Female 15-24 yr Ratio of urban to rural,Ratio,1.7
Democratic Republic of the Congo,Female 15-24 yr Ratio of richest to poorest,Ratio,2.8
Democratic Republic of the Congo,Male 15-24 yr Ratio of richest to poorest,Ratio,2.2
Democratic Republic of the Congo,Female 15-24 yr Poorest 20%,Percent,8.0
Democratic Republic of the Congo,Female 15-24 yr Richest 20%,Percent,24.0
Democratic Republic of the Congo,Male 15-24 yr Poorest 20%,Percent,14.0
Democratic Republic of the Congo,Male 15-24 yr Richest 20%,Percent,30.0
Djibouti,Female 15-24 yr,Percent,18.0
Djibouti,Female 15-19 yr,Percent,16.0
Djibouti,Rural Female 15-24 yr,Percent,9.0
Djibouti,Urban Female 15-24 yr,Percent,18.0
Djibouti,Female 15-24 yr Ratio of urban to rural,Ratio,2.0
Dominica,Female 15-24 yr,Percent,56.0
Dominica,Male 15-24 yr,Percent,48.0
Dominican Republic,Female 15-24 yr,Percent,41.0
Dominican Republic,Male 15-24 yr,Percent,34.0
Dominican Republic,Female 15-19 yr,Percent,39.0
Dominican Republic,Male 15-19 yr,Percent,33.0
Dominican Republic,Rural Female 15-24 yr,Percent,37.0
Dominican Republic,Urban Female 15-24 yr,Percent,42.0
Dominican Republic,Female 15-24 yr Ratio of urban to rural,Ratio,1.2
Dominican Republic,Female 15-24 yr Ratio of richest to poorest,Ratio,1.5
Dominican Republic,Male 15-24 yr Ratio of richest to poorest,Ratio,2.0
Dominican Republic,Female 15-24 yr Poorest 20%,Percent,31.0
Dominican Republic,Female 15-24 yr Richest 20%,Percent,46.0
Dominican Republic,Male 15-24 yr Poorest 20%,Percent,21.0
Dominican Republic,Male 15-24 yr Richest 20%,Percent,41.0
East Asia and Pacific,Female 15-24 yr,Percent,23.0
East Asia and Pacific,Female 15-19 yr,Percent,20.0
East Asia and Pacific,Rural Female 15-24 yr,Percent,21.0
East Asia and Pacific,Urban Female 15-24 yr,Percent,24.0
East Asia and Pacific,Female 15-24 yr Ratio of urban to rural,Ratio,1.1
East Asia and Pacific,Female 15-24 yr Ratio of richest to poorest,Ratio,2.4
East Asia and Pacific,Female 15-24 yr Poorest 20%,Percent,14.0
East Asia and Pacific,Female 15-24 yr Richest 20%,Percent,35.0
Eastern and Southern Africa,Female 15-24 yr,Percent,36.0
Eastern and Southern Africa,Male 15-24 yr,Percent,40.0
Eastern and Southern Africa,Female 15-19 yr,Percent,35.0
Eastern and Southern Africa,Male 15-19 yr,Percent,38.0
Eastern and Southern Africa,Rural Female 15-24 yr,Percent,32.0
Eastern and Southern Africa,Urban Female 15-24 yr,Percent,48.0
Eastern and Southern Africa,Female 15-24 yr Ratio of urban to rural,Ratio,1.5
Egypt,Female 15-24 yr,Percent,5.0
Egypt,Male 15-24 yr,Percent,18.0
Egypt,Female 15-19 yr,Percent,3.0
Egypt,Male 15-19 yr,Percent,16.0
Egypt,Rural Female 15-24 yr,Percent,3.0
Egypt,Urban Female 15-24 yr,Percent,7.0
Egypt,Female 15-24 yr Ratio of urban to rural,Ratio,2.3
Egypt,Female 15-24 yr Ratio of richest to poorest,Ratio,4.9
Egypt,Male 15-24 yr Ratio of richest to poorest,Ratio,3.1
Egypt,Female 15-24 yr Poorest 20%,Percent,2.0
Egypt,Female 15-24 yr Richest 20%,Percent,9.0
Egypt,Male 15-24 yr Poorest 20%,Percent,9.0
Egypt,Male 15-24 yr Richest 20%,Percent,28.0
El Salvador,Female 15-24 yr,Percent,27.0
Ethiopia,Female 15-24 yr,Percent,24.0
Ethiopia,Male 15-24 yr,Percent,34.0
Ethiopia,Female 15-19 yr,Percent,24.0
Ethiopia,Male 15-19 yr,Percent,32.0
Ethiopia,Rural Female 15-24 yr,Percent,19.0
Ethiopia,Urban Female 15-24 yr,Percent,38.0
Ethiopia,Female 15-24 yr Ratio of urban to rural,Ratio,2.0
Gambia,Female 15-24 yr,Percent,33.0
Gambia,Female 15-19 yr,Percent,33.0
Gambia,Rural Female 15-24 yr,Percent,24.0
Gambia,Urban Female 15-24 yr,Percent,41.0
Gambia,Female 15-24 yr Ratio of urban to rural,Ratio,1.7
Gambia,Female 15-24 yr Ratio of richest to poorest,Ratio,2.4
Gambia,Female 15-24 yr Poorest 20%,Percent,20.0
Gambia,Female 15-24 yr Richest 20%,Percent,48.0
Ghana,Female 15-24 yr,Percent,28.0
Ghana,Male 15-24 yr,Percent,34.0
Ghana,Female 15-19 yr,Percent,28.0
Ghana,Male 15-19 yr,Percent,30.0
Ghana,Rural Female 15-24 yr,Percent,22.0
Ghana,Urban Female 15-24 yr,Percent,34.0
Ghana,Female 15-24 yr Ratio of urban to rural,Ratio,1.5
Ghana,Female 15-24 yr Ratio of richest to poorest,Ratio,2.1
Ghana,Male 15-24 yr Ratio of richest to poorest,Ratio,2.1
Ghana,Female 15-24 yr Poorest 20%,Percent,17.0
Ghana,Female 15-24 yr Richest 20%,Percent,34.0
Ghana,Male 15-24 yr Poorest 20%,Percent,23.0
Ghana,Male 15-24 yr Richest 20%,Percent,50.0
Grenada,Female 15-24 yr,Percent,65.0
Grenada,Male 15-24 yr,Percent,60.0
Guatemala,Female 15-24 yr,Percent,22.0
Guatemala,Male 15-24 yr,Percent,24.0
Guatemala,Female 15-19 yr,Percent,20.0
Guatemala,Male 15-19 yr,Percent,24.0
Guatemala,Rural Female 15-24 yr,Percent,14.0
Guatemala,Urban Female 15-24 yr,Percent,32.0
Guatemala,Female 15-24 yr Ratio of urban to rural,Ratio,2.2
Guatemala,Female 15-24 yr Ratio of richest to poorest,Ratio,7.8
Guatemala,Female 15-24 yr Poorest 20%,Percent,5.0
Guatemala,Female 15-24 yr Richest 20%,Percent,41.0
Guinea-Bissau,Female 15-24 yr,Percent,15.0
Guinea-Bissau,Female 15-19 yr,Percent,12.0
Guinea-Bissau,Rural Female 15-24 yr,Percent,8.0
Guinea-Bissau,Urban Female 15-24 yr,Percent,22.0
Guinea-Bissau,Female 15-24 yr Ratio of urban to rural,Ratio,2.8
Guinea-Bissau,Female 15-24 yr Ratio of richest to poorest,Ratio,4.3
Guinea-Bissau,Female 15-24 yr Poorest 20%,Percent,6.0
Guinea-Bissau,Female 15-24 yr Richest 20%,Percent,25.0
Guyana,Female 15-24 yr,Percent,54.0
Guyana,Male 15-24 yr,Percent,47.0
Guyana,Female 15-19 yr,Percent,53.0
Guyana,Male 15-19 yr,Percent,45.0
Guyana,Rural Female 15-24 yr,Percent,47.0
Guyana,Urban Female 15-24 yr,Percent,72.0
Guyana,Female 15-24 yr Ratio of urban to rural,Ratio,1.5
Guyana,Female 15-24 yr Ratio of richest to poorest,Ratio,2.0
Guyana,Male 15-24 yr Ratio of richest to poorest,Ratio,2.6
Guyana,Female 15-24 yr Poorest 20%,Percent,37.0
Guyana,Female 15-24 yr Richest 20%,Percent,72.0
Guyana,Male 15-24 yr Poorest 20%,Percent,25.0
Guyana,Male 15-24 yr Richest 20%,Percent,65.0
Haiti,Female 15-24 yr,Percent,34.0
Haiti,Male 15-24 yr,Percent,40.0
Haiti,Female 15-19 yr,Percent,31.0
Haiti,Male 15-19 yr,Percent,34.0
Haiti,Rural Female 15-24 yr,Percent,26.0
Haiti,Urban Female 15-24 yr,Percent,38.0
Haiti,Female 15-24 yr Ratio of urban to rural,Ratio,1.4
Haiti,Female 15-24 yr Ratio of richest to poorest,Ratio,2.2
Haiti,Male 15-24 yr Ratio of richest to poorest,Ratio,1.9
Haiti,Female 15-24 yr Poorest 20%,Percent,18.0
Haiti,Female 15-24 yr Richest 20%,Percent,41.0
Haiti,Male 15-24 yr Poorest 20%,Percent,28.0
Haiti,Male 15-24 yr Richest 20%,Percent,52.0
Honduras,Female 15-24 yr,Percent,30.0
Honduras,Female 15-19 yr,Percent,28.0
Honduras,Rural Female 15-24 yr,Percent,21.0
Honduras,Urban Female 15-24 yr,Percent,37.0
Honduras,Female 15-24 yr Ratio of urban to rural,Ratio,1.8
Honduras,Female 15-24 yr Ratio of richest to poorest,Ratio,3.4
Honduras,Female 15-24 yr Poorest 20%,Percent,13.0
Honduras,Female 15-24 yr Richest 20%,Percent,44.0
India,Female 15-24 yr,Percent,20.0
India,Male 15-24 yr,Percent,36.0
India,Female 15-19 yr,Percent,19.0
India,Male 15-19 yr,Percent,35.0
India,Rural Female 15-24 yr,Percent,14.0
India,Urban Female 15-24 yr,Percent,33.0
India,Female 15-24 yr Ratio of urban to rural,Ratio,2.4
India,Female 15-24 yr Ratio of richest to poorest,Ratio,11.7
India,Male 15-24 yr Ratio of richest to poorest,Ratio,3.8
India,Female 15-24 yr Poorest 20%,Percent,4.0
India,Female 15-24 yr Richest 20%,Percent,45.0
India,Male 15-24 yr Poorest 20%,Percent,15.0
India,Male 15-24 yr Richest 20%,Percent,55.0
Indonesia,Female 15-24 yr,Percent,10.0
Indonesia,Male 15-24 yr,Percent,15.0
Indonesia,Female 15-19 yr,Percent,6.0
Indonesia,Male 15-19 yr,Percent,2.0
Indonesia,Rural Female 15-24 yr,Percent,6.0
Indonesia,Urban Female 15-24 yr,Percent,16.0
Indonesia,Female 15-24 yr Ratio of urban to rural,Ratio,2.5
Indonesia,Female 15-24 yr Ratio of richest to poorest,Ratio,7.5
Indonesia,Male 15-24 yr Ratio of richest to poorest,Ratio,12.2
Indonesia,Female 15-24 yr Poorest 20%,Percent,3.0
Indonesia,Female 15-24 yr Richest 20%,Percent,23.0
Indonesia,Male 15-24 yr Poorest 20%,Percent,2.0
Indonesia,Male 15-24 yr Richest 20%,Percent,27.0
Iraq,Female 15-24 yr,Percent,3.0
Iraq,Female 15-19 yr,Percent,3.0
Iraq,Rural Female 15-24 yr,Percent,1.0
Iraq,Urban Female 15-24 yr,Percent,4.0
Iraq,Female 15-24 yr Ratio of urban to rural,Ratio,4.4
Jamaica,Female 15-24 yr,Percent,63.0
Jamaica,Male 15-24 yr,Percent,54.0
Jamaica,Female 15-19 yr,Percent,61.0
Jamaica,Male 15-19 yr,Percent,52.0
Jamaica,Rural Female 15-24 yr,Percent,60.0
Jamaica,Urban Female 15-24 yr,Percent,66.0
Jamaica,Female 15-24 yr Ratio of urban to rural,Ratio,1.1
Jamaica,Female 15-24 yr Ratio of richest to poorest,Ratio,1.3
Jamaica,Female 15-24 yr Poorest 20%,Percent,54.0
Jamaica,Female 15-24 yr Richest 20%,Percent,69.0
Jordan,Female 15-24 yr,Percent,13.0
Jordan,Female 15-19 yr,Percent,12.0
Kazakhstan,Female 15-24 yr,Percent,22.0
Kazakhstan,Female 15-19 yr,Percent,22.0
Kazakhstan,Rural Female 15-24 yr,Percent,21.0
Kazakhstan,Urban Female 15-24 yr,Percent,24.0
Kazakhstan,Female 15-24 yr Ratio of urban to rural,Ratio,1.1
Kazakhstan,Female 15-24 yr Ratio of richest to poorest,Ratio,1.6
Kazakhstan,Female 15-24 yr Poorest 20%,Percent,18.0
Kazakhstan,Female 15-24 yr Richest 20%,Percent,28.0
Kenya,Female 15-24 yr,Percent,48.0
Kenya,Male 15-24 yr,Percent,55.0
Kenya,Female 15-19 yr,Percent,42.0
Kenya,Male 15-19 yr,Percent,52.0
Kenya,Rural Female 15-24 yr,Percent,45.0
Kenya,Urban Female 15-24 yr,Percent,57.0
Kenya,Female 15-24 yr Ratio of urban to rural,Ratio,1.3
Kenya,Female 15-24 yr Ratio of richest to poorest,Ratio,2.1
Kenya,Male 15-24 yr Ratio of richest to poorest,Ratio,1.6
Kenya,Female 15-24 yr Poorest 20%,Percent,29.0
Kenya,Female 15-24 yr Richest 20%,Percent,61.0
Kenya,Male 15-24 yr Poorest 20%,Percent,42.0
Kenya,Male 15-24 yr Richest 20%,Percent,68.0
Kiribati,Female 15-24 yr,Percent,44.0
Kiribati,Male 15-24 yr,Percent,49.0
Kiribati,Female 15-19 yr,Percent,41.0
Kiribati,Male 15-19 yr,Percent,46.0
Kiribati,Rural Female 15-24 yr,Percent,43.0
Kiribati,Urban Female 15-24 yr,Percent,45.0
Kiribati,Female 15-24 yr Ratio of urban to rural,Ratio,1.1
Kiribati,Female 15-24 yr Ratio of richest to poorest,Ratio,1.2
Kiribati,Male 15-24 yr Ratio of richest to poorest,Ratio,1.4
Kiribati,Female 15-24 yr Poorest 20%,Percent,42.0
Kiribati,Female 15-24 yr Richest 20%,Percent,49.0
Kiribati,Male 15-24 yr Poorest 20%,Percent,38.0
Kiribati,Male 15-24 yr Richest 20%,Percent,52.0
Kyrgyzstan,Female 15-24 yr,Percent,20.0
Kyrgyzstan,Female 15-19 yr,Percent,19.0
Kyrgyzstan,Rural Female 15-24 yr,Percent,18.0
Kyrgyzstan,Urban Female 15-24 yr,Percent,23.0
Kyrgyzstan,Female 15-24 yr Ratio of urban to rural,Ratio,1.3
Kyrgyzstan,Female 15-24 yr Ratio of richest to poorest,Ratio,1.7
Kyrgyzstan,Female 15-24 yr Poorest 20%,Percent,17.0
Kyrgyzstan,Female 15-24 yr Richest 20%,Percent,29.0
Least Developed Countries/Territories,Female 15-24 yr,Percent,24.0
Least Developed Countries/Territories,Male 15-24 yr,Percent,30.0
Least Developed Countries/Territories,Female 15-19 yr,Percent,22.0
Least Developed Countries/Territories,Rural Female 15-24 yr,Percent,24.0
Least Developed Countries/Territories,Urban Female 15-24 yr,Percent,35.0
Least Developed Countries/Territories,Female 15-24 yr Ratio of urban to rural,Ratio,1.4
Lesotho,Female 15-24 yr,Percent,39.0
Lesotho,Male 15-24 yr,Percent,29.0
Lesotho,Female 15-19 yr,Percent,35.0
Lesotho,Male 15-19 yr,Percent,28.0
Lesotho,Rural Female 15-24 yr,Percent,36.0
Lesotho,Urban Female 15-24 yr,Percent,44.0
Lesotho,Female 15-24 yr Ratio of urban to rural,Ratio,1.2
Lesotho,Female 15-24 yr Ratio of richest to poorest,Ratio,1.8
Lesotho,Male 15-24 yr Ratio of richest to poorest,Ratio,3.3
Lesotho,Female 15-24 yr Poorest 20%,Percent,26.0
Lesotho,Female 15-24 yr Richest 20%,Percent,48.0
Lesotho,Male 15-24 yr Poorest 20%,Percent,14.0
Lesotho,Male 15-24 yr Richest 20%,Percent,45.0
Liberia,Female 15-24 yr,Percent,21.0
Liberia,Male 15-24 yr,Percent,27.0
Liberia,Female 15-19 yr,Percent,18.0
Liberia,Male 15-19 yr,Percent,21.0
Liberia,Rural Female 15-24 yr,Percent,15.0
Liberia,Urban Female 15-24 yr,Percent,26.0
Liberia,Female 15-24 yr Ratio of urban to rural,Ratio,1.8
Liberia,Female 15-24 yr Ratio of richest to poorest,Ratio,2.1
Liberia,Male 15-24 yr Ratio of richest to poorest,Ratio,2.2
Liberia,Female 15-24 yr Poorest 20%,Percent,14.0
Liberia,Female 15-24 yr Richest 20%,Percent,29.0
Liberia,Male 15-24 yr Poorest 20%,Percent,17.0
Liberia,Male 15-24 yr Richest 20%,Percent,37.0
Madagascar,Female 15-24 yr,Percent,23.0
Madagascar,Male 15-24 yr,Percent,26.0
Madagascar,Female 15-19 yr,Percent,23.0
Madagascar,Male 15-19 yr,Percent,26.0
Madagascar,Rural Female 15-24 yr,Percent,19.0
Madagascar,Urban Female 15-24 yr,Percent,40.0
Madagascar,Female 15-24 yr Ratio of urban to rural,Ratio,2.1
Madagascar,Female 15-24 yr Ratio of richest to poorest,Ratio,4.3
Madagascar,Male 15-24 yr Ratio of richest to poorest,Ratio,6.5
Madagascar,Female 15-24 yr Poorest 20%,Percent,10.0
Madagascar,Female 15-24 yr Richest 20%,Percent,42.0
Madagascar,Male 15-24 yr Poorest 20%,Percent,8.0
Madagascar,Male 15-24 yr Richest 20%,Percent,49.0
Malawi,Female 15-24 yr,Percent,42.0
Malawi,Male 15-24 yr,Percent,45.0
Malawi,Female 15-19 yr,Percent,40.0
Malawi,Male 15-19 yr,Percent,45.0
Malawi,Rural Female 15-24 yr,Percent,38.0
Malawi,Urban Female 15-24 yr,Percent,56.0
Malawi,Female 15-24 yr Ratio of urban to rural,Ratio,1.5
Malawi,Female 15-24 yr Ratio of richest to poorest,Ratio,1.6
Malawi,Male 15-24 yr Ratio of richest to poorest,Ratio,1.5
Malawi,Female 15-24 yr Poorest 20%,Percent,34.0
Malawi,Female 15-24 yr Richest 20%,Percent,55.0
Malawi,Male 15-24 yr Poorest 20%,Percent,35.0
