Country or Area,Year,Crude death rate (CDR)
Colombia,1970.0,9.0
Comoros,2011.0,9.0
Comoros,1990.0,11.0
Comoros,1970.0,18.0
Congo,2011.0,11.0
Congo,1990.0,12.0
Congo,1970.0,14.0
Costa Rica,2011.0,4.0
Costa Rica,1990.0,4.0
Costa Rica,1970.0,7.0
Côte d'Ivoire,2011.0,12.0
Côte d'Ivoire,1990.0,13.0
Côte d'Ivoire,1970.0,21.0
Croatia,2011.0,12.0
Croatia,1990.0,11.0
Croatia,1970.0,10.0
Cuba,2011.0,7.0
Cuba,1990.0,7.0
Cuba,1970.0,7.0
Cyprus,2011.0,7.0
Cyprus,1990.0,7.0
Cyprus,1970.0,7.0
Czech Republic,2011.0,10.0
Czech Republic,1990.0,12.0
Czech Republic,1970.0,12.0
Democratic People's Republic of Korea,2011.0,10.0
Democratic People's Republic of Korea,1990.0,5.0
Democratic People's Republic of Korea,1970.0,7.0
Democratic Republic of the Congo,2011.0,16.0
Democratic Republic of the Congo,1990.0,19.0
Democratic Republic of the Congo,1970.0,21.0
Denmark,2011.0,10.0
Denmark,1990.0,12.0
Denmark,1970.0,10.0
Djibouti,2011.0,10.0
Djibouti,1990.0,14.0
Djibouti,1970.0,20.0
Dominican Republic,2011.0,6.0
Dominican Republic,1990.0,6.0
Dominican Republic,1970.0,11.0
East Asia and Pacific,2011.0,7.0
East Asia and Pacific,1990.0,7.0
East Asia and Pacific,1970.0,10.0
Eastern and Southern Africa,2011.0,12.0
Eastern and Southern Africa,1990.0,15.0
Eastern and Southern Africa,1970.0,19.0
Ecuador,2011.0,5.0
Ecuador,1990.0,6.0
Ecuador,1970.0,12.0
Egypt,2011.0,5.0
Egypt,1990.0,9.0
Egypt,1970.0,16.0
El Salvador,2011.0,7.0
El Salvador,1990.0,8.0
El Salvador,1970.0,13.0
Equatorial Guinea,2011.0,14.0
Equatorial Guinea,1990.0,20.0
Equatorial Guinea,1970.0,25.0
Eritrea,2011.0,8.0
Eritrea,1990.0,16.0
Eritrea,1970.0,21.0
Estonia,2011.0,13.0
Estonia,1990.0,13.0
Estonia,1970.0,11.0
Ethiopia,2011.0,9.0
Ethiopia,1990.0,18.0
Ethiopia,1970.0,21.0
Fiji,2011.0,7.0
Fiji,1990.0,6.0
Fiji,1970.0,8.0
Finland,2011.0,10.0
Finland,1990.0,10.0
Finland,1970.0,10.0
France,2011.0,9.0
France,1990.0,9.0
France,1970.0,11.0
Gabon,2011.0,9.0
Gabon,1990.0,11.0
Gabon,1970.0,20.0
Gambia,2011.0,9.0
Gambia,1990.0,13.0
Gambia,1970.0,26.0
Georgia,2011.0,11.0
Georgia,1990.0,9.0
Georgia,1970.0,9.0
Germany,2011.0,11.0
Germany,1990.0,11.0
Germany,1970.0,12.0
Ghana,2011.0,8.0
Ghana,1990.0,11.0
Ghana,1970.0,17.0
Greece,2011.0,10.0
Greece,1990.0,9.0
Greece,1970.0,8.0
Grenada,2011.0,6.0
Grenada,1990.0,8.0
Grenada,1970.0,9.0
Guatemala,2011.0,5.0
Guatemala,1990.0,9.0
Guatemala,1970.0,15.0
Guinea,2011.0,13.0
Guinea,1990.0,21.0
Guinea,1970.0,30.0
Guinea-Bissau,2011.0,16.0
Guinea-Bissau,1990.0,22.0
Guinea-Bissau,1970.0,26.0
Guyana,2011.0,6.0
Guyana,1990.0,10.0
Guyana,1970.0,12.0
Haiti,2011.0,9.0
Haiti,1990.0,13.0
Haiti,1970.0,18.0
Honduras,2011.0,5.0
Honduras,1990.0,7.0
Honduras,1970.0,15.0
Hungary,2011.0,13.0
Hungary,1990.0,14.0
Hungary,1970.0,11.0
Iceland,2011.0,6.0
Iceland,1990.0,7.0
Iceland,1970.0,7.0
India,2011.0,8.0
India,1990.0,11.0
India,1970.0,16.0
Indonesia,2011.0,7.0
Indonesia,1990.0,8.0
Indonesia,1970.0,15.0
Iran (Islamic Republic of),2011.0,5.0
Iran (Islamic Republic of),1990.0,8.0
Iran (Islamic Republic of),1970.0,16.0
Iraq,2011.0,6.0
Iraq,1990.0,7.0
Iraq,1970.0,12.0
Ireland,2011.0,6.0
Ireland,1990.0,9.0
Ireland,1970.0,11.0
Israel,2011.0,5.0
Israel,1990.0,6.0
Israel,1970.0,7.0
Italy,2011.0,10.0
Italy,1990.0,10.0
Italy,1970.0,10.0
Jamaica,2011.0,7.0
Jamaica,1990.0,7.0
Jamaica,1970.0,8.0
Japan,2011.0,9.0
Japan,1990.0,7.0
Japan,1970.0,7.0
Jordan,2011.0,4.0
Jordan,1990.0,5.0
Jordan,1970.0,11.0
Kazakhstan,2011.0,10.0
Kazakhstan,1990.0,9.0
Kazakhstan,1970.0,9.0
Kenya,2011.0,10.0
Kenya,1990.0,10.0
Kenya,1970.0,15.0
Kuwait,2011.0,3.0
Kuwait,1990.0,3.0
Kuwait,1970.0,6.0
Kyrgyzstan,2011.0,7.0
Kyrgyzstan,1990.0,8.0
Kyrgyzstan,1970.0,11.0
Lao People's Democratic Republic,2011.0,6.0
Lao People's Democratic Republic,1990.0,13.0
Lao People's Democratic Republic,1970.0,18.0
Latin America and Caribbean,2011.0,6.0
Latin America and Caribbean,1990.0,7.0
Latin America and Caribbean,1970.0,10.0
Latvia,2011.0,14.0
Latvia,1990.0,13.0
Latvia,1970.0,11.0
Least Developed Countries/Territories,2011.0,10.0
Least Developed Countries/Territories,1990.0,15.0
Least Developed Countries/Territories,1970.0,22.0
Lebanon,2011.0,7.0
Lebanon,1990.0,7.0
Lebanon,1970.0,9.0
Lesotho,2011.0,15.0
Lesotho,1990.0,10.0
Lesotho,1970.0,17.0
Liberia,2011.0,11.0
Liberia,1990.0,21.0
Liberia,1970.0,23.0
Libya,2011.0,4.0
Libya,1990.0,4.0
Libya,1970.0,16.0
Lithuania,2011.0,14.0
Lithuania,1990.0,11.0
Lithuania,1970.0,9.0
Luxembourg,2011.0,8.0
Luxembourg,1990.0,10.0
Luxembourg,1970.0,12.0
Madagascar,2011.0,6.0
Madagascar,1990.0,16.0
Madagascar,1970.0,21.0
Malawi,2011.0,12.0
Malawi,1990.0,18.0
Malawi,1970.0,24.0
Malaysia,2011.0,5.0
Malaysia,1990.0,5.0
Malaysia,1970.0,7.0
Maldives,2011.0,4.0
Maldives,1990.0,9.0
Maldives,1970.0,21.0
Mali,2011.0,14.0
Mali,1990.0,21.0
Mali,1970.0,30.0
Malta,2011.0,8.0
Malta,1990.0,8.0
Malta,1970.0,9.0
Mauritania,2011.0,9.0
Mauritania,1990.0,11.0
Mauritania,1970.0,18.0
Mauritius,2011.0,7.0
Mauritius,1990.0,6.0
Mauritius,1970.0,7.0
Mexico,2011.0,5.0
Mexico,1990.0,5.0
Mexico,1970.0,10.0
Micronesia (Federated States of),2011.0,6.0
Micronesia (Federated States of),1990.0,7.0
Micronesia (Federated States of),1970.0,9.0
Middle East and North Africa,2011.0,5.0
Middle East and North Africa,1990.0,8.0
Middle East and North Africa,1970.0,16.0
Mongolia,2011.0,6.0
Mongolia,1990.0,10.0
Mongolia,1970.0,15.0
Montenegro,2011.0,10.0
Montenegro,1990.0,5.0
Montenegro,1970.0,3.0
Morocco,2011.0,6.0
Morocco,1990.0,8.0
Morocco,1970.0,17.0
Mozambique,2011.0,14.0
Mozambique,1990.0,21.0
Mozambique,1970.0,25.0
Myanmar,2011.0,8.0
Myanmar,1990.0,11.0
Myanmar,1970.0,16.0
Namibia,2011.0,8.0
Namibia,1990.0,9.0
Namibia,1970.0,15.0
Nepal,2011.0,6.0
Nepal,1990.0,13.0
Nepal,1970.0,21.0
Netherlands,2011.0,8.0
Netherlands,1990.0,9.0
Netherlands,1970.0,8.0
New Zealand,2011.0,7.0
New Zealand,1990.0,8.0
New Zealand,1970.0,9.0
Nicaragua,2011.0,5.0
Nicaragua,1990.0,7.0
Nicaragua,1970.0,14.0
Niger,2011.0,13.0
Niger,1990.0,24.0
Niger,1970.0,26.0
Nigeria,2011.0,14.0
Nigeria,1990.0,19.0
Nigeria,1970.0,22.0
Norway,2011.0,8.0
Norway,1990.0,11.0
Norway,1970.0,10.0
Oman,2011.0,4.0
Oman,1990.0,5.0
Oman,1970.0,16.0
Pakistan,2011.0,7.0
Pakistan,1990.0,10.0
Pakistan,1970.0,15.0
Panama,2011.0,5.0
Panama,1990.0,5.0
Panama,1970.0,8.0
Papua New Guinea,2011.0,7.0
Papua New Guinea,1990.0,10.0
Papua New Guinea,1970.0,17.0
Paraguay,2011.0,5.0
Paraguay,1990.0,6.0
Paraguay,1970.0,7.0
Peru,2011.0,5.0
Peru,1990.0,7.0
Peru,1970.0,14.0
Philippines,2011.0,6.0
Philippines,1990.0,7.0
Philippines,1970.0,9.0
Poland,2011.0,10.0
Poland,1990.0,10.0
Poland,1970.0,8.0
Portugal,2011.0,10.0
Portugal,1990.0,10.0
Portugal,1970.0,11.0
Qatar,2011.0,2.0
Qatar,1990.0,2.0
Qatar,1970.0,6.0
Republic of Korea,2011.0,6.0
Republic of Korea,1990.0,6.0
Republic of Korea,1970.0,9.0
Republic of Moldova,2011.0,13.0
Republic of Moldova,1990.0,10.0
Republic of Moldova,1970.0,10.0
Romania,2011.0,12.0
Romania,1990.0,11.0
Romania,1970.0,9.0
Russian Federation,2011.0,14.0
Russian Federation,1990.0,12.0
Russian Federation,1970.0,9.0
Rwanda,2011.0,12.0
Rwanda,1990.0,32.0
Rwanda,1970.0,20.0
Saint Lucia,2011.0,6.0
Saint Lucia,1990.0,6.0
Saint Lucia,1970.0,9.0
Saint Vincent and the Grenadines,2011.0,7.0
Saint Vincent and the Grenadines,1990.0,7.0
Saint Vincent and the Grenadines,1970.0,11.0
Samoa,2011.0,5.0
Samoa,1990.0,7.0
Samoa,1970.0,10.0
Sao Tome and Principe,2011.0,8.0
Sao Tome and Principe,1990.0,10.0
Sao Tome and Principe,1970.0,13.0
Saudi Arabia,2011.0,4.0
Saudi Arabia,1990.0,5.0
Saudi Arabia,1970.0,15.0
Senegal,2011.0,9.0
Senegal,1990.0,13.0
Senegal,1970.0,24.0
Serbia,2011.0,12.0
Serbia,1990.0,10.0
Serbia,1970.0,9.0
Sierra Leone,2011.0,15.0
Sierra Leone,1990.0,25.0
Sierra Leone,1970.0,29.0
Singapore,2011.0,5.0
Singapore,1990.0,5.0
Singapore,1970.0,5.0
Slovakia,2011.0,10.0
Slovakia,1990.0,10.0
Slovakia,1970.0,9.0
Slovenia,2011.0,10.0
Slovenia,1990.0,10.0
Slovenia,1970.0,10.0
Solomon Islands,2011.0,6.0
Solomon Islands,1990.0,11.0
Solomon Islands,1970.0,13.0
Somalia,2011.0,15.0
Somalia,1990.0,20.0
Somalia,1970.0,24.0
South Africa,2011.0,15.0
South Africa,1990.0,8.0
South Africa,1970.0,14.0
South Asia,2011.0,8.0
South Asia,1990.0,11.0
South Asia,1970.0,17.0
Spain,2011.0,9.0
Spain,1990.0,9.0
Spain,1970.0,9.0
Sri Lanka,2011.0,7.0
Sri Lanka,1990.0,7.0
Sri Lanka,1970.0,9.0
State of Palestine,2011.0,4.0
State of Palestine,1990.0,5.0
State of Palestine,1970.0,13.0
Sub-Saharan Africa,2011.0,12.0
Sub-Saharan Africa,1990.0,16.0
Sub-Saharan Africa,1970.0,20.0
Sudan (pre-cession),2011.0,9.0
Sudan (pre-cession),1990.0,14.0
Sudan (pre-cession),1970.0,19.0
Suriname,2011.0,7.0
Suriname,1990.0,7.0
Suriname,1970.0,9.0
Swaziland,2011.0,14.0
Swaziland,1990.0,10.0
Swaziland,1970.0,18.0
Sweden,2011.0,10.0
Sweden,1990.0,11.0
Sweden,1970.0,10.0
Switzerland,2011.0,8.0
Switzerland,1990.0,9.0
Switzerland,1970.0,9.0
Syrian Arab Republic,2011.0,4.0
Syrian Arab Republic,1990.0,5.0
Syrian Arab Republic,1970.0,11.0
Tajikistan,2011.0,6.0
Tajikistan,1990.0,8.0
Tajikistan,1970.0,10.0
Thailand,2011.0,7.0
Thailand,1990.0,5.0
Thailand,1970.0,10.0
The former Yugoslav Republic of Macedonia,2011.0,9.0
The former Yugoslav Republic of Macedonia,1990.0,8.0
The former Yugoslav Republic of Macedonia,1970.0,8.0
Timor-Leste,2011.0,8.0
Timor-Leste,1990.0,18.0
Timor-Leste,1970.0,23.0
Togo,2011.0,11.0
Togo,1990.0,14.0
Togo,1970.0,20.0
Tonga,2011.0,6.0
Tonga,1990.0,6.0
Tonga,1970.0,7.0
Trinidad and Tobago,2011.0,8.0
Trinidad and Tobago,1990.0,7.0
Trinidad and Tobago,1970.0,7.0
Tunisia,2011.0,6.0
Tunisia,1990.0,6.0
Tunisia,1970.0,14.0
Turkey,2011.0,5.0
Turkey,1990.0,8.0
Turkey,1970.0,16.0
Turkmenistan,2011.0,8.0
Turkmenistan,1990.0,8.0
Turkmenistan,1970.0,11.0
Uganda,2011.0,12.0
Uganda,1990.0,17.0
Uganda,1970.0,16.0
Ukraine,2011.0,16.0
Ukraine,1990.0,13.0
Ukraine,1970.0,9.0
United Arab Emirates,2011.0,1.0
United Arab Emirates,1990.0,3.0
United Arab Emirates,1970.0,7.0
United Kingdom,2011.0,9.0
United Kingdom,1990.0,11.0
United Kingdom,1970.0,12.0
United Republic of Tanzania,2011.0,10.0
United Republic of Tanzania,1990.0,15.0
United Republic of Tanzania,1970.0,18.0
United States,2011.0,8.0
United States,1990.0,9.0
United States,1970.0,9.0
Uruguay,2011.0,9.0
Uruguay,1990.0,10.0
Uruguay,1970.0,10.0
Uzbekistan,2011.0,7.0
Uzbekistan,1990.0,7.0
Uzbekistan,1970.0,10.0
Vanuatu,2011.0,5.0
Vanuatu,1990.0,8.0
Vanuatu,1970.0,14.0
Venezuela (Bolivarian Republic of),2011.0,5.0
Venezuela (Bolivarian Republic of),1990.0,5.0
Venezuela (Bolivarian Republic of),1970.0,7.0
Viet Nam,2011.0,5.0
Viet Nam,1990.0,8.0
Viet Nam,1970.0,18.0
Western and Central Africa,2011.0,13.0
Western and Central Africa,1990.0,18.0
Western and Central Africa,1970.0,22.0
World,2011.0,8.0
World,1990.0,9.0
World,1970.0,12.0
Yemen,2011.0,6.0
Yemen,1990.0,12.0
Yemen,1970.0,24.0
Zambia,2011.0,15.0
Zambia,1990.0,17.0
Zambia,1970.0,17.0
Zimbabwe,2011.0,13.0
Zimbabwe,1990.0,9.0
Zimbabwe,1970.0,13.0
