Country or Area,Subgroup,Year,Source,Unit,Infant mortality rate (IMR),Infant mortality rate (IMR) Footnotes
Argentina,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,24.0,
Armenia,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,16.0,
Armenia,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,40.0,
Australia,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,4.0,
Australia,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,8.0,
Austria,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,4.0,
Austria,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,8.0,
Azerbaijan,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,39.0,
Azerbaijan,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,75.0,
Bahamas,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,14.0,
Bahamas,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,18.0,
Bahrain,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,9.0,
Bahrain,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,18.0,
Bangladesh,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,37.0,
Bangladesh,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,97.0,
Barbados,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,18.0,
Barbados,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,16.0,
Belarus,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,4.0,
Belarus,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,14.0,
Belgium,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,4.0,
Belgium,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,9.0,
Belize,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,15.0,
Belize,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,35.0,
Benin,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,68.0,
Benin,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,107.0,
Bhutan,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,42.0,
Bhutan,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,96.0,
Bolivia (Plurinational State of),Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,39.0,
Bolivia (Plurinational State of),Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,83.0,
Bosnia and Herzegovina,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,7.0,
Bosnia and Herzegovina,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,17.0,
Botswana,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,20.0,
Botswana,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,41.0,
Brazil,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,14.0,
Brazil,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,49.0,
Brunei Darussalam,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,6.0,
Brunei Darussalam,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,9.0,
Bulgaria,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,11.0,
Bulgaria,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,19.0,
Burkina Faso,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,82.0,
Burkina Faso,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,105.0,
Burundi,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,86.0,
Burundi,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,110.0,
Cambodia,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,36.0,
Cambodia,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,85.0,
Cameroon,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,79.0,
Cameroon,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,90.0,
Canada,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,5.0,
Canada,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,7.0,
Cape Verde,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,18.0,
Cape Verde,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,45.0,
CEE/CIS,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,18.0,1.0
CEE/CIS,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,40.0,1.0
Central African Republic,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,108.0,
Central African Republic,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,112.0,
Chad,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,97.0,
Chad,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,113.0,
Chile,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,8.0,
Chile,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,16.0,
China,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,13.0,
China,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,39.0,
Colombia,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,15.0,
Colombia,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,28.0,
Comoros,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,59.0,
Comoros,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,86.0,
Congo,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,64.0,
Congo,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,75.0,
Cook Islands,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,8.0,
Cook Islands,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,16.0,
Costa Rica,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,9.0,
Costa Rica,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,15.0,
Côte d'Ivoire,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,81.0,
Côte d'Ivoire,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,104.0,
Croatia,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,4.0,
Croatia,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,11.0,
Cuba,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,5.0,
Cuba,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,11.0,
Cyprus,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,3.0,
Cyprus,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,10.0,
Czech Republic,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,3.0,
Czech Republic,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,13.0,
Democratic People's Republic of Korea,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,26.0,
Democratic People's Republic of Korea,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,23.0,
Democratic Republic of the Congo,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,111.0,
Democratic Republic of the Congo,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,117.0,
Denmark,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,3.0,
Denmark,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,7.0,
Djibouti,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,72.0,
Djibouti,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,94.0,
Dominica,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,11.0,
Dominica,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,14.0,
Dominican Republic,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,21.0,
Dominican Republic,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,45.0,
East Asia and Pacific,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,17.0,1.0
East Asia and Pacific,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,41.0,1.0
Eastern and Southern Africa,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,55.0,1.0
Eastern and Southern Africa,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,100.0,1.0
Ecuador,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,20.0,
Ecuador,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,41.0,
Egypt,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,18.0,
Egypt,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,63.0,
El Salvador,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,13.0,
El Salvador,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,47.0,
Equatorial Guinea,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,80.0,
Equatorial Guinea,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,118.0,
Eritrea,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,46.0,
Eritrea,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,86.0,
Estonia,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,3.0,
Estonia,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,16.0,
Ethiopia,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,52.0,
Ethiopia,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,118.0,
Fiji,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,14.0,
Fiji,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,25.0,
Finland,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,2.0,
Finland,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,6.0,
France,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,3.0,
France,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,7.0,
Gabon,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,49.0,
Gabon,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,69.0,
Gambia,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,58.0,
Gambia,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,78.0,
Georgia,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,18.0,
Georgia,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,40.0,
Germany,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,3.0,
Germany,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,7.0,
Ghana,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,52.0,
Ghana,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,76.0,
Greece,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,4.0,
Greece,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,12.0,
Grenada,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,10.0,
Grenada,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,17.0,
Guatemala,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,24.0,
Guatemala,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,56.0,
Guinea,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,79.0,
Guinea,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,135.0,
Guinea-Bissau,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,98.0,
Guinea-Bissau,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,125.0,
Guyana,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,29.0,
Guyana,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,48.0,
Haiti,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,53.0,
Haiti,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,99.0,
Honduras,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,18.0,
Honduras,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,43.0,
Hungary,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,5.0,
Hungary,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,17.0,
Iceland,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,2.0,
Iceland,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,5.0,
India,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,47.0,
India,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,81.0,
Indonesia,Total,2011.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,25.0,
Indonesia,Total,1990.0,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Deaths per 1000 live births,54.0,
