Country or Area,Subgroup,Year,Source,Unit,Neonatal mortality rate,Neonatal mortality rate Footnotes
Burundi,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,43.0,
Cambodia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,19.0,
Cameroon,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,33.0,
Canada,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,4.0,
Cape Verde,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,10.0,
CEE/CIS,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,10.0,1.0
Central African Republic,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,46.0,
Chad,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,42.0,
Chile,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,5.0,
China,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,9.0,
Colombia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,11.0,
Comoros,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,32.0,
Congo,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,32.0,
Cook Islands,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,5.0,
Costa Rica,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,6.0,
Côte d'Ivoire,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,41.0,
Croatia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,3.0,
Cuba,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,3.0,
Cyprus,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,1.0,
Czech Republic,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Democratic People's Republic of Korea,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,18.0,
Democratic Republic of the Congo,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,47.0,
Denmark,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Djibouti,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,33.0,
Dominica,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,8.0,
Dominican Republic,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,14.0,
East Asia and Pacific,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,11.0,1.0
Eastern and Southern Africa,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,29.0,1.0
Ecuador,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,10.0,
Egypt,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,7.0,
El Salvador,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,6.0,
Equatorial Guinea,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,37.0,
Eritrea,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,22.0,
Estonia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Ethiopia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,31.0,
Fiji,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,8.0,
Finland,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
France,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Gabon,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,25.0,
Gambia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,34.0,
Georgia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,15.0,
Germany,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Ghana,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,30.0,
Greece,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,3.0,
Grenada,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,7.0,
Guatemala,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,15.0,
Guinea,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,39.0,
Guinea-Bissau,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,44.0,
Guyana,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,20.0,
Haiti,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,25.0,
Honduras,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,11.0,
Hungary,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,4.0,
Iceland,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,1.0,
India,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,32.0,
Indonesia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,15.0,
Iran (Islamic Republic of),Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,14.0,
Iraq,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,20.0,
Ireland,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Israel,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Italy,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Jamaica,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,11.0,
Japan,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,1.0,
Jordan,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,12.0,
Kazakhstan,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,14.0,
Kenya,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,27.0,
Kiribati,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,19.0,
Kuwait,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,5.0,
Kyrgyzstan,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,16.0,
Lao People's Democratic Republic,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,18.0,
Latin America and Caribbean,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,10.0,1.0
Latvia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,5.0,
Least Developed Countries/Territories,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,33.0,1.0
Lebanon,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,5.0,
Lesotho,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,39.0,
Liberia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,27.0,
Libya,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,10.0,
Lithuania,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,3.0,
Luxembourg,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Madagascar,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,23.0,
Malawi,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,27.0,
Malaysia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,3.0,
Maldives,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,7.0,
Mali,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,49.0,
Malta,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,4.0,
Marshall Islands,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,12.0,
Mauritania,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,40.0,
Mauritius,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,9.0,
Mexico,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,7.0,
Micronesia (Federated States of),Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,17.0,
Middle East and North Africa,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,16.0,1.0
Monaco,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Mongolia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,12.0,
Montenegro,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,5.0,
Morocco,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,19.0,
Mozambique,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,34.0,
Myanmar,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,30.0,
Namibia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,18.0,
Nauru,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,22.0,
Nepal,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,27.0,
Netherlands,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,3.0,
New Zealand,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,3.0,
Nicaragua,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,13.0,
Niger,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,32.0,
Nigeria,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,39.0,
Niue,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,10.0,
Norway,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Oman,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,5.0,
Pakistan,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,36.0,
Palau,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,9.0,
Panama,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,9.0,
Papua New Guinea,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,23.0,
Paraguay,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,13.0,
Peru,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,9.0,
Philippines,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,12.0,
Poland,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,4.0,
Portugal,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Qatar,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,4.0,
Republic of Korea,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Republic of Moldova,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,8.0,
Romania,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,8.0,
Russian Federation,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,7.0,
Rwanda,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,21.0,
Saint Kitts and Nevis,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,5.0,
Saint Lucia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,9.0,
Saint Vincent and the Grenadines,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,13.0,
Samoa,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,8.0,
San Marino,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,1.0,
Sao Tome and Principe,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,29.0,
Saudi Arabia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,5.0,
Senegal,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,26.0,
Serbia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,4.0,
Seychelles,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,9.0,
Sierra Leone,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,49.0,
Singapore,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,1.0,
Slovakia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,4.0,
Slovenia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Solomon Islands,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,11.0,
Somalia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,50.0,
South Africa,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,19.0,
South Asia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,32.0,1.0
South Sudan,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,38.0,2.0
Spain,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,3.0,
Sri Lanka,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,8.0,
State of Palestine,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,13.0,
Sub-Saharan Africa,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,34.0,1.0
Sudan,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,31.0,2.0
Suriname,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,16.0,
Swaziland,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,35.0,
Sweden,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Switzerland,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,3.0,
Syrian Arab Republic,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,9.0,
Tajikistan,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,25.0,
Thailand,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,8.0,
The former Yugoslav Republic of Macedonia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,6.0,
Timor-Leste,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,24.0,
Togo,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,36.0,
Tonga,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,8.0,
Trinidad and Tobago,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,18.0,
Tunisia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,10.0,
Turkey,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,9.0,
Turkmenistan,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,22.0,
Tuvalu,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,14.0,
Uganda,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,28.0,
Ukraine,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,5.0,
United Arab Emirates,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,4.0,
United Kingdom,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,3.0,
United Republic of Tanzania,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,25.0,
United States,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,4.0,
Uruguay,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,5.0,
Uzbekistan,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,15.0,
Vanuatu,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,7.0,
Venezuela (Bolivarian Republic of),Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,8.0,
Viet Nam,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,12.0,
Western and Central Africa,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,39.0,1.0
World,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,22.0,1.0
Yemen,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,32.0,
Zambia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,27.0,
Zimbabwe,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,30.0,
