Country or Area,Subgroup,Year,Source,Unit,Father's support for learning,Father's support for learning Footnotes
Ghana,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,30.0,1.0
Guyana,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,52.0,1.0
Iraq,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,60.0,1.0
Jamaica,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,41.0,1.0
Kazakhstan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,49.0,1.0
Kyrgyzstan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,54.0,1.0
Lao People's Democratic Republic,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,24.0,1.0
Lebanon,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,74.0,2.0
Mali,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,14.0,1.0
Mauritania,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,30.0,1.0
Mongolia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,41.0,1.0
Montenegro,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,79.0,1.0
Morocco,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,56.0,2.0
Mozambique,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,20.0,1.0
Myanmar,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,44.0,2.0
Nigeria,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,38.0,1.0
Serbia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,78.0,1.0
Sierra Leone,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,42.0,1.0
Somalia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,48.0,1.0
Suriname,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,31.0,1.0
Swaziland,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,10.0,1.0
Syrian Arab Republic,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,62.0,1.0
Tajikistan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,23.0,1.0
Thailand,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,57.0,1.0
The former Yugoslav Republic of Macedonia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,71.0,1.0
Togo,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,38.0,1.0
Trinidad and Tobago,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,63.0,1.0
Uzbekistan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,54.0,1.0
Viet Nam,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,61.0,1.0
Western and Central Africa,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,35.0,3.0
Yemen,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,37.0,1.0
