Country or Area,Subgroup,Birth registration,Birth registration Footnotes
Chad,Poorest 20%,5,1
Chad,Ratio of richest to poorest,9.2,1
Chad,Richest 20%,46,1
Chile,Total,100,8
Colombia,Rural,95,1
Colombia,Urban,97,1
Colombia,Total,97,1
Colombia,Ratio of urban to rural,1,1
Comoros,Rural,83,2
Comoros,Urban,87,2
Comoros,Total,83,3
Comoros,Ratio of urban to rural,1.1,2
Comoros,Poorest 20%,72,4
Comoros,Ratio of richest to poorest,1.3,5
Comoros,Richest 20%,93,6
Congo,Rural,75,8
Congo,Urban,88,8
Congo,Total,81,8
Congo,Ratio of urban to rural,1.2,8
Congo,Poorest 20%,69,9
Congo,Ratio of richest to poorest,1.3,10
Congo,Richest 20%,91,9
Côte d'Ivoire,Rural,41,1
Côte d'Ivoire,Urban,79,1
Côte d'Ivoire,Total,55,1
Côte d'Ivoire,Ratio of urban to rural,2,1
Côte d'Ivoire,Poorest 20%,28,1
Côte d'Ivoire,Ratio of richest to poorest,3.2,1
Côte d'Ivoire,Richest 20%,89,1
Cuba,Rural,100,8
Cuba,Urban,100,8
Cuba,Total,100,8
Cuba,Ratio of urban to rural,1,8
Democratic People's Republic of Korea,Rural,100,1
Democratic People's Republic of Korea,Urban,100,1
Democratic People's Republic of Korea,Total,100,1
Democratic People's Republic of Korea,Ratio of urban to rural,1,1
Democratic Republic of the Congo,Rural,29,1
Democratic Republic of the Congo,Urban,24,1
Democratic Republic of the Congo,Total,28,1
Democratic Republic of the Congo,Ratio of urban to rural,0.8,1
Democratic Republic of the Congo,Poorest 20%,25,1
Democratic Republic of the Congo,Ratio of richest to poorest,1.1,1
Democratic Republic of the Congo,Richest 20%,27,1
Djibouti,Rural,82,1
Djibouti,Urban,90,1
Djibouti,Total,89,1
Djibouti,Ratio of urban to rural,1.1,1
Dominican Republic,Rural,73,1
Dominican Republic,Urban,83,1
Dominican Republic,Total,79,1
Dominican Republic,Ratio of urban to rural,1.1,1
Dominican Republic,Poorest 20%,61,1
Dominican Republic,Ratio of richest to poorest,1.5,1
Dominican Republic,Richest 20%,93,1
East Asia and Pacific,Rural,65,13
East Asia and Pacific,Urban,80,13
East Asia and Pacific,Total,70,14
East Asia and Pacific,Ratio of urban to rural,1.2,13
East Asia and Pacific,Poorest 20%,48,15
East Asia and Pacific,Ratio of richest to poorest,1.9,16
East Asia and Pacific,Richest 20%,89,15
Eastern and Southern Africa,Rural,28,11
Eastern and Southern Africa,Urban,49,11
Eastern and Southern Africa,Total,37,12
Eastern and Southern Africa,Ratio of urban to rural,1.7,11
Eastern and Southern Africa,Poorest 20%,23,11
Eastern and Southern Africa,Ratio of richest to poorest,2.2,11
Eastern and Southern Africa,Richest 20%,50,11
Ecuador,Rural,92,1
Ecuador,Urban,89,1
Ecuador,Total,90,1
Ecuador,Ratio of urban to rural,1,1
Egypt,Rural,99,1
Egypt,Urban,99,1
Egypt,Total,99,1
Egypt,Ratio of urban to rural,1,1
Egypt,Poorest 20%,99,1
Egypt,Ratio of richest to poorest,1,1
Egypt,Richest 20%,100,1
El Salvador,Rural,99,1
El Salvador,Urban,99,1
El Salvador,Total,99,1
El Salvador,Ratio of urban to rural,1,1
El Salvador,Poorest 20%,98,1
El Salvador,Ratio of richest to poorest,1,1
El Salvador,Richest 20%,99,1
Equatorial Guinea,Rural,24,2
Equatorial Guinea,Urban,43,2
Equatorial Guinea,Total,32,3
Equatorial Guinea,Ratio of urban to rural,1.8,2
Ethiopia,Rural,5,1
Ethiopia,Urban,29,1
Ethiopia,Total,7,1
Ethiopia,Ratio of urban to rural,5.9,1
Ethiopia,Poorest 20%,3,1
Ethiopia,Ratio of richest to poorest,7,1
Ethiopia,Richest 20%,18,1
Gabon,Rural,87,2
Gabon,Urban,90,2
Gabon,Total,89,3
Gabon,Ratio of urban to rural,1,2
Gabon,Poorest 20%,88,4
Gabon,Ratio of richest to poorest,1,5
Gabon,Richest 20%,92,6
Gambia,Rural,52,1
Gambia,Urban,54,1
Gambia,Total,53,1
Gambia,Ratio of urban to rural,1,1
Gambia,Poorest 20%,46,1
Gambia,Ratio of richest to poorest,1.3,1
Gambia,Richest 20%,61,1
Georgia,Rural,98,1
Georgia,Urban,99,1
Georgia,Total,99,1
Georgia,Ratio of urban to rural,1,1
Georgia,Poorest 20%,99,1
Georgia,Ratio of richest to poorest,1,1
Georgia,Richest 20%,98,1
Ghana,Rural,55,1
Ghana,Urban,72,1
Ghana,Total,63,1
Ghana,Ratio of urban to rural,1.3,1
Ghana,Poorest 20%,47,1
Ghana,Ratio of richest to poorest,1.7,1
Ghana,Richest 20%,82,1
Guatemala,Rural,97,1
Guatemala,Urban,96,1
Guatemala,Total,97,1
Guatemala,Ratio of urban to rural,1,1
Guinea,Rural,33,1
Guinea,Urban,78,1
Guinea,Total,43,1
Guinea,Ratio of urban to rural,2.4,1
Guinea,Poorest 20%,21,1
Guinea,Ratio of richest to poorest,4,1
Guinea,Richest 20%,83,1
Guinea-Bissau,Rural,21,1
Guinea-Bissau,Urban,30,1
Guinea-Bissau,Total,24,1
Guinea-Bissau,Ratio of urban to rural,1.4,1
Guinea-Bissau,Poorest 20%,17,1
Guinea-Bissau,Ratio of richest to poorest,2,1
Guinea-Bissau,Richest 20%,35,1
Guyana,Rural,87,1
Guyana,Urban,91,1
Guyana,Total,88,1
Guyana,Ratio of urban to rural,1,1
Guyana,Poorest 20%,84,1
Guyana,Ratio of richest to poorest,1.1,1
Guyana,Richest 20%,92,1
Haiti,Rural,78,1
Haiti,Urban,87,1
Haiti,Total,81,1
Haiti,Ratio of urban to rural,1.1,1
Haiti,Poorest 20%,72,1
Haiti,Ratio of richest to poorest,1.3,1
Haiti,Richest 20%,92,1
Honduras,Rural,93,1
Honduras,Urban,95,1
Honduras,Total,94,1
Honduras,Ratio of urban to rural,1,1
Honduras,Poorest 20%,92,1
Honduras,Ratio of richest to poorest,1,1
Honduras,Richest 20%,96,1
India,Rural,35,1
India,Urban,59,1
India,Total,41,1
India,Ratio of urban to rural,1.7,1
India,Poorest 20%,24,1
India,Ratio of richest to poorest,3,1
India,Richest 20%,72,1
Indonesia,Rural,41,1
Indonesia,Urban,71,1
Indonesia,Total,53,1
Indonesia,Ratio of urban to rural,1.7,1
Indonesia,Poorest 20%,23,1
Indonesia,Ratio of richest to poorest,3.7,1
Indonesia,Richest 20%,84,1
Iraq,Rural,96,1
Iraq,Urban,95,1
Iraq,Total,95,1
Iraq,Ratio of urban to rural,1,1
Jamaica,Total,98,1
Jamaica,Poorest 20%,96,1
Jamaica,Ratio of richest to poorest,1,1
Jamaica,Richest 20%,99,1
Kazakhstan,Rural,100,1
Kazakhstan,Urban,100,1
Kazakhstan,Total,100,1
Kazakhstan,Ratio of urban to rural,1,1
Kazakhstan,Poorest 20%,100,1
Kazakhstan,Ratio of richest to poorest,1,1
Kazakhstan,Richest 20%,100,1
Kenya,Rural,57,1
Kenya,Urban,76,1
Kenya,Total,60,1
Kenya,Ratio of urban to rural,1.3,1
Kenya,Poorest 20%,48,1
Kenya,Ratio of richest to poorest,1.7,1
Kenya,Richest 20%,80,1
Kiribati,Rural,93,1
Kiribati,Urban,95,1
Kiribati,Total,94,1
Kiribati,Ratio of urban to rural,1,1
Kiribati,Poorest 20%,93,1
Kiribati,Ratio of richest to poorest,1,1
Kiribati,Richest 20%,94,1
Kyrgyzstan,Rural,93,1
Kyrgyzstan,Urban,96,1
Kyrgyzstan,Total,94,1
Kyrgyzstan,Ratio of urban to rural,1,1
Kyrgyzstan,Poorest 20%,94,1
Kyrgyzstan,Ratio of richest to poorest,1,1
Kyrgyzstan,Richest 20%,95,1
Lao People's Democratic Republic,Rural,68,1
Lao People's Democratic Republic,Urban,84,1
Lao People's Democratic Republic,Total,72,1
Lao People's Democratic Republic,Ratio of urban to rural,1.2,1
Lao People's Democratic Republic,Poorest 20%,62,1
Lao People's Democratic Republic,Ratio of richest to poorest,1.4,1
Lao People's Democratic Republic,Richest 20%,85,1
Latin America and Caribbean,Total,93,12
Least Developed Countries/Territories,Rural,31,11
Least Developed Countries/Territories,Urban,50,11
Least Developed Countries/Territories,Total,35,12
Least Developed Countries/Territories,Ratio of urban to rural,1.6,11
Least Developed Countries/Territories,Poorest 20%,25,15
Least Developed Countries/Territories,Ratio of richest to poorest,2.1,11
Least Developed Countries/Territories,Richest 20%,52,11
Lebanon,Total,100,1
Lesotho,Rural,46,1
Lesotho,Urban,43,1
Lesotho,Total,45,1
Lesotho,Ratio of urban to rural,1,1
Lesotho,Poorest 20%,42,1
Lesotho,Ratio of richest to poorest,1.2,1
Lesotho,Richest 20%,49,1
Liberia,Rural,3,8
Liberia,Urban,5,8
Liberia,Total,4,8
Liberia,Ratio of urban to rural,1.9,8
Liberia,Poorest 20%,1,9
Liberia,Ratio of richest to poorest,6.1,10
Liberia,Richest 20%,7,9
Madagascar,Rural,78,1
Madagascar,Urban,92,1
Madagascar,Total,80,1
Madagascar,Ratio of urban to rural,1.2,1
Madagascar,Poorest 20%,61,1
Madagascar,Ratio of richest to poorest,1.5,1
Madagascar,Richest 20%,93,1
Maldives,Rural,92,1
Maldives,Urban,93,1
Maldives,Total,93,1
Maldives,Ratio of urban to rural,1,1
Maldives,Poorest 20%,92,1
Maldives,Ratio of richest to poorest,1,1
Maldives,Richest 20%,94,1
Mali,Rural,77,1
Mali,Urban,92,1
Mali,Total,81,1
Mali,Ratio of urban to rural,1.2,1
Mali,Poorest 20%,65,1
Mali,Ratio of richest to poorest,1.5,1
Mali,Richest 20%,96,1
Marshall Islands,Rural,96,1
Marshall Islands,Urban,96,1
Marshall Islands,Total,96,1
Marshall Islands,Ratio of urban to rural,1,1
Marshall Islands,Poorest 20%,92,1
Marshall Islands,Ratio of richest to poorest,1.1,1
Marshall Islands,Richest 20%,98,1
Mauritania,Rural,42,1
Mauritania,Urban,75,1
Mauritania,Total,56,1
Mauritania,Ratio of urban to rural,1.8,1
Mauritania,Poorest 20%,28,1
Mauritania,Ratio of richest to poorest,2.9,1
Mauritania,Richest 20%,83,1
Middle East and North Africa,Rural,72,11
Middle East and North Africa,Urban,91,11
Middle East and North Africa,Total,81,12
Middle East and North Africa,Ratio of urban to rural,1.3,11
Mongolia,Rural,99,1
Mongolia,Urban,99,1
Mongolia,Total,99,1
Mongolia,Ratio of urban to rural,1,1
Mongolia,Poorest 20%,99,1
Mongolia,Ratio of richest to poorest,1,1
Mongolia,Richest 20%,99,1
Montenegro,Rural,99,1
Montenegro,Urban,98,1
Montenegro,Total,98,1
Montenegro,Ratio of urban to rural,1,1
Montenegro,Poorest 20%,94,1
Montenegro,Ratio of richest to poorest,1,1
Montenegro,Richest 20%,99,1
Morocco,Rural,80,17
Morocco,Urban,92,17
Morocco,Total,85,7
Morocco,Ratio of urban to rural,1.1,17
Mozambique,Rural,28,1
Mozambique,Urban,39,1
Mozambique,Total,31,1
Mozambique,Ratio of urban to rural,1.4,1
Mozambique,Poorest 20%,20,1
Mozambique,Ratio of richest to poorest,2.4,1
Mozambique,Richest 20%,48,1
Myanmar,Rural,64,1
Myanmar,Urban,94,1
Myanmar,Total,72,1
Myanmar,Ratio of urban to rural,1.5,1
Myanmar,Poorest 20%,50,1
Myanmar,Ratio of richest to poorest,1.9,1
Myanmar,Richest 20%,96,1
Namibia,Rural,59,1
Namibia,Urban,83,1
Namibia,Total,67,1
Namibia,Ratio of urban to rural,1.4,1
Namibia,Poorest 20%,46,1
Namibia,Ratio of richest to poorest,2,1
Namibia,Richest 20%,92,1
Nauru,Total,83,1
Nauru,Poorest 20%,71,1
Nauru,Ratio of richest to poorest,1.2,1
Nauru,Richest 20%,88,1
Nepal,Rural,42,1
Nepal,Urban,44,1
Nepal,Total,42,1
Nepal,Ratio of urban to rural,1,1
Nepal,Poorest 20%,36,1
Nepal,Ratio of richest to poorest,1.5,1
Nepal,Richest 20%,52,1
Nicaragua,Rural,77,8
Nicaragua,Urban,87,8
Nicaragua,Total,81,8
Nicaragua,Ratio of urban to rural,1.1,8
Nicaragua,Poorest 20%,72,9
Nicaragua,Ratio of richest to poorest,1.3,10
Nicaragua,Richest 20%,93,9
Niger,Rural,25,8
Niger,Urban,71,8
Niger,Total,32,8
Niger,Ratio of urban to rural,2.9,8
Niger,Poorest 20%,20,9
Niger,Ratio of richest to poorest,3.3,10
Niger,Richest 20%,67,9
Nigeria,Rural,22,1
Nigeria,Urban,49,1
Nigeria,Total,30,1
Nigeria,Ratio of urban to rural,2.2,1
Nigeria,Poorest 20%,9,1
Nigeria,Ratio of richest to poorest,7,1
Nigeria,Richest 20%,62,1
Pakistan,Rural,24,1
Pakistan,Urban,32,1
Pakistan,Total,27,1
Pakistan,Ratio of urban to rural,1.3,1
Pakistan,Poorest 20%,18,1
Pakistan,Ratio of richest to poorest,2.1,1
Pakistan,Richest 20%,38,1
Peru,Total,93,1
Philippines,Rural,78,2
Philippines,Urban,87,2
Philippines,Total,83,3
Philippines,Ratio of urban to rural,1.1,2
Republic of Moldova,Rural,98,2
Republic of Moldova,Urban,98,2
Republic of Moldova,Total,98,3
Republic of Moldova,Ratio of urban to rural,1,2
Republic of Moldova,Poorest 20%,97,4
Republic of Moldova,Ratio of richest to poorest,1,5
Republic of Moldova,Richest 20%,98,6
Rwanda,Rural,64,1
Rwanda,Urban,60,1
Rwanda,Total,63,1
Rwanda,Ratio of urban to rural,0.9,1
Rwanda,Poorest 20%,58,1
Rwanda,Ratio of richest to poorest,1.1,1
Rwanda,Richest 20%,64,1
Samoa,Rural,44,1
Samoa,Urban,62,1
Samoa,Total,48,1
Samoa,Ratio of urban to rural,1.4,1
Samoa,Poorest 20%,31,1
Samoa,Ratio of richest to poorest,2.1,1
Samoa,Richest 20%,63,1
Sao Tome and Principe,Rural,74,1
Sao Tome and Principe,Urban,76,1
Sao Tome and Principe,Total,75,1
Sao Tome and Principe,Ratio of urban to rural,1,1
Sao Tome and Principe,Poorest 20%,74,1
Sao Tome and Principe,Ratio of richest to poorest,1.1,1
Sao Tome and Principe,Richest 20%,86,1
Senegal,Rural,66,1
Senegal,Urban,89,1
Senegal,Total,75,1
Senegal,Ratio of urban to rural,1.4,1
Senegal,Poorest 20%,50,1
Senegal,Ratio of richest to poorest,1.9,1
Senegal,Richest 20%,94,1
Serbia,Rural,99,1
Serbia,Urban,99,1
Serbia,Total,99,1
Serbia,Ratio of urban to rural,1,1
Serbia,Poorest 20%,97,1
Serbia,Ratio of richest to poorest,1,1
Serbia,Richest 20%,100,1
Sierra Leone,Rural,78,1
Sierra Leone,Urban,78,1
Sierra Leone,Total,78,1
Sierra Leone,Ratio of urban to rural,1,1
Sierra Leone,Poorest 20%,74,1
Sierra Leone,Ratio of richest to poorest,1.2,1
Sierra Leone,Richest 20%,88,1
Somalia,Rural,2,1
Somalia,Urban,6,1
Somalia,Total,3,1
Somalia,Ratio of urban to rural,3.7,1
Somalia,Poorest 20%,1,1
Somalia,Ratio of richest to poorest,6.6,1
Somalia,Richest 20%,7,1
South Africa,Total,92,8
South Asia,Rural,32,11
South Asia,Urban,52,11
South Asia,Total,37,12
South Asia,Ratio of urban to rural,1.6,11
South Asia,Poorest 20%,23,11
South Asia,Ratio of richest to poorest,2.7,11
South Asia,Richest 20%,63,11
South Sudan,Rural,32,18
South Sudan,Urban,45,18
South Sudan,Total,35,18
South Sudan,Ratio of urban to rural,1.4,18
South Sudan,Poorest 20%,21,19
South Sudan,Ratio of richest to poorest,2.7,20
South Sudan,Richest 20%,57,19
Sri Lanka,Rural,98,1
Sri Lanka,Urban,97,1
Sri Lanka,Total,97,1
Sri Lanka,Ratio of urban to rural,1,1
Sri Lanka,Poorest 20%,97,1
Sri Lanka,Ratio of richest to poorest,1,1
Sri Lanka,Richest 20%,98,1
State of Palestine,Rural,96,8
State of Palestine,Urban,97,8
State of Palestine,Total,96,8
State of Palestine,Ratio of urban to rural,1,8
Sub-Saharan Africa,Rural,33,11
Sub-Saharan Africa,Urban,56,11
Sub-Saharan Africa,Total,41,12
Sub-Saharan Africa,Ratio of urban to rural,1.7,11
Sub-Saharan Africa,Poorest 20%,25,11
Sub-Saharan Africa,Ratio of richest to poorest,2.4,11
Sub-Saharan Africa,Richest 20%,60,11
Sudan,Rural,50,1
Sudan,Urban,85,18
Sudan,Total,59,18
Sudan,Ratio of urban to rural,1.7,18
Sudan,Poorest 20%,26,19
Sudan,Ratio of richest to poorest,3.8,20
Sudan,Richest 20%,98,19
Suriname,Rural,95,1
Suriname,Urban,98,1
Suriname,Total,97,1
Suriname,Ratio of urban to rural,1,1
Suriname,Poorest 20%,94,1
Suriname,Ratio of richest to poorest,1,1
Suriname,Richest 20%,98,1
Swaziland,Rural,47,1
Swaziland,Urban,62,1
Swaziland,Total,50,1
Swaziland,Ratio of urban to rural,1.3,1
Swaziland,Poorest 20%,39,1
Swaziland,Ratio of richest to poorest,1.9,1
Swaziland,Richest 20%,73,1
Syrian Arab Republic,Rural,95,1
Syrian Arab Republic,Urban,96,1
Syrian Arab Republic,Total,95,1
Syrian Arab Republic,Ratio of urban to rural,1,1
Syrian Arab Republic,Poorest 20%,92,1
Syrian Arab Republic,Ratio of richest to poorest,1.1,1
Syrian Arab Republic,Richest 20%,99,1
Tajikistan,Rural,90,1
Tajikistan,Urban,85,1
Tajikistan,Total,88,1
Tajikistan,Ratio of urban to rural,0.9,1
Tajikistan,Poorest 20%,89,1
Tajikistan,Ratio of richest to poorest,1,1
Tajikistan,Richest 20%,86,1
Thailand,Rural,99,1
Thailand,Urban,100,1
Thailand,Total,99,1
Thailand,Ratio of urban to rural,1,1
Thailand,Poorest 20%,99,1
Thailand,Ratio of richest to poorest,1,1
Thailand,Richest 20%,100,1
The former Yugoslav Republic of Macedonia,Rural,100,1
The former Yugoslav Republic of Macedonia,Urban,100,1
The former Yugoslav Republic of Macedonia,Total,100,1
The former Yugoslav Republic of Macedonia,Ratio of urban to rural,1,1
The former Yugoslav Republic of Macedonia,Poorest 20%,99,1
The former Yugoslav Republic of Macedonia,Ratio of richest to poorest,1,1
The former Yugoslav Republic of Macedonia,Richest 20%,100,1
Timor-Leste,Rural,57,1
Timor-Leste,Urban,50,1
Timor-Leste,Total,55,1
Timor-Leste,Ratio of urban to rural,0.9,1
Timor-Leste,Poorest 20%,50,1
Timor-Leste,Ratio of richest to poorest,1.1,1
Timor-Leste,Richest 20%,56,1
Togo,Rural,71,1
Togo,Urban,93,1
Togo,Total,78,1
Togo,Ratio of urban to rural,1.3,1
Togo,Poorest 20%,59,1
Togo,Ratio of richest to poorest,1.7,1
Togo,Richest 20%,97,1
Trinidad and Tobago,Total,96,1
Trinidad and Tobago,Poorest 20%,94,1
Trinidad and Tobago,Ratio of richest to poorest,1,1
Trinidad and Tobago,Richest 20%,98,1
Turkey,Rural,92,1
Turkey,Urban,95,1
Turkey,Total,94,1
Turkey,Ratio of urban to rural,1,1
Turkey,Poorest 20%,89,1
Turkey,Ratio of richest to poorest,1.1,1
Turkey,Richest 20%,99,1
Turkmenistan,Rural,95,1
Turkmenistan,Urban,96,1
Turkmenistan,Total,96,1
Turkmenistan,Ratio of urban to rural,1,1
Turkmenistan,Poorest 20%,94,1
Turkmenistan,Ratio of richest to poorest,1,1
Turkmenistan,Richest 20%,97,1
Tuvalu,Rural,38,1
Tuvalu,Urban,60,1
Tuvalu,Total,50,1
Tuvalu,Ratio of urban to rural,1.6,1
Tuvalu,Poorest 20%,39,1
Tuvalu,Ratio of richest to poorest,1.8,1
Tuvalu,Richest 20%,71,1
Uganda,Rural,29,1
Uganda,Urban,38,1
Uganda,Total,30,1
Uganda,Ratio of urban to rural,1.3,1
Uganda,Poorest 20%,27,1
Uganda,Ratio of richest to poorest,1.6,1
Uganda,Richest 20%,44,1
Ukraine,Rural,100,1
Ukraine,Urban,100,1
Ukraine,Total,100,1
Ukraine,Ratio of urban to rural,1,1
Ukraine,Poorest 20%,100,1
Ukraine,Ratio of richest to poorest,1,1
Ukraine,Richest 20%,100,1
United Republic of Tanzania,Rural,10,1
United Republic of Tanzania,Urban,44,1
United Republic of Tanzania,Total,16,1
United Republic of Tanzania,Ratio of urban to rural,4.6,1
United Republic of Tanzania,Poorest 20%,4,1
United Republic of Tanzania,Ratio of richest to poorest,12.7,1
United Republic of Tanzania,Richest 20%,56,1
Uzbekistan,Rural,100,1
Uzbekistan,Urban,100,1
Uzbekistan,Total,100,1
Uzbekistan,Ratio of urban to rural,1,1
Uzbekistan,Poorest 20%,100,1
Uzbekistan,Ratio of richest to poorest,1,1
Uzbekistan,Richest 20%,100,1
Vanuatu,Rural,23,1
Vanuatu,Urban,39,1
Vanuatu,Total,26,1
Vanuatu,Ratio of urban to rural,1.7,1
Vanuatu,Poorest 20%,13,1
Vanuatu,Ratio of richest to poorest,3.1,1
Vanuatu,Richest 20%,41,1
Venezuela (Bolivarian Republic of),Total,92,3
Venezuela (Bolivarian Republic of),Poorest 20%,87,4
Venezuela (Bolivarian Republic of),Ratio of richest to poorest,1.1,5
Venezuela (Bolivarian Republic of),Richest 20%,95,6
Viet Nam,Rural,94,1
Viet Nam,Urban,97,1
Viet Nam,Total,95,1
Viet Nam,Ratio of urban to rural,1,1
Viet Nam,Poorest 20%,87,1
Viet Nam,Ratio of richest to poorest,1.1,1
Viet Nam,Richest 20%,98,1
Western and Central Africa,Rural,36,11
Western and Central Africa,Urban,57,11
Western and Central Africa,Total,42,12
Western and Central Africa,Ratio of urban to rural,1.6,11
Western and Central Africa,Poorest 20%,26,11
Western and Central Africa,Ratio of richest to poorest,2.5,11
Western and Central Africa,Richest 20%,65,11
World,Rural,41,13
World,Urban,65,13
World,Total,51,14
World,Ratio of urban to rural,1.6,13
World,Poorest 20%,32,11
World,Ratio of richest to poorest,2.1,16
World,Richest 20%,68,15
Yemen,Rural,16,1
Yemen,Urban,38,1
Yemen,Total,22,1
Yemen,Ratio of urban to rural,2.3,1
Yemen,Poorest 20%,5,1
Yemen,Ratio of richest to poorest,9.3,1
Yemen,Richest 20%,50,1
Zambia,Rural,9,1
Zambia,Urban,28,1
Zambia,Total,14,1
Zambia,Ratio of urban to rural,3.2,1
Zambia,Poorest 20%,5,1
Zambia,Ratio of richest to poorest,5.8,1
Zambia,Richest 20%,31,1
Zimbabwe,Rural,43,1
Zimbabwe,Urban,65,1
Zimbabwe,Total,49,1
Zimbabwe,Ratio of urban to rural,1.5,1
Zimbabwe,Poorest 20%,35,1
Zimbabwe,Ratio of richest to poorest,2.1,1
Zimbabwe,Richest 20%,75,1
