Country or Area,Subgroup,Year,Source,Unit,Exclusive breastfeeding rate,Exclusive breastfeeding rate Footnotes
Ecuador,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,40.0,2.0
Egypt,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,53.0,1.0
El Salvador,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,31.0,1.0
Equatorial Guinea,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,24.0,2.0
Eritrea,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,52.0,2.0
Ethiopia,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,52.0,1.0
Fiji,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,40.0,2.0
Gabon,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,6.0,2.0
Gambia,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,34.0,1.0
Georgia,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,55.0,1.0
Ghana,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,63.0,1.0
Guatemala,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,50.0,1.0
Guinea,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,48.0,1.0
Guinea-Bissau,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,38.0,1.0
Guyana,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,33.0,1.0
Haiti,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,41.0,2.0
Honduras,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,30.0,2.0
India,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,46.0,2.0
Indonesia,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,32.0,1.0
Iran (Islamic Republic of),Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,23.0,2.0
Iraq,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,25.0,2.0
Jamaica,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,15.0,2.0
Jordan,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,22.0,1.0
Kazakhstan,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,17.0,2.0
Kenya,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,32.0,1.0
Kiribati,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,69.0,1.0
Kyrgyzstan,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,32.0,2.0
Lao People's Democratic Republic,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,26.0,2.0
Latin America and Caribbean,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,37.0,4.0
Least Developed Countries/Territories,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,49.0,4.0
Lebanon,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,15.0,1.0
Lesotho,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,54.0,1.0
Liberia,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,34.0,3.0
Madagascar,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,51.0,1.0
Malawi,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,72.0,1.0
Maldives,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,48.0,1.0
Mali,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,38.0,2.0
Marshall Islands,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,31.0,1.0
Mauritania,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,46.0,1.0
Mauritius,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,21.0,2.0
Mexico,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,19.0,1.0
Mongolia,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,59.0,1.0
Montenegro,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,19.0,2.0
Morocco,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,31.0,2.0
Mozambique,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,41.0,1.0
Myanmar,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,24.0,1.0
Namibia,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,24.0,2.0
Nauru,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,67.0,1.0
Nepal,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,70.0,1.0
Nicaragua,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,31.0,1.0
Niger,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,27.0,1.0
Nigeria,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,13.0,1.0
Pakistan,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,37.0,1.0
Papua New Guinea,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,56.0,2.0
Paraguay,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,24.0,1.0
Peru,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,71.0,1.0
Philippines,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,34.0,1.0
Republic of Moldova,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,46.0,2.0
Romania,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,16.0,2.0
Rwanda,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,85.0,1.0
Samoa,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,51.0,1.0
Sao Tome and Principe,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,51.0,1.0
Senegal,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,39.0,1.0
Serbia,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,14.0,1.0
Sierra Leone,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,32.0,1.0
Solomon Islands,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,74.0,1.0
Somalia,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,9.0,2.0
South Africa,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,8.0,2.0
South Asia,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,47.0,4.0
South Sudan,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,45.0,5.0
Sri Lanka,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,76.0,1.0
State of Palestine,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,27.0,2.0
Sub-Saharan Africa,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,37.0,4.0
Sudan,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,41.0,5.0
Suriname,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,2.0,2.0
Swaziland,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,44.0,1.0
Syrian Arab Republic,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,43.0,1.0
Tajikistan,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,25.0,2.0
Thailand,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,15.0,1.0
The former Yugoslav Republic of Macedonia,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,23.0,1.0
Timor-Leste,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,52.0,1.0
Togo,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,62.0,1.0
Trinidad and Tobago,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,13.0,2.0
Tunisia,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,6.0,2.0
Turkey,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,42.0,1.0
Turkmenistan,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,11.0,2.0
Tuvalu,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,35.0,1.0
Uganda,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,62.0,1.0
Ukraine,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,18.0,1.0
United Republic of Tanzania,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,50.0,1.0
Uruguay,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,65.0,1.0
Uzbekistan,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,26.0,2.0
Vanuatu,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,40.0,1.0
Viet Nam,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,17.0,1.0
Western and Central Africa,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,25.0,4.0
World,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,39.0,4.0
Yemen,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,12.0,2.0
Zambia,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,61.0,1.0
Zimbabwe,Total 0-5 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,31.0,1.0
