Country or Area,Year,Average annual rate of reduction of total fertility rate,Average annual rate of reduction of total fertility rate Footnotes
CEE/CIS,1990-2011,1.3,1
CEE/CIS,1970-1990,0.9,1
Central African Republic,1990-2011,1.1,
Central African Republic,1970-1990,0.1,
Chad,1990-2011,0.6,
Chad,1970-1990,-0.1,
Chile,1990-2011,1.7,
Chile,1970-1990,2.1,
China,1990-2011,1.9,
China,1970-1990,4.3,
Colombia,1990-2011,1.3,
Colombia,1970-1990,2.9,
Comoros,1990-2011,0.7,
Comoros,1970-1990,1.2,
Congo,1990-2011,0.8,
Congo,1970-1990,0.8,
Costa Rica,1990-2011,2.6,
Costa Rica,1970-1990,2.3,
Côte d'Ivoire,1990-2011,1.7,
Côte d'Ivoire,1970-1990,1.2,
Croatia,1990-2011,0.6,
Croatia,1970-1990,0.9,
Cuba,1990-2011,0.9,
Cuba,1970-1990,4.2,
Cyprus,1990-2011,2.4,
Cyprus,1970-1990,0.4,
Czech Republic,1990-2011,1,
Czech Republic,1970-1990,0.6,
Democratic People's Republic of Korea,1990-2011,0.9,
Democratic People's Republic of Korea,1970-1990,2.6,
Democratic Republic of the Congo,1990-2011,1.1,
Democratic Republic of the Congo,1970-1990,-0.7,
Denmark,1990-2011,-0.6,
Denmark,1970-1990,1.2,
Djibouti,1990-2011,2.5,
Djibouti,1970-1990,0.9,
Dominican Republic,1990-2011,1.5,
Dominican Republic,1970-1990,2.9,
East Asia and Pacific,1990-2011,1.8,1
East Asia and Pacific,1970-1990,3.8,1
Eastern and Southern Africa,1990-2011,1.4,1
Eastern and Southern Africa,1970-1990,0.6,1
Ecuador,1990-2011,1.9,
Ecuador,1970-1990,2.7,
Egypt,1990-2011,2.3,
Egypt,1970-1990,1.6,
El Salvador,1990-2011,2.8,
El Salvador,1970-1990,2.3,
Equatorial Guinea,1990-2011,0.7,
Equatorial Guinea,1970-1990,-0.2,
Eritrea,1990-2011,1.7,
Eritrea,1970-1990,0.3,
Estonia,1990-2011,0.6,
Estonia,1970-1990,0.4,
Ethiopia,1990-2011,2.7,
Ethiopia,1970-1990,-0.2,
Fiji,1990-2011,1.2,
Fiji,1970-1990,1.5,
Finland,1990-2011,-0.3,
Finland,1970-1990,0.3,
France,1990-2011,-0.6,
France,1970-1990,1.8,
Gabon,1990-2011,2.3,
Gabon,1970-1990,-0.5,
Gambia,1990-2011,1.1,
Gambia,1970-1990,0,
Georgia,1990-2011,1.6,
Georgia,1970-1990,0.9,
Germany,1990-2011,-0.2,
Germany,1970-1990,1.9,
Ghana,1990-2011,1.5,
Ghana,1970-1990,1.1,
Greece,1990-2011,-0.3,
Greece,1970-1990,2.5,
Grenada,1990-2011,2.6,
Grenada,1970-1990,0.9,
Guatemala,1990-2011,1.7,
Guatemala,1970-1990,0.6,
Guinea,1990-2011,1.3,
Guinea,1970-1990,0.1,
Guinea-Bissau,1990-2011,1.4,
Guinea-Bissau,1970-1990,-0.5,
Guyana,1990-2011,0.7,
Guyana,1970-1990,3.8,
Haiti,1990-2011,2.4,
Haiti,1970-1990,0.3,
Honduras,1990-2011,2.4,
Honduras,1970-1990,1.7,
Hungary,1990-2011,1.2,
Hungary,1970-1990,0.6,
Iceland,1990-2011,0.1,
Iceland,1970-1990,1.6,
India,1990-2011,2,
India,1970-1990,1.7,
Indonesia,1990-2011,1.9,
Indonesia,1970-1990,2.8,
Iran (Islamic Republic of),1990-2011,5.1,
Iran (Islamic Republic of),1970-1990,1.5,
Iraq,1990-2011,1.2,
Iraq,1970-1990,1,
Ireland,1990-2011,-0.3,
Ireland,1970-1990,3.2,
Israel,1990-2011,0.1,
Israel,1970-1990,1.2,
Italy,1990-2011,-0.5,
Italy,1970-1990,3.2,
Jamaica,1990-2011,1.2,
Jamaica,1970-1990,3.1,
Japan,1990-2011,0.6,
Japan,1970-1990,1.5,
Jordan,1990-2011,3.1,
Jordan,1970-1990,1.6,
Kazakhstan,1990-2011,0.5,
Kazakhstan,1970-1990,1.1,
Kenya,1990-2011,1.2,
Kenya,1970-1990,1.5,
Kuwait,1990-2011,0.6,
Kuwait,1970-1990,5.1,
Kyrgyzstan,1990-2011,1.8,
Kyrgyzstan,1970-1990,1.2,
Lao People's Democratic Republic,1990-2011,4,
Lao People's Democratic Republic,1970-1990,-0.1,
Latin America and Caribbean,1990-2011,1.8,1
Latin America and Caribbean,1970-1990,2.5,1
Latvia,1990-2011,1.2,
Latvia,1970-1990,0,
Least Developed Countries/Territories,1990-2011,1.7,1
Least Developed Countries/Territories,1970-1990,0.6,1
Lebanon,1990-2011,2.7,
Lebanon,1970-1990,2.4,
Lesotho,1990-2011,2.1,
Lesotho,1970-1990,0.8,
Liberia,1990-2011,1.1,
Liberia,1970-1990,0.1,
Libya,1990-2011,3.1,
Libya,1970-1990,2.3,
Lithuania,1990-2011,1.4,
Lithuania,1970-1990,0.7,
Luxembourg,1990-2011,-0.3,
Luxembourg,1970-1990,1.1,
Madagascar,1990-2011,1.5,
Madagascar,1970-1990,0.8,
Malawi,1990-2011,0.6,
Malawi,1970-1990,0.4,
Malaysia,1990-2011,1.4,
Malaysia,1970-1990,1.6,
Maldives,1990-2011,6.1,
Maldives,1970-1990,0.8,
Mali,1990-2011,0.6,
Mali,1970-1990,-0.1,
Malta,1990-2011,2.2,
Malta,1970-1990,-0.2,
Mauritania,1990-2011,1.4,
Mauritania,1970-1990,0.7,
Mauritius,1990-2011,1.7,
Mauritius,1970-1990,2.7,
Mexico,1990-2011,1.9,
Mexico,1970-1990,3.4,
Micronesia (Federated States of),1990-2011,1.8,
Micronesia (Federated States of),1970-1990,1.7,
Middle East and North Africa,1990-2011,2.8,1
Middle East and North Africa,1970-1990,1.5,1
Mongolia,1990-2011,2.4,
Mongolia,1970-1990,3.1,
Montenegro,1990-2011,0.6,
Montenegro,1970-1990,1.2,
Morocco,1990-2011,2.8,
Morocco,1970-1990,2.8,
Mozambique,1990-2011,1.2,
Mozambique,1970-1990,0.3,
Myanmar,1990-2011,2.6,
Myanmar,1970-1990,2.8,
Namibia,1990-2011,2.4,
Namibia,1970-1990,1.1,
Nepal,1990-2011,3.2,
Nepal,1970-1990,0.8,
Netherlands,1990-2011,-0.6,
Netherlands,1970-1990,2.2,
New Zealand,1990-2011,-0.2,
New Zealand,1970-1990,2,
Nicaragua,1990-2011,2.9,
Nicaragua,1970-1990,1.9,
Niger,1990-2011,0.5,
Niger,1970-1990,-0.3,
Nigeria,1990-2011,0.7,
Nigeria,1970-1990,0.1,
Norway,1990-2011,-0.2,
Norway,1970-1990,1.5,
Oman,1990-2011,5.5,
Oman,1970-1990,0.1,
Pakistan,1990-2011,2.8,
Pakistan,1970-1990,0.5,
Panama,1990-2011,1,
Panama,1970-1990,2.8,
Papua New Guinea,1990-2011,1,
Papua New Guinea,1970-1990,1.2,
Paraguay,1990-2011,2.1,
Paraguay,1970-1990,1.2,
Peru,1990-2011,2.1,
Peru,1970-1990,2.5,
Philippines,1990-2011,1.6,
Philippines,1970-1990,1.9,
Poland,1990-2011,1.8,
Poland,1970-1990,0.4,
Portugal,1990-2011,0.7,
Portugal,1970-1990,3.3,
Qatar,1990-2011,3,
Qatar,1970-1990,2.5,
Republic of Korea,1990-2011,0.8,
Republic of Korea,1970-1990,5.2,
Republic of Moldova,1990-2011,2.4,
Republic of Moldova,1970-1990,0.3,
Romania,1990-2011,1.5,
Romania,1970-1990,2.1,
Russian Federation,1990-2011,1,
Russian Federation,1970-1990,0.3,
Rwanda,1990-2011,1.3,
Rwanda,1970-1990,0.7,
Saint Lucia,1990-2011,2.6,
Saint Lucia,1970-1990,2.9,
Saint Vincent and the Grenadines,1990-2011,1.8,
Saint Vincent and the Grenadines,1970-1990,3.6,
Samoa,1990-2011,1.1,
Samoa,1970-1990,1.2,
Sao Tome and Principe,1990-2011,1.9,
Sao Tome and Principe,1970-1990,0.9,
Saudi Arabia,1990-2011,3.6,
Saudi Arabia,1970-1990,1.1,
Senegal,1990-2011,1.6,
Senegal,1970-1990,0.5,
Serbia,1990-2011,1.4,
Serbia,1970-1990,0.6,
Sierra Leone,1990-2011,0.7,
Sierra Leone,1970-1990,0.1,
Singapore,1990-2011,1.5,
Singapore,1970-1990,2.9,
Slovakia,1990-2011,2,
Slovakia,1970-1990,1,
Slovenia,1990-2011,0.1,
Slovenia,1970-1990,2,
Solomon Islands,1990-2011,1.6,
Solomon Islands,1970-1990,0.8,
Somalia,1990-2011,0.2,
Somalia,1970-1990,0.4,
South Africa,1990-2011,2,
South Africa,1970-1990,2.1,
South Asia,1990-2011,2.1,1
South Asia,1970-1990,1.6,1
Spain,1990-2011,-0.5,
Spain,1970-1990,3.8,
Sri Lanka,1990-2011,0.4,
Sri Lanka,1970-1990,2.8,
State of Palestine,1990-2011,1.9,
State of Palestine,1970-1990,0.9,
Sub-Saharan Africa,1990-2011,1.2,1
Sub-Saharan Africa,1970-1990,0.3,1
Sudan (pre-cession),1990-2011,1.5,2
Sudan (pre-cession),1970-1990,0.5,2
Suriname,1990-2011,0.8,
Suriname,1970-1990,3.6,
Swaziland,1990-2011,2.7,
Swaziland,1970-1990,0.9,
Sweden,1990-2011,0.2,
Sweden,1970-1990,0.1,
Switzerland,1990-2011,0.1,
Switzerland,1970-1990,1.6,
Syrian Arab Republic,1990-2011,3,
Syrian Arab Republic,1970-1990,1.8,
Tajikistan,1990-2011,2.2,
Tajikistan,1970-1990,1.4,
Thailand,1990-2011,1.4,
Thailand,1970-1990,4.9,
The former Yugoslav Republic of Macedonia,1990-2011,1.9,
The former Yugoslav Republic of Macedonia,1970-1990,1.9,
Timor-Leste,1990-2011,-0.6,
Timor-Leste,1970-1990,0.5,
Togo,1990-2011,2.2,
Togo,1970-1990,0.6,
Tonga,1990-2011,0.9,
Tonga,1970-1990,1.2,
Trinidad and Tobago,1990-2011,1.9,
Trinidad and Tobago,1970-1990,1.8,
Tunisia,1990-2011,2.9,
Tunisia,1970-1990,3,
Turkey,1990-2011,1.9,
Turkey,1970-1990,3,
Turkmenistan,1990-2011,2.9,
Turkmenistan,1970-1990,1.9,
Uganda,1990-2011,0.8,
Uganda,1970-1990,0,
Ukraine,1990-2011,1.2,
Ukraine,1970-1990,0.6,
United Arab Emirates,1990-2011,4.5,
United Arab Emirates,1970-1990,2,
United Kingdom,1990-2011,-0.1,
United Kingdom,1970-1990,1.2,
United Republic of Tanzania,1990-2011,0.6,
United Republic of Tanzania,1970-1990,0.4,
United States,1990-2011,-0.3,
United States,1970-1990,0.7,
Uruguay,1990-2011,0.9,
Uruguay,1970-1990,0.7,
Uzbekistan,1990-2011,2.8,
Uzbekistan,1970-1990,2.2,
Vanuatu,1990-2011,1.2,
Vanuatu,1970-1990,1.2,
Venezuela (Bolivarian Republic of),1990-2011,1.7,
Venezuela (Bolivarian Republic of),1970-1990,2.2,
Viet Nam,1990-2011,3.3,
Viet Nam,1970-1990,3.6,
Western and Central Africa,1990-2011,1,1
Western and Central Africa,1970-1990,0.1,1
World,1990-2011,1.3,1
World,1970-1990,1.9,1
Yemen,1990-2011,2.5,
Yemen,1970-1990,-0.7,
Zambia,1990-2011,0.1,
Zambia,1970-1990,0.7,
Zimbabwe,1990-2011,2.3,
Zimbabwe,1970-1990,1.8,
