Country or Area,Subgroup,Year,Source,Unit,Proportion of population with sustainable access to an improved water source,Proportion of population with sustainable access to an improved water source Footnotes
Bahrain,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Bangladesh,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,80.0,
Bangladesh,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Bangladesh,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,81.0,
Barbados,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Barbados,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Barbados,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Belarus,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Belarus,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Belarus,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Belgium,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Belgium,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Belgium,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Belize,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Belize,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Belize,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Benin,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,68.0,
Benin,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,84.0,
Benin,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,75.0,
Bhutan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,94.0,
Bhutan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Bhutan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Bolivia (Plurinational State of),Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,71.0,
Bolivia (Plurinational State of),Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Bolivia (Plurinational State of),Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
Bosnia and Herzegovina,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Bosnia and Herzegovina,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Bosnia and Herzegovina,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Botswana,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Botswana,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Botswana,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Brazil,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Brazil,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Brazil,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Bulgaria,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Bulgaria,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Bulgaria,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Burkina Faso,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,73.0,
Burkina Faso,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Burkina Faso,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,79.0,
Burundi,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,71.0,
Burundi,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,83.0,
Burundi,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,72.0,
Cambodia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,58.0,
Cambodia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,
Cambodia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,64.0,
Cameroon,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,52.0,
Cameroon,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Cameroon,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,77.0,
Canada,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Canada,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Canada,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Cape Verde,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Cape Verde,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,90.0,
Cape Verde,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
CEE/CIS,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,1.0
CEE/CIS,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,1.0
CEE/CIS,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,1.0
Central African Republic,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,51.0,
Central African Republic,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Central African Republic,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,67.0,
Chad,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,44.0,
Chad,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,70.0,
Chad,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,51.0,
Chile,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,75.0,
Chile,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Chile,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
China,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
China,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
China,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
Colombia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,72.0,
Colombia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Colombia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Comoros,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Comoros,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
Comoros,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Congo,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,32.0,
Congo,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Congo,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,71.0,
Cook Islands,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Costa Rica,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
Costa Rica,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Costa Rica,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Côte d'Ivoire,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,68.0,
Côte d'Ivoire,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
Côte d'Ivoire,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,80.0,
Croatia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Croatia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Croatia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Cuba,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,89.0,
Cuba,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Cuba,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,94.0,
Cyprus,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Cyprus,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Cyprus,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Czech Republic,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Czech Republic,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Czech Republic,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Democratic People's Republic of Korea,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Democratic People's Republic of Korea,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Democratic People's Republic of Korea,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Democratic Republic of the Congo,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,27.0,
Democratic Republic of the Congo,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,79.0,
Democratic Republic of the Congo,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,45.0,
Denmark,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Denmark,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Denmark,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Djibouti,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,54.0,
Djibouti,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Djibouti,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
Dominica,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Dominican Republic,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,84.0,
Dominican Republic,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,
Dominican Republic,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,86.0,
East Asia and Pacific,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,84.0,1.0
East Asia and Pacific,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,1.0
East Asia and Pacific,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,90.0,1.0
Eastern and Southern Africa,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,50.0,1.0
Eastern and Southern Africa,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,1.0
Eastern and Southern Africa,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,61.0,1.0
Ecuador,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,89.0,
Ecuador,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Ecuador,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,94.0,
Egypt,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Egypt,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Egypt,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
El Salvador,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,76.0,
El Salvador,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,94.0,
El Salvador,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
Estonia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Estonia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Estonia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Ethiopia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,34.0,
Ethiopia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Ethiopia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,44.0,
Fiji,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Fiji,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Fiji,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Finland,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Finland,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Finland,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
France,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
France,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
France,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Gabon,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,41.0,
Gabon,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Gabon,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,
Gambia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Gambia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Gambia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,89.0,
Georgia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Georgia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Georgia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Germany,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Germany,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Germany,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Ghana,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,80.0,
Ghana,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
Ghana,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,86.0,
Greece,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Greece,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Greece,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Grenada,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Guatemala,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,
Guatemala,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Guatemala,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Guinea,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,65.0,
Guinea,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,90.0,
Guinea,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,74.0,
Guinea-Bissau,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,53.0,
Guinea-Bissau,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
Guinea-Bissau,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,64.0,
Guyana,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Guyana,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Guyana,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,94.0,
Haiti,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,51.0,
Haiti,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Haiti,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,69.0,
Honduras,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,79.0,
Honduras,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Honduras,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,
Hungary,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Hungary,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Hungary,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Iceland,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Iceland,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Iceland,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
India,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,90.0,
India,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
India,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Indonesia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,74.0,
Indonesia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Indonesia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,82.0,
Iran (Islamic Republic of),Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Iran (Islamic Republic of),Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Iran (Islamic Republic of),Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Iraq,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,56.0,
Iraq,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
Iraq,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,79.0,
Ireland,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Ireland,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Ireland,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Israel,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Israel,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Israel,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Italy,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Italy,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Italy,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Jamaica,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
Jamaica,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Jamaica,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Japan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Japan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Japan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
