Country or Area,Subgroup,Year,Source,Unit,Routine EPI vaccines financed by government,Routine EPI vaccines financed by government Footnotes
India,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Indonesia,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Iran (Islamic Republic of),Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Jordan,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Kenya,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,57.0,
Lao People's Democratic Republic,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,6.0,
Latvia,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Least Developed Countries/Territories,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,19.0,1.0
Lesotho,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,42.0,
Liberia,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,
Lithuania,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Madagascar,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,21.0,
Maldives,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Marshall Islands,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,2.0,
Mauritania,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,21.0,
Mauritius,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Middle East and North Africa,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,75.0,1.0
Mongolia,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,69.0,
Montenegro,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Mozambique,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,20.0,
Nauru,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Nepal,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,20.0,
Netherlands,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
New Zealand,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Niger,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,14.0,
Niue,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,5.0,
Norway,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Palau,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,0.0,
Papua New Guinea,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,45.0,
Portugal,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Romania,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Rwanda,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,11.0,
Samoa,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Sao Tome and Principe,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,15.0,
Senegal,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,32.0,
Seychelles,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Sierra Leone,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,2.0,
Slovakia,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Solomon Islands,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,47.0,
Somalia,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,0.0,
South Africa,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
South Asia,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,1.0
South Sudan,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,0.0,2.0
Sri Lanka,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,39.0,
Sub-Saharan Africa,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,27.0,1.0
Sudan,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,2.0,2.0
Switzerland,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,0.0,
Tajikistan,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,18.0,
Thailand,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Timor-Leste,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Togo,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,25.0,
Tonga,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Uganda,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,19.0,
United Republic of Tanzania,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,23.0,
Vanuatu,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,16.0,
Viet Nam,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,30.0,
Western and Central Africa,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,17.0,1.0
World,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,84.0,1.0
Yemen,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,13.0,
Zambia,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,19.0,
