Country or Area,Subgroup,Year,Source,Unit,Proportion of 1 year-old children immunised against TB (BCG),Proportion of 1 year-old children immunised against TB (BCG) Footnotes
Ecuador,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Egypt,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
El Salvador,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,
Equatorial Guinea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,73.0,
Eritrea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Estonia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Ethiopia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,69.0,
Fiji,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Gabon,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,
Gambia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,
Georgia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,
Ghana,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Greece,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,
Guatemala,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,
Guinea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,
Guinea-Bissau,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,
Guyana,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,
Haiti,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,75.0,
Honduras,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Hungary,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
India,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,87.0,
Indonesia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,82.0,
Iran (Islamic Republic of),Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Iraq,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,92.0,
Ireland,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,41.0,
Jamaica,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Japan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,
Jordan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Kazakhstan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,
Kenya,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,92.0,
Kiribati,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,86.0,
Kuwait,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Kyrgyzstan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Lao People's Democratic Republic,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,77.0,
Latin America and Caribbean,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,1.0
Latvia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Least Developed Countries/Territories,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,82.0,1.0
Lesotho,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Liberia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,73.0,
Libya,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Lithuania,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Madagascar,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,82.0,
Malawi,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Malaysia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Maldives,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Mali,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,
Marshall Islands,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Mauritania,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,86.0,
Mauritius,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Mexico,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Micronesia (Federated States of),Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,75.0,
Middle East and North Africa,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,1.0
Monaco,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,
Mongolia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Montenegro,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,
Morocco,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Mozambique,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,
Myanmar,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,
Namibia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,
Nauru,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Nepal,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,
Nicaragua,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Niger,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,61.0,
Nigeria,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,64.0,
Niue,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Oman,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Pakistan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,85.0,
Panama,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,
Papua New Guinea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,83.0,
Paraguay,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,
Peru,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,
Philippines,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,84.0,
Poland,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,
Portugal,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,
Qatar,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,
Republic of Korea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Republic of Moldova,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Romania,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Russian Federation,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Rwanda,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Saint Kitts and Nevis,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Saint Lucia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,
Saint Vincent and the Grenadines,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Samoa,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Sao Tome and Principe,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Saudi Arabia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Senegal,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Serbia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Seychelles,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Sierra Leone,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,
Singapore,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Slovakia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,
Solomon Islands,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,
Somalia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,41.0,
South Africa,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,78.0,
South Asia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,87.0,1.0
South Sudan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,57.0,2.0
Sri Lanka,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
State of Palestine,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Sub-Saharan Africa,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,79.0,1.0
Sudan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,92.0,2.0
Swaziland,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Sweden,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,23.0,
Syrian Arab Republic,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,
Tajikistan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,
Thailand,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
The former Yugoslav Republic of Macedonia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Timor-Leste,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,68.0,
Togo,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,
Tonga,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Tunisia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Turkey,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,
Turkmenistan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Tuvalu,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Uganda,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,86.0,
Ukraine,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,
United Arab Emirates,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
United Republic of Tanzania,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Uruguay,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Uzbekistan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Vanuatu,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,81.0,
Venezuela (Bolivarian Republic of),Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Viet Nam,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Western and Central Africa,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,73.0,1.0
World,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,88.0,1.0
Yemen,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,59.0,
Zambia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,88.0,
Zimbabwe,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
