Country or Area,Subgroup,Year,Source,Unit,Crude birth rate (CBR),Crude birth rate (CBR) Footnotes
Belgium,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
Belize,Total,2011.0,UN_United Nations Population Division,Per 1000 population,24.0,
Belize,Total,1990.0,UN_United Nations Population Division,Per 1000 population,37.0,
Belize,Total,1970.0,UN_United Nations Population Division,Per 1000 population,42.0,
Benin,Total,2011.0,UN_United Nations Population Division,Per 1000 population,39.0,
Benin,Total,1990.0,UN_United Nations Population Division,Per 1000 population,47.0,
Benin,Total,1970.0,UN_United Nations Population Division,Per 1000 population,48.0,
Bhutan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,20.0,
Bhutan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,38.0,
Bhutan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,47.0,
Bolivia (Plurinational State of),Total,2011.0,UN_United Nations Population Division,Per 1000 population,26.0,
Bolivia (Plurinational State of),Total,1990.0,UN_United Nations Population Division,Per 1000 population,36.0,
Bolivia (Plurinational State of),Total,1970.0,UN_United Nations Population Division,Per 1000 population,46.0,
Bosnia and Herzegovina,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Bosnia and Herzegovina,Total,1990.0,UN_United Nations Population Division,Per 1000 population,15.0,
Bosnia and Herzegovina,Total,1970.0,UN_United Nations Population Division,Per 1000 population,23.0,
Botswana,Total,2011.0,UN_United Nations Population Division,Per 1000 population,23.0,
Botswana,Total,1990.0,UN_United Nations Population Division,Per 1000 population,35.0,
Botswana,Total,1970.0,UN_United Nations Population Division,Per 1000 population,46.0,
Brazil,Total,2011.0,UN_United Nations Population Division,Per 1000 population,15.0,
Brazil,Total,1990.0,UN_United Nations Population Division,Per 1000 population,24.0,
Brazil,Total,1970.0,UN_United Nations Population Division,Per 1000 population,35.0,
Brunei Darussalam,Total,2011.0,UN_United Nations Population Division,Per 1000 population,19.0,
Brunei Darussalam,Total,1990.0,UN_United Nations Population Division,Per 1000 population,29.0,
Brunei Darussalam,Total,1970.0,UN_United Nations Population Division,Per 1000 population,36.0,
Bulgaria,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Bulgaria,Total,1990.0,UN_United Nations Population Division,Per 1000 population,12.0,
Bulgaria,Total,1970.0,UN_United Nations Population Division,Per 1000 population,16.0,
Burkina Faso,Total,2011.0,UN_United Nations Population Division,Per 1000 population,43.0,
Burkina Faso,Total,1990.0,UN_United Nations Population Division,Per 1000 population,47.0,
Burkina Faso,Total,1970.0,UN_United Nations Population Division,Per 1000 population,48.0,
Burundi,Total,2011.0,UN_United Nations Population Division,Per 1000 population,34.0,
Burundi,Total,1990.0,UN_United Nations Population Division,Per 1000 population,46.0,
Burundi,Total,1970.0,UN_United Nations Population Division,Per 1000 population,44.0,
Cambodia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,22.0,
Cambodia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,44.0,
Cambodia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,42.0,
Cameroon,Total,2011.0,UN_United Nations Population Division,Per 1000 population,36.0,
Cameroon,Total,1990.0,UN_United Nations Population Division,Per 1000 population,42.0,
Cameroon,Total,1970.0,UN_United Nations Population Division,Per 1000 population,45.0,
Canada,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,
Canada,Total,1990.0,UN_United Nations Population Division,Per 1000 population,14.0,
Canada,Total,1970.0,UN_United Nations Population Division,Per 1000 population,17.0,
Cape Verde,Total,2011.0,UN_United Nations Population Division,Per 1000 population,20.0,
Cape Verde,Total,1990.0,UN_United Nations Population Division,Per 1000 population,39.0,
Cape Verde,Total,1970.0,UN_United Nations Population Division,Per 1000 population,41.0,
CEE/CIS,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,1.0
CEE/CIS,Total,1990.0,UN_United Nations Population Division,Per 1000 population,18.0,1.0
CEE/CIS,Total,1970.0,UN_United Nations Population Division,Per 1000 population,20.0,1.0
Central African Republic,Total,2011.0,UN_United Nations Population Division,Per 1000 population,35.0,
Central African Republic,Total,1990.0,UN_United Nations Population Division,Per 1000 population,41.0,
Central African Republic,Total,1970.0,UN_United Nations Population Division,Per 1000 population,43.0,
Chad,Total,2011.0,UN_United Nations Population Division,Per 1000 population,44.0,
Chad,Total,1990.0,UN_United Nations Population Division,Per 1000 population,47.0,
Chad,Total,1970.0,UN_United Nations Population Division,Per 1000 population,46.0,
Chile,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Chile,Total,1990.0,UN_United Nations Population Division,Per 1000 population,23.0,
Chile,Total,1970.0,UN_United Nations Population Division,Per 1000 population,29.0,
China,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
China,Total,1990.0,UN_United Nations Population Division,Per 1000 population,21.0,
China,Total,1970.0,UN_United Nations Population Division,Per 1000 population,36.0,
Colombia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,19.0,
Colombia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,27.0,
Colombia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,38.0,
Comoros,Total,2011.0,UN_United Nations Population Division,Per 1000 population,37.0,
Comoros,Total,1990.0,UN_United Nations Population Division,Per 1000 population,37.0,
Comoros,Total,1970.0,UN_United Nations Population Division,Per 1000 population,47.0,
Congo,Total,2011.0,UN_United Nations Population Division,Per 1000 population,35.0,
Congo,Total,1990.0,UN_United Nations Population Division,Per 1000 population,38.0,
Congo,Total,1970.0,UN_United Nations Population Division,Per 1000 population,43.0,
Costa Rica,Total,2011.0,UN_United Nations Population Division,Per 1000 population,16.0,
Costa Rica,Total,1990.0,UN_United Nations Population Division,Per 1000 population,27.0,
Costa Rica,Total,1970.0,UN_United Nations Population Division,Per 1000 population,33.0,
Côte d'Ivoire,Total,2011.0,UN_United Nations Population Division,Per 1000 population,34.0,
Côte d'Ivoire,Total,1990.0,UN_United Nations Population Division,Per 1000 population,41.0,
Côte d'Ivoire,Total,1970.0,UN_United Nations Population Division,Per 1000 population,52.0,
Croatia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Croatia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,12.0,
Croatia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
Cuba,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Cuba,Total,1990.0,UN_United Nations Population Division,Per 1000 population,17.0,
Cuba,Total,1970.0,UN_United Nations Population Division,Per 1000 population,29.0,
Cyprus,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
Cyprus,Total,1990.0,UN_United Nations Population Division,Per 1000 population,19.0,
Cyprus,Total,1970.0,UN_United Nations Population Division,Per 1000 population,19.0,
Czech Republic,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,
Czech Republic,Total,1990.0,UN_United Nations Population Division,Per 1000 population,12.0,
Czech Republic,Total,1970.0,UN_United Nations Population Division,Per 1000 population,16.0,
Democratic People's Republic of Korea,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Democratic People's Republic of Korea,Total,1990.0,UN_United Nations Population Division,Per 1000 population,21.0,
Democratic People's Republic of Korea,Total,1970.0,UN_United Nations Population Division,Per 1000 population,35.0,
Democratic Republic of the Congo,Total,2011.0,UN_United Nations Population Division,Per 1000 population,43.0,
Democratic Republic of the Congo,Total,1990.0,UN_United Nations Population Division,Per 1000 population,50.0,
Democratic Republic of the Congo,Total,1970.0,UN_United Nations Population Division,Per 1000 population,48.0,
Denmark,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,
Denmark,Total,1990.0,UN_United Nations Population Division,Per 1000 population,12.0,
Denmark,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
Djibouti,Total,2011.0,UN_United Nations Population Division,Per 1000 population,29.0,
Djibouti,Total,1990.0,UN_United Nations Population Division,Per 1000 population,42.0,
Djibouti,Total,1970.0,UN_United Nations Population Division,Per 1000 population,49.0,
Dominican Republic,Total,2011.0,UN_United Nations Population Division,Per 1000 population,21.0,
Dominican Republic,Total,1990.0,UN_United Nations Population Division,Per 1000 population,30.0,
Dominican Republic,Total,1970.0,UN_United Nations Population Division,Per 1000 population,42.0,
East Asia and Pacific,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,1.0
East Asia and Pacific,Total,1990.0,UN_United Nations Population Division,Per 1000 population,23.0,1.0
East Asia and Pacific,Total,1970.0,UN_United Nations Population Division,Per 1000 population,36.0,1.0
Eastern and Southern Africa,Total,2011.0,UN_United Nations Population Division,Per 1000 population,35.0,1.0
Eastern and Southern Africa,Total,1990.0,UN_United Nations Population Division,Per 1000 population,43.0,1.0
Eastern and Southern Africa,Total,1970.0,UN_United Nations Population Division,Per 1000 population,47.0,1.0
Ecuador,Total,2011.0,UN_United Nations Population Division,Per 1000 population,20.0,
Ecuador,Total,1990.0,UN_United Nations Population Division,Per 1000 population,29.0,
Ecuador,Total,1970.0,UN_United Nations Population Division,Per 1000 population,42.0,
Egypt,Total,2011.0,UN_United Nations Population Division,Per 1000 population,23.0,
Egypt,Total,1990.0,UN_United Nations Population Division,Per 1000 population,32.0,
Egypt,Total,1970.0,UN_United Nations Population Division,Per 1000 population,41.0,
El Salvador,Total,2011.0,UN_United Nations Population Division,Per 1000 population,20.0,
El Salvador,Total,1990.0,UN_United Nations Population Division,Per 1000 population,32.0,
El Salvador,Total,1970.0,UN_United Nations Population Division,Per 1000 population,43.0,
Equatorial Guinea,Total,2011.0,UN_United Nations Population Division,Per 1000 population,36.0,
Equatorial Guinea,Total,1990.0,UN_United Nations Population Division,Per 1000 population,47.0,
Equatorial Guinea,Total,1970.0,UN_United Nations Population Division,Per 1000 population,39.0,
Eritrea,Total,2011.0,UN_United Nations Population Division,Per 1000 population,36.0,
Eritrea,Total,1990.0,UN_United Nations Population Division,Per 1000 population,41.0,
Eritrea,Total,1970.0,UN_United Nations Population Division,Per 1000 population,47.0,
Estonia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
Estonia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,14.0,
Estonia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
Ethiopia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,31.0,
Ethiopia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,48.0,
Ethiopia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,47.0,
Fiji,Total,2011.0,UN_United Nations Population Division,Per 1000 population,21.0,
Fiji,Total,1990.0,UN_United Nations Population Division,Per 1000 population,29.0,
Fiji,Total,1970.0,UN_United Nations Population Division,Per 1000 population,34.0,
Finland,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,
Finland,Total,1990.0,UN_United Nations Population Division,Per 1000 population,13.0,
Finland,Total,1970.0,UN_United Nations Population Division,Per 1000 population,14.0,
France,Total,2011.0,UN_United Nations Population Division,Per 1000 population,13.0,
France,Total,1990.0,UN_United Nations Population Division,Per 1000 population,13.0,
France,Total,1970.0,UN_United Nations Population Division,Per 1000 population,17.0,
Gabon,Total,2011.0,UN_United Nations Population Division,Per 1000 population,27.0,
Gabon,Total,1990.0,UN_United Nations Population Division,Per 1000 population,38.0,
Gabon,Total,1970.0,UN_United Nations Population Division,Per 1000 population,34.0,
Gambia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,38.0,
Gambia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,47.0,
Gambia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,51.0,
Georgia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
Georgia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,17.0,
Georgia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,19.0,
Germany,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Germany,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Germany,Total,1970.0,UN_United Nations Population Division,Per 1000 population,14.0,
Ghana,Total,2011.0,UN_United Nations Population Division,Per 1000 population,31.0,
Ghana,Total,1990.0,UN_United Nations Population Division,Per 1000 population,39.0,
Ghana,Total,1970.0,UN_United Nations Population Division,Per 1000 population,47.0,
Greece,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Greece,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Greece,Total,1970.0,UN_United Nations Population Division,Per 1000 population,17.0,
Grenada,Total,2011.0,UN_United Nations Population Division,Per 1000 population,19.0,
Grenada,Total,1990.0,UN_United Nations Population Division,Per 1000 population,28.0,
Grenada,Total,1970.0,UN_United Nations Population Division,Per 1000 population,28.0,
Guatemala,Total,2011.0,UN_United Nations Population Division,Per 1000 population,32.0,
Guatemala,Total,1990.0,UN_United Nations Population Division,Per 1000 population,39.0,
Guatemala,Total,1970.0,UN_United Nations Population Division,Per 1000 population,44.0,
Guinea,Total,2011.0,UN_United Nations Population Division,Per 1000 population,38.0,
Guinea,Total,1990.0,UN_United Nations Population Division,Per 1000 population,46.0,
Guinea,Total,1970.0,UN_United Nations Population Division,Per 1000 population,49.0,
Guinea-Bissau,Total,2011.0,UN_United Nations Population Division,Per 1000 population,38.0,
Guinea-Bissau,Total,1990.0,UN_United Nations Population Division,Per 1000 population,46.0,
Guinea-Bissau,Total,1970.0,UN_United Nations Population Division,Per 1000 population,46.0,
Guyana,Total,2011.0,UN_United Nations Population Division,Per 1000 population,18.0,
Guyana,Total,1990.0,UN_United Nations Population Division,Per 1000 population,25.0,
Guyana,Total,1970.0,UN_United Nations Population Division,Per 1000 population,37.0,
Haiti,Total,2011.0,UN_United Nations Population Division,Per 1000 population,26.0,
Haiti,Total,1990.0,UN_United Nations Population Division,Per 1000 population,37.0,
Haiti,Total,1970.0,UN_United Nations Population Division,Per 1000 population,39.0,
Honduras,Total,2011.0,UN_United Nations Population Division,Per 1000 population,26.0,
Honduras,Total,1990.0,UN_United Nations Population Division,Per 1000 population,38.0,
Honduras,Total,1970.0,UN_United Nations Population Division,Per 1000 population,47.0,
Hungary,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Hungary,Total,1990.0,UN_United Nations Population Division,Per 1000 population,12.0,
Hungary,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
Iceland,Total,2011.0,UN_United Nations Population Division,Per 1000 population,15.0,
Iceland,Total,1990.0,UN_United Nations Population Division,Per 1000 population,17.0,
Iceland,Total,1970.0,UN_United Nations Population Division,Per 1000 population,21.0,
India,Total,2011.0,UN_United Nations Population Division,Per 1000 population,22.0,
India,Total,1990.0,UN_United Nations Population Division,Per 1000 population,31.0,
India,Total,1970.0,UN_United Nations Population Division,Per 1000 population,38.0,
Indonesia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,18.0,
Indonesia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,26.0,
Indonesia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,40.0,
Iran (Islamic Republic of),Total,2011.0,UN_United Nations Population Division,Per 1000 population,17.0,
Iran (Islamic Republic of),Total,1990.0,UN_United Nations Population Division,Per 1000 population,34.0,
Iran (Islamic Republic of),Total,1970.0,UN_United Nations Population Division,Per 1000 population,42.0,
Iraq,Total,2011.0,UN_United Nations Population Division,Per 1000 population,35.0,
Iraq,Total,1990.0,UN_United Nations Population Division,Per 1000 population,38.0,
Iraq,Total,1970.0,UN_United Nations Population Division,Per 1000 population,45.0,
Ireland,Total,2011.0,UN_United Nations Population Division,Per 1000 population,16.0,
Ireland,Total,1990.0,UN_United Nations Population Division,Per 1000 population,14.0,
Ireland,Total,1970.0,UN_United Nations Population Division,Per 1000 population,22.0,
Israel,Total,2011.0,UN_United Nations Population Division,Per 1000 population,21.0,
Israel,Total,1990.0,UN_United Nations Population Division,Per 1000 population,22.0,
Israel,Total,1970.0,UN_United Nations Population Division,Per 1000 population,26.0,
Italy,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Italy,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Italy,Total,1970.0,UN_United Nations Population Division,Per 1000 population,17.0,
Jamaica,Total,2011.0,UN_United Nations Population Division,Per 1000 population,18.0,
Jamaica,Total,1990.0,UN_United Nations Population Division,Per 1000 population,26.0,
Jamaica,Total,1970.0,UN_United Nations Population Division,Per 1000 population,36.0,
Japan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Japan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Japan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,19.0,
Jordan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,25.0,
Jordan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,36.0,
Jordan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,51.0,
Kazakhstan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,21.0,
Kazakhstan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,23.0,
Kazakhstan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,26.0,
Kenya,Total,2011.0,UN_United Nations Population Division,Per 1000 population,37.0,
Kenya,Total,1990.0,UN_United Nations Population Division,Per 1000 population,42.0,
Kenya,Total,1970.0,UN_United Nations Population Division,Per 1000 population,51.0,
Kuwait,Total,2011.0,UN_United Nations Population Division,Per 1000 population,18.0,
Kuwait,Total,1990.0,UN_United Nations Population Division,Per 1000 population,21.0,
Kuwait,Total,1970.0,UN_United Nations Population Division,Per 1000 population,49.0,
Kyrgyzstan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,24.0,
Kyrgyzstan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,31.0,
Kyrgyzstan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,31.0,
Lao People's Democratic Republic,Total,2011.0,UN_United Nations Population Division,Per 1000 population,22.0,
Lao People's Democratic Republic,Total,1990.0,UN_United Nations Population Division,Per 1000 population,42.0,
Lao People's Democratic Republic,Total,1970.0,UN_United Nations Population Division,Per 1000 population,42.0,
Latin America and Caribbean,Total,2011.0,UN_United Nations Population Division,Per 1000 population,18.0,1.0
Latin America and Caribbean,Total,1990.0,UN_United Nations Population Division,Per 1000 population,27.0,1.0
Latin America and Caribbean,Total,1970.0,UN_United Nations Population Division,Per 1000 population,36.0,1.0
Latvia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,
Latvia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,14.0,
Latvia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,14.0,
Least Developed Countries/Territories,Total,2011.0,UN_United Nations Population Division,Per 1000 population,33.0,1.0
Least Developed Countries/Territories,Total,1990.0,UN_United Nations Population Division,Per 1000 population,43.0,1.0
Least Developed Countries/Territories,Total,1970.0,UN_United Nations Population Division,Per 1000 population,47.0,1.0
Lebanon,Total,2011.0,UN_United Nations Population Division,Per 1000 population,15.0,
Lebanon,Total,1990.0,UN_United Nations Population Division,Per 1000 population,26.0,
Lebanon,Total,1970.0,UN_United Nations Population Division,Per 1000 population,33.0,
Lesotho,Total,2011.0,UN_United Nations Population Division,Per 1000 population,28.0,
Lesotho,Total,1990.0,UN_United Nations Population Division,Per 1000 population,36.0,
Lesotho,Total,1970.0,UN_United Nations Population Division,Per 1000 population,43.0,
Liberia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,39.0,
Liberia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,46.0,
Liberia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,49.0,
Libya,Total,2011.0,UN_United Nations Population Division,Per 1000 population,23.0,
Libya,Total,1990.0,UN_United Nations Population Division,Per 1000 population,26.0,
Libya,Total,1970.0,UN_United Nations Population Division,Per 1000 population,49.0,
Lithuania,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,
Lithuania,Total,1990.0,UN_United Nations Population Division,Per 1000 population,15.0,
Lithuania,Total,1970.0,UN_United Nations Population Division,Per 1000 population,17.0,
Luxembourg,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
Luxembourg,Total,1990.0,UN_United Nations Population Division,Per 1000 population,13.0,
Luxembourg,Total,1970.0,UN_United Nations Population Division,Per 1000 population,13.0,
Madagascar,Total,2011.0,UN_United Nations Population Division,Per 1000 population,35.0,
Madagascar,Total,1990.0,UN_United Nations Population Division,Per 1000 population,45.0,
Madagascar,Total,1970.0,UN_United Nations Population Division,Per 1000 population,48.0,
Malawi,Total,2011.0,UN_United Nations Population Division,Per 1000 population,44.0,
Malawi,Total,1990.0,UN_United Nations Population Division,Per 1000 population,48.0,
Malawi,Total,1970.0,UN_United Nations Population Division,Per 1000 population,52.0,
Malaysia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,20.0,
Malaysia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,28.0,
Malaysia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,33.0,
Maldives,Total,2011.0,UN_United Nations Population Division,Per 1000 population,17.0,
Maldives,Total,1990.0,UN_United Nations Population Division,Per 1000 population,41.0,
Maldives,Total,1970.0,UN_United Nations Population Division,Per 1000 population,50.0,
Mali,Total,2011.0,UN_United Nations Population Division,Per 1000 population,46.0,
Mali,Total,1990.0,UN_United Nations Population Division,Per 1000 population,49.0,
Mali,Total,1970.0,UN_United Nations Population Division,Per 1000 population,49.0,
Malta,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Malta,Total,1990.0,UN_United Nations Population Division,Per 1000 population,16.0,
Malta,Total,1970.0,UN_United Nations Population Division,Per 1000 population,16.0,
Mauritania,Total,2011.0,UN_United Nations Population Division,Per 1000 population,33.0,
Mauritania,Total,1990.0,UN_United Nations Population Division,Per 1000 population,41.0,
Mauritania,Total,1970.0,UN_United Nations Population Division,Per 1000 population,47.0,
Mauritius,Total,2011.0,UN_United Nations Population Division,Per 1000 population,13.0,
Mauritius,Total,1990.0,UN_United Nations Population Division,Per 1000 population,22.0,
Mauritius,Total,1970.0,UN_United Nations Population Division,Per 1000 population,29.0,
Mexico,Total,2011.0,UN_United Nations Population Division,Per 1000 population,19.0,
Mexico,Total,1990.0,UN_United Nations Population Division,Per 1000 population,28.0,
Mexico,Total,1970.0,UN_United Nations Population Division,Per 1000 population,43.0,
Micronesia (Federated States of),Total,2011.0,UN_United Nations Population Division,Per 1000 population,24.0,
Micronesia (Federated States of),Total,1990.0,UN_United Nations Population Division,Per 1000 population,34.0,
Micronesia (Federated States of),Total,1970.0,UN_United Nations Population Division,Per 1000 population,41.0,
Middle East and North Africa,Total,2011.0,UN_United Nations Population Division,Per 1000 population,24.0,1.0
Middle East and North Africa,Total,1990.0,UN_United Nations Population Division,Per 1000 population,34.0,1.0
Middle East and North Africa,Total,1970.0,UN_United Nations Population Division,Per 1000 population,44.0,1.0
Mongolia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,23.0,
Mongolia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,32.0,
Mongolia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,44.0,
Montenegro,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
Montenegro,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Montenegro,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
Morocco,Total,2011.0,UN_United Nations Population Division,Per 1000 population,19.0,
Morocco,Total,1990.0,UN_United Nations Population Division,Per 1000 population,30.0,
Morocco,Total,1970.0,UN_United Nations Population Division,Per 1000 population,47.0,
Mozambique,Total,2011.0,UN_United Nations Population Division,Per 1000 population,37.0,
Mozambique,Total,1990.0,UN_United Nations Population Division,Per 1000 population,43.0,
Mozambique,Total,1970.0,UN_United Nations Population Division,Per 1000 population,48.0,
Myanmar,Total,2011.0,UN_United Nations Population Division,Per 1000 population,17.0,
Myanmar,Total,1990.0,UN_United Nations Population Division,Per 1000 population,27.0,
Myanmar,Total,1970.0,UN_United Nations Population Division,Per 1000 population,40.0,
Namibia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,26.0,
Namibia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,38.0,
Namibia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,43.0,
Nepal,Total,2011.0,UN_United Nations Population Division,Per 1000 population,24.0,
