Country or Area,Subgroup,Year,Source,Unit,Crude death rate (CDR),Crude death rate (CDR) Footnotes
Botswana,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Botswana,Total,1970.0,UN_United Nations Population Division,Per 1000 population,13.0,
Brazil,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Brazil,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Brazil,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
Brunei Darussalam,Total,2011.0,UN_United Nations Population Division,Per 1000 population,3.0,
Brunei Darussalam,Total,1990.0,UN_United Nations Population Division,Per 1000 population,4.0,
Brunei Darussalam,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Bulgaria,Total,2011.0,UN_United Nations Population Division,Per 1000 population,15.0,
Bulgaria,Total,1990.0,UN_United Nations Population Division,Per 1000 population,12.0,
Bulgaria,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Burkina Faso,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
Burkina Faso,Total,1990.0,UN_United Nations Population Division,Per 1000 population,17.0,
Burkina Faso,Total,1970.0,UN_United Nations Population Division,Per 1000 population,23.0,
Burundi,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Burundi,Total,1990.0,UN_United Nations Population Division,Per 1000 population,19.0,
Burundi,Total,1970.0,UN_United Nations Population Division,Per 1000 population,20.0,
Cambodia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Cambodia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,12.0,
Cambodia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,20.0,
Cameroon,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Cameroon,Total,1990.0,UN_United Nations Population Division,Per 1000 population,14.0,
Cameroon,Total,1970.0,UN_United Nations Population Division,Per 1000 population,19.0,
Canada,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Canada,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Canada,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Cape Verde,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Cape Verde,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
Cape Verde,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
CEE/CIS,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,1.0
CEE/CIS,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,1.0
CEE/CIS,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,1.0
Central African Republic,Total,2011.0,UN_United Nations Population Division,Per 1000 population,16.0,
Central African Republic,Total,1990.0,UN_United Nations Population Division,Per 1000 population,17.0,
Central African Republic,Total,1970.0,UN_United Nations Population Division,Per 1000 population,23.0,
Chad,Total,2011.0,UN_United Nations Population Division,Per 1000 population,16.0,
Chad,Total,1990.0,UN_United Nations Population Division,Per 1000 population,17.0,
Chad,Total,1970.0,UN_United Nations Population Division,Per 1000 population,22.0,
Chile,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Chile,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Chile,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
China,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
China,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
China,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Colombia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Colombia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Colombia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Comoros,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Comoros,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Comoros,Total,1970.0,UN_United Nations Population Division,Per 1000 population,18.0,
Congo,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,
Congo,Total,1990.0,UN_United Nations Population Division,Per 1000 population,12.0,
Congo,Total,1970.0,UN_United Nations Population Division,Per 1000 population,14.0,
Costa Rica,Total,2011.0,UN_United Nations Population Division,Per 1000 population,4.0,
Costa Rica,Total,1990.0,UN_United Nations Population Division,Per 1000 population,4.0,
Costa Rica,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Côte d'Ivoire,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
Côte d'Ivoire,Total,1990.0,UN_United Nations Population Division,Per 1000 population,13.0,
Côte d'Ivoire,Total,1970.0,UN_United Nations Population Division,Per 1000 population,21.0,
Croatia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
Croatia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Croatia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
Cuba,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Cuba,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Cuba,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Cyprus,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Cyprus,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Cyprus,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Czech Republic,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Czech Republic,Total,1990.0,UN_United Nations Population Division,Per 1000 population,12.0,
Czech Republic,Total,1970.0,UN_United Nations Population Division,Per 1000 population,12.0,
Democratic People's Republic of Korea,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Democratic People's Republic of Korea,Total,1990.0,UN_United Nations Population Division,Per 1000 population,5.0,
Democratic People's Republic of Korea,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Democratic Republic of the Congo,Total,2011.0,UN_United Nations Population Division,Per 1000 population,16.0,
Democratic Republic of the Congo,Total,1990.0,UN_United Nations Population Division,Per 1000 population,19.0,
Democratic Republic of the Congo,Total,1970.0,UN_United Nations Population Division,Per 1000 population,21.0,
Denmark,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Denmark,Total,1990.0,UN_United Nations Population Division,Per 1000 population,12.0,
Denmark,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
Djibouti,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Djibouti,Total,1990.0,UN_United Nations Population Division,Per 1000 population,14.0,
Djibouti,Total,1970.0,UN_United Nations Population Division,Per 1000 population,20.0,
Dominican Republic,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Dominican Republic,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Dominican Republic,Total,1970.0,UN_United Nations Population Division,Per 1000 population,11.0,
East Asia and Pacific,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,1.0
East Asia and Pacific,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,1.0
East Asia and Pacific,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,1.0
Eastern and Southern Africa,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,1.0
Eastern and Southern Africa,Total,1990.0,UN_United Nations Population Division,Per 1000 population,15.0,1.0
Eastern and Southern Africa,Total,1970.0,UN_United Nations Population Division,Per 1000 population,19.0,1.0
Ecuador,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Ecuador,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Ecuador,Total,1970.0,UN_United Nations Population Division,Per 1000 population,12.0,
Egypt,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Egypt,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
Egypt,Total,1970.0,UN_United Nations Population Division,Per 1000 population,16.0,
El Salvador,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
El Salvador,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
El Salvador,Total,1970.0,UN_United Nations Population Division,Per 1000 population,13.0,
Equatorial Guinea,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Equatorial Guinea,Total,1990.0,UN_United Nations Population Division,Per 1000 population,20.0,
Equatorial Guinea,Total,1970.0,UN_United Nations Population Division,Per 1000 population,25.0,
Eritrea,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Eritrea,Total,1990.0,UN_United Nations Population Division,Per 1000 population,16.0,
Eritrea,Total,1970.0,UN_United Nations Population Division,Per 1000 population,21.0,
Estonia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,13.0,
Estonia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,13.0,
Estonia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,11.0,
Ethiopia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Ethiopia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,18.0,
Ethiopia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,21.0,
Fiji,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Fiji,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Fiji,Total,1970.0,UN_United Nations Population Division,Per 1000 population,8.0,
Finland,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Finland,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Finland,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
France,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
France,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
France,Total,1970.0,UN_United Nations Population Division,Per 1000 population,11.0,
Gabon,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Gabon,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Gabon,Total,1970.0,UN_United Nations Population Division,Per 1000 population,20.0,
Gambia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Gambia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,13.0,
Gambia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,26.0,
Georgia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,
Georgia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
Georgia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Germany,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,
Germany,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Germany,Total,1970.0,UN_United Nations Population Division,Per 1000 population,12.0,
Ghana,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Ghana,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Ghana,Total,1970.0,UN_United Nations Population Division,Per 1000 population,17.0,
Greece,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Greece,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
Greece,Total,1970.0,UN_United Nations Population Division,Per 1000 population,8.0,
Grenada,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Grenada,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
Grenada,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Guatemala,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Guatemala,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
Guatemala,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
Guinea,Total,2011.0,UN_United Nations Population Division,Per 1000 population,13.0,
Guinea,Total,1990.0,UN_United Nations Population Division,Per 1000 population,21.0,
Guinea,Total,1970.0,UN_United Nations Population Division,Per 1000 population,30.0,
Guinea-Bissau,Total,2011.0,UN_United Nations Population Division,Per 1000 population,16.0,
Guinea-Bissau,Total,1990.0,UN_United Nations Population Division,Per 1000 population,22.0,
Guinea-Bissau,Total,1970.0,UN_United Nations Population Division,Per 1000 population,26.0,
Guyana,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Guyana,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Guyana,Total,1970.0,UN_United Nations Population Division,Per 1000 population,12.0,
Haiti,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Haiti,Total,1990.0,UN_United Nations Population Division,Per 1000 population,13.0,
Haiti,Total,1970.0,UN_United Nations Population Division,Per 1000 population,18.0,
Honduras,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Honduras,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Honduras,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
Hungary,Total,2011.0,UN_United Nations Population Division,Per 1000 population,13.0,
Hungary,Total,1990.0,UN_United Nations Population Division,Per 1000 population,14.0,
Hungary,Total,1970.0,UN_United Nations Population Division,Per 1000 population,11.0,
Iceland,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Iceland,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Iceland,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
India,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
India,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
India,Total,1970.0,UN_United Nations Population Division,Per 1000 population,16.0,
Indonesia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Indonesia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
Indonesia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
Iran (Islamic Republic of),Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Iran (Islamic Republic of),Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
Iran (Islamic Republic of),Total,1970.0,UN_United Nations Population Division,Per 1000 population,16.0,
Iraq,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Iraq,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Iraq,Total,1970.0,UN_United Nations Population Division,Per 1000 population,12.0,
Ireland,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Ireland,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
Ireland,Total,1970.0,UN_United Nations Population Division,Per 1000 population,11.0,
Israel,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Israel,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Israel,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Italy,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Italy,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Italy,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
Jamaica,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Jamaica,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Jamaica,Total,1970.0,UN_United Nations Population Division,Per 1000 population,8.0,
Japan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Japan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Japan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Jordan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,4.0,
Jordan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,5.0,
Jordan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,11.0,
Kazakhstan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Kazakhstan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
Kazakhstan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Kenya,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Kenya,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Kenya,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
Kuwait,Total,2011.0,UN_United Nations Population Division,Per 1000 population,3.0,
Kuwait,Total,1990.0,UN_United Nations Population Division,Per 1000 population,3.0,
Kuwait,Total,1970.0,UN_United Nations Population Division,Per 1000 population,6.0,
Kyrgyzstan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Kyrgyzstan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
Kyrgyzstan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,11.0,
Lao People's Democratic Republic,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Lao People's Democratic Republic,Total,1990.0,UN_United Nations Population Division,Per 1000 population,13.0,
Lao People's Democratic Republic,Total,1970.0,UN_United Nations Population Division,Per 1000 population,18.0,
Latin America and Caribbean,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,1.0
Latin America and Caribbean,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,1.0
Latin America and Caribbean,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,1.0
Latvia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Latvia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,13.0,
Latvia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,11.0,
Least Developed Countries/Territories,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,1.0
Least Developed Countries/Territories,Total,1990.0,UN_United Nations Population Division,Per 1000 population,15.0,1.0
Least Developed Countries/Territories,Total,1970.0,UN_United Nations Population Division,Per 1000 population,22.0,1.0
Lebanon,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Lebanon,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Lebanon,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Lesotho,Total,2011.0,UN_United Nations Population Division,Per 1000 population,15.0,
Lesotho,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Lesotho,Total,1970.0,UN_United Nations Population Division,Per 1000 population,17.0,
Liberia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,
Liberia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,21.0,
Liberia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,23.0,
Libya,Total,2011.0,UN_United Nations Population Division,Per 1000 population,4.0,
Libya,Total,1990.0,UN_United Nations Population Division,Per 1000 population,4.0,
Libya,Total,1970.0,UN_United Nations Population Division,Per 1000 population,16.0,
Lithuania,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Lithuania,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Lithuania,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Luxembourg,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Luxembourg,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Luxembourg,Total,1970.0,UN_United Nations Population Division,Per 1000 population,12.0,
Madagascar,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Madagascar,Total,1990.0,UN_United Nations Population Division,Per 1000 population,16.0,
Madagascar,Total,1970.0,UN_United Nations Population Division,Per 1000 population,21.0,
Malawi,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
Malawi,Total,1990.0,UN_United Nations Population Division,Per 1000 population,18.0,
Malawi,Total,1970.0,UN_United Nations Population Division,Per 1000 population,24.0,
Malaysia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Malaysia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,5.0,
Malaysia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Maldives,Total,2011.0,UN_United Nations Population Division,Per 1000 population,4.0,
Maldives,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
Maldives,Total,1970.0,UN_United Nations Population Division,Per 1000 population,21.0,
Mali,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Mali,Total,1990.0,UN_United Nations Population Division,Per 1000 population,21.0,
Mali,Total,1970.0,UN_United Nations Population Division,Per 1000 population,30.0,
Malta,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Malta,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
Malta,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Mauritania,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Mauritania,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Mauritania,Total,1970.0,UN_United Nations Population Division,Per 1000 population,18.0,
Mauritius,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Mauritius,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Mauritius,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Mexico,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Mexico,Total,1990.0,UN_United Nations Population Division,Per 1000 population,5.0,
Mexico,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
Micronesia (Federated States of),Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Micronesia (Federated States of),Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Micronesia (Federated States of),Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Middle East and North Africa,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,1.0
Middle East and North Africa,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,1.0
Middle East and North Africa,Total,1970.0,UN_United Nations Population Division,Per 1000 population,16.0,1.0
Mongolia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Mongolia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Mongolia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
Montenegro,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Montenegro,Total,1990.0,UN_United Nations Population Division,Per 1000 population,5.0,
Montenegro,Total,1970.0,UN_United Nations Population Division,Per 1000 population,3.0,
Morocco,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Morocco,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
Morocco,Total,1970.0,UN_United Nations Population Division,Per 1000 population,17.0,
Mozambique,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Mozambique,Total,1990.0,UN_United Nations Population Division,Per 1000 population,21.0,
Mozambique,Total,1970.0,UN_United Nations Population Division,Per 1000 population,25.0,
Myanmar,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Myanmar,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Myanmar,Total,1970.0,UN_United Nations Population Division,Per 1000 population,16.0,
Namibia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Namibia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
Namibia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
Nepal,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Nepal,Total,1990.0,UN_United Nations Population Division,Per 1000 population,13.0,
