Country or Area,Subgroup,Year,Source,Unit,Maternal mortality ratio (MMR),Maternal mortality ratio (MMR) Footnotes
Czech Republic,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",5.0,1.0
Democratic People's Republic of Korea,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",81.0,1.0
Democratic Republic of the Congo,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",540.0,1.0
Denmark,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",12.0,1.0
Djibouti,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",200.0,1.0
Dominican Republic,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",150.0,1.0
East Asia and Pacific,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",82.0,2.0
Eastern and Southern Africa,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",410.0,2.0
Ecuador,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",110.0,1.0
Egypt,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",66.0,1.0
El Salvador,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",81.0,1.0
Equatorial Guinea,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",240.0,1.0
Eritrea,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",240.0,1.0
Estonia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",2.0,1.0
Ethiopia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",350.0,1.0
Fiji,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",26.0,1.0
Finland,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",5.0,1.0
France,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",8.0,1.0
Gabon,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",230.0,1.0
Gambia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",360.0,1.0
Georgia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",67.0,1.0
Germany,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",7.0,1.0
Ghana,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",350.0,1.0
Greece,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",3.0,1.0
Grenada,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",24.0,1.0
Guatemala,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",120.0,1.0
Guinea,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",610.0,1.0
Guinea-Bissau,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",790.0,1.0
Guyana,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",280.0,1.0
Haiti,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",350.0,1.0
Honduras,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",100.0,1.0
Hungary,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",21.0,1.0
Iceland,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",5.0,1.0
India,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",200.0,1.0
Indonesia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",220.0,1.0
Iran (Islamic Republic of),Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",21.0,1.0
Iraq,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",63.0,1.0
Ireland,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",6.0,1.0
Israel,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",7.0,1.0
Italy,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",4.0,1.0
Jamaica,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",110.0,1.0
Japan,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",5.0,1.0
Jordan,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",63.0,1.0
Kazakhstan,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",51.0,1.0
Kenya,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",360.0,1.0
Kuwait,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",14.0,1.0
Kyrgyzstan,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",71.0,1.0
Lao People's Democratic Republic,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",470.0,1.0
Latin America and Caribbean,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",81.0,2.0
Latvia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",34.0,1.0
Least Developed Countries/Territories,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",430.0,2.0
Lebanon,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",25.0,1.0
Lesotho,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",620.0,1.0
Liberia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",770.0,1.0
Libya,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",58.0,1.0
Lithuania,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",8.0,1.0
Luxembourg,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",20.0,1.0
Madagascar,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",240.0,1.0
Malawi,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",460.0,1.0
Malaysia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",29.0,1.0
Maldives,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",60.0,1.0
Mali,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",540.0,1.0
Malta,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",8.0,1.0
Mauritania,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",510.0,1.0
Mauritius,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",60.0,1.0
Mexico,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",50.0,1.0
Micronesia (Federated States of),Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",100.0,1.0
Middle East and North Africa,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",170.0,2.0
Mongolia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",63.0,1.0
Montenegro,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",8.0,1.0
Morocco,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",100.0,1.0
Mozambique,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",490.0,1.0
Myanmar,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",200.0,1.0
Namibia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",200.0,1.0
Nepal,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",170.0,1.0
Netherlands,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",6.0,1.0
New Zealand,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",15.0,1.0
Nicaragua,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",95.0,1.0
Niger,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",590.0,1.0
Nigeria,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",630.0,1.0
Norway,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",7.0,1.0
Oman,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",32.0,1.0
Pakistan,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",260.0,1.0
Panama,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",92.0,1.0
Papua New Guinea,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",230.0,1.0
Paraguay,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",99.0,1.0
Peru,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",67.0,1.0
Philippines,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",99.0,1.0
Poland,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",5.0,1.0
Portugal,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",8.0,1.0
Qatar,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",7.0,1.0
Republic of Korea,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",16.0,1.0
Republic of Moldova,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",41.0,1.0
Romania,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",27.0,1.0
Russian Federation,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",34.0,1.0
Rwanda,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",340.0,1.0
Saint Lucia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",35.0,1.0
Saint Vincent and the Grenadines,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",48.0,1.0
Samoa,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",100.0,1.0
Sao Tome and Principe,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",70.0,1.0
Saudi Arabia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",24.0,1.0
Senegal,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",370.0,1.0
Serbia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",12.0,1.0
Sierra Leone,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",890.0,1.0
Singapore,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",3.0,1.0
Slovakia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",6.0,1.0
Slovenia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",12.0,1.0
Solomon Islands,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",93.0,1.0
Somalia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",1000.0,1.0
South Africa,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",300.0,1.0
South Asia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",220.0,2.0
Spain,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",6.0,1.0
Sri Lanka,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",35.0,1.0
State of Palestine,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",64.0,1.0
Sub-Saharan Africa,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",500.0,2.0
Sudan (pre-cession),Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",730.0,3.0
Suriname,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",130.0,1.0
Swaziland,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",320.0,1.0
Sweden,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",4.0,1.0
Switzerland,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",8.0,1.0
Syrian Arab Republic,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",70.0,1.0
Tajikistan,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",65.0,1.0
Thailand,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",48.0,1.0
The former Yugoslav Republic of Macedonia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",10.0,1.0
Timor-Leste,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",300.0,1.0
Togo,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",300.0,1.0
Tonga,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",110.0,1.0
Trinidad and Tobago,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",46.0,1.0
Tunisia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",56.0,1.0
Turkey,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",20.0,1.0
Turkmenistan,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",67.0,1.0
Uganda,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",310.0,1.0
Ukraine,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",32.0,1.0
United Arab Emirates,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",12.0,1.0
United Kingdom,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",12.0,1.0
United Republic of Tanzania,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",460.0,1.0
United States,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",21.0,1.0
Uruguay,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",29.0,1.0
Uzbekistan,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",28.0,1.0
Vanuatu,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",110.0,1.0
Venezuela (Bolivarian Republic of),Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",92.0,1.0
Viet Nam,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",59.0,1.0
Western and Central Africa,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",570.0,2.0
World,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",210.0,2.0
Yemen,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",200.0,1.0
Zambia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",440.0,1.0
Zimbabwe,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",570.0,1.0
