Country or Area,Subgroup,Year,Source,Unit,Children left in inadequate care,Children left in inadequate care Footnotes
Bosnia and Herzegovina,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,7.0,1.0
Bosnia and Herzegovina,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,6.0,1.0
Bosnia and Herzegovina,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,7.0,1.0
Bosnia and Herzegovina,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,6.0,1.0
Bosnia and Herzegovina,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,10.0,1.0
Cameroon,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,36.0,1.0
Cameroon,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,36.0,1.0
Cameroon,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,36.0,1.0
Cameroon,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,45.0,1.0
Cameroon,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,25.0,1.0
Central African Republic,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,61.0,1.0
Central African Republic,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,62.0,1.0
Central African Republic,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,60.0,1.0
Central African Republic,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,58.0,1.0
Central African Republic,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,60.0,1.0
Chad,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,56.0,1.0
Chad,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,56.0,1.0
Chad,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,57.0,1.0
Chad,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,58.0,1.0
Chad,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,56.0,1.0
Côte d'Ivoire,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,59.0,1.0
Côte d'Ivoire,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,58.0,1.0
Côte d'Ivoire,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,60.0,1.0
Côte d'Ivoire,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,62.0,1.0
Côte d'Ivoire,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,51.0,1.0
Democratic People's Republic of Korea,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,17.0,1.0
Democratic People's Republic of Korea,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,16.0,1.0
Democratic People's Republic of Korea,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,17.0,1.0
Democratic Republic of the Congo,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,60.0,1.0
Democratic Republic of the Congo,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,60.0,1.0
Democratic Republic of the Congo,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,60.0,1.0
Democratic Republic of the Congo,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,69.0,1.0
Democratic Republic of the Congo,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,39.0,1.0
Djibouti,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,12.0,1.0
Djibouti,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,13.0,1.0
Djibouti,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,11.0,1.0
Gambia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,21.0,1.0
Gambia,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,19.0,1.0
Gambia,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,22.0,1.0
Gambia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,25.0,1.0
Gambia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,18.0,1.0
Georgia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,8.0,1.0
Georgia,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,8.0,1.0
Georgia,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,8.0,1.0
Georgia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,7.0,1.0
Georgia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,8.0,1.0
Ghana,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,21.0,1.0
Ghana,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,21.0,1.0
Ghana,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,21.0,1.0
Ghana,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,27.0,1.0
Ghana,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,15.0,1.0
Guyana,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,11.0,1.0
Guyana,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,10.0,1.0
Guyana,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,13.0,1.0
Guyana,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,19.0,1.0
Guyana,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,6.0,1.0
Jamaica,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,4.0,1.0
Jamaica,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,3.0,1.0
Jamaica,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,4.0,1.0
Kazakhstan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,4.0,1.0
Kazakhstan,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,4.0,1.0
Kazakhstan,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,4.0,1.0
Kazakhstan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,5.0,1.0
Kazakhstan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,4.0,1.0
Kyrgyzstan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,11.0,1.0
Kyrgyzstan,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,9.0,1.0
Kyrgyzstan,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,12.0,1.0
Kyrgyzstan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,11.0,1.0
Kyrgyzstan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,6.0,1.0
Lao People's Democratic Republic,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,26.0,1.0
Lao People's Democratic Republic,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,25.0,1.0
Lao People's Democratic Republic,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,26.0,1.0
Lao People's Democratic Republic,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,33.0,1.0
Lao People's Democratic Republic,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,17.0,1.0
Lebanon,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,9.0,1.0
Lebanon,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,10.0,1.0
Lebanon,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,8.0,1.0
Mali,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,33.0,1.0
Mali,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,33.0,1.0
Mali,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,33.0,1.0
Mali,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,33.0,1.0
Mali,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,36.0,1.0
Mongolia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,9.0,1.0
Mongolia,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,8.0,1.0
Mongolia,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,9.0,1.0
Mongolia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,10.0,1.0
Mongolia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,6.0,1.0
Montenegro,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,6.0,1.0
Montenegro,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,5.0,1.0
Montenegro,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,8.0,1.0
Montenegro,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,11.0,1.0
Montenegro,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,3.0,1.0
Morocco,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,9.0,1.0
Morocco,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,9.0,1.0
Morocco,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,9.0,1.0
Morocco,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,11.0,1.0
Morocco,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,6.0,1.0
Mozambique,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,33.0,1.0
Mozambique,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,32.0,1.0
Mozambique,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,33.0,1.0
Nigeria,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,38.0,1.0
Nigeria,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,37.0,1.0
Nigeria,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,38.0,1.0
Nigeria,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,41.0,1.0
Nigeria,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,32.0,1.0
Serbia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Serbia,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Serbia,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Serbia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,2.0,1.0
Serbia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Sierra Leone,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,32.0,1.0
Sierra Leone,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,32.0,1.0
Sierra Leone,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,33.0,1.0
Sierra Leone,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,29.0,1.0
Sierra Leone,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,28.0,1.0
Suriname,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,7.0,1.0
Suriname,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,8.0,1.0
Suriname,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,6.0,1.0
Suriname,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,13.0,1.0
Suriname,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Swaziland,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,15.0,1.0
Swaziland,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,15.0,1.0
Swaziland,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,15.0,1.0
Swaziland,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,20.0,1.0
Swaziland,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,9.0,1.0
Syrian Arab Republic,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,17.0,1.0
Syrian Arab Republic,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,17.0,1.0
Syrian Arab Republic,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,17.0,1.0
Syrian Arab Republic,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,22.0,1.0
Syrian Arab Republic,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,15.0,1.0
Tajikistan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,13.0,1.0
Tajikistan,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,12.0,1.0
Tajikistan,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,13.0,1.0
Tajikistan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,15.0,1.0
Tajikistan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,11.0,1.0
Thailand,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,13.0,1.0
Thailand,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,13.0,1.0
Thailand,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,14.0,1.0
Thailand,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,18.0,1.0
Thailand,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,7.0,1.0
The former Yugoslav Republic of Macedonia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,5.0,1.0
The former Yugoslav Republic of Macedonia,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,5.0,1.0
The former Yugoslav Republic of Macedonia,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,5.0,1.0
The former Yugoslav Republic of Macedonia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,10.0,1.0
The former Yugoslav Republic of Macedonia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Togo,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,41.0,1.0
Togo,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,41.0,1.0
Togo,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,42.0,1.0
Togo,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,45.0,1.0
Togo,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,35.0,1.0
Trinidad and Tobago,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Trinidad and Tobago,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Trinidad and Tobago,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Trinidad and Tobago,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,2.0,1.0
Trinidad and Tobago,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,0.0,1.0
Ukraine,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,10.0,1.0
Ukraine,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,10.0,1.0
Ukraine,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,11.0,1.0
Ukraine,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,15.0,1.0
Ukraine,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,4.0,1.0
Uzbekistan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,5.0,1.0
Uzbekistan,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,5.0,1.0
Uzbekistan,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,5.0,1.0
Uzbekistan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,6.0,1.0
Uzbekistan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,7.0,1.0
Viet Nam,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,9.0,1.0
Viet Nam,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,9.0,1.0
Viet Nam,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,10.0,1.0
Viet Nam,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,17.0,1.0
Viet Nam,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,4.0,1.0
Western and Central Africa,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,43.0,2.0
Western and Central Africa,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,43.0,2.0
Western and Central Africa,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,43.0,2.0
Western and Central Africa,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,47.0,2.0
Western and Central Africa,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,34.0,2.0
Yemen,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,34.0,1.0
Yemen,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,33.0,1.0
Yemen,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,36.0,1.0
Yemen,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,46.0,1.0
Yemen,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,22.0,1.0
