Country or Area,Subgroup,Year,Source,Unit,Population size,Population size Footnotes
Argentina,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,6769.0,
Argentina,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,17.0,
Armenia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,763.0,
Armenia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,225.0,
Armenia,Total,2011.0,UN_United Nations Population Division,Thousand,3100.0,
Armenia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,435.0,
Armenia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,14.0,
Australia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,5190.0,
Australia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,1504.0,
Australia,Total,2011.0,UN_United Nations Population Division,Thousand,22606.0,
Australia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,2917.0,
Australia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,13.0,
Austria,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1512.0,
Austria,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,381.0,
Austria,Total,2011.0,UN_United Nations Population Division,Thousand,8413.0,
Austria,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,929.0,
Austria,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,11.0,
Azerbaijan,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,2430.0,
Azerbaijan,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,846.0,
Azerbaijan,Total,2011.0,UN_United Nations Population Division,Thousand,9306.0,
Azerbaijan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1378.0,
Azerbaijan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,15.0,
Bahamas,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,95.0,
Bahamas,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,27.0,
Bahamas,Total,2011.0,UN_United Nations Population Division,Thousand,347.0,
Bahamas,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,58.0,
Bahamas,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,17.0,
Bahrain,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,311.0,
Bahrain,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,102.0,
Bahrain,Total,2011.0,UN_United Nations Population Division,Thousand,1324.0,
Bahrain,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,153.0,
Bahrain,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,11.0,
Bangladesh,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,55515.0,
Bangladesh,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,14421.0,
Bangladesh,Total,2011.0,UN_United Nations Population Division,Thousand,150494.0,
Bangladesh,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,31601.0,
Bangladesh,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,21.0,
Barbados,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,59.0,
Barbados,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,15.0,
Barbados,Total,2011.0,UN_United Nations Population Division,Thousand,274.0,
Barbados,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,38.0,
Barbados,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,14.0,
Belarus,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1766.0,
Belarus,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,527.0,
Belarus,Total,2011.0,UN_United Nations Population Division,Thousand,9559.0,
Belarus,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1025.0,
Belarus,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,11.0,
Belgium,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,2182.0,
Belgium,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,619.0,
Belgium,Total,2011.0,UN_United Nations Population Division,Thousand,10754.0,
Belgium,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1207.0,
Belgium,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,11.0,
Belize,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,131.0,
Belize,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,37.0,
Belize,Total,2011.0,UN_United Nations Population Division,Thousand,318.0,
Belize,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,73.0,
Belize,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Benin,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,4568.0,
Benin,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,1546.0,
Benin,Total,2011.0,UN_United Nations Population Division,Thousand,9100.0,
Benin,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,2094.0,
Benin,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Bhutan,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,258.0,
Bhutan,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,70.0,
Bhutan,Total,2011.0,UN_United Nations Population Division,Thousand,738.0,
Bhutan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,148.0,
Bhutan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,20.0,
Bolivia (Plurinational State of),Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,4254.0,
Bolivia (Plurinational State of),Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,1230.0,
Bolivia (Plurinational State of),Total,2011.0,UN_United Nations Population Division,Thousand,10088.0,
Bolivia (Plurinational State of),Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,2232.0,
Bolivia (Plurinational State of),Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,22.0,
Bosnia and Herzegovina,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,686.0,
Bosnia and Herzegovina,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,167.0,
Bosnia and Herzegovina,Total,2011.0,UN_United Nations Population Division,Thousand,3752.0,
Bosnia and Herzegovina,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,434.0,
Bosnia and Herzegovina,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,12.0,
Botswana,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,788.0,
Botswana,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,229.0,
Botswana,Total,2011.0,UN_United Nations Population Division,Thousand,2031.0,
Botswana,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,434.0,
Botswana,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,21.0,
Brazil,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,59010.0,
Brazil,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,14662.0,
Brazil,Total,2011.0,UN_United Nations Population Division,Thousand,196655.0,
Brazil,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,33906.0,
Brazil,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,17.0,
Brunei Darussalam,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,124.0,
Brunei Darussalam,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,37.0,
Brunei Darussalam,Total,2011.0,UN_United Nations Population Division,Thousand,406.0,
Brunei Darussalam,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,65.0,
Brunei Darussalam,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,16.0,
Bulgaria,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1249.0,
Bulgaria,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,378.0,
Bulgaria,Total,2011.0,UN_United Nations Population Division,Thousand,7446.0,
Bulgaria,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,696.0,
Bulgaria,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,9.0,
Burkina Faso,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,8824.0,
Burkina Faso,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,3047.0,
Burkina Faso,Total,2011.0,UN_United Nations Population Division,Thousand,16968.0,
Burkina Faso,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,3978.0,
Burkina Faso,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Burundi,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,3813.0,
Burundi,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,1221.0,
Burundi,Total,2011.0,UN_United Nations Population Division,Thousand,8575.0,
Burundi,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1946.0,
Burundi,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Cambodia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,5480.0,
Cambodia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,1505.0,
Cambodia,Total,2011.0,UN_United Nations Population Division,Thousand,14305.0,
Cambodia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,3222.0,
Cambodia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Cameroon,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,9420.0,
Cameroon,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,3102.0,
Cameroon,Total,2011.0,UN_United Nations Population Division,Thousand,20030.0,
Cameroon,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,4481.0,
Cameroon,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,22.0,
Canada,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,6926.0,
Canada,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,1936.0,
Canada,Total,2011.0,UN_United Nations Population Division,Thousand,34350.0,
Canada,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,4137.0,
Canada,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,12.0,
Cape Verde,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,190.0,
Cape Verde,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,50.0,
Cape Verde,Total,2011.0,UN_United Nations Population Division,Thousand,501.0,
Cape Verde,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,113.0,
Cape Verde,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
CEE/CIS,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,95460.0,1.0
CEE/CIS,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,28590.0,1.0
CEE/CIS,Total,2011.0,UN_United Nations Population Division,Thousand,405743.0,1.0
CEE/CIS,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,53462.0,1.0
CEE/CIS,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,13.0,1.0
Central African Republic,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,2098.0,
Central African Republic,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,658.0,
Central African Republic,Total,2011.0,UN_United Nations Population Division,Thousand,4487.0,
Central African Republic,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1030.0,
Central African Republic,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Chad,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,5992.0,
Chad,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,2047.0,
Chad,Total,2011.0,UN_United Nations Population Division,Thousand,11525.0,
Chad,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,2690.0,
Chad,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Chile,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,4615.0,
Chile,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,1222.0,
Chile,Total,2011.0,UN_United Nations Population Division,Thousand,17270.0,
Chile,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,2769.0,
Chile,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,16.0,
China,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,317892.0,
China,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,82205.0,
China,Total,2011.0,UN_United Nations Population Division,Thousand,1347565.0,
China,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,195432.0,
China,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,15.0,
Colombia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,15951.0,
Colombia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,4509.0,
Colombia,Total,2011.0,UN_United Nations Population Division,Thousand,46927.0,
Colombia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,8759.0,
Colombia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,19.0,
Comoros,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,366.0,
Comoros,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,124.0,
Comoros,Total,2011.0,UN_United Nations Population Division,Thousand,754.0,
Comoros,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,161.0,
Comoros,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,21.0,
Congo,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1940.0,
Congo,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,637.0,
Congo,Total,2011.0,UN_United Nations Population Division,Thousand,4140.0,
Congo,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,909.0,
Congo,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,22.0,
Cook Islands,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,8.0,
Cook Islands,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,2.0,
Cook Islands,Total,2011.0,UN_United Nations Population Division,Thousand,20.0,
Costa Rica,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1405.0,
Costa Rica,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,359.0,
Costa Rica,Total,2011.0,UN_United Nations Population Division,Thousand,4727.0,
Costa Rica,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,832.0,
Costa Rica,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,18.0,
Côte d'Ivoire,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,9539.0,
Côte d'Ivoire,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,2992.0,
Côte d'Ivoire,Total,2011.0,UN_United Nations Population Division,Thousand,20153.0,
Côte d'Ivoire,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,4653.0,
Côte d'Ivoire,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Croatia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,806.0,
Croatia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,215.0,
Croatia,Total,2011.0,UN_United Nations Population Division,Thousand,4396.0,
Croatia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,490.0,
Croatia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,11.0,
Cuba,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,2343.0,
Cuba,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,543.0,
Cuba,Total,2011.0,UN_United Nations Population Division,Thousand,11254.0,
Cuba,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1454.0,
Cuba,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,13.0,
Cyprus,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,244.0,
Cyprus,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,65.0,
Cyprus,Total,2011.0,UN_United Nations Population Division,Thousand,1117.0,
Cyprus,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,153.0,
Cyprus,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,14.0,
Czech Republic,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1836.0,
Czech Republic,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,567.0,
Czech Republic,Total,2011.0,UN_United Nations Population Division,Thousand,10534.0,
Czech Republic,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1069.0,
Czech Republic,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,10.0,
Democratic People's Republic of Korea,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,6757.0,
Democratic People's Republic of Korea,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,1706.0,
Democratic People's Republic of Korea,Total,2011.0,UN_United Nations Population Division,Thousand,24451.0,
Democratic People's Republic of Korea,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,4103.0,
Democratic People's Republic of Korea,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,17.0,
Democratic Republic of the Congo,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,35852.0,
Democratic Republic of the Congo,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,12037.0,
Democratic Republic of the Congo,Total,2011.0,UN_United Nations Population Division,Thousand,67758.0,
Democratic Republic of the Congo,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,16323.0,
Democratic Republic of the Congo,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,24.0,
Denmark,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1212.0,
Denmark,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,327.0,
Denmark,Total,2011.0,UN_United Nations Population Division,Thousand,5573.0,
Denmark,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,701.0,
Denmark,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,13.0,
Djibouti,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,382.0,
Djibouti,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,115.0,
Djibouti,Total,2011.0,UN_United Nations Population Division,Thousand,906.0,
Djibouti,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,202.0,
Djibouti,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,22.0,
Dominica,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,21.0,
Dominica,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,6.0,
Dominica,Total,2011.0,UN_United Nations Population Division,Thousand,68.0,
Dominican Republic,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,3672.0,
Dominican Republic,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,1051.0,
Dominican Republic,Total,2011.0,UN_United Nations Population Division,Thousand,10056.0,
Dominican Republic,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1967.0,
Dominican Republic,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,20.0,
East Asia and Pacific,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,533810.0,1.0
East Asia and Pacific,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,141248.0,1.0
East Asia and Pacific,Total,2011.0,UN_United Nations Population Division,Thousand,2032532.0,1.0
East Asia and Pacific,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,317250.0,1.0
East Asia and Pacific,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,16.0,1.0
Eastern and Southern Africa,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,196675.0,1.0
Eastern and Southern Africa,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,63188.0,1.0
Eastern and Southern Africa,Total,2011.0,UN_United Nations Population Division,Thousand,418709.0,1.0
Eastern and Southern Africa,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,94195.0,1.0
Eastern and Southern Africa,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,22.0,1.0
Ecuador,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,5234.0,
Ecuador,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,1469.0,
Ecuador,Total,2011.0,UN_United Nations Population Division,Thousand,14666.0,
Ecuador,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,2843.0,
Ecuador,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,19.0,
Egypt,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,30537.0,
Egypt,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,9092.0,
Egypt,Total,2011.0,UN_United Nations Population Division,Thousand,82537.0,
Egypt,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,15964.0,
Egypt,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,19.0,
El Salvador,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,2394.0,
El Salvador,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,631.0,
El Salvador,Total,2011.0,UN_United Nations Population Division,Thousand,6227.0,
El Salvador,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1440.0,
El Salvador,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Equatorial Guinea,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,327.0,
Equatorial Guinea,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,111.0,
Equatorial Guinea,Total,2011.0,UN_United Nations Population Division,Thousand,720.0,
Equatorial Guinea,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,154.0,
Equatorial Guinea,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,21.0,
Eritrea,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,2588.0,
Eritrea,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,879.0,
Eritrea,Total,2011.0,UN_United Nations Population Division,Thousand,5415.0,
Eritrea,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1171.0,
Eritrea,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,22.0,
Estonia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,250.0,
Estonia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,80.0,
Estonia,Total,2011.0,UN_United Nations Population Division,Thousand,1341.0,
Estonia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,133.0,
Estonia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,10.0,
Ethiopia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,40698.0,
Ethiopia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,11915.0,
Ethiopia,Total,2011.0,UN_United Nations Population Division,Thousand,84734.0,
Ethiopia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,20948.0,
Ethiopia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,25.0,
Fiji,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,300.0,
Fiji,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,91.0,
Fiji,Total,2011.0,UN_United Nations Population Division,Thousand,868.0,
Fiji,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,159.0,
Fiji,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,18.0,
Finland,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1084.0,
Finland,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,303.0,
Finland,Total,2011.0,UN_United Nations Population Division,Thousand,5385.0,
Finland,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,627.0,
Finland,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,12.0,
France,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,13837.0,
France,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,3985.0,
France,Total,2011.0,UN_United Nations Population Division,Thousand,63126.0,
France,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,7482.0,
France,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,12.0,
Gabon,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,642.0,
Gabon,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,188.0,
Gabon,Total,2011.0,UN_United Nations Population Division,Thousand,1534.0,
Gabon,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,346.0,
Gabon,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Gambia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,897.0,
Gambia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,292.0,
Gambia,Total,2011.0,UN_United Nations Population Division,Thousand,1776.0,
Gambia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,421.0,
Gambia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,24.0,
Georgia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,892.0,
Georgia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,258.0,
Georgia,Total,2011.0,UN_United Nations Population Division,Thousand,4329.0,
Georgia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,541.0,
Georgia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,13.0,
Germany,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,13437.0,
Germany,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,3504.0,
Germany,Total,2011.0,UN_United Nations Population Division,Thousand,82163.0,
