Country or Area,Year,Average annual rate of reduction of under-five mortality rate,Average annual rate of reduction of under-five mortality rate Footnotes
Guinea,1970-1990,1.6,1
Guinea-Bissau,2000-2011,1.3,1
Guinea-Bissau,1990-2011,1.3,1
Guinea-Bissau,1990-2000,1.2,1
Guinea-Bissau,1970-1990,0.7,1
Guyana,2000-2011,2.8,1
Guyana,1990-2011,2.7,1
Guyana,1990-2000,2.5,1
Guyana,1970-1990,1,1
Haiti,2000-2011,3.4,1
Haiti,1990-2011,3.4,1
Haiti,1990-2000,3.4,1
Haiti,1970-1990,2.3,1
Honduras,2000-2011,4.5,1
Honduras,1990-2011,4.5,1
Honduras,1990-2000,4.5,1
Honduras,1970-1990,5.2,1
Hungary,2000-2011,5.1,1
Hungary,1990-2011,5.2,1
Hungary,1990-2000,5.3,1
Hungary,1970-1990,4.2,1
Iceland,2000-2011,4,1
Iceland,1990-2011,4.4,1
Iceland,1990-2000,4.8,1
Iceland,1970-1990,4.6,1
India,2000-2011,3.3,1
India,1990-2011,3,1
India,1990-2000,2.6,1
India,1970-1990,2.5,1
Indonesia,2000-2011,4.6,1
Indonesia,1990-2011,4.5,1
Indonesia,1990-2000,4.4,1
Indonesia,1970-1990,3.5,1
Iran (Islamic Republic of),2000-2011,5.1,1
Iran (Islamic Republic of),1990-2011,4.3,1
Iran (Islamic Republic of),1990-2000,3.3,1
Iran (Islamic Republic of),1970-1990,6,1
Iraq,2000-2011,1.1,1
Iraq,1990-2011,0.9,1
Iraq,1990-2000,0.7,1
Iraq,1970-1990,4.6,1
Ireland,2000-2011,5.1,1
Ireland,1990-2011,3.9,1
Ireland,1990-2000,2.5,1
Ireland,1970-1990,4.6,1
Israel,2000-2011,4.3,1
Israel,1990-2011,4.7,1
Israel,1990-2000,5.1,1
Italy,2000-2011,3.8,1
Italy,1990-2011,4.6,1
Italy,1990-2000,5.5,1
Italy,1970-1990,6.1,1
Jamaica,2000-2011,3,1
Jamaica,1990-2011,3,1
Jamaica,1990-2000,3,1
Jamaica,1970-1990,3,1
Japan,2000-2011,2.5,1
Japan,1990-2011,3,1
Japan,1990-2000,3.5,1
Japan,1970-1990,5.1,1
Jordan,2000-2011,2.7,1
Jordan,1990-2011,2.7,1
Jordan,1990-2000,2.7,1
Jordan,1970-1990,4.8,1
Kazakhstan,2000-2011,3.7,1
Kazakhstan,1990-2011,3.3,1
Kazakhstan,1990-2000,3,1
Kazakhstan,1970-1990,1.7,1
Kenya,2000-2011,4,1
Kenya,1990-2011,1.4,1
Kenya,1990-2000,-1.5,1
Kenya,1970-1990,2.2,1
Kiribati,2000-2011,2.9,1
Kiribati,1990-2011,2.9,1
Kiribati,1990-2000,2.9,1
Kiribati,1970-1990,2.8,1
Kuwait,2000-2011,1.4,1
Kuwait,1990-2011,2.1,1
Kuwait,1990-2000,2.9,1
Kuwait,1970-1990,6.4,1
Kyrgyzstan,2000-2011,4,1
Kyrgyzstan,1990-2011,4,1
Kyrgyzstan,1990-2000,3.9,1
Kyrgyzstan,1970-1990,3.6,1
Lao People's Democratic Republic,2000-2011,6,1
Lao People's Democratic Republic,1990-2011,6,1
Lao People's Democratic Republic,1990-2000,6,1
Latin America and Caribbean,2000-2011,5.2,2
Latin America and Caribbean,1990-2011,4.8,2
Latin America and Caribbean,1990-2000,4.4,2
Latin America and Caribbean,1970-1990,4,2
Latvia,2000-2011,6.7,1
Latvia,1990-2011,4.3,1
Latvia,1990-2000,1.7,1
Least Developed Countries/Territories,2000-2011,3,2
Least Developed Countries/Territories,1990-2011,2.7,2
Least Developed Countries/Territories,1990-2000,2.3,2
Least Developed Countries/Territories,1970-1990,1.7,2
Lebanon,2000-2011,6.5,1
Lebanon,1990-2011,6,1
Lebanon,1990-2000,5.6,1
Lebanon,1970-1990,2.7,1
Lesotho,2000-2011,2.8,1
Lesotho,1990-2011,0.1,1
Lesotho,1990-2000,-2.9,1
Lesotho,1970-1990,3.5,1
Liberia,2000-2011,6.7,1
Liberia,1990-2011,5.4,1
Liberia,1990-2000,3.9,1
Liberia,1970-1990,0.7,1
Libya,2000-2011,4.7,1
Libya,1990-2011,4.8,1
Libya,1990-2000,4.9,1
Libya,1970-1990,5.7,1
Lithuania,2000-2011,6.6,1
Lithuania,1990-2011,5.3,1
Lithuania,1990-2000,3.9,1
Lithuania,1970-1990,2,1
Luxembourg,2000-2011,3.9,1
Luxembourg,1990-2011,4.6,1
Luxembourg,1990-2000,5.4,1
Luxembourg,1970-1990,4.7,1
Madagascar,2000-2011,4.8,1
Madagascar,1990-2011,4.6,1
Madagascar,1990-2000,4.4,1
Madagascar,1970-1990,0.4,1
Malawi,2000-2011,6.2,1
Malawi,1990-2011,4.8,1
Malawi,1990-2000,3.2,1
Malawi,1970-1990,1.9,1
Malaysia,2000-2011,4.4,1
Malaysia,1990-2011,4.6,1
Malaysia,1990-2000,4.8,1
Malaysia,1970-1990,5.8,1
Maldives,2000-2011,14.5,1
Maldives,1990-2011,10.9,1
Maldives,1990-2000,6.9,1
Maldives,1970-1990,4.6,1
Mali,2000-2011,1.8,1
Mali,1990-2011,1.8,1
Mali,1990-2000,1.8,1
Mali,1970-1990,1.9,1
Malta,2000-2011,2.5,1
Malta,1990-2011,3.1,1
Malta,1990-2000,3.7,1
Malta,1970-1990,4.4,1
Marshall Islands,2000-2011,3.3,1
Marshall Islands,1990-2011,3.3,1
Marshall Islands,1990-2000,3.2,1
Marshall Islands,1970-1990,3.2,1
Mauritania,2000-2011,0.5,1
Mauritania,1990-2011,0.5,1
Mauritania,1990-2000,0.6,1
Mauritania,1970-1990,2.3,1
Mauritius,2000-2011,1.9,1
Mauritius,1990-2011,2.2,1
Mauritius,1990-2000,2.5,1
Mauritius,1970-1990,6.3,1
Mexico,2000-2011,5.6,1
Mexico,1990-2011,5.4,1
Mexico,1990-2000,5.2,1
Mexico,1970-1990,4,1
Micronesia (Federated States of),2000-2011,1.4,1
Micronesia (Federated States of),1990-2011,1.5,1
Micronesia (Federated States of),1990-2000,1.5,1
Middle East and North Africa,2000-2011,3.3,2
Middle East and North Africa,1990-2011,3.3,2
Middle East and North Africa,1990-2000,3.4,2
Middle East and North Africa,1970-1990,4.8,2
Monaco,2000-2011,2.4,1
Monaco,1990-2011,3.3,1
Monaco,1990-2000,4.2,1
Mongolia,2000-2011,6.6,1
Mongolia,1990-2011,5.9,1
Mongolia,1990-2000,5.2,1
Montenegro,2000-2011,5.1,1
Montenegro,1990-2011,4.3,1
Montenegro,1990-2000,3.3,1
Morocco,2000-2011,4.3,1
Morocco,1990-2011,4.3,1
Morocco,1990-2000,4.3,1
Morocco,1970-1990,3.9,1
Mozambique,2000-2011,4.7,1
Mozambique,1990-2011,3.7,1
Mozambique,1990-2000,2.7,1
Mozambique,1970-1990,1,1
Myanmar,2000-2011,2.6,1
Myanmar,1990-2011,2.6,1
Myanmar,1990-2000,2.5,1
Myanmar,1970-1990,2.4,1
Namibia,2000-2011,5.2,1
Namibia,1990-2011,2.7,1
Namibia,1990-2000,-0.1,1
Namibia,1970-1990,2.2,1
Nauru,2000-2011,0,1
Nauru,1990-2011,0,1
Nauru,1990-2000,0,1
Nepal,2000-2011,5,1
Nepal,1990-2011,4.9,1
Nepal,1990-2000,4.8,1
Nepal,1970-1990,3.1,1
Netherlands,2000-2011,4,1
Netherlands,1990-2011,3.5,1
Netherlands,1990-2000,2.9,1
Netherlands,1970-1990,3.2,1
New Zealand,2000-2011,2.1,1
New Zealand,1990-2011,3,1
New Zealand,1990-2000,4.1,1
New Zealand,1970-1990,3.1,1
Nicaragua,2000-2011,4.6,1
Nicaragua,1990-2011,4.5,1
Nicaragua,1990-2000,4.5,1
Nicaragua,1970-1990,4.5,1
Niger,2000-2011,5,1
Niger,1990-2011,4.4,1
Niger,1990-2000,3.8,1
Niger,1970-1990,0.2,1
Nigeria,2000-2011,3.8,1
Nigeria,1990-2011,2.6,1
Nigeria,1990-2000,1.3,1
Nigeria,1970-1990,1,1
Niue,2000-2011,3,1
Niue,1990-2011,-1.9,1
Niue,1990-2000,-7.3,1
Norway,2000-2011,4.2,1
Norway,1990-2011,4.7,1
Norway,1990-2000,5.4,1
Norway,1970-1990,3.3,1
Oman,2000-2011,8.3,1
Oman,1990-2011,8.1,1
Oman,1990-2000,7.8,1
Oman,1970-1990,7.1,1
Pakistan,2000-2011,2.5,1
Pakistan,1990-2011,2.5,1
Pakistan,1990-2000,2.5,1
Pakistan,1970-1990,2,1
Palau,2000-2011,2.6,1
Palau,1990-2011,2.6,1
Palau,1990-2000,2.6,1
Panama,2000-2011,2.5,1
Panama,1990-2011,2.5,1
Panama,1990-2000,2.6,1
Panama,1970-1990,3.1,1
Papua New Guinea,2000-2011,2,1
Papua New Guinea,1990-2011,2,1
Papua New Guinea,1990-2000,2,1
Papua New Guinea,1970-1990,2.7,1
Paraguay,2000-2011,4.1,1
Paraguay,1990-2011,4.1,1
Paraguay,1990-2000,4,1
Paraguay,1970-1990,1.7,1
Peru,2000-2011,7,1
Peru,1990-2011,6.8,1
Peru,1990-2000,6.6,1
Peru,1970-1990,3.7,1
Philippines,2000-2011,3.9,1
Philippines,1990-2011,3.8,1
Philippines,1990-2000,3.8,1
Philippines,1970-1990,2.2,1
Poland,2000-2011,4.6,1
Poland,1990-2011,5.2,1
Poland,1990-2000,5.9,1
Poland,1970-1990,3.6,1
Portugal,2000-2011,6.8,1
Portugal,1990-2011,6.9,1
Portugal,1990-2000,7.1,1
Portugal,1970-1990,7.5,1
Qatar,2000-2011,4.5,1
Qatar,1990-2011,4.6,1
Qatar,1990-2000,4.7,1
Qatar,1970-1990,5.2,1
Republic of Korea,2000-2011,1.6,1
Republic of Korea,1990-2011,2.1,1
Republic of Korea,1990-2000,2.7,1
Republic of Korea,1970-1990,9.4,1
Republic of Moldova,2000-2011,3.6,1
Republic of Moldova,1990-2011,3.7,1
Republic of Moldova,1990-2000,3.8,1
Republic of Moldova,1970-1990,3.5,1
Romania,2000-2011,6.9,1
Romania,1990-2011,5.2,1
Romania,1990-2000,3.3,1
Romania,1970-1990,2.7,1
Russian Federation,2000-2011,5.3,1
Russian Federation,1990-2011,4,1
Russian Federation,1990-2000,2.5,1
Russian Federation,1970-1990,2,1
Rwanda,2000-2011,11.1,1
Rwanda,1990-2011,5.1,1
Rwanda,1990-2000,-1.6,1
Rwanda,1970-1990,1.8,1
Saint Kitts and Nevis,2000-2011,7.2,1
Saint Kitts and Nevis,1990-2011,6.4,1
Saint Kitts and Nevis,1990-2000,5.5,1
Saint Kitts and Nevis,1970-1990,4.6,1
Saint Lucia,2000-2011,1.4,1
Saint Lucia,1990-2011,1.7,1
Saint Lucia,1990-2000,2.2,1
Saint Lucia,1970-1990,5.2,1
Saint Vincent and the Grenadines,2000-2011,0.4,1
Saint Vincent and the Grenadines,1990-2011,1.1,1
Saint Vincent and the Grenadines,1990-2000,1.9,1
Saint Vincent and the Grenadines,1970-1990,6.5,1
Samoa,2000-2011,1.8,1
Samoa,1990-2011,2.2,1
Samoa,1990-2000,2.6,1
San Marino,2000-2011,9.8,1
San Marino,1990-2011,9,1
San Marino,1990-2000,8.1,1
Sao Tome and Principe,2000-2011,0.4,1
Sao Tome and Principe,1990-2011,0.4,1
Sao Tome and Principe,1990-2000,0.4,1
Sao Tome and Principe,1970-1990,0,1
Saudi Arabia,2000-2011,7.3,1
Saudi Arabia,1990-2011,7.3,1
Saudi Arabia,1990-2000,7.3,1
Senegal,2000-2011,6.4,1
Senegal,1990-2011,3.5,1
Senegal,1990-2000,0.4,1
Senegal,1970-1990,3.9,1
Serbia,2000-2011,5.3,1
Serbia,1990-2011,6.6,1
Serbia,1990-2000,8.1,1
Seychelles,2000-2011,0,1
Seychelles,1990-2011,0.9,1
Seychelles,1990-2000,1.8,1
Seychelles,1970-1990,6.9,1
Sierra Leone,2000-2011,2.4,1
Sierra Leone,1990-2011,1.7,1
Sierra Leone,1990-2000,1,1
Sierra Leone,1970-1990,1.2,1
Singapore,2000-2011,3.7,1
Singapore,1990-2011,5,1
Singapore,1990-2000,6.5,1
Singapore,1970-1990,6.4,1
Slovakia,2000-2011,3.7,1
Slovakia,1990-2011,3.9,1
Slovakia,1990-2000,4.2,1
Slovenia,2000-2011,6,1
Slovenia,1990-2011,6.2,1
Slovenia,1990-2000,6.6,1
Solomon Islands,2000-2011,3.1,1
Solomon Islands,1990-2011,3.1,1
Solomon Islands,1990-2000,3.2,1
Solomon Islands,1970-1990,4.5,1
Somalia,2000-2011,0,1
Somalia,1990-2011,0,1
Somalia,1990-2000,0,1
South Africa,2000-2011,4.2,1
South Africa,1990-2011,1.4,1
South Africa,1990-2000,-1.7,1
South Asia,2000-2011,3.3,2
South Asia,1990-2011,3.1,2
South Asia,1990-2000,2.9,2
South Asia,1970-1990,2.5,2
South Sudan,2000-2011,2.8,3
South Sudan,1990-2011,2.8,3
South Sudan,1990-2000,2.8,3
South Sudan,1970-1990,1.6,3
Spain,2000-2011,4.1,1
Spain,1990-2011,4.5,1
Spain,1990-2000,5,1
Spain,1970-1990,4.9,1
Sri Lanka,2000-2011,4.1,1
Sri Lanka,1990-2011,4.1,1
Sri Lanka,1990-2000,4.1,1
Sri Lanka,1970-1990,4.8,1
State of Palestine,2000-2011,2.8,1
State of Palestine,1990-2011,3.2,1
State of Palestine,1990-2000,3.6,1
Sub-Saharan Africa,2000-2011,3.1,2
Sub-Saharan Africa,1990-2011,2.3,2
Sub-Saharan Africa,1990-2000,1.5,2
Sub-Saharan Africa,1970-1990,1.4,2
Sudan,2000-2011,1.7,3
Sudan,1990-2011,1.7,3
Sudan,1990-2000,1.7,3
Sudan,1970-1990,0.9,3
Suriname,2000-2011,2.7,1
Suriname,1990-2011,2.7,1
Suriname,1990-2000,2.6,1
Swaziland,2000-2011,0.9,1
Swaziland,1990-2011,-1,1
Swaziland,1990-2000,-3.2,1
Swaziland,1970-1990,3.9,1
Sweden,2000-2011,3.5,1
Sweden,1990-2011,4.2,1
Sweden,1990-2000,4.9,1
Sweden,1970-1990,3.4,1
Switzerland,2000-2011,2.4,1
Switzerland,1990-2011,2.9,1
Switzerland,1990-2000,3.5,1
Switzerland,1970-1990,4.1,1
Syrian Arab Republic,2000-2011,3.6,1
Syrian Arab Republic,1990-2011,4.1,1
Syrian Arab Republic,1990-2000,4.6,1
Syrian Arab Republic,1970-1990,5.7,1
Tajikistan,2000-2011,3.7,1
Tajikistan,1990-2011,2.8,1
Tajikistan,1990-2000,1.9,1
Thailand,2000-2011,3.7,1
Thailand,1990-2011,5,1
Thailand,1990-2000,6.4,1
Thailand,1970-1990,5.3,1
The former Yugoslav Republic of Macedonia,2000-2011,4.8,1
The former Yugoslav Republic of Macedonia,1990-2011,6.5,1
The former Yugoslav Republic of Macedonia,1990-2000,8.4,1
Timor-Leste,2000-2011,6.4,1
Timor-Leste,1990-2011,5.7,1
Timor-Leste,1990-2000,5,1
Togo,2000-2011,1.4,1
Togo,1990-2011,1.4,1
Togo,1990-2000,1.4,1
Togo,1970-1990,2,1
Tonga,2000-2011,2.2,1
Tonga,1990-2011,2.2,1
Tonga,1990-2000,2.2,1
Tonga,1970-1990,2.9,1
Trinidad and Tobago,2000-2011,1.3,1
Trinidad and Tobago,1990-2011,1.4,1
Trinidad and Tobago,1990-2000,1.4,1
Trinidad and Tobago,1970-1990,1.7,1
Tunisia,2000-2011,5.5,1
Tunisia,1990-2011,5.5,1
Tunisia,1990-2000,5.5,1
Tunisia,1970-1990,6.3,1
Turkey,2000-2011,7.7,1
Turkey,1990-2011,7.4,1
Turkey,1990-2000,7.1,1
Turkey,1970-1990,5,1
Turkmenistan,2000-2011,2.8,1
Turkmenistan,1990-2011,2.8,1
Turkmenistan,1990-2000,2.8,1
Tuvalu,2000-2011,3.3,1
Tuvalu,1990-2011,3.1,1
Tuvalu,1990-2000,2.9,1
Uganda,2000-2011,4.1,1
Uganda,1990-2011,3.3,1
Uganda,1990-2000,2.4,1
Uganda,1970-1990,0.3,1
Ukraine,2000-2011,5.6,1
Ukraine,1990-2011,3.1,1
Ukraine,1990-2000,0.4,1
Ukraine,1970-1990,2.8,1
United Arab Emirates,2000-2011,5.7,1
United Arab Emirates,1990-2011,5.8,1
United Arab Emirates,1990-2000,5.9,1
United Arab Emirates,1970-1990,7.1,1
United Kingdom,2000-2011,2.3,1
United Kingdom,1990-2011,2.8,1
United Kingdom,1990-2000,3.3,1
United Kingdom,1970-1990,4.1,1
United Republic of Tanzania,2000-2011,5.7,1
United Republic of Tanzania,1990-2011,4,1
United Republic of Tanzania,1990-2000,2.2,1
United Republic of Tanzania,1970-1990,1.4,1
United States,2000-2011,1.1,1
United States,1990-2011,2,1
United States,1990-2000,2.8,1
United States,1970-1990,3.6,1
Uruguay,2000-2011,4.6,1
Uruguay,1990-2011,3.8,1
Uruguay,1990-2000,3,1
Uruguay,1970-1990,4.3,1
Uzbekistan,2000-2011,2.1,1
Uzbekistan,1990-2011,2.1,1
Uzbekistan,1990-2000,2.1,1
Vanuatu,2000-2011,5,1
Vanuatu,1990-2011,5.1,1
Vanuatu,1990-2000,5.2,1
Vanuatu,1970-1990,4.9,1
Venezuela (Bolivarian Republic of),2000-2011,3.6,1
Venezuela (Bolivarian Republic of),1990-2011,3.4,1
Venezuela (Bolivarian Republic of),1990-2000,3.3,1
Venezuela (Bolivarian Republic of),1970-1990,3.4,1
Viet Nam,2000-2011,4.1,1
Viet Nam,1990-2011,4,1
Viet Nam,1990-2000,3.9,1
Western and Central Africa,2000-2011,2.6,2
Western and Central Africa,1990-2011,1.9,2
Western and Central Africa,1990-2000,1.2,2
Western and Central Africa,1970-1990,1.4,2
World,2000-2011,3.2,2
World,1990-2011,2.5,2
World,1990-2000,1.8,2
World,1970-1990,2.4,2
Yemen,2000-2011,2.4,1
Yemen,1990-2011,2.4,1
Yemen,1990-2000,2.4,1
Yemen,1970-1990,4.2,1
