Country or Area,Subgroup,Year,Source,Unit,Timely complementary feeding rate,Timely complementary feeding rate Footnotes
Côte d'Ivoire,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,51.0,1.0
Cuba,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,77.0,2.0
Democratic People's Republic of Korea,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,31.0,1.0
Democratic Republic of the Congo,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,52.0,2.0
Djibouti,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,35.0,1.0
Dominican Republic,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,88.0,2.0
East Asia and Pacific,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,57.0,5.0
Eastern and Southern Africa,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,84.0,5.0
Ecuador,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,77.0,1.0
Egypt,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,70.0,2.0
El Salvador,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,72.0,4.0
Eritrea,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,43.0,1.0
Ethiopia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,55.0,1.0
Gabon,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,62.0,1.0
Gambia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,34.0,2.0
Georgia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,43.0,4.0
Ghana,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,76.0,2.0
Guatemala,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,71.0,4.0
Guinea,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,32.0,4.0
Guinea-Bissau,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,43.0,2.0
Guyana,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,81.0,2.0
Haiti,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,90.0,1.0
Honduras,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,84.0,1.0
India,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,56.0,1.0
Indonesia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,85.0,2.0
Iran (Islamic Republic of),Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,68.0,1.0
Iraq,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,62.0,1.0
Jamaica,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,36.0,1.0
Jordan,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,84.0,4.0
Kazakhstan,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,50.0,1.0
Kenya,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,85.0,2.0
Kyrgyzstan,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,60.0,1.0
Lao People's Democratic Republic,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,41.0,1.0
Least Developed Countries/Territories,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,68.0,5.0
Lebanon,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,35.0,1.0
Lesotho,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,68.0,2.0
Liberia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,51.0,4.0
Madagascar,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,86.0,2.0
Malawi,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,86.0,2.0
Maldives,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,91.0,2.0
Mali,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,25.0,1.0
Marshall Islands,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,77.0,4.0
Mauritania,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,61.0,4.0
Mexico,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,27.0,2.0
Mongolia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,78.0,2.0
Montenegro,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,35.0,1.0
Morocco,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,66.0,1.0
Mozambique,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,86.0,2.0
Myanmar,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,81.0,4.0
Namibia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,91.0,1.0
Nauru,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,65.0,4.0
Nepal,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,66.0,2.0
Nicaragua,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,76.0,4.0
Niger,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,65.0,4.0
Nigeria,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,76.0,2.0
Oman,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,91.0,1.0
Pakistan,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,36.0,4.0
Papua New Guinea,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,76.0,3.0
Paraguay,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,67.0,4.0
Peru,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,82.0,2.0
Philippines,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,90.0,2.0
Republic of Moldova,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,18.0,1.0
Romania,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,41.0,1.0
Rwanda,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,79.0,2.0
Samoa,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,71.0,4.0
Sao Tome and Principe,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,74.0,2.0
Senegal,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,61.0,1.0
Serbia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,84.0,2.0
Sierra Leone,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,25.0,2.0
Solomon Islands,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,81.0,4.0
Somalia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,16.0,1.0
South Africa,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,49.0,1.0
South Asia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,55.0,5.0
South Sudan,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,21.0,6.0
Sri Lanka,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,87.0,4.0
Sub-Saharan Africa,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,71.0,5.0
Sudan,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,51.0,6.0
Suriname,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,58.0,1.0
Swaziland,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,66.0,2.0
Tajikistan,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,15.0,1.0
The former Yugoslav Republic of Macedonia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,41.0,2.0
Timor-Leste,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,82.0,2.0
Togo,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,44.0,2.0
Trinidad and Tobago,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,83.0,1.0
Tunisia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,61.0,3.0
Turkey,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,68.0,4.0
Turkmenistan,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,54.0,1.0
Tuvalu,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,40.0,4.0
Uganda,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,75.0,1.0
Ukraine,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,86.0,2.0
United Republic of Tanzania,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,92.0,2.0
Uruguay,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,35.0,4.0
Uzbekistan,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,47.0,1.0
Vanuatu,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,68.0,2.0
Viet Nam,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,50.0,2.0
Western and Central Africa,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,65.0,5.0
World,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,60.0,5.0
Yemen,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,76.0,1.0
Zambia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,94.0,2.0
Zimbabwe,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,86.0,2.0
