Country or Area,Subgroup,Year,Source,Unit,Average annual rate of reduction of under-five mortality rate,Average annual rate of reduction of under-five mortality rate Footnotes
Angola,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.1,1.0
Angola,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.1,1.0
Angola,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.0,1.0
Antigua and Barbuda,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.1,1.0
Antigua and Barbuda,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.0,1.0
Antigua and Barbuda,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.9,1.0
Argentina,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.3,1.0
Argentina,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.2,1.0
Argentina,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.1,1.0
Argentina,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.7,1.0
Armenia,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.8,1.0
Armenia,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.7,1.0
Armenia,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.6,1.0
Australia,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.9,1.0
Australia,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.4,1.0
Australia,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.8,1.0
Australia,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.2,1.0
Austria,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.6,1.0
Austria,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.8,1.0
Austria,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.2,1.0
Austria,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.6,1.0
Azerbaijan,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.9,1.0
Azerbaijan,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.6,1.0
Azerbaijan,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.2,1.0
Bahamas,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.4,1.0
Bahamas,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.4,1.0
Bahamas,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.6,1.0
Bahamas,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.8,1.0
Bahrain,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.0,1.0
Bahrain,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.4,1.0
Bahrain,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.0,1.0
Bahrain,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.9,1.0
Bangladesh,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.5,1.0
Bangladesh,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.3,1.0
Bangladesh,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.0,1.0
Bangladesh,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.4,1.0
Barbados,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,-1.2,1.0
Barbados,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,-0.5,1.0
Barbados,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.4,1.0
Barbados,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.8,1.0
Belarus,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,8.1,1.0
Belarus,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.3,1.0
Belarus,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.3,1.0
Belgium,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.7,1.0
Belgium,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.0,1.0
Belgium,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.4,1.0
Belgium,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.3,1.0
Belize,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.0,1.0
Belize,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.5,1.0
Belize,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.1,1.0
Benin,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.5,1.0
Benin,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.4,1.0
Benin,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.4,1.0
Benin,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.9,1.0
Bhutan,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.6,1.0
Bhutan,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.5,1.0
Bhutan,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.4,1.0
Bhutan,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.6,1.0
Bolivia (Plurinational State of),Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.3,1.0
Bolivia (Plurinational State of),Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.1,1.0
Bolivia (Plurinational State of),Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.9,1.0
Bolivia (Plurinational State of),Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.2,1.0
Bosnia and Herzegovina,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.0,1.0
Bosnia and Herzegovina,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.3,1.0
Bosnia and Herzegovina,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.7,1.0
Botswana,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,10.4,1.0
Botswana,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.4,1.0
Botswana,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,-4.3,1.0
Botswana,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.5,1.0
Brazil,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,7.5,1.0
Brazil,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.3,1.0
Brazil,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.9,1.0
Brazil,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.0,1.0
Brunei Darussalam,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.6,1.0
Brunei Darussalam,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.6,1.0
Brunei Darussalam,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.5,1.0
Bulgaria,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.9,1.0
Bulgaria,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.9,1.0
Bulgaria,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.7,1.0
Bulgaria,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.9,1.0
Burkina Faso,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.0,1.0
Burkina Faso,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.7,1.0
Burkina Faso,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.4,1.0
Burkina Faso,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.7,1.0
Burundi,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.5,1.0
Burundi,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.3,1.0
Burundi,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.0,1.0
Burundi,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.1,1.0
Cambodia,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,7.9,1.0
Cambodia,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.8,1.0
Cambodia,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.4,1.0
Cameroon,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.8,1.0
Cameroon,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.6,1.0
Cameroon,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.4,1.0
Cameroon,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.8,1.0
Canada,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.9,1.0
Canada,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.9,1.0
Canada,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.9,1.0
Canada,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.9,1.0
Cape Verde,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.5,1.0
Cape Verde,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.8,1.0
Cape Verde,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.0,1.0
Cape Verde,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.1,1.0
CEE/CIS,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.6,2.0
CEE/CIS,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.9,2.0
CEE/CIS,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.2,2.0
CEE/CIS,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.1,2.0
Central African Republic,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.5,1.0
Central African Republic,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.2,1.0
Central African Republic,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,-0.2,1.0
Central African Republic,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.5,1.0
Chad,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.0,1.0
Chad,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.0,1.0
Chad,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.0,1.0
Chad,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.1,1.0
Chile,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.0,1.0
Chile,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.6,1.0
Chile,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.5,1.0
Chile,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,7.4,1.0
China,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,7.9,1.0
China,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.8,1.0
China,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.3,1.0
China,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.3,1.0
Colombia,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.1,1.0
Colombia,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.2,1.0
Colombia,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.2,1.0
Colombia,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.6,1.0
Comoros,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.1,1.0
Comoros,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.0,1.0
Comoros,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.0,1.0
Comoros,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.9,1.0
Congo,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.9,1.0
Congo,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.9,1.0
Congo,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.9,1.0
Congo,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.2,1.0
Cook Islands,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.3,1.0
Cook Islands,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.3,1.0
Cook Islands,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.1,1.0
Cook Islands,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.8,1.0
Costa Rica,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.2,1.0
Costa Rica,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.5,1.0
Costa Rica,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.9,1.0
Costa Rica,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,7.1,1.0
Côte d'Ivoire,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.7,1.0
Côte d'Ivoire,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.3,1.0
Côte d'Ivoire,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.9,1.0
Côte d'Ivoire,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.2,1.0
Croatia,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.5,1.0
Croatia,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.4,1.0
Croatia,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.3,1.0
Cuba,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.5,1.0
Cuba,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.0,1.0
Cuba,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.5,1.0
Cuba,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.6,1.0
Cyprus,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.7,1.0
Cyprus,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.0,1.0
Cyprus,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.3,1.0
Czech Republic,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.9,1.0
Czech Republic,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.2,1.0
