Country or Area,Subgroup,Year,Source,Unit,Net enrolment ratio in secondary education,Net enrolment ratio in secondary education Footnotes
Malta,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,80.0,1.0
Mexico,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,70.0,1.0
Mexico,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,73.0,1.0
Middle East and North Africa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,2.0
Middle East and North Africa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,63.0,2.0
Mozambique,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,17.0,1.0
Mozambique,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,15.0,1.0
Myanmar,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,49.0,1.0
Myanmar,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,52.0,1.0
Netherlands,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Netherlands,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
New Zealand,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
New Zealand,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Nicaragua,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,43.0,1.0
Nicaragua,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,49.0,1.0
Niger,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,13.0,1.0
Niger,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,8.0,1.0
Norway,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Norway,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Oman,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Oman,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Pakistan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,38.0,1.0
Pakistan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,29.0,1.0
Panama,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,66.0,1.0
Panama,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,72.0,1.0
Paraguay,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,58.0,1.0
Paraguay,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,62.0,1.0
Peru,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,77.0,1.0
Peru,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Philippines,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,1.0
Philippines,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,67.0,1.0
Poland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Poland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Qatar,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,1.0
Qatar,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Republic of Korea,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Republic of Korea,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Republic of Moldova,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Republic of Moldova,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Romania,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Romania,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,83.0,1.0
Saint Kitts and Nevis,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Saint Kitts and Nevis,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Saint Lucia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Saint Lucia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Saint Vincent and the Grenadines,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Saint Vincent and the Grenadines,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Samoa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,73.0,1.0
Samoa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,83.0,1.0
Sao Tome and Principe,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,44.0,1.0
Sao Tome and Principe,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,52.0,1.0
Saudi Arabia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Saudi Arabia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,83.0,1.0
Serbia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Serbia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Slovenia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Slovenia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
South Asia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,54.0,2.0
South Asia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,46.0,2.0
Spain,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Spain,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
State of Palestine,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,81.0,1.0
State of Palestine,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Suriname,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,46.0,1.0
Suriname,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,55.0,1.0
Swaziland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,29.0,1.0
Swaziland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,37.0,1.0
Sweden,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Sweden,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Switzerland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Switzerland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Syrian Arab Republic,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,67.0,1.0
Syrian Arab Republic,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,67.0,1.0
Tajikistan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Tajikistan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,80.0,1.0
Thailand,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,1.0
Thailand,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,1.0
Timor-Leste,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,34.0,1.0
Timor-Leste,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,39.0,1.0
Turkey,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,77.0,1.0
Turkey,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Ukraine,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Ukraine,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
United Kingdom,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
United Kingdom,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
United States,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
United States,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Uruguay,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,66.0,1.0
Uruguay,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,73.0,1.0
Uzbekistan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Uzbekistan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Vanuatu,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,46.0,1.0
Vanuatu,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,49.0,1.0
Venezuela (Bolivarian Republic of),Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,1.0
Venezuela (Bolivarian Republic of),Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,1.0
World,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,64.0,2.0
World,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,61.0,2.0
Yemen,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,49.0,1.0
Yemen,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,31.0,1.0
fnSeqID,Footnote,,,,,
1,Data refer to the most recent year available during the period specified in the column heading. Estimates based on administrative data from national Education Management Information Systems (EMIS) with UN population estimates.,,,,,
2,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX. Estimates based on administrative data from national Education Management Information Systems (EMIS) with UN population estimates.",,,,,
