Country or Area,Subgroup,Year,Source,Unit,Gross enrolment ratio in pre-primary education,Gross enrolment ratio in pre-primary education Footnotes
Eastern and Southern Africa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,21.0,2.0
Ecuador,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,115.0,1.0
Ecuador,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,109.0,1.0
Egypt,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,23.0,1.0
Egypt,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,24.0,1.0
El Salvador,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,65.0,1.0
El Salvador,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,63.0,1.0
Equatorial Guinea,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,63.0,1.0
Equatorial Guinea,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,47.0,1.0
Eritrea,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,13.0,1.0
Eritrea,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,14.0,1.0
Estonia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Estonia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Ethiopia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,5.0,1.0
Ethiopia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,5.0,1.0
Fiji,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,19.0,1.0
Fiji,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,17.0,1.0
Finland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,1.0
Finland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,1.0
France,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,108.0,1.0
France,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,109.0,1.0
Gabon,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,43.0,1.0
Gabon,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,41.0,1.0
Gambia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,31.0,1.0
Gambia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,30.0,1.0
Georgia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,64.0,1.0
Georgia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,52.0,1.0
Germany,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,113.0,1.0
Germany,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,114.0,1.0
Ghana,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,70.0,1.0
Ghana,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,1.0
Grenada,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Grenada,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Guatemala,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,72.0,1.0
Guatemala,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,70.0,1.0
Guinea,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,14.0,1.0
Guinea,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,14.0,1.0
Guinea-Bissau,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,7.0,1.0
Guinea-Bissau,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,7.0,1.0
Guyana,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Guyana,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,74.0,1.0
Honduras,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,44.0,1.0
Honduras,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,43.0,1.0
Hungary,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Hungary,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Iceland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Iceland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
India,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,1.0
India,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,54.0,1.0
Indonesia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,44.0,1.0
Indonesia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,43.0,1.0
Iran (Islamic Republic of),Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,44.0,1.0
Iran (Islamic Republic of),Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,41.0,1.0
Ireland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Ireland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Israel,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,109.0,1.0
Israel,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Italy,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Italy,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Jamaica,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,113.0,1.0
Jamaica,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,113.0,1.0
Jordan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,31.0,1.0
Jordan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,33.0,1.0
Kazakhstan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,47.0,1.0
Kazakhstan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,48.0,1.0
Kenya,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,52.0,1.0
Kenya,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,52.0,1.0
Kuwait,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,83.0,1.0
Kuwait,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,81.0,1.0
Kyrgyzstan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,19.0,1.0
Kyrgyzstan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,19.0,1.0
Lao People's Democratic Republic,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,22.0,1.0
Lao People's Democratic Republic,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,22.0,1.0
Latin America and Caribbean,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,70.0,2.0
Latin America and Caribbean,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,70.0,2.0
Latvia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Latvia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Least Developed Countries/Territories,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,13.0,2.0
Least Developed Countries/Territories,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,13.0,2.0
Lebanon,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,81.0,1.0
Lebanon,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Liechtenstein,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,1.0
Liechtenstein,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Lithuania,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,73.0,1.0
Lithuania,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,75.0,1.0
Luxembourg,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Luxembourg,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Madagascar,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,9.0,1.0
Madagascar,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,9.0,1.0
Malaysia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,69.0,1.0
Malaysia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,64.0,1.0
Maldives,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,115.0,1.0
Maldives,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,113.0,1.0
Mali,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,3.0,1.0
Mali,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,3.0,1.0
Malta,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,115.0,1.0
Malta,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,119.0,1.0
Marshall Islands,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,47.0,1.0
Marshall Islands,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,45.0,1.0
Mauritius,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Mauritius,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Mexico,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Mexico,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Middle East and North Africa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,23.0,2.0
Middle East and North Africa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,25.0,2.0
Mongolia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Mongolia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,1.0
Montenegro,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,30.0,1.0
Montenegro,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,32.0,1.0
Morocco,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,50.0,1.0
Morocco,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,65.0,1.0
Myanmar,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,10.0,1.0
Myanmar,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,10.0,1.0
Nauru,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Nauru,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Netherlands,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Netherlands,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
New Zealand,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
New Zealand,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Nicaragua,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,1.0
Nicaragua,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,55.0,1.0
Niger,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,4.0,1.0
Niger,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,4.0,1.0
Nigeria,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,14.0,1.0
Nigeria,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,14.0,1.0
Norway,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Norway,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Oman,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,45.0,1.0
Oman,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,45.0,1.0
Panama,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,67.0,1.0
Panama,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,67.0,1.0
Papua New Guinea,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Papua New Guinea,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Paraguay,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,35.0,1.0
Paraguay,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,35.0,1.0
Peru,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Peru,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Philippines,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,52.0,1.0
Philippines,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,51.0,1.0
Poland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,66.0,1.0
Poland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,65.0,1.0
Portugal,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Portugal,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Qatar,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,54.0,1.0
Qatar,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,57.0,1.0
Republic of Korea,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,119.0,1.0
Republic of Korea,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,118.0,1.0
Republic of Moldova,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,75.0,1.0
Republic of Moldova,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,1.0
Romania,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Romania,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Russian Federation,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Russian Federation,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Rwanda,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,11.0,1.0
Rwanda,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,10.0,1.0
Saint Kitts and Nevis,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Saint Kitts and Nevis,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Saint Lucia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,59.0,1.0
Saint Lucia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,62.0,1.0
Saint Vincent and the Grenadines,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,80.0,1.0
Saint Vincent and the Grenadines,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Samoa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,41.0,1.0
Samoa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,35.0,1.0
San Marino,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
San Marino,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Sao Tome and Principe,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,48.0,1.0
Sao Tome and Principe,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,44.0,1.0
Senegal,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,14.0,1.0
Senegal,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,12.0,1.0
Serbia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,53.0,1.0
Serbia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,53.0,1.0
Seychelles,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Seychelles,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Sierra Leone,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,7.0,1.0
Sierra Leone,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,7.0,1.0
Slovakia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Slovakia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Slovenia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Slovenia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Solomon Islands,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,50.0,1.0
Solomon Islands,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,49.0,1.0
South Africa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,65.0,1.0
South Africa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,65.0,1.0
South Asia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,49.0,2.0
South Asia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,48.0,2.0
Spain,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,127.0,1.0
Spain,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,126.0,1.0
State of Palestine,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,39.0,1.0
