Country or Area,Subgroup,Year,Source,Unit,Birth registration,Birth registration Footnotes
Central African Republic,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,52.0,1.0
Central African Republic,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,78.0,1.0
Central African Republic,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,61.0,1.0
Central African Republic,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.5,1.0
Central African Republic,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,46.0,1.0
Central African Republic,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.8,1.0
Central African Republic,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,85.0,1.0
Chad,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,9.0,1.0
Chad,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,42.0,1.0
Chad,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,16.0,1.0
Chad,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,4.9,1.0
Chad,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,5.0,1.0
Chad,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,9.2,1.0
Chad,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,46.0,1.0
Chile,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,100.0,8.0
Colombia,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,95.0,1.0
Colombia,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,97.0,1.0
Colombia,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,97.0,1.0
Colombia,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,1.0
Comoros,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,83.0,2.0
Comoros,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,87.0,2.0
Comoros,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,83.0,3.0
Comoros,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.1,2.0
Comoros,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,72.0,4.0
Comoros,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.3,5.0
Comoros,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,93.0,6.0
Congo,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,75.0,8.0
Congo,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,88.0,8.0
Congo,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,81.0,8.0
Congo,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.2,8.0
Congo,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,69.0,9.0
Congo,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.3,10.0
Congo,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,91.0,9.0
Côte d'Ivoire,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,41.0,1.0
Côte d'Ivoire,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,79.0,1.0
Côte d'Ivoire,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,55.0,1.0
Côte d'Ivoire,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,2.0,1.0
Côte d'Ivoire,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,28.0,1.0
Côte d'Ivoire,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,3.2,1.0
