Country or Area,Subgroup,Year,Source,Unit,Life expectancy at birth,Life expectancy at birth Footnotes
Belgium,Total,1970.0,UN_United Nations Population Division,Years,71.0,
Belize,Total,2011.0,UN_United Nations Population Division,Years,76.0,
Belize,Total,1990.0,UN_United Nations Population Division,Years,72.0,
Belize,Total,1970.0,UN_United Nations Population Division,Years,66.0,
Benin,Total,2011.0,UN_United Nations Population Division,Years,56.0,
Benin,Total,1990.0,UN_United Nations Population Division,Years,49.0,
Benin,Total,1970.0,UN_United Nations Population Division,Years,40.0,
Bhutan,Total,2011.0,UN_United Nations Population Division,Years,67.0,
Bhutan,Total,1990.0,UN_United Nations Population Division,Years,53.0,
Bhutan,Total,1970.0,UN_United Nations Population Division,Years,41.0,
Bolivia (Plurinational State of),Total,2011.0,UN_United Nations Population Division,Years,67.0,
Bolivia (Plurinational State of),Total,1990.0,UN_United Nations Population Division,Years,59.0,
Bolivia (Plurinational State of),Total,1970.0,UN_United Nations Population Division,Years,46.0,
Bosnia and Herzegovina,Total,2011.0,UN_United Nations Population Division,Years,76.0,
Bosnia and Herzegovina,Total,1990.0,UN_United Nations Population Division,Years,67.0,
Bosnia and Herzegovina,Total,1970.0,UN_United Nations Population Division,Years,66.0,
Botswana,Total,2011.0,UN_United Nations Population Division,Years,53.0,
Botswana,Total,1990.0,UN_United Nations Population Division,Years,64.0,
Botswana,Total,1970.0,UN_United Nations Population Division,Years,55.0,
Brazil,Total,2011.0,UN_United Nations Population Division,Years,73.0,
Brazil,Total,1990.0,UN_United Nations Population Division,Years,66.0,
Brazil,Total,1970.0,UN_United Nations Population Division,Years,59.0,
Brunei Darussalam,Total,2011.0,UN_United Nations Population Division,Years,78.0,
Brunei Darussalam,Total,1990.0,UN_United Nations Population Division,Years,73.0,
Brunei Darussalam,Total,1970.0,UN_United Nations Population Division,Years,67.0,
Bulgaria,Total,2011.0,UN_United Nations Population Division,Years,73.0,
Bulgaria,Total,1990.0,UN_United Nations Population Division,Years,71.0,
Bulgaria,Total,1970.0,UN_United Nations Population Division,Years,71.0,
Burkina Faso,Total,2011.0,UN_United Nations Population Division,Years,55.0,
Burkina Faso,Total,1990.0,UN_United Nations Population Division,Years,49.0,
Burkina Faso,Total,1970.0,UN_United Nations Population Division,Years,41.0,
Burundi,Total,2011.0,UN_United Nations Population Division,Years,50.0,
Burundi,Total,1990.0,UN_United Nations Population Division,Years,46.0,
Burundi,Total,1970.0,UN_United Nations Population Division,Years,44.0,
Cambodia,Total,2011.0,UN_United Nations Population Division,Years,63.0,
Cambodia,Total,1990.0,UN_United Nations Population Division,Years,56.0,
Cambodia,Total,1970.0,UN_United Nations Population Division,Years,44.0,
Cameroon,Total,2011.0,UN_United Nations Population Division,Years,52.0,
Cameroon,Total,1990.0,UN_United Nations Population Division,Years,53.0,
Cameroon,Total,1970.0,UN_United Nations Population Division,Years,46.0,
Canada,Total,2011.0,UN_United Nations Population Division,Years,81.0,
Canada,Total,1990.0,UN_United Nations Population Division,Years,77.0,
Canada,Total,1970.0,UN_United Nations Population Division,Years,73.0,
Cape Verde,Total,2011.0,UN_United Nations Population Division,Years,74.0,
Cape Verde,Total,1990.0,UN_United Nations Population Division,Years,65.0,
Cape Verde,Total,1970.0,UN_United Nations Population Division,Years,53.0,
CEE/CIS,Total,2011.0,UN_United Nations Population Division,Years,70.0,1.0
CEE/CIS,Total,1990.0,UN_United Nations Population Division,Years,68.0,1.0
CEE/CIS,Total,1970.0,UN_United Nations Population Division,Years,66.0,1.0
Central African Republic,Total,2011.0,UN_United Nations Population Division,Years,48.0,
Central African Republic,Total,1990.0,UN_United Nations Population Division,Years,49.0,
Central African Republic,Total,1970.0,UN_United Nations Population Division,Years,42.0,
Chad,Total,2011.0,UN_United Nations Population Division,Years,50.0,
Chad,Total,1990.0,UN_United Nations Population Division,Years,51.0,
Chad,Total,1970.0,UN_United Nations Population Division,Years,44.0,
Chile,Total,2011.0,UN_United Nations Population Division,Years,79.0,
Chile,Total,1990.0,UN_United Nations Population Division,Years,74.0,
Chile,Total,1970.0,UN_United Nations Population Division,Years,62.0,
China,Total,2011.0,UN_United Nations Population Division,Years,73.0,
China,Total,1990.0,UN_United Nations Population Division,Years,69.0,
China,Total,1970.0,UN_United Nations Population Division,Years,63.0,
Colombia,Total,2011.0,UN_United Nations Population Division,Years,74.0,
Colombia,Total,1990.0,UN_United Nations Population Division,Years,68.0,
Colombia,Total,1970.0,UN_United Nations Population Division,Years,61.0,
Comoros,Total,2011.0,UN_United Nations Population Division,Years,61.0,
Comoros,Total,1990.0,UN_United Nations Population Division,Years,56.0,
Comoros,Total,1970.0,UN_United Nations Population Division,Years,48.0,
Congo,Total,2011.0,UN_United Nations Population Division,Years,57.0,
Congo,Total,1990.0,UN_United Nations Population Division,Years,56.0,
Congo,Total,1970.0,UN_United Nations Population Division,Years,53.0,
Costa Rica,Total,2011.0,UN_United Nations Population Division,Years,79.0,
Costa Rica,Total,1990.0,UN_United Nations Population Division,Years,76.0,
Costa Rica,Total,1970.0,UN_United Nations Population Division,Years,67.0,
Côte d'Ivoire,Total,2011.0,UN_United Nations Population Division,Years,55.0,
Côte d'Ivoire,Total,1990.0,UN_United Nations Population Division,Years,53.0,
Côte d'Ivoire,Total,1970.0,UN_United Nations Population Division,Years,44.0,
Croatia,Total,2011.0,UN_United Nations Population Division,Years,77.0,
Croatia,Total,1990.0,UN_United Nations Population Division,Years,72.0,
Croatia,Total,1970.0,UN_United Nations Population Division,Years,69.0,
Cuba,Total,2011.0,UN_United Nations Population Division,Years,79.0,
Cuba,Total,1990.0,UN_United Nations Population Division,Years,74.0,
Cuba,Total,1970.0,UN_United Nations Population Division,Years,70.0,
Cyprus,Total,2011.0,UN_United Nations Population Division,Years,80.0,
Cyprus,Total,1990.0,UN_United Nations Population Division,Years,77.0,
Cyprus,Total,1970.0,UN_United Nations Population Division,Years,73.0,
Czech Republic,Total,2011.0,UN_United Nations Population Division,Years,78.0,
Czech Republic,Total,1990.0,UN_United Nations Population Division,Years,72.0,
Czech Republic,Total,1970.0,UN_United Nations Population Division,Years,70.0,
Democratic People's Republic of Korea,Total,2011.0,UN_United Nations Population Division,Years,69.0,
Democratic People's Republic of Korea,Total,1990.0,UN_United Nations Population Division,Years,71.0,
Democratic People's Republic of Korea,Total,1970.0,UN_United Nations Population Division,Years,62.0,
Democratic Republic of the Congo,Total,2011.0,UN_United Nations Population Division,Years,48.0,
Democratic Republic of the Congo,Total,1990.0,UN_United Nations Population Division,Years,47.0,
Democratic Republic of the Congo,Total,1970.0,UN_United Nations Population Division,Years,44.0,
Denmark,Total,2011.0,UN_United Nations Population Division,Years,79.0,
Denmark,Total,1990.0,UN_United Nations Population Division,Years,75.0,
Denmark,Total,1970.0,UN_United Nations Population Division,Years,73.0,
Djibouti,Total,2011.0,UN_United Nations Population Division,Years,58.0,
Djibouti,Total,1990.0,UN_United Nations Population Division,Years,51.0,
Djibouti,Total,1970.0,UN_United Nations Population Division,Years,43.0,
Dominican Republic,Total,2011.0,UN_United Nations Population Division,Years,73.0,
Dominican Republic,Total,1990.0,UN_United Nations Population Division,Years,68.0,
Dominican Republic,Total,1970.0,UN_United Nations Population Division,Years,58.0,
East Asia and Pacific,Total,2011.0,UN_United Nations Population Division,Years,73.0,1.0
East Asia and Pacific,Total,1990.0,UN_United Nations Population Division,Years,68.0,1.0
East Asia and Pacific,Total,1970.0,UN_United Nations Population Division,Years,61.0,1.0
Eastern and Southern Africa,Total,2011.0,UN_United Nations Population Division,Years,56.0,1.0
Eastern and Southern Africa,Total,1990.0,UN_United Nations Population Division,Years,51.0,1.0
Eastern and Southern Africa,Total,1970.0,UN_United Nations Population Division,Years,47.0,1.0
Ecuador,Total,2011.0,UN_United Nations Population Division,Years,76.0,
Ecuador,Total,1990.0,UN_United Nations Population Division,Years,69.0,
Ecuador,Total,1970.0,UN_United Nations Population Division,Years,58.0,
Egypt,Total,2011.0,UN_United Nations Population Division,Years,73.0,
Egypt,Total,1990.0,UN_United Nations Population Division,Years,62.0,
Egypt,Total,1970.0,UN_United Nations Population Division,Years,50.0,
El Salvador,Total,2011.0,UN_United Nations Population Division,Years,72.0,
El Salvador,Total,1990.0,UN_United Nations Population Division,Years,66.0,
El Salvador,Total,1970.0,UN_United Nations Population Division,Years,57.0,
Equatorial Guinea,Total,2011.0,UN_United Nations Population Division,Years,51.0,
Equatorial Guinea,Total,1990.0,UN_United Nations Population Division,Years,47.0,
Equatorial Guinea,Total,1970.0,UN_United Nations Population Division,Years,40.0,
Eritrea,Total,2011.0,UN_United Nations Population Division,Years,62.0,
Eritrea,Total,1990.0,UN_United Nations Population Division,Years,48.0,
Eritrea,Total,1970.0,UN_United Nations Population Division,Years,43.0,
Estonia,Total,2011.0,UN_United Nations Population Division,Years,75.0,
Estonia,Total,1990.0,UN_United Nations Population Division,Years,69.0,
Estonia,Total,1970.0,UN_United Nations Population Division,Years,71.0,
Ethiopia,Total,2011.0,UN_United Nations Population Division,Years,59.0,
Ethiopia,Total,1990.0,UN_United Nations Population Division,Years,47.0,
Ethiopia,Total,1970.0,UN_United Nations Population Division,Years,43.0,
Fiji,Total,2011.0,UN_United Nations Population Division,Years,69.0,
Fiji,Total,1990.0,UN_United Nations Population Division,Years,66.0,
Fiji,Total,1970.0,UN_United Nations Population Division,Years,60.0,
Finland,Total,2011.0,UN_United Nations Population Division,Years,80.0,
Finland,Total,1990.0,UN_United Nations Population Division,Years,75.0,
Finland,Total,1970.0,UN_United Nations Population Division,Years,70.0,
France,Total,2011.0,UN_United Nations Population Division,Years,82.0,
France,Total,1990.0,UN_United Nations Population Division,Years,77.0,
France,Total,1970.0,UN_United Nations Population Division,Years,72.0,
Gabon,Total,2011.0,UN_United Nations Population Division,Years,63.0,
Gabon,Total,1990.0,UN_United Nations Population Division,Years,61.0,
Gabon,Total,1970.0,UN_United Nations Population Division,Years,47.0,
Gambia,Total,2011.0,UN_United Nations Population Division,Years,58.0,
Gambia,Total,1990.0,UN_United Nations Population Division,Years,53.0,
Gambia,Total,1970.0,UN_United Nations Population Division,Years,38.0,
Georgia,Total,2011.0,UN_United Nations Population Division,Years,74.0,
Georgia,Total,1990.0,UN_United Nations Population Division,Years,71.0,
Georgia,Total,1970.0,UN_United Nations Population Division,Years,67.0,
Germany,Total,2011.0,UN_United Nations Population Division,Years,80.0,
Germany,Total,1990.0,UN_United Nations Population Division,Years,75.0,
Germany,Total,1970.0,UN_United Nations Population Division,Years,71.0,
Ghana,Total,2011.0,UN_United Nations Population Division,Years,64.0,
Ghana,Total,1990.0,UN_United Nations Population Division,Years,57.0,
Ghana,Total,1970.0,UN_United Nations Population Division,Years,49.0,
Greece,Total,2011.0,UN_United Nations Population Division,Years,80.0,
Greece,Total,1990.0,UN_United Nations Population Division,Years,77.0,
Greece,Total,1970.0,UN_United Nations Population Division,Years,72.0,
Grenada,Total,2011.0,UN_United Nations Population Division,Years,76.0,
Grenada,Total,1990.0,UN_United Nations Population Division,Years,69.0,
Grenada,Total,1970.0,UN_United Nations Population Division,Years,64.0,
Guatemala,Total,2011.0,UN_United Nations Population Division,Years,71.0,
Guatemala,Total,1990.0,UN_United Nations Population Division,Years,62.0,
Guatemala,Total,1970.0,UN_United Nations Population Division,Years,52.0,
Guinea,Total,2011.0,UN_United Nations Population Division,Years,54.0,
Guinea,Total,1990.0,UN_United Nations Population Division,Years,44.0,
Guinea,Total,1970.0,UN_United Nations Population Division,Years,34.0,
Guinea-Bissau,Total,2011.0,UN_United Nations Population Division,Years,48.0,
Guinea-Bissau,Total,1990.0,UN_United Nations Population Division,Years,43.0,
Guinea-Bissau,Total,1970.0,UN_United Nations Population Division,Years,37.0,
Guyana,Total,2011.0,UN_United Nations Population Division,Years,70.0,
Guyana,Total,1990.0,UN_United Nations Population Division,Years,61.0,
Guyana,Total,1970.0,UN_United Nations Population Division,Years,56.0,
Haiti,Total,2011.0,UN_United Nations Population Division,Years,62.0,
Haiti,Total,1990.0,UN_United Nations Population Division,Years,55.0,
Haiti,Total,1970.0,UN_United Nations Population Division,Years,47.0,
Honduras,Total,2011.0,UN_United Nations Population Division,Years,73.0,
Honduras,Total,1990.0,UN_United Nations Population Division,Years,66.0,
Honduras,Total,1970.0,UN_United Nations Population Division,Years,52.0,
Hungary,Total,2011.0,UN_United Nations Population Division,Years,74.0,
Hungary,Total,1990.0,UN_United Nations Population Division,Years,69.0,
Hungary,Total,1970.0,UN_United Nations Population Division,Years,69.0,
Iceland,Total,2011.0,UN_United Nations Population Division,Years,82.0,
Iceland,Total,1990.0,UN_United Nations Population Division,Years,78.0,
Iceland,Total,1970.0,UN_United Nations Population Division,Years,74.0,
India,Total,2011.0,UN_United Nations Population Division,Years,65.0,
India,Total,1990.0,UN_United Nations Population Division,Years,58.0,
India,Total,1970.0,UN_United Nations Population Division,Years,49.0,
Indonesia,Total,2011.0,UN_United Nations Population Division,Years,69.0,
Indonesia,Total,1990.0,UN_United Nations Population Division,Years,62.0,
Indonesia,Total,1970.0,UN_United Nations Population Division,Years,52.0,
Iran (Islamic Republic of),Total,2011.0,UN_United Nations Population Division,Years,73.0,
Iran (Islamic Republic of),Total,1990.0,UN_United Nations Population Division,Years,62.0,
Iran (Islamic Republic of),Total,1970.0,UN_United Nations Population Division,Years,51.0,
Iraq,Total,2011.0,UN_United Nations Population Division,Years,69.0,
Iraq,Total,1990.0,UN_United Nations Population Division,Years,67.0,
Iraq,Total,1970.0,UN_United Nations Population Division,Years,58.0,
Ireland,Total,2011.0,UN_United Nations Population Division,Years,81.0,
Ireland,Total,1990.0,UN_United Nations Population Division,Years,75.0,
Ireland,Total,1970.0,UN_United Nations Population Division,Years,71.0,
Israel,Total,2011.0,UN_United Nations Population Division,Years,82.0,
Israel,Total,1990.0,UN_United Nations Population Division,Years,76.0,
Israel,Total,1970.0,UN_United Nations Population Division,Years,72.0,
Italy,Total,2011.0,UN_United Nations Population Division,Years,82.0,
Italy,Total,1990.0,UN_United Nations Population Division,Years,77.0,
Italy,Total,1970.0,UN_United Nations Population Division,Years,71.0,
Jamaica,Total,2011.0,UN_United Nations Population Division,Years,73.0,
Jamaica,Total,1990.0,UN_United Nations Population Division,Years,71.0,
Jamaica,Total,1970.0,UN_United Nations Population Division,Years,68.0,
Japan,Total,2011.0,UN_United Nations Population Division,Years,83.0,
Japan,Total,1990.0,UN_United Nations Population Division,Years,79.0,
Japan,Total,1970.0,UN_United Nations Population Division,Years,72.0,
Jordan,Total,2011.0,UN_United Nations Population Division,Years,73.0,
Jordan,Total,1990.0,UN_United Nations Population Division,Years,70.0,
Jordan,Total,1970.0,UN_United Nations Population Division,Years,61.0,
Kazakhstan,Total,2011.0,UN_United Nations Population Division,Years,67.0,
Kazakhstan,Total,1990.0,UN_United Nations Population Division,Years,67.0,
Kazakhstan,Total,1970.0,UN_United Nations Population Division,Years,62.0,
Kenya,Total,2011.0,UN_United Nations Population Division,Years,57.0,
Kenya,Total,1990.0,UN_United Nations Population Division,Years,59.0,
Kenya,Total,1970.0,UN_United Nations Population Division,Years,52.0,
Kuwait,Total,2011.0,UN_United Nations Population Division,Years,75.0,
Kuwait,Total,1990.0,UN_United Nations Population Division,Years,72.0,
Kuwait,Total,1970.0,UN_United Nations Population Division,Years,67.0,
Kyrgyzstan,Total,2011.0,UN_United Nations Population Division,Years,68.0,
Kyrgyzstan,Total,1990.0,UN_United Nations Population Division,Years,66.0,
Kyrgyzstan,Total,1970.0,UN_United Nations Population Division,Years,60.0,
Lao People's Democratic Republic,Total,2011.0,UN_United Nations Population Division,Years,67.0,
Lao People's Democratic Republic,Total,1990.0,UN_United Nations Population Division,Years,54.0,
Lao People's Democratic Republic,Total,1970.0,UN_United Nations Population Division,Years,46.0,
Latin America and Caribbean,Total,2011.0,UN_United Nations Population Division,Years,74.0,1.0
Latin America and Caribbean,Total,1990.0,UN_United Nations Population Division,Years,68.0,1.0
Latin America and Caribbean,Total,1970.0,UN_United Nations Population Division,Years,60.0,1.0
Latvia,Total,2011.0,UN_United Nations Population Division,Years,73.0,
Latvia,Total,1990.0,UN_United Nations Population Division,Years,69.0,
Latvia,Total,1970.0,UN_United Nations Population Division,Years,70.0,
Least Developed Countries/Territories,Total,2011.0,UN_United Nations Population Division,Years,59.0,1.0
Least Developed Countries/Territories,Total,1990.0,UN_United Nations Population Division,Years,51.0,1.0
Least Developed Countries/Territories,Total,1970.0,UN_United Nations Population Division,Years,43.0,1.0
Lebanon,Total,2011.0,UN_United Nations Population Division,Years,73.0,
Lebanon,Total,1990.0,UN_United Nations Population Division,Years,69.0,
Lebanon,Total,1970.0,UN_United Nations Population Division,Years,65.0,
Lesotho,Total,2011.0,UN_United Nations Population Division,Years,48.0,
Lesotho,Total,1990.0,UN_United Nations Population Division,Years,59.0,
Lesotho,Total,1970.0,UN_United Nations Population Division,Years,49.0,
Liberia,Total,2011.0,UN_United Nations Population Division,Years,57.0,
Liberia,Total,1990.0,UN_United Nations Population Division,Years,42.0,
Liberia,Total,1970.0,UN_United Nations Population Division,Years,41.0,
Libya,Total,2011.0,UN_United Nations Population Division,Years,75.0,
Libya,Total,1990.0,UN_United Nations Population Division,Years,68.0,
Libya,Total,1970.0,UN_United Nations Population Division,Years,52.0,
Lithuania,Total,2011.0,UN_United Nations Population Division,Years,72.0,
Lithuania,Total,1990.0,UN_United Nations Population Division,Years,71.0,
Lithuania,Total,1970.0,UN_United Nations Population Division,Years,71.0,
Luxembourg,Total,2011.0,UN_United Nations Population Division,Years,80.0,
Luxembourg,Total,1990.0,UN_United Nations Population Division,Years,75.0,
Luxembourg,Total,1970.0,UN_United Nations Population Division,Years,70.0,
Madagascar,Total,2011.0,UN_United Nations Population Division,Years,67.0,
Madagascar,Total,1990.0,UN_United Nations Population Division,Years,51.0,
Madagascar,Total,1970.0,UN_United Nations Population Division,Years,44.0,
Malawi,Total,2011.0,UN_United Nations Population Division,Years,54.0,
Malawi,Total,1990.0,UN_United Nations Population Division,Years,47.0,
Malawi,Total,1970.0,UN_United Nations Population Division,Years,41.0,
Malaysia,Total,2011.0,UN_United Nations Population Division,Years,74.0,
Malaysia,Total,1990.0,UN_United Nations Population Division,Years,70.0,
Malaysia,Total,1970.0,UN_United Nations Population Division,Years,64.0,
Maldives,Total,2011.0,UN_United Nations Population Division,Years,77.0,
Maldives,Total,1990.0,UN_United Nations Population Division,Years,61.0,
Maldives,Total,1970.0,UN_United Nations Population Division,Years,44.0,
Mali,Total,2011.0,UN_United Nations Population Division,Years,51.0,
Mali,Total,1990.0,UN_United Nations Population Division,Years,44.0,
Mali,Total,1970.0,UN_United Nations Population Division,Years,34.0,
Malta,Total,2011.0,UN_United Nations Population Division,Years,80.0,
Malta,Total,1990.0,UN_United Nations Population Division,Years,75.0,
Malta,Total,1970.0,UN_United Nations Population Division,Years,70.0,
Mauritania,Total,2011.0,UN_United Nations Population Division,Years,59.0,
Mauritania,Total,1990.0,UN_United Nations Population Division,Years,56.0,
Mauritania,Total,1970.0,UN_United Nations Population Division,Years,47.0,
Mauritius,Total,2011.0,UN_United Nations Population Division,Years,73.0,
Mauritius,Total,1990.0,UN_United Nations Population Division,Years,69.0,
Mauritius,Total,1970.0,UN_United Nations Population Division,Years,63.0,
Mexico,Total,2011.0,UN_United Nations Population Division,Years,77.0,
Mexico,Total,1990.0,UN_United Nations Population Division,Years,71.0,
Mexico,Total,1970.0,UN_United Nations Population Division,Years,61.0,
Micronesia (Federated States of),Total,2011.0,UN_United Nations Population Division,Years,69.0,
Micronesia (Federated States of),Total,1990.0,UN_United Nations Population Division,Years,66.0,
Micronesia (Federated States of),Total,1970.0,UN_United Nations Population Division,Years,62.0,
Middle East and North Africa,Total,2011.0,UN_United Nations Population Division,Years,71.0,1.0
Middle East and North Africa,Total,1990.0,UN_United Nations Population Division,Years,63.0,1.0
Middle East and North Africa,Total,1970.0,UN_United Nations Population Division,Years,52.0,1.0
Mongolia,Total,2011.0,UN_United Nations Population Division,Years,68.0,
Mongolia,Total,1990.0,UN_United Nations Population Division,Years,61.0,
Mongolia,Total,1970.0,UN_United Nations Population Division,Years,56.0,
Montenegro,Total,2011.0,UN_United Nations Population Division,Years,75.0,
Montenegro,Total,1990.0,UN_United Nations Population Division,Years,76.0,
Montenegro,Total,1970.0,UN_United Nations Population Division,Years,69.0,
Morocco,Total,2011.0,UN_United Nations Population Division,Years,72.0,
Morocco,Total,1990.0,UN_United Nations Population Division,Years,64.0,
Morocco,Total,1970.0,UN_United Nations Population Division,Years,52.0,
Mozambique,Total,2011.0,UN_United Nations Population Division,Years,50.0,
Mozambique,Total,1990.0,UN_United Nations Population Division,Years,43.0,
Mozambique,Total,1970.0,UN_United Nations Population Division,Years,39.0,
Myanmar,Total,2011.0,UN_United Nations Population Division,Years,65.0,
Myanmar,Total,1990.0,UN_United Nations Population Division,Years,57.0,
Myanmar,Total,1970.0,UN_United Nations Population Division,Years,50.0,
Namibia,Total,2011.0,UN_United Nations Population Division,Years,62.0,
Namibia,Total,1990.0,UN_United Nations Population Division,Years,61.0,
Namibia,Total,1970.0,UN_United Nations Population Division,Years,53.0,
Nepal,Total,2011.0,UN_United Nations Population Division,Years,69.0,
Nepal,Total,1990.0,UN_United Nations Population Division,Years,54.0,
Nepal,Total,1970.0,UN_United Nations Population Division,Years,43.0,
Netherlands,Total,2011.0,UN_United Nations Population Division,Years,81.0,
Netherlands,Total,1990.0,UN_United Nations Population Division,Years,77.0,
Netherlands,Total,1970.0,UN_United Nations Population Division,Years,74.0,
New Zealand,Total,2011.0,UN_United Nations Population Division,Years,81.0,
New Zealand,Total,1990.0,UN_United Nations Population Division,Years,75.0,
New Zealand,Total,1970.0,UN_United Nations Population Division,Years,71.0,
Nicaragua,Total,2011.0,UN_United Nations Population Division,Years,74.0,
Nicaragua,Total,1990.0,UN_United Nations Population Division,Years,64.0,
Nicaragua,Total,1970.0,UN_United Nations Population Division,Years,54.0,
Niger,Total,2011.0,UN_United Nations Population Division,Years,55.0,
Niger,Total,1990.0,UN_United Nations Population Division,Years,41.0,
Niger,Total,1970.0,UN_United Nations Population Division,Years,38.0,
Nigeria,Total,2011.0,UN_United Nations Population Division,Years,52.0,
Nigeria,Total,1990.0,UN_United Nations Population Division,Years,46.0,
Nigeria,Total,1970.0,UN_United Nations Population Division,Years,42.0,
Norway,Total,2011.0,UN_United Nations Population Division,Years,81.0,
Norway,Total,1990.0,UN_United Nations Population Division,Years,77.0,
Norway,Total,1970.0,UN_United Nations Population Division,Years,74.0,
Oman,Total,2011.0,UN_United Nations Population Division,Years,73.0,
Oman,Total,1990.0,UN_United Nations Population Division,Years,71.0,
Oman,Total,1970.0,UN_United Nations Population Division,Years,51.0,
Pakistan,Total,2011.0,UN_United Nations Population Division,Years,65.0,
Pakistan,Total,1990.0,UN_United Nations Population Division,Years,61.0,
Pakistan,Total,1970.0,UN_United Nations Population Division,Years,53.0,
Panama,Total,2011.0,UN_United Nations Population Division,Years,76.0,
Panama,Total,1990.0,UN_United Nations Population Division,Years,72.0,
Panama,Total,1970.0,UN_United Nations Population Division,Years,65.0,
Papua New Guinea,Total,2011.0,UN_United Nations Population Division,Years,63.0,
Papua New Guinea,Total,1990.0,UN_United Nations Population Division,Years,56.0,
Papua New Guinea,Total,1970.0,UN_United Nations Population Division,Years,46.0,
Paraguay,Total,2011.0,UN_United Nations Population Division,Years,72.0,
Paraguay,Total,1990.0,UN_United Nations Population Division,Years,68.0,
Paraguay,Total,1970.0,UN_United Nations Population Division,Years,65.0,
Peru,Total,2011.0,UN_United Nations Population Division,Years,74.0,
Peru,Total,1990.0,UN_United Nations Population Division,Years,66.0,
Peru,Total,1970.0,UN_United Nations Population Division,Years,53.0,
Philippines,Total,2011.0,UN_United Nations Population Division,Years,69.0,
Philippines,Total,1990.0,UN_United Nations Population Division,Years,65.0,
Philippines,Total,1970.0,UN_United Nations Population Division,Years,61.0,
Poland,Total,2011.0,UN_United Nations Population Division,Years,76.0,
Poland,Total,1990.0,UN_United Nations Population Division,Years,71.0,
Poland,Total,1970.0,UN_United Nations Population Division,Years,70.0,
Portugal,Total,2011.0,UN_United Nations Population Division,Years,79.0,
Portugal,Total,1990.0,UN_United Nations Population Division,Years,74.0,
Portugal,Total,1970.0,UN_United Nations Population Division,Years,67.0,
Qatar,Total,2011.0,UN_United Nations Population Division,Years,78.0,
Qatar,Total,1990.0,UN_United Nations Population Division,Years,74.0,
Qatar,Total,1970.0,UN_United Nations Population Division,Years,66.0,
Republic of Korea,Total,2011.0,UN_United Nations Population Division,Years,81.0,
Republic of Korea,Total,1990.0,UN_United Nations Population Division,Years,72.0,
Republic of Korea,Total,1970.0,UN_United Nations Population Division,Years,61.0,
