Country or Area,Subgroup,Year,Source,Unit,Proportion of population 15-19 year-olds who use at least one type of information media at least once a week,Proportion of population 15-19 year-olds who use at least one type of information media at least once a week Footnotes
Mauritania,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,55.0,5.0
Morocco,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,90.0,1.0
Mozambique,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,88.0,1.0
Mozambique,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,95.0,1.0
Namibia,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,88.0,1.0
Namibia,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,86.0,1.0
Nauru,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,86.0,1.0
Nauru,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,89.0,1.0
Nepal,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,76.0,1.0
Nepal,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,86.0,1.0
Nicaragua,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,95.0,5.0
Niger,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,48.0,1.0
Niger,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,66.0,1.0
Nigeria,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,64.0,1.0
Nigeria,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,82.0,1.0
Peru,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,91.0,1.0
Philippines,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,94.0,1.0
Republic of Moldova,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,98.0,1.0
Republic of Moldova,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,99.0,1.0
Rwanda,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,73.0,1.0
Rwanda,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,88.0,1.0
Samoa,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,97.0,1.0
Samoa,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,97.0,1.0
Sao Tome and Principe,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,95.0,1.0
Sao Tome and Principe,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,96.0,1.0
Senegal,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,81.0,1.0
Senegal,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,86.0,1.0
Serbia,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,100.0,1.0
Serbia,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,99.0,1.0
Sierra Leone,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,51.0,1.0
Sierra Leone,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,66.0,1.0
Solomon Islands,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,54.0,1.0
Solomon Islands,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,71.0,1.0
South Asia,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,71.0,4.0
South Asia,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,88.0,4.0
Sri Lanka,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,88.0,2.0
Sub-Saharan Africa,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,62.0,4.0
Sub-Saharan Africa,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,73.0,4.0
Swaziland,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,89.0,1.0
Swaziland,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,94.0,1.0
Timor-Leste,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,62.0,1.0
Timor-Leste,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,61.0,1.0
Turkmenistan,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,96.0,5.0
Tuvalu,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,95.0,1.0
Tuvalu,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,89.0,1.0
Uganda,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,82.0,1.0
Uganda,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,88.0,1.0
Ukraine,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,99.0,1.0
Ukraine,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,99.0,1.0
United Republic of Tanzania,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,70.0,1.0
United Republic of Tanzania,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,79.0,1.0
Viet Nam,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,94.0,1.0
Viet Nam,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,97.0,1.0
Western and Central Africa,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,60.0,4.0
Western and Central Africa,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,75.0,4.0
World,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,73.0,3.0
Zambia,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,71.0,1.0
Zambia,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,80.0,1.0
Zimbabwe,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,53.0,1.0
Zimbabwe,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,59.0,1.0
fnSeqID,Footnote,,,,,
1,Data refer to the most recent year available during the period specified in the column heading. ,,,,,
2,"Data refer to the most recent year available during the period specified in the column heading. Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",,,,,
3,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX. Excludes China.",,,,,
4,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
5,"Data refer to the most recent year available during the period specified in the column heading. Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages, with the exception of 2005-2006 data from India. Estimates from data years prior to 2000 are not displayed.",,,,,
