Country or Area,Subgroup,Year,Source,Unit,Attendance in early childhood education,Attendance in early childhood education Footnotes
Gambia,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,33.0,1.0
Georgia,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,43.0,1.0
Georgia,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,42.0,1.0
Georgia,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,44.0,1.0
Georgia,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,17.0,1.0
Georgia,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,70.0,1.0
Ghana,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,68.0,1.0
Ghana,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,72.0,1.0
Ghana,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,65.0,1.0
Ghana,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,42.0,1.0
Ghana,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,97.0,1.0
Guinea-Bissau,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,10.0,1.0
Guinea-Bissau,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,10.0,1.0
Guinea-Bissau,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,10.0,1.0
Guinea-Bissau,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,4.0,1.0
Guinea-Bissau,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,26.0,1.0
Guyana,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,49.0,1.0
Guyana,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,50.0,1.0
Guyana,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,48.0,1.0
Guyana,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,33.0,1.0
Guyana,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,78.0,1.0
Iraq,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,3.0,1.0
Iraq,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,3.0,1.0
Iraq,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,2.0,1.0
Jamaica,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,86.0,1.0
Jamaica,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,88.0,1.0
Jamaica,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,84.0,1.0
Kazakhstan,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,37.0,1.0
Kazakhstan,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,38.0,1.0
Kazakhstan,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,36.0,1.0
Kazakhstan,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,19.0,1.0
Kazakhstan,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,61.0,1.0
Kyrgyzstan,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,19.0,1.0
Kyrgyzstan,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,17.0,1.0
Kyrgyzstan,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,21.0,1.0
Kyrgyzstan,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,7.0,1.0
Kyrgyzstan,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,47.0,1.0
Lao People's Democratic Republic,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,7.0,1.0
Lao People's Democratic Republic,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,7.0,1.0
Lao People's Democratic Republic,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,8.0,1.0
Lao People's Democratic Republic,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,1.0,1.0
Lao People's Democratic Republic,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,44.0,1.0
Least Developed Countries/Territories,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,11.0,2.0
Least Developed Countries/Territories,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,12.0,2.0
Least Developed Countries/Territories,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,11.0,2.0
Least Developed Countries/Territories,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,6.0,2.0
Least Developed Countries/Territories,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,24.0,2.0
Lebanon,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,62.0,1.0
Lebanon,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,60.0,1.0
Lebanon,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,63.0,1.0
Mali,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,10.0,1.0
Mali,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,10.0,1.0
Mali,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,10.0,1.0
Mali,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,1.0,1.0
Mali,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,40.0,1.0
Mauritania,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,5.0,1.0
Mauritania,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,5.0,1.0
Mauritania,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,5.0,1.0
Mauritania,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,2.0,1.0
Mauritania,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,11.0,1.0
Mongolia,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,60.0,1.0
Mongolia,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,61.0,1.0
Mongolia,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,58.0,1.0
Mongolia,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,26.0,1.0
Mongolia,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,83.0,1.0
Montenegro,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,29.0,1.0
Montenegro,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,30.0,1.0
Montenegro,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,28.0,1.0
Montenegro,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,6.0,1.0
Montenegro,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,62.0,1.0
Morocco,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,39.0,1.0
Morocco,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,41.0,1.0
Morocco,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,36.0,1.0
Morocco,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,6.0,1.0
Morocco,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,78.0,1.0
Myanmar,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,23.0,1.0
Myanmar,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,23.0,1.0
Myanmar,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,23.0,1.0
Myanmar,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,8.0,1.0
Myanmar,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,46.0,1.0
Nepal,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,30.0,3.0
Nepal,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,31.0,3.0
Nepal,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,29.0,3.0
Nepal,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,14.0,3.0
Nepal,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,61.0,3.0
Nigeria,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,32.0,1.0
Nigeria,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,32.0,1.0
Nigeria,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,32.0,1.0
Nigeria,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,5.0,1.0
Nigeria,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,70.0,1.0
Sao Tome and Principe,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,27.0,1.0
Sao Tome and Principe,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,26.0,1.0
Sao Tome and Principe,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,29.0,1.0
Sao Tome and Principe,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,18.0,1.0
Sao Tome and Principe,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,51.0,1.0
Senegal,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,22.0,3.0
Senegal,Female,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,21.0,3.0
Senegal,Male,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,23.0,3.0
Senegal,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,7.0,3.0
