Country or Area,Subgroup,Year,Source,Unit,Adult support for learning,Adult support for learning Footnotes
Belarus,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,98.0,1.0
Belize,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,86.0,1.0
Belize,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,83.0,1.0
Belize,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,88.0,1.0
Belize,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,73.0,1.0
Belize,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,94.0,1.0
Bhutan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,54.0,1.0
Bhutan,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,57.0,1.0
Bhutan,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,52.0,1.0
Bhutan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,40.0,1.0
Bhutan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,73.0,1.0
Bosnia and Herzegovina,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,83.0,1.0
Bosnia and Herzegovina,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,83.0,1.0
Bosnia and Herzegovina,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,83.0,1.0
Bosnia and Herzegovina,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,74.0,1.0
Bosnia and Herzegovina,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,90.0,1.0
Burkina Faso,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,14.0,1.0
Burkina Faso,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,14.0,1.0
Burkina Faso,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,14.0,1.0
Burkina Faso,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,12.0,1.0
Burkina Faso,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,26.0,1.0
Burundi,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,34.0,1.0
Burundi,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,34.0,1.0
Burundi,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,35.0,1.0
Burundi,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,32.0,1.0
Burundi,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,38.0,1.0
Cameroon,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,58.0,1.0
Cameroon,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,59.0,1.0
Cameroon,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,57.0,1.0
Cameroon,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,57.0,1.0
Cameroon,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,69.0,1.0
Central African Republic,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,74.0,1.0
Central African Republic,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,74.0,1.0
Central African Republic,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,74.0,1.0
Central African Republic,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,70.0,1.0
Central African Republic,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,78.0,1.0
Chad,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,70.0,1.0
Chad,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,70.0,1.0
Chad,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,69.0,1.0
Chad,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,64.0,1.0
Chad,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,71.0,1.0
Côte d'Ivoire,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,50.0,1.0
Côte d'Ivoire,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,51.0,1.0
Côte d'Ivoire,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,50.0,1.0
Côte d'Ivoire,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,55.0,1.0
Côte d'Ivoire,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,57.0,1.0
Democratic People's Republic of Korea,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,91.0,1.0
Democratic People's Republic of Korea,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,93.0,1.0
Democratic People's Republic of Korea,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,88.0,1.0
Democratic Republic of the Congo,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,61.0,1.0
Democratic Republic of the Congo,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,62.0,1.0
Democratic Republic of the Congo,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,61.0,1.0
Democratic Republic of the Congo,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,62.0,1.0
Democratic Republic of the Congo,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,76.0,1.0
Djibouti,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,36.0,1.0
Djibouti,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,35.0,1.0
Djibouti,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,36.0,1.0
Gambia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,48.0,1.0
Gambia,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,47.0,1.0
Gambia,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,49.0,1.0
Gambia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,50.0,1.0
Gambia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,56.0,1.0
Georgia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,93.0,1.0
Georgia,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,93.0,1.0
Georgia,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,93.0,1.0
Georgia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,85.0,1.0
Georgia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,99.0,1.0
Ghana,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,40.0,1.0
Ghana,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,42.0,1.0
Ghana,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,38.0,1.0
Ghana,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,23.0,1.0
Ghana,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,78.0,1.0
Guyana,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,89.0,1.0
Guyana,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,89.0,1.0
Guyana,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,88.0,1.0
Guyana,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,77.0,1.0
Guyana,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,99.0,1.0
Iraq,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,58.0,1.0
Iraq,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,57.0,1.0
Iraq,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,59.0,1.0
Jamaica,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,94.0,1.0
Jamaica,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,93.0,1.0
Jamaica,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,95.0,1.0
Kazakhstan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,92.0,1.0
Kazakhstan,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,91.0,1.0
Kazakhstan,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,92.0,1.0
Kazakhstan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,84.0,1.0
Kazakhstan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,96.0,1.0
Kyrgyzstan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,88.0,1.0
Kyrgyzstan,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,85.0,1.0
Kyrgyzstan,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,90.0,1.0
Kyrgyzstan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,86.0,1.0
Kyrgyzstan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,99.0,1.0
Lao People's Democratic Republic,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,33.0,1.0
Lao People's Democratic Republic,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,34.0,1.0
Lao People's Democratic Republic,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,33.0,1.0
Lao People's Democratic Republic,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,20.0,1.0
Lao People's Democratic Republic,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,59.0,1.0
Lebanon,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,56.0,2.0
Lebanon,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,54.0,2.0
Lebanon,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,58.0,2.0
Mali,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,29.0,1.0
Mali,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,30.0,1.0
Mali,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,27.0,1.0
Mali,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,28.0,1.0
Mali,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,44.0,1.0
Mauritania,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,48.0,1.0
Mauritania,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,47.0,1.0
Mauritania,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,48.0,1.0
Mauritania,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,39.0,1.0
Mauritania,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,64.0,1.0
Mongolia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,59.0,1.0
Mongolia,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,62.0,1.0
Mongolia,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,56.0,1.0
Mongolia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,44.0,1.0
Mongolia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,73.0,1.0
Montenegro,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,97.0,1.0
Montenegro,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,98.0,1.0
Montenegro,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,96.0,1.0
Montenegro,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,88.0,1.0
Montenegro,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,100.0,1.0
Morocco,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,48.0,2.0
Morocco,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,49.0,2.0
Morocco,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,47.0,2.0
Morocco,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,35.0,2.0
Morocco,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,68.0,2.0
Mozambique,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,47.0,1.0
Mozambique,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,48.0,1.0
Mozambique,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,45.0,1.0
Mozambique,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,48.0,1.0
Mozambique,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,50.0,1.0
Myanmar,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,58.0,2.0
Myanmar,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,58.0,2.0
Myanmar,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,58.0,2.0
Myanmar,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,42.0,2.0
Myanmar,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,76.0,2.0
Nigeria,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,78.0,1.0
Nigeria,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,78.0,1.0
Nigeria,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,78.0,1.0
Nigeria,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,68.0,1.0
Nigeria,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,91.0,1.0
Serbia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,95.0,1.0
Serbia,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,95.0,1.0
Serbia,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,96.0,1.0
Serbia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,84.0,1.0
Serbia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,98.0,1.0
Sierra Leone,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,54.0,1.0
Sierra Leone,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,55.0,1.0
Sierra Leone,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,53.0,1.0
Sierra Leone,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,45.0,1.0
Sierra Leone,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,79.0,1.0
Somalia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,79.0,1.0
Somalia,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,79.0,1.0
Somalia,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,80.0,1.0
Somalia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,76.0,1.0
Somalia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,85.0,1.0
Suriname,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,75.0,1.0
Suriname,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,76.0,1.0
Suriname,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,75.0,1.0
Suriname,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,61.0,1.0
Suriname,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,92.0,1.0
Swaziland,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,50.0,1.0
Swaziland,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,50.0,1.0
Swaziland,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,50.0,1.0
Swaziland,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,35.0,1.0
Swaziland,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,71.0,1.0
Syrian Arab Republic,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,70.0,1.0
Syrian Arab Republic,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,69.0,1.0
Syrian Arab Republic,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,70.0,1.0
Syrian Arab Republic,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,52.0,1.0
Syrian Arab Republic,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,84.0,1.0
Tajikistan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,74.0,1.0
Tajikistan,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,74.0,1.0
Tajikistan,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,73.0,1.0
Tajikistan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,56.0,1.0
Tajikistan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,86.0,1.0
Thailand,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,89.0,1.0
Thailand,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,89.0,1.0
Thailand,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,90.0,1.0
Thailand,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,86.0,1.0
Thailand,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,98.0,1.0
The former Yugoslav Republic of Macedonia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,92.0,1.0
The former Yugoslav Republic of Macedonia,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,91.0,1.0
The former Yugoslav Republic of Macedonia,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,92.0,1.0
The former Yugoslav Republic of Macedonia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,81.0,1.0
The former Yugoslav Republic of Macedonia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,97.0,1.0
Togo,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,62.0,1.0
Togo,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,63.0,1.0
Togo,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,61.0,1.0
Togo,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,55.0,1.0
Togo,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,68.0,1.0
Trinidad and Tobago,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,98.0,1.0
Trinidad and Tobago,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,98.0,1.0
Trinidad and Tobago,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,98.0,1.0
Trinidad and Tobago,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,96.0,1.0
Trinidad and Tobago,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,100.0,1.0
Uzbekistan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,91.0,1.0
Uzbekistan,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,90.0,1.0
Uzbekistan,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,91.0,1.0
Uzbekistan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,83.0,1.0
Uzbekistan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,95.0,1.0
Viet Nam,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,77.0,1.0
Viet Nam,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,80.0,1.0
Viet Nam,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,74.0,1.0
Viet Nam,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,63.0,1.0
Viet Nam,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,94.0,1.0
Western and Central Africa,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,63.0,3.0
Western and Central Africa,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,63.0,3.0
Western and Central Africa,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,63.0,3.0
