Country or Area,Subgroup,Year,Source,Unit,Learning materials at home - Children's books,Learning materials at home - Children's books Footnotes
Mongolia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,48.0,1.0
Mongolia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,6.0,1.0
Mongolia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,23.0,1.0
Montenegro,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,92.0,1.0
Montenegro,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,50.0,1.0
Montenegro,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,77.0,1.0
Morocco,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,52.0,2.0
Morocco,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,9.0,2.0
Morocco,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,21.0,2.0
Mozambique,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,10.0,1.0
Mozambique,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,2.0,1.0
Mozambique,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,3.0,1.0
Nigeria,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,35.0,1.0
Nigeria,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,2.0,1.0
Nigeria,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,14.0,1.0
Serbia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,86.0,1.0
Serbia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,49.0,1.0
Serbia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,76.0,1.0
Sierra Leone,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,10.0,1.0
Sierra Leone,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,0.0,1.0
Sierra Leone,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,2.0,1.0
Suriname,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,75.0,1.0
Suriname,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,20.0,1.0
Suriname,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,45.0,1.0
Swaziland,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,12.0,1.0
Swaziland,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Swaziland,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,4.0,1.0
Syrian Arab Republic,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,53.0,1.0
Syrian Arab Republic,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,12.0,1.0
Syrian Arab Republic,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,30.0,1.0
Tajikistan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,33.0,1.0
Tajikistan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,4.0,1.0
Tajikistan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,17.0,1.0
Thailand,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,71.0,1.0
Thailand,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,25.0,1.0
Thailand,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,43.0,1.0
The former Yugoslav Republic of Macedonia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,83.0,1.0
The former Yugoslav Republic of Macedonia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,19.0,1.0
The former Yugoslav Republic of Macedonia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,52.0,1.0
Togo,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,7.0,1.0
Togo,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,0.0,1.0
Togo,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,2.0,1.0
Trinidad and Tobago,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,93.0,1.0
Trinidad and Tobago,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,66.0,1.0
Trinidad and Tobago,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,81.0,1.0
Ukraine,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,99.0,1.0
Ukraine,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,93.0,1.0
Ukraine,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,97.0,1.0
Uzbekistan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,59.0,1.0
Uzbekistan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,32.0,1.0
Uzbekistan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,43.0,1.0
Viet Nam,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,49.0,1.0
Viet Nam,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,3.0,1.0
Viet Nam,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,20.0,1.0
Western and Central Africa,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,21.0,3.0
Western and Central Africa,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,3.0
Western and Central Africa,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,8.0,3.0
Yemen,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,31.0,1.0
Yemen,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,4.0,1.0
Yemen,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,10.0,1.0
fnSeqID,Footnote,,,,,
1,Data refer to the most recent year available during the period specified in the column heading. ,,,,,
2,"Data refer to the most recent year available during the period specified in the column heading. Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",,,,,
3,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
