Country or Area,Subgroup,Year,Source,Unit,Literacy rate of 15-24 year-olds,Literacy rate of 15-24 year-olds Footnotes
Bhutan,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,2.0
Bhutan,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,80.0,2.0
Bolivia (Plurinational State of),Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Bolivia (Plurinational State of),Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Bosnia and Herzegovina,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Bosnia and Herzegovina,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Botswana,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Botswana,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Brazil,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Brazil,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Brunei Darussalam,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Brunei Darussalam,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Bulgaria,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Bulgaria,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Burkina Faso,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,33.0,1.0
Burkina Faso,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,47.0,1.0
Burundi,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Burundi,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Cambodia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Cambodia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Cameroon,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,77.0,1.0
Cameroon,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Cape Verde,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Cape Verde,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
CEE/CIS,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,3.0
CEE/CIS,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,3.0
Central African Republic,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,58.0,1.0
Central African Republic,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,72.0,1.0
Chad,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,41.0,1.0
Chad,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,53.0,1.0
Chile,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Chile,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
China,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
China,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Colombia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Colombia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Comoros,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Comoros,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Congo,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,2.0
Congo,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,2.0
Costa Rica,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Costa Rica,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Côte d'Ivoire,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,62.0,1.0
Côte d'Ivoire,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,72.0,1.0
Croatia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Croatia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Cuba,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Cuba,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Cyprus,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Cyprus,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Democratic People's Republic of Korea,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Democratic People's Republic of Korea,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Democratic Republic of the Congo,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,62.0,1.0
Democratic Republic of the Congo,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,1.0
Dominican Republic,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Dominican Republic,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
East Asia and Pacific,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,3.0
East Asia and Pacific,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,3.0
Eastern and Southern Africa,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,72.0,3.0
Eastern and Southern Africa,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,80.0,3.0
Ecuador,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Ecuador,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Egypt,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Egypt,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
El Salvador,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
El Salvador,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Equatorial Guinea,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Equatorial Guinea,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Eritrea,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Eritrea,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Estonia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Estonia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Ethiopia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,47.0,1.0
Ethiopia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,63.0,1.0
Gabon,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Gabon,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Gambia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,62.0,1.0
Gambia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,72.0,1.0
Georgia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Georgia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Ghana,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,80.0,1.0
Ghana,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Greece,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Greece,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Guatemala,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Guatemala,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Guinea,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,57.0,1.0
Guinea,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,70.0,1.0
Guinea-Bissau,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,65.0,1.0
Guinea-Bissau,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Haiti,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,70.0,1.0
Haiti,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,74.0,1.0
Honduras,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Honduras,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Hungary,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Hungary,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
India,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,74.0,1.0
India,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Indonesia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Indonesia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Iran (Islamic Republic of),Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Iran (Islamic Republic of),Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Iraq,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,81.0,1.0
Iraq,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Italy,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Italy,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Jamaica,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Jamaica,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Jordan,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Jordan,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Kazakhstan,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Kazakhstan,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Kenya,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Kenya,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Kuwait,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Kuwait,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Kyrgyzstan,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Kyrgyzstan,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Lao People's Democratic Republic,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,2.0
Lao People's Democratic Republic,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,2.0
Latin America and Caribbean,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,3.0
Latin America and Caribbean,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,3.0
Latvia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Latvia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Least Developed Countries/Territories,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,3.0
Least Developed Countries/Territories,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,3.0
Lebanon,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Lebanon,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Lesotho,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Lesotho,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Liberia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Liberia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Libya,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Libya,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Lithuania,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Lithuania,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Madagascar,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,64.0,1.0
Madagascar,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,66.0,1.0
Malawi,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Malawi,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Malaysia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Malaysia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Maldives,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Maldives,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Mali,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,34.0,1.0
Mali,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,1.0
Malta,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Malta,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Mauritania,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,65.0,1.0
Mauritania,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Mauritius,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Mauritius,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Mexico,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Mexico,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Middle East and North Africa,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,3.0
Middle East and North Africa,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,3.0
Mongolia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Mongolia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Montenegro,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Montenegro,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Morocco,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,72.0,1.0
Morocco,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Mozambique,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,65.0,1.0
Mozambique,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Myanmar,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Myanmar,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Namibia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Namibia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Nepal,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Nepal,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Nicaragua,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,2.0
Nicaragua,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,2.0
Niger,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,23.0,2.0
Niger,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,52.0,2.0
Nigeria,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,66.0,1.0
Nigeria,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Oman,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Oman,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Pakistan,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,61.0,1.0
Pakistan,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Panama,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Panama,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Papua New Guinea,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,72.0,1.0
Papua New Guinea,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,65.0,1.0
Paraguay,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Paraguay,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Peru,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Peru,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Philippines,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Philippines,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Poland,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Poland,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Portugal,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Portugal,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Qatar,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Qatar,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Republic of Moldova,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Republic of Moldova,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Romania,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Romania,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Russian Federation,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Russian Federation,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Rwanda,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Rwanda,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,77.0,1.0
Samoa,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Samoa,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Sao Tome and Principe,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Sao Tome and Principe,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Saudi Arabia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Saudi Arabia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Senegal,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,1.0
Senegal,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,74.0,1.0
Serbia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Serbia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Seychelles,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Seychelles,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Sierra Leone,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,50.0,1.0
Sierra Leone,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,69.0,1.0
Singapore,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Singapore,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Slovenia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Slovenia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
South Africa,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
South Africa,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
South Asia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,73.0,3.0
South Asia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,3.0
Spain,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Spain,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Sri Lanka,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Sri Lanka,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
