Country or Area,Subgroup,Year,Source,Unit,ODA inflow,ODA inflow Footnotes
Chile,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,198.0,
China,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,648.0,
Colombia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,910.0,
Comoros,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,68.0,
Congo,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,1314.0,
Cook Islands,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,13.0,
Costa Rica,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,96.0,
Côte d'Ivoire,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,848.0,
Croatia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,149.0,
Cuba,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,129.0,
Democratic People's Republic of Korea,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,79.0,
Democratic Republic of the Congo,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,3413.0,
Djibouti,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,133.0,
Dominica,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,32.0,
Dominican Republic,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,177.0,
East Asia and Pacific,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,9289.0,1.0
Eastern and Southern Africa,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,19572.0,1.0
Ecuador,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,153.0,
Egypt,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,594.0,
El Salvador,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,284.0,
Equatorial Guinea,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,85.0,
Eritrea,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,161.0,
Ethiopia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,3529.0,
Fiji,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,76.0,
Gabon,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,104.0,
Gambia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,121.0,
Georgia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,626.0,
Ghana,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,1694.0,
Grenada,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,34.0,
Guatemala,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,398.0,
Guinea,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,214.0,
Guinea-Bissau,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,141.0,
Guyana,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,153.0,
Haiti,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,3076.0,
Honduras,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,576.0,
India,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,2807.0,
Indonesia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,1393.0,
Iran (Islamic Republic of),Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,122.0,
Iraq,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,2192.0,
Jamaica,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,141.0,
Jordan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,955.0,
Kazakhstan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,222.0,
Kenya,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,1631.0,
Kiribati,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,23.0,
Kyrgyzstan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,373.0,
Lao People's Democratic Republic,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,416.0,
Latin America and Caribbean,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,9272.0,1.0
Least Developed Countries/Territories,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,44538.0,1.0
Lebanon,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,449.0,
Lesotho,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,257.0,
Liberia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,1423.0,
Libya,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,9.0,
Madagascar,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,473.0,
Malawi,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,1027.0,
Malaysia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,2.0,
Maldives,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,111.0,
Mali,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,1093.0,
Marshall Islands,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,91.0,
Mauritania,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,373.0,
Mauritius,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,125.0,
Mexico,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,473.0,
Micronesia (Federated States of),Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,125.0,
Middle East and North Africa,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,11535.0,1.0
Mongolia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,304.0,
Montenegro,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,77.0,
Morocco,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,994.0,
Mozambique,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,1959.0,
Myanmar,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,358.0,
Namibia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,259.0,
Nauru,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,28.0,
Nepal,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,821.0,
Nicaragua,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,628.0,
Niger,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,749.0,
Nigeria,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,2069.0,
Niue,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,15.0,
Oman,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,-40.0,
Pakistan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,3021.0,
Palau,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,26.0,
Panama,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,129.0,
Papua New Guinea,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,513.0,
Paraguay,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,105.0,
Peru,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,-254.0,
Philippines,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,535.0,
Republic of Moldova,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,468.0,
Rwanda,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,1034.0,
Saint Kitts and Nevis,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,11.0,
Saint Lucia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,41.0,
Saint Vincent and the Grenadines,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,17.0,
Samoa,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,147.0,
Senegal,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,931.0,
Serbia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,651.0,
Seychelles,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,56.0,
Sierra Leone,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,475.0,
Solomon Islands,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,340.0,
Somalia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,499.0,
South Africa,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,1032.0,
South Asia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,15263.0,1.0
Sri Lanka,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,581.0,
State of Palestine,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,2519.0,
Sub-Saharan Africa,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,40604.0,1.0
Sudan (pre-cession),Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,2055.0,2.0
Suriname,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,104.0,
Swaziland,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,92.0,
Syrian Arab Republic,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,137.0,
Tajikistan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,430.0,
Thailand,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,-11.0,
The former Yugoslav Republic of Macedonia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,178.0,
Timor-Leste,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,292.0,
Togo,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,421.0,
Tonga,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,70.0,
Trinidad and Tobago,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,4.0,
Tunisia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,551.0,
Turkey,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,1049.0,
Turkmenistan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,43.0,
Tuvalu,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,13.0,
Uganda,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,1730.0,
Ukraine,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,624.0,
United Republic of Tanzania,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,2961.0,
Uruguay,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,49.0,
Uzbekistan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,229.0,
Vanuatu,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,108.0,
Venezuela (Bolivarian Republic of),Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,53.0,
Viet Nam,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,2945.0,
Western and Central Africa,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,18844.0,1.0
World,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,90358.0,1.0
Yemen,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,666.0,
Zambia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,913.0,
Zimbabwe,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,738.0,
