Country or Area,Subgroup,Year,Source,Unit,Gross enrolment ratio in primary education,Gross enrolment ratio in primary education Footnotes
Burkina Faso,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Burkina Faso,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,72.0,1.0
Burundi,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,157.0,1.0
Burundi,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,155.0,1.0
Cambodia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,130.0,1.0
Cambodia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,124.0,1.0
Cameroon,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,129.0,1.0
Cameroon,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
Canada,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Canada,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Cape Verde,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,114.0,1.0
Cape Verde,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,1.0
CEE/CIS,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,2.0
CEE/CIS,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,2.0
Central African Republic,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,109.0,1.0
Central African Republic,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Chad,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Chad,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Chile,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,108.0,1.0
Chile,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
China,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,110.0,1.0
China,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,113.0,1.0
Colombia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,116.0,1.0
Colombia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,114.0,1.0
Comoros,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,109.0,1.0
Comoros,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Congo,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,118.0,1.0
Congo,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,112.0,1.0
Cook Islands,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Cook Islands,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,110.0,1.0
Costa Rica,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,110.0,1.0
Costa Rica,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,109.0,1.0
Côte d'Ivoire,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Côte d'Ivoire,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,80.0,1.0
Croatia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Croatia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Cuba,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Cuba,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Cyprus,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Cyprus,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,1.0
Czech Republic,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Czech Republic,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Democratic Republic of the Congo,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Democratic Republic of the Congo,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Denmark,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Denmark,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Djibouti,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,62.0,1.0
Djibouti,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,1.0
Dominica,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,113.0,1.0
Dominica,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
Dominican Republic,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,115.0,1.0
Dominican Republic,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
East Asia and Pacific,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,110.0,2.0
East Asia and Pacific,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,112.0,2.0
Eastern and Southern Africa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,113.0,2.0
Eastern and Southern Africa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,108.0,2.0
Ecuador,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,114.0,1.0
Ecuador,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,115.0,1.0
Egypt,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Egypt,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
El Salvador,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,117.0,1.0
El Salvador,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
Equatorial Guinea,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Equatorial Guinea,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Eritrea,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,48.0,1.0
Eritrea,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,41.0,1.0
Estonia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Estonia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Ethiopia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Ethiopia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Fiji,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Fiji,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Finland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Finland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
France,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
France,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,109.0,1.0
Gabon,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,184.0,1.0
Gabon,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,179.0,1.0
Gambia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Gambia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Georgia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Georgia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
Germany,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Germany,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Ghana,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Ghana,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Grenada,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Grenada,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Guatemala,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,119.0,1.0
Guatemala,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,114.0,1.0
Guinea,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Guinea,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Guinea-Bissau,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,127.0,1.0
Guinea-Bissau,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,119.0,1.0
Guyana,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,83.0,1.0
Guyana,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Honduras,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,116.0,1.0
Honduras,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,116.0,1.0
Hungary,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Hungary,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Iceland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Iceland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
India,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,116.0,1.0
India,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,116.0,1.0
Indonesia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,117.0,1.0
Indonesia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,119.0,1.0
Iran (Islamic Republic of),Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,114.0,1.0
Iran (Islamic Republic of),Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,115.0,1.0
Ireland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,108.0,1.0
Ireland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,108.0,1.0
Israel,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Israel,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Italy,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Italy,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Jamaica,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Jamaica,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Japan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Japan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Jordan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Jordan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Kazakhstan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
Kazakhstan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
Kenya,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,115.0,1.0
Kenya,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,112.0,1.0
Kiribati,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
Kiribati,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,115.0,1.0
Kuwait,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Kuwait,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Kyrgyzstan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Kyrgyzstan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Lao People's Democratic Republic,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,131.0,1.0
Lao People's Democratic Republic,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,122.0,1.0
Latin America and Caribbean,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,116.0,2.0
Latin America and Caribbean,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,112.0,2.0
Latvia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Latvia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Least Developed Countries/Territories,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,2.0
Least Developed Countries/Territories,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,2.0
Lebanon,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Lebanon,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Lesotho,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Lesotho,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Liberia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Liberia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Liechtenstein,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,109.0,1.0
Liechtenstein,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Lithuania,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Lithuania,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Luxembourg,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Luxembourg,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Madagascar,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,150.0,1.0
Madagascar,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,147.0,1.0
Malawi,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,133.0,1.0
Malawi,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,138.0,1.0
Maldives,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
Maldives,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Mali,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Mali,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,75.0,1.0
Malta,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Malta,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Marshall Islands,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Marshall Islands,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Mauritania,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Mauritania,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,1.0
Mauritius,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Mauritius,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Mexico,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,115.0,1.0
Mexico,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,113.0,1.0
Middle East and North Africa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,2.0
Middle East and North Africa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,2.0
Mongolia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,123.0,1.0
Mongolia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,121.0,1.0
Montenegro,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Montenegro,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Morocco,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,115.0,1.0
Morocco,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,108.0,1.0
Mozambique,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,121.0,1.0
Mozambique,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,109.0,1.0
Myanmar,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,126.0,1.0
Myanmar,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,126.0,1.0
Namibia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,108.0,1.0
Namibia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Nauru,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Nauru,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Netherlands,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,108.0,1.0
Netherlands,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
New Zealand,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
New Zealand,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Nicaragua,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,119.0,1.0
Nicaragua,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,116.0,1.0
Niger,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,73.0,1.0
Niger,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,60.0,1.0
Nigeria,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Nigeria,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Norway,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Norway,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Oman,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Oman,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Pakistan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Pakistan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Panama,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,109.0,1.0
Panama,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Papua New Guinea,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,63.0,1.0
Papua New Guinea,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,57.0,1.0
Paraguay,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Paraguay,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Peru,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,108.0,1.0
Peru,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,108.0,1.0
Philippines,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Philippines,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,1.0
Poland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Poland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Portugal,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,116.0,1.0
Portugal,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,112.0,1.0
Qatar,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Qatar,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Republic of Korea,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Republic of Korea,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,1.0
Republic of Moldova,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Republic of Moldova,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Romania,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Romania,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Russian Federation,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Russian Federation,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Rwanda,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,141.0,1.0
Rwanda,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,144.0,1.0
Saint Kitts and Nevis,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Saint Kitts and Nevis,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Saint Lucia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Saint Lucia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Saint Vincent and the Grenadines,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,109.0,1.0
Saint Vincent and the Grenadines,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Samoa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Samoa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,109.0,1.0
San Marino,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
San Marino,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Sao Tome and Principe,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,131.0,1.0
Sao Tome and Principe,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,130.0,1.0
Saudi Arabia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Saudi Arabia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Senegal,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
