Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B , Proportion of 1 year-old children fully immunised against Hepatitis B
Life expectancy at birth_1990.0 , Proportion of population with sustainable access to an improved water source_Total
Proportion of 1 year-old children immunised against TB (BCG) , Proportion of 1 year-old children fully immunised against DPT
Proportion of births attended by skilled health personnel_Percent_Urban , Proportion of population with sustainable access to an improved water source_Urban
Proportion of 1 year-old children immunised against DPT1 , Antenatal care coverage (ANC)
Proportion of population with sustainable access to an improved water source_Urban , Antenatal care coverage (ANC)
Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B , Proportion of 1 year-old children fully immunised against DPT
Proportion of new borns protected against tetanus , Proportion of 1 year-old children fully immunised against DPT
Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B , Proportion of 1 year-old children immunised against DPT1
Institutional deliveries , Proportion of births attended by skilled health personnel_Percent_Urban
Proportion of new borns protected against tetanus , Proportion of 1 year-old children immunised against DPT1
Average annual rate of reduction of under-five mortality rate_1990-2011 , Reduction in under-five mortality rate_2000.0
Proportion of new borns protected against tetanus , Proportion of 1 year-old children immunised against TB (BCG)
Proportion of births attended by skilled health personnel_Percent_Total , Antenatal care coverage (ANC)
Life expectancy at birth_1990.0 , Proportion of population with sustainable access to an improved water source_Rural
Proportion of 1 year-old children immunised against DPT1 , Proportion of births attended by skilled health personnel_Percent_Richest 20%
Proportion of births attended by skilled health personnel_Percent_Total , Proportion of population with sustainable access to an improved water source_Total
Proportion of 1 year-old children immunised against TB (BCG) , Proportion of 1 year-old children immunised against measles
Life expectancy at birth_1990.0 , Proportion of births attended by skilled health personnel_Percent_Total
Antenatal care coverage (ANC) , Proportion of 1 year-old children fully immunised against DPT
Proportion of 1 year-old children immunised against TB (BCG) , Antenatal care coverage (ANC)
Proportion of 1 year-old children immunised against TB (BCG) , Proportion of 1 year-old children fully immunised against polio (OPV)
Proportion of births attended by skilled health personnel_Percent_Richest 20% , Proportion of 1 year-old children fully immunised against DPT
Proportion of 1 year-old children immunised against DPT1 , Proportion of births attended by skilled health personnel_Percent_Urban
Proportion of new borns protected against tetanus , Proportion of births attended by skilled health personnel_Percent_Urban
Proportion of new borns protected against tetanus , Proportion of population with sustainable access to an improved water source_Urban
Antenatal care coverage for at least four visits , Antenatal care coverage (ANC)
Proportion of 1 year-old children immunised against TB (BCG) , Proportion of 1 year-old children fully immunised against Hepatitis B
Proportion of births attended by skilled health personnel_Percent_Urban , Proportion of 1 year-old children fully immunised against DPT
Proportion of births attended by skilled health personnel_Percent_Richest 20% , Proportion of population with sustainable access to an improved water source_Urban
Proportion of 1 year-old children fully immunised against polio (OPV) , Proportion of births attended by skilled health personnel_Percent_Richest 20%
Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B , Proportion of 1 year-old children fully immunised against polio (OPV)
Proportion of 1 year-old children immunised against measles , Antenatal care coverage (ANC)
Proportion of population with sustainable access to an improved water source_Total , Antenatal care coverage (ANC)
Proportion of new borns protected against tetanus , Antenatal care coverage (ANC)
Proportion of 1 year-old children fully immunised against polio (OPV) , Antenatal care coverage (ANC)
Proportion of 1 year-old children immunised against TB (BCG) , Proportion of births attended by skilled health personnel_Percent_Richest 20%
Proportion of new borns protected against tetanus , Proportion of 1 year-old children fully immunised against polio (OPV)
Proportion of births attended by skilled health personnel_Percent_Urban , Birth registration_Richest 20%
Proportion of births attended by skilled health personnel_Percent_Urban , Proportion of population with sustainable access to an improved water source_Total
Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B , Proportion of 1 year-old children immunised against measles
Institutional deliveries , Proportion of population with sustainable access to an improved water source_Total
Institutional deliveries , Life expectancy at birth_1990.0
Proportion of population with sustainable access to an improved water source_Urban , Proportion of 1 year-old children fully immunised against DPT
Proportion of 1 year-old children immunised against TB (BCG) , Proportion of births attended by skilled health personnel_Percent_Urban
Proportion of new borns protected against tetanus , Proportion of births attended by skilled health personnel_Percent_Richest 20%
Proportion of births attended by skilled health personnel_Percent_Richest 20% , Birth registration_Richest 20%
Antenatal care coverage for at least four visits , Proportion of population with sustainable access to an improved water source_Total
Proportion of births attended by skilled health personnel_Percent_Richest 20% , Proportion of 1 year-old children immunised against measles
Proportion of births attended by skilled health personnel_Percent_Urban , Birth registration_Urban
Proportion of new borns protected against tetanus , Proportion of 1 year-old children immunised against measles
Institutional deliveries , Antenatal care coverage (ANC)
Proportion of 1 year-old children fully immunised against polio (OPV) , Proportion of births attended by skilled health personnel_Percent_Urban
Proportion of 1 year-old children immunised against TB (BCG) , Proportion of population with sustainable access to an improved water source_Urban
Proportion of births attended by skilled health personnel_Percent_Urban , Proportion of 1 year-old children immunised against measles
Proportion of population with sustainable access to an improved water source_Urban , Proportion of 1 year-old children immunised against measles
Proportion of 1 year-old children immunised against DPT1 , Proportion of population with sustainable access to an improved water source_Urban
Antenatal care coverage for at least four visits , Proportion of births attended by skilled health personnel_Percent_Total
Institutional deliveries , Proportion of births attended by skilled health personnel_Percent_Richest 20%
Proportion of births attended by skilled health personnel_Percent_Richest 20% , Proportion of population with sustainable access to an improved water source_Total
Proportion of births attended by skilled health personnel_Percent_Richest 20% , Birth registration_Urban
Proportion of births attended by skilled health personnel_Percent_Total , Proportion of population with sustainable access to an improved water source_Rural
Proportion of 1 year-old children fully immunised against Hepatitis B , Antenatal care coverage (ANC)
Proportion of new borns protected against tetanus , Proportion of 1 year-old children fully immunised against Hepatitis B
Antenatal care coverage (ANC) , Birth registration_Richest 20%
Population size_Percent_Total 10-19 yr , Crude birth rate (CBR)_1990.0
Proportion of population with sustainable access to an improved water source_Total , Proportion of 1 year-old children fully immunised against DPT
Proportion of population with sustainable access to an improved water source_Total , Proportion of 1 year-old children immunised against measles
Antenatal care coverage for at least four visits , Proportion of births attended by skilled health personnel_Percent_Urban
Institutional deliveries , Proportion of births attended by skilled health personnel_Percent_Poorest 20%
Proportion of population with sustainable access to an improved water source_Rural , Antenatal care coverage (ANC)
Proportion of population with sustainable access to an improved water source_Rural , Proportion of 1 year-old children fully immunised against DPT
Neonatal mortality rate , Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Male
Population size_Percent_Total 10-19 yr , Crude birth rate (CBR)_1970.0
Proportion of population with access to improved sanitation_Percent_Total , Life expectancy at birth_1990.0
Proportion of 1 year-old children fully immunised against polio (OPV) , Proportion of population with sustainable access to an improved water source_Total
Proportion of 1 year-old children fully immunised against Hepatitis B , Proportion of births attended by skilled health personnel_Percent_Richest 20%
Proportion of births attended by skilled health personnel_Percent_Urban , Proportion of population with sustainable access to an improved water source_Rural
Antenatal care coverage for at least four visits , Proportion of births attended by skilled health personnel_Percent_Richest 20%
Under-five mortality rate (U5MR)_Deaths per 1000 live births_2000.0_Total , Infant mortality rate (IMR)_2011.0
Proportion of 1 year-old children fully immunised against polio (OPV) , Proportion of population with sustainable access to an improved water source_Urban
Proportion of 1 year-old children fully immunised against polio (OPV) , Proportion of population with sustainable access to an improved water source_Rural
Proportion of 1 year-old children fully immunised against Hepatitis B , Proportion of population with sustainable access to an improved water source_Urban
Proportion of births attended by skilled health personnel_Percent_Total , Birth registration_Total
Antenatal care coverage for at least four visits , Proportion of population with sustainable access to an improved water source_Urban
Proportion of population with access to improved sanitation_Percent_Urban , Life expectancy at birth_1990.0
Proportion of 1 year-old children immunised against DPT1 , Birth registration_Richest 20%
Proportion of population with sustainable access to an improved water source_Total , Birth registration_Richest 20%
Life expectancy at birth_1990.0 , Proportion of births attended by skilled health personnel_Percent_Rural
Institutional deliveries , Antenatal care coverage for at least four visits
Proportion of population with sustainable access to an improved water source_Rural , Proportion of 1 year-old children immunised against measles
Proportion of 1 year-old children fully immunised against Hepatitis B , Proportion of births attended by skilled health personnel_Percent_Urban
Antenatal care coverage for at least four visits , Life expectancy at birth_1990.0
Proportion of population with sustainable access to an improved water source_Total , Birth registration_Urban
Proportion of 1 year-old children immunised against DPT1 , Proportion of population with sustainable access to an improved water source_Total
Neonatal mortality rate , Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Total
Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B , Proportion of 1 year-old children immunised against TB (BCG)
Proportion of births attended by skilled health personnel_Percent_Total , Proportion of population with sustainable access to an improved water source_Urban
Proportion of population with sustainable access to an improved water source_Urban , Birth registration_Richest 20%
Antenatal care coverage (ANC) , Birth registration_Urban
Proportion of births attended by skilled health personnel_Percent_Richest 20% , Proportion of population with sustainable access to an improved water source_Rural
Birth registration_Richest 20% , Proportion of 1 year-old children fully immunised against DPT
Proportion of 1 year-old children immunised against DPT1 , Proportion of population with sustainable access to an improved water source_Rural
Institutional deliveries , Proportion of population with sustainable access to an improved water source_Rural
Life expectancy at birth_2011.0 , Under-five mortality rate (U5MR)_Rank_2011.0_Total
Proportion of population with access to improved sanitation_Percent_Total , Life expectancy at birth_2011.0
Life expectancy at birth_1990.0 , Proportion of population with sustainable access to an improved water source_Urban
Proportion of population with sustainable access to an improved water source_Total , Birth registration_Total
Proportion of 1 year-old children immunised against measles , Birth registration_Richest 20%
Life expectancy at birth_1990.0 , Proportion of births attended by skilled health personnel_Percent_Urban
Antenatal care coverage for at least four visits , Proportion of population with sustainable access to an improved water source_Rural
Proportion of births attended by skilled health personnel_Percent_Rural , Birth registration_Total
Proportion of births attended by skilled health personnel_Percent_Total , Proportion of 1 year-old children immunised against measles
Proportion of population with sustainable access to an improved water source_Urban , Birth registration_Urban
Proportion of births attended by skilled health personnel_Percent_Urban , Birth registration_Total
Proportion of births attended by skilled health personnel_Percent_Total , Birth registration_Urban
Total fertility rate (TFR)_1990.0 , Crude birth rate (CBR)_2011.0
Proportion of new borns protected against tetanus , Proportion of population with sustainable access to an improved water source_Total
Proportion of 1 year-old children fully immunised against polio (OPV) , Proportion of births attended by skilled health personnel_Percent_Total
Proportion of 1 year-old children immunised against DPT1 , Birth registration_Urban
Proportion of births attended by skilled health personnel_Percent_Rural , Proportion of population with sustainable access to an improved water source_Total
Birth registration_Urban , Proportion of 1 year-old children fully immunised against DPT
Institutional deliveries , Birth registration_Total
Life expectancy at birth_1990.0 , Birth registration_Total
Proportion of births attended by skilled health personnel_Percent_Rural , Birth registration_Rural
Proportion of births attended by skilled health personnel_Percent_Total , Birth registration_Richest 20%
Life expectancy at birth_1990.0 , Proportion of births attended by skilled health personnel_Percent_Richest 20%
Proportion of births attended by skilled health personnel_Percent_Total , Proportion of 1 year-old children fully immunised against DPT
Proportion of births attended by skilled health personnel_Percent_Total , Birth registration_Rural
Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B , Proportion of births attended by skilled health personnel_Percent_Richest 20%
Proportion of births attended by skilled health personnel_Percent_Rural , Antenatal care coverage (ANC)
Life expectancy at birth_1990.0 , Birth registration_Urban
Proportion of 1 year-old children immunised against measles , Birth registration_Urban
Antenatal care coverage for at least four visits , Birth registration_Total
Antenatal care coverage for at least four visits , Proportion of 1 year-old children immunised against measles
Neonatal mortality rate , Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Female
Proportion of population with access to improved sanitation_Percent_Total , Life expectancy at birth_1970.0
Proportion of new borns protected against tetanus , Proportion of population with sustainable access to an improved water source_Rural
Institutional deliveries , Proportion of population with sustainable access to an improved water source_Urban
Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B , Antenatal care coverage (ANC)
Proportion of 1 year-old children fully immunised against polio (OPV) , Birth registration_Richest 20%
Proportion of births attended by skilled health personnel_Percent_Richest 20% , Birth registration_Total
Proportion of new borns protected against tetanus , Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B
Proportion of under-five children with suspected pneumonia taken to health provider , Antenatal care coverage (ANC)
Under-five mortality rate (U5MR)_Deaths per 1000 live births_2000.0_Total , Infant mortality rate (IMR)_1990.0
Proportion of population with sustainable access to an improved water source_Rural , Birth registration_Richest 20%
Life expectancy at birth_1990.0 , Birth registration_Richest 20%
Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B , Proportion of population with sustainable access to an improved water source_Urban
Antenatal care coverage for at least four visits , Birth registration_Richest 20%
Proportion of 1 year-old children immunised against TB (BCG) , Proportion of population with sustainable access to an improved water source_Total
Proportion of 1 year-old children immunised against TB (BCG) , Birth registration_Richest 20%
Proportion of new borns protected against tetanus , Birth registration_Richest 20%
Proportion of population with access to improved sanitation_Percent_Urban , Life expectancy at birth_2011.0
Antenatal care coverage for at least four visits , Proportion of 1 year-old children fully immunised against polio (OPV)
Proportion of new borns protected against tetanus , Reduction in under-five mortality rate_1990.0
Proportion of 1 year-old children fully immunised against Hepatitis B , Proportion of population with sustainable access to an improved water source_Total
Proportion of 1 year-old children immunised against DPT1 , Proportion of births attended by skilled health personnel_Percent_Total
Life expectancy at birth_1970.0 , Under-five mortality rate (U5MR)_Rank_2011.0_Total
Proportion of population with sustainable access to an improved water source_Rural , Birth registration_Urban
Proportion of births attended by skilled health personnel_Percent_Rural , Proportion of population with sustainable access to an improved water source_Rural
Proportion of 1 year-old children fully immunised against polio (OPV) , Birth registration_Urban
Antenatal care coverage for at least four visits , Proportion of births attended by skilled health personnel_Percent_Rural
Proportion of births attended by skilled health personnel_Percent_Rural , Birth registration_Poorest 20%
Life expectancy at birth_1990.0 , Antenatal care coverage (ANC)
Antenatal care coverage (ANC) , Birth registration_Total
Proportion of under-five children with suspected pneumonia taken to health provider , Proportion of population with sustainable access to an improved water source_Rural
Life expectancy at birth_1990.0 , Proportion of 1 year-old children immunised against measles
Proportion of under-five children with suspected pneumonia taken to health provider , Proportion of population with sustainable access to an improved water source_Total
Antenatal care coverage for at least four visits , Birth registration_Urban
Proportion of population with access to improved sanitation_Percent_Total , Proportion of births attended by skilled health personnel_Percent_Total
Antenatal care coverage for at least four visits , Proportion of 1 year-old children fully immunised against DPT
Life expectancy at birth_1990.0 , Proportion of 1 year-old children fully immunised against polio (OPV)
Institutional deliveries , Birth registration_Rural
Institutional deliveries , Birth registration_Urban
Proportion of 1 year-old children fully immunised against Hepatitis B , Proportion of population with sustainable access to an improved water source_Rural
Proportion of under-five children with suspected pneumonia taken to health provider , Proportion of births attended by skilled health personnel_Percent_Urban
Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B , Proportion of births attended by skilled health personnel_Percent_Urban
Proportion of population with sustainable access to an improved water source_Urban , Reduction in under-five mortality rate_1990.0
Life expectancy at birth_1990.0 , Birth registration_Rural
Average annual rate of reduction of under-five mortality rate_2000-2011 , Reduction in under-five mortality rate_1990.0
Total fertility rate (TFR)_1970.0 , Crude birth rate (CBR)_1990.0
Neonatal mortality rate , Under-five mortality rate (U5MR)_Deaths per 1000 live births_2000.0_Total
Proportion of population with sustainable access to an improved water source_Total , Birth registration_Rural
Antenatal care coverage for at least four visits , Proportion of 1 year-old children immunised against DPT1
Institutional deliveries , Proportion of 1 year-old children fully immunised against polio (OPV)
Proportion of under-five children with suspected pneumonia taken to health provider , Proportion of population with sustainable access to an improved water source_Urban
Proportion of population with access to improved sanitation_Percent_Urban , Proportion of population with sustainable access to an improved water source_Rural
Proportion of new borns protected against tetanus , Birth registration_Urban
Proportion of 1 year-old children fully immunised against Hepatitis B , Birth registration_Richest 20%
Institutional deliveries , Proportion of 1 year-old children immunised against measles
Proportion of births attended by skilled health personnel_Percent_Rural , Birth registration_Urban
Birth registration_Richest 20% , Condom use at last high-risk sex_Male 15-24 yr
Life expectancy at birth_1990.0 , Proportion of 1 year-old children fully immunised against DPT
Proportion of population with access to improved sanitation_Percent_Urban , Proportion of births attended by skilled health personnel_Percent_Total
Institutional deliveries , Proportion of 1 year-old children fully immunised against DPT
Proportion of 1 year-old children immunised against TB (BCG) , Proportion of population with sustainable access to an improved water source_Rural
Proportion of population with access to improved sanitation_Percent_Rural , Life expectancy at birth_1970.0
Institutional deliveries , Birth registration_Richest 20%
Proportion of population with access to improved sanitation_Percent_Urban , Proportion of population with sustainable access to an improved water source_Total
Proportion of births attended by skilled health personnel_Percent_Urban , Birth registration_Rural
Institutional deliveries , Life expectancy at birth_1970.0
Proportion of population with sustainable access to an improved water source_Rural , Birth registration_Total
Proportion of population with access to improved sanitation_Percent_Total , Institutional deliveries
Prevalence of underweight (severe) - WHO , Prevalence of underweight (moderate and severe) - WHO_Percent_Total <5 yr
Life expectancy at birth_1970.0 , Proportion of births attended by skilled health personnel_Percent_Total
Proportion of population with access to improved sanitation_Percent_Rural , Life expectancy at birth_1990.0
Proportion of under-five children with suspected pneumonia taken to health provider , Proportion of births attended by skilled health personnel_Percent_Richest 20%
Proportion of population with access to improved sanitation_Percent_Total , Proportion of population with sustainable access to an improved water source_Rural
Proportion of 1 year-old children immunised against TB (BCG) , Birth registration_Urban
Proportion of births attended by skilled health personnel_Percent_Rural , Birth registration_Richest 20%
Proportion of under-five children with suspected pneumonia taken to health provider , Proportion of 1 year-old children fully immunised against DPT
Proportion of population with access to improved sanitation_Percent_Total , Proportion of population with sustainable access to an improved water source_Total
Proportion of under-five children with suspected pneumonia taken to health provider , Proportion of births attended by skilled health personnel_Percent_Total
Life expectancy at birth_1970.0 , Proportion of births attended by skilled health personnel_Percent_Rural
Life expectancy at birth_2011.0 , Proportion of population with sustainable access to an improved water source_Total
Proportion of 1 year-old children immunised against measles , Birth registration_Total
Institutional deliveries , Proportion of 1 year-old children immunised against DPT1
Proportion of births attended by skilled health personnel_Percent_Urban , Condom use at last high-risk sex_Male 15-24 yr
Proportion of new borns protected against tetanus , Antenatal care coverage for at least four visits
Antenatal care coverage for at least four visits , Birth registration_Rural
Proportion of population with sustainable access to an improved water source_Urban , Birth registration_Total
Total fertility rate (TFR)_1990.0 , Crude birth rate (CBR)_1970.0
Proportion of births attended by skilled health personnel_Percent_Richest 20% , Birth registration_Rural
Proportion of 1 year-old children fully immunised against Hepatitis B , Birth registration_Urban
Proportion of under-five children with suspected pneumonia taken to health provider , Proportion of 1 year-old children immunised against measles
Proportion of new borns protected against tetanus , Proportion of births attended by skilled health personnel_Percent_Total
Life expectancy at birth_1990.0 , Proportion of under-five children with suspected pneumonia taken to health provider
Proportion of population with access to improved sanitation_Percent_Rural , Life expectancy at birth_2011.0
Proportion of 1 year-old children immunised against TB (BCG) , Antenatal care coverage for at least four visits
Total fertility rate (TFR)_1970.0 , Population size_Percent_Total 10-19 yr
Birth registration_Urban , Condom use at last high-risk sex_Male 15-24 yr
Antenatal care coverage for at least four visits , Proportion of under-five children with suspected pneumonia taken to health provider
Life expectancy at birth_1990.0 , Proportion of 1 year-old children immunised against DPT1
Proportion of under-five children with suspected pneumonia taken to health provider , Proportion of 1 year-old children immunised against DPT1
Birth registration_Total , Proportion of 1 year-old children fully immunised against DPT
Proportion of population with sustainable access to an improved water source_Urban , Condom use at last high-risk sex_Male 15-24 yr
Life expectancy at birth_2011.0 , Proportion of population with sustainable access to an improved water source_Rural
Proportion of population with access to improved sanitation_Percent_Total , Proportion of births attended by skilled health personnel_Percent_Rural
Proportion of births attended by skilled health personnel_Percent_Total , Birth registration_Poorest 20%
Reduction in under-five mortality rate_1990.0 , Proportion of 1 year-old children fully immunised against DPT
Proportion of 1 year-old children fully immunised against Hepatitis B , Proportion of births attended by skilled health personnel_Percent_Total
Proportion of under-five children with suspected pneumonia taken to health provider , Proportion of under-five children with suspected pneumonia receiving antibiotics
Life expectancy at birth_1970.0 , Proportion of births attended by skilled health personnel_Percent_Poorest 20%
Proportion of under-five children with suspected pneumonia taken to health provider , Proportion of 1 year-old children fully immunised against polio (OPV)
Average annual rate of reduction of under-five mortality rate_1990-2000 , Proportion of population with sustainable access to an improved water source_Urban
Proportion of under-five children with suspected pneumonia receiving antibiotics , Birth registration_Urban
Proportion of 1 year-old children immunised against TB (BCG) , Proportion of births attended by skilled health personnel_Percent_Total
Proportion of 1 year-old children fully immunised against polio (OPV) , Birth registration_Total
Proportion of births attended by skilled health personnel_Percent_Richest 20% , Condom use at last high-risk sex_Male 15-24 yr
Proportion of 1 year-old children immunised against TB (BCG) , Reduction in under-five mortality rate_1990.0
Proportion of population with access to improved sanitation_Percent_Total , Under-five mortality rate (U5MR)_Rank_2011.0_Total
Proportion of under-five children with suspected pneumonia receiving antibiotics , Birth registration_Richest 20%
Proportion of births attended by skilled health personnel_Percent_Rural , Proportion of population with sustainable access to an improved water source_Urban
Proportion of 1 year-old children immunised against DPT1 , Birth registration_Total
Institutional deliveries , Birth registration_Poorest 20%
Proportion of 1 year-old children immunised against DPT1 , Reduction in under-five mortality rate_1990.0
Antenatal care coverage (ANC) , Condom use at last high-risk sex_Male 15-24 yr
Proportion of 1 year-old children immunised against measles , Reduction in under-five mortality rate_1990.0
Proportion of births attended by skilled health personnel_Percent_Urban , Proportion of under-five children with suspected pneumonia receiving antibiotics
Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B , Proportion of population with sustainable access to an improved water source_Total
Proportion of population with access to improved sanitation_Percent_Urban , Institutional deliveries
Proportion of population with sustainable access to an improved water source_Rural , Birth registration_Rural
Institutional deliveries , Proportion of under-five children with suspected pneumonia taken to health provider
Proportion of 1 year-old children fully immunised against Hepatitis B , Reduction in under-five mortality rate_1990.0
Antenatal care coverage for at least four visits , Proportion of 1 year-old children fully immunised against Hepatitis B
Antenatal care coverage (ANC) , Birth registration_Rural
Proportion of under-five children with suspected pneumonia taken to health provider , Proportion of births attended by skilled health personnel_Percent_Rural
Proportion of births attended by skilled health personnel_Percent_Urban , Reduction in under-five mortality rate_1990.0
Life expectancy at birth_1970.0 , Proportion of population with sustainable access to an improved water source_Total
Life expectancy at birth_1970.0 , Proportion of population with sustainable access to an improved water source_Rural
Proportion of new borns protected against tetanus , Average annual rate of reduction of under-five mortality rate_1990-2000
Proportion of births attended by skilled health personnel_Percent_Richest 20% , Reduction in under-five mortality rate_1990.0
Life expectancy at birth_1990.0 , Birth registration_Poorest 20%
Life expectancy at birth_1990.0 , Under-five mortality rate (U5MR)_Rank_2011.0_Total
Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B , Proportion of population with sustainable access to an improved water source_Rural
Proportion of population with sustainable access to an improved water source_Total , Reduction in under-five mortality rate_1990.0
Life expectancy at birth_1990.0 , Contraceptive prevalence rate (CPR)
Proportion of population with access to improved sanitation_Percent_Total , Proportion of births attended by skilled health personnel_Percent_Poorest 20%
Proportion of 1 year-old children fully immunised against polio (OPV) , Proportion of births attended by skilled health personnel_Percent_Rural
Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B , Birth registration_Richest 20%
Proportion of births attended by skilled health personnel_Percent_Rural , Proportion of 1 year-old children immunised against measles
Proportion of 1 year-old children fully immunised against polio (OPV) , Reduction in under-five mortality rate_1990.0
Proportion of population with access to improved sanitation_Percent_Urban , Life expectancy at birth_1970.0
Proportion of births attended by skilled health personnel_Percent_Poorest 20% , Birth registration_Poorest 20%
Proportion of population with sustainable access to an improved water source_Rural , Reduction in under-five mortality rate_1990.0
Total fertility rate (TFR)_1990.0 , Population size_Percent_Total 10-19 yr
Life expectancy at birth_1990.0 , Proportion of births attended by skilled health personnel_Percent_Poorest 20%
Proportion of population with access to improved sanitation_Percent_Rural , Under-five mortality rate (U5MR)_Rank_2011.0_Total
Proportion of population with access to improved sanitation_Percent_Urban , Proportion of births attended by skilled health personnel_Percent_Rural
Proportion of under-five children with suspected pneumonia receiving antibiotics , Birth registration_Total
Proportion of population with sustainable access to an improved water source_Total , Birth registration_Poorest 20%
Proportion of 1 year-old children immunised against measles , Birth registration_Rural
Life expectancy at birth_1990.0 , Proportion of 1 year-old children fully immunised against Hepatitis B
Institutional deliveries , Proportion of 1 year-old children fully immunised against Hepatitis B
Proportion of new borns protected against tetanus , Condom use at last high-risk sex_Male 15-24 yr
Proportion of births attended by skilled health personnel_Percent_Richest 20% , Proportion of under-five children with suspected pneumonia receiving antibiotics
Proportion of births attended by skilled health personnel_Percent_Rural , Proportion of 1 year-old children fully immunised against DPT
Average annual rate of reduction of under-five mortality rate_1990-2000 , Proportion of population with sustainable access to an improved water source_Total
Proportion of 1 year-old children immunised against measles , Condom use at last high-risk sex_Male 15-24 yr
Birth registration_Rural , Proportion of 1 year-old children fully immunised against DPT
Antenatal care coverage (ANC) , Reduction in under-five mortality rate_1990.0
Life expectancy at birth_2011.0 , Proportion of births attended by skilled health personnel_Percent_Total
Proportion of under-five children with suspected pneumonia receiving antibiotics , Birth registration_Rural
Proportion of 1 year-old children fully immunised against polio (OPV) , Birth registration_Rural
Proportion of under-five children with suspected pneumonia receiving antibiotics , Proportion of 1 year-old children fully immunised against DPT
Proportion of population with sustainable access to an improved water source_Total , Proportion of under-five children with suspected pneumonia receiving antibiotics
Average annual rate of reduction of under-five mortality rate_1990-2000 , Proportion of 1 year-old children fully immunised against DPT
Proportion of new borns protected against tetanus , Institutional deliveries
Proportion of population with sustainable access to an improved water source_Urban , Birth registration_Rural
Life expectancy at birth_1990.0 , Proportion of under-five children with suspected pneumonia receiving antibiotics
Proportion of under-five children with suspected pneumonia taken to health provider , Birth registration_Richest 20%
Proportion of population with access to improved sanitation_Percent_Rural , Proportion of births attended by skilled health personnel_Percent_Poorest 20%
Proportion of 1 year-old children immunised against TB (BCG) , Condom use at last high-risk sex_Male 15-24 yr
Antenatal care coverage for at least four visits , Birth registration_Poorest 20%
Proportion of population with access to improved sanitation_Percent_Rural , Proportion of births attended by skilled health personnel_Percent_Total
