Country or Area,Subgroup,Year,Source,Unit,Ratio of adult literacy rate of females to males,Ratio of adult literacy rate of females to males Footnotes
Cambodia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,80.0,1.0
Cameroon,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,80.0,1.0
Cape Verde,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,89.0,1.0
CEE/CIS,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,98.0,3.0
Central African Republic,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,62.0,1.0
Chad,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,54.0,1.0
Chile,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
China,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,94.0,1.0
Colombia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Comoros,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,87.0,1.0
Costa Rica,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Côte d'Ivoire,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,72.0,1.0
Croatia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Cuba,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Cyprus,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,98.0,1.0
Democratic People's Republic of Korea,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Democratic Republic of the Congo,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,74.0,1.0
Dominican Republic,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
East Asia and Pacific,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,94.0,3.0
Eastern and Southern Africa,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,82.0,3.0
Ecuador,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,97.0,1.0
Egypt,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,79.0,1.0
El Salvador,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,94.0,1.0
Equatorial Guinea,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,93.0,1.0
Eritrea,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,73.0,1.0
Estonia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Ethiopia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,59.0,1.0
Gabon,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,92.0,1.0
Gambia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,67.0,1.0
Georgia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Ghana,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,84.0,1.0
Greece,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,98.0,1.0
Guatemala,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,87.0,1.0
Guinea,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,58.0,1.0
Guinea-Bissau,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,60.0,1.0
Haiti,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,84.0,2.0
Honduras,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Hungary,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
India,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,68.0,2.0
Indonesia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,94.0,1.0
Iran (Islamic Republic of),Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,90.0,1.0
Iraq,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,82.0,1.0
Italy,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Jamaica,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,112.0,1.0
Jordan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,93.0,1.0
Kazakhstan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Kenya,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,93.0,1.0
Kuwait,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,97.0,1.0
Kyrgyzstan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Lao People's Democratic Republic,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,77.0,2.0
Latin America and Caribbean,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,98.0,3.0
Latvia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Least Developed Countries/Territories,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,76.0,3.0
Lebanon,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,92.0,1.0
Lesotho,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,115.0,1.0
Liberia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,88.0,1.0
Libya,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,86.0,1.0
Lithuania,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Madagascar,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,91.0,1.0
Malawi,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,84.0,1.0
Malaysia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,95.0,1.0
Maldives,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,2.0
Mali,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,47.0,1.0
Malta,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,103.0,2.0
Mauritania,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,79.0,1.0
Mauritius,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,95.0,1.0
Mexico,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,97.0,1.0
Middle East and North Africa,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,82.0,3.0
Mongolia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,1.0
Montenegro,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,98.0,1.0
Morocco,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,64.0,1.0
Mozambique,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,61.0,1.0
Myanmar,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,95.0,1.0
Namibia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Nepal,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,66.0,1.0
Nicaragua,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,2.0
Niger,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,35.0,2.0
Nigeria,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,70.0,1.0
Oman,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,90.0,1.0
Pakistan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,59.0,1.0
Panama,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Papua New Guinea,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,90.0,1.0
Paraguay,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,98.0,1.0
Peru,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,89.0,1.0
Philippines,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,1.0
Poland,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Portugal,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,97.0,1.0
Qatar,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Republic of Moldova,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Romania,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Russian Federation,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Rwanda,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,90.0,1.0
Samoa,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Sao Tome and Principe,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,90.0,1.0
Saudi Arabia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,90.0,1.0
Senegal,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,63.0,1.0
Serbia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,97.0,1.0
Seychelles,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,1.0
Sierra Leone,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,59.0,1.0
Singapore,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,96.0,1.0
Slovenia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
South Africa,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,96.0,1.0
South Asia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,69.0,3.0
Spain,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,98.0,1.0
Sri Lanka,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,97.0,1.0
State of Palestine,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,94.0,1.0
Sub-Saharan Africa,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,76.0,3.0
Suriname,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Swaziland,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Syrian Arab Republic,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,86.0,1.0
Tajikistan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Thailand,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,96.0,2.0
The former Yugoslav Republic of Macedonia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,97.0,1.0
Timor-Leste,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,83.0,1.0
Togo,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,61.0,1.0
Tonga,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,2.0
Trinidad and Tobago,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Tunisia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,82.0,1.0
Turkey,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,89.0,1.0
Turkmenistan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Uganda,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,78.0,1.0
Ukraine,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
United Arab Emirates,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,102.0,2.0
United Republic of Tanzania,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,85.0,1.0
Uruguay,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,1.0
Uzbekistan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Vanuatu,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,96.0,1.0
Venezuela (Bolivarian Republic of),Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Viet Nam,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,96.0,1.0
Western and Central Africa,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,70.0,3.0
World,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,90.0,3.0
Yemen,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,58.0,1.0
Zambia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,77.0,1.0
fnSeqID,Footnote,,,,,
1,Data refer to the most recent year available during the period specified in the column heading. ,,,,,
2,"Data refer to the most recent year available during the period specified in the column heading. Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages, with the exception of 2005-2006 data from India. Estimates from data years prior to 2000 are not displayed.",,,,,
3,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
