Country or Area,Subgroup,Year,Source,Unit,ODA inflow as proportion of recipient GNI,ODA inflow as proportion of recipient GNI Footnotes
Grenada,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,6.0,
Guatemala,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Guinea,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,5.0,
Guinea-Bissau,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,16.0,
Guyana,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,6.0,
Haiti,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,46.0,
Honduras,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,4.0,
India,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Indonesia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Iraq,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,3.0,
Jamaica,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Jordan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,3.0,
Kazakhstan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Kenya,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,5.0,
Kiribati,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,11.0,
Kyrgyzstan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,8.0,
Lao People's Democratic Republic,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,6.0,
Latin America and Caribbean,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,1.0
Least Developed Countries/Territories,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,8.0,1.0
Lebanon,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Lesotho,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,10.0,
Liberia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,177.0,
Madagascar,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,5.0,
Malawi,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,21.0,
Malaysia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Maldives,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,8.0,
Mali,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,12.0,
Marshall Islands,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,49.0,
Mauritania,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,10.0,
Mauritius,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Mexico,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Micronesia (Federated States of),Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,41.0,
Middle East and North Africa,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,1.0
Mongolia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,5.0,
Montenegro,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,2.0,
Morocco,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Mozambique,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,21.0,
Namibia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,2.0,
Nepal,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,5.0,
Nicaragua,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,10.0,
Niger,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,14.0,
Nigeria,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Pakistan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,2.0,
Palau,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,20.0,
Panama,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Papua New Guinea,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,6.0,
Paraguay,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Peru,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Philippines,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Republic of Moldova,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,7.0,
Rwanda,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,19.0,
Saint Kitts and Nevis,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,2.0,
Saint Lucia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,5.0,
Saint Vincent and the Grenadines,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,3.0,
Samoa,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,27.0,
Senegal,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,7.0,
Serbia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,2.0,
Seychelles,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,7.0,
Sierra Leone,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,25.0,
Solomon Islands,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,61.0,
South Africa,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
South Asia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,1.0
Sri Lanka,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Sub-Saharan Africa,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,4.0,1.0
Sudan (pre-cession),Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,4.0,2.0
Swaziland,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,3.0,
Syrian Arab Republic,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Tajikistan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,8.0,
Thailand,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
The former Yugoslav Republic of Macedonia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,2.0,
Timor-Leste,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,11.0,
Togo,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,15.0,
Tonga,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,19.0,
Trinidad and Tobago,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Tunisia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Turkey,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Turkmenistan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Tuvalu,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,35.0,
Uganda,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,10.0,
Ukraine,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
United Republic of Tanzania,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,13.0,
Uruguay,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Uzbekistan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Vanuatu,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,15.0,
Venezuela (Bolivarian Republic of),Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Viet Nam,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,3.0,
Western and Central Africa,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,5.0,1.0
World,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,1.0
Zambia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,6.0,
Zimbabwe,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,11.0,
fnSeqID,Footnote,,,,,
1,"For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
2,"Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item).",,,,,
