Country or Area,Subgroup,Year,Source,Unit,GNI per capita,GNI per capita Footnotes
Chad,Total,2011.0,UN_World Bank,US$,690,
Chile,Total,2011.0,UN_World Bank,US$,12280,
China,Total,2011.0,UN_World Bank,US$,4930,
Colombia,Total,2011.0,UN_World Bank,US$,6110,
Comoros,Total,2011.0,UN_World Bank,US$,770,
Congo,Total,2011.0,UN_World Bank,US$,2270,
Costa Rica,Total,2011.0,UN_World Bank,US$,7660,
Côte d'Ivoire,Total,2011.0,UN_World Bank,US$,1100,
Croatia,Total,2011.0,UN_World Bank,US$,13850,
Cuba,Total,2011.0,UN_World Bank,US$,5460,1.0
Cyprus,Total,2011.0,UN_World Bank,US$,29450,1.0
Czech Republic,Total,2011.0,UN_World Bank,US$,18520,
Democratic People's Republic of Korea,Total,2011.0,UN_World Bank,US$,"Low-income country (GNI per capita is $1,025 or less).",
Democratic Republic of the Congo,Total,2011.0,UN_World Bank,US$,190,
Denmark,Total,2011.0,UN_World Bank,US$,60390,
Djibouti,Total,2011.0,UN_World Bank,US$,1270,1.0
Dominica,Total,2011.0,UN_World Bank,US$,7090,
Dominican Republic,Total,2011.0,UN_World Bank,US$,5240,
East Asia and Pacific,Total,2011.0,UN_World Bank,US$,4853,2.0
Eastern and Southern Africa,Total,2011.0,UN_World Bank,US$,1621,2.0
Ecuador,Total,2011.0,UN_World Bank,US$,4140,
Egypt,Total,2011.0,UN_World Bank,US$,2600,
El Salvador,Total,2011.0,UN_World Bank,US$,3480,
Equatorial Guinea,Total,2011.0,UN_World Bank,US$,14540,
Eritrea,Total,2011.0,UN_World Bank,US$,430,
Estonia,Total,2011.0,UN_World Bank,US$,15200,
Ethiopia,Total,2011.0,UN_World Bank,US$,400,
Fiji,Total,2011.0,UN_World Bank,US$,3680,
Finland,Total,2011.0,UN_World Bank,US$,48420,
France,Total,2011.0,UN_World Bank,US$,42420,
Gabon,Total,2011.0,UN_World Bank,US$,7980,
Gambia,Total,2011.0,UN_World Bank,US$,610,
Georgia,Total,2011.0,UN_World Bank,US$,2860,
Germany,Total,2011.0,UN_World Bank,US$,43980,
Ghana,Total,2011.0,UN_World Bank,US$,1410,
Greece,Total,2011.0,UN_World Bank,US$,25030,
Grenada,Total,2011.0,UN_World Bank,US$,7220,
Guatemala,Total,2011.0,UN_World Bank,US$,2870,
Guinea,Total,2011.0,UN_World Bank,US$,440,
Guinea-Bissau,Total,2011.0,UN_World Bank,US$,600,
Guyana,Total,2011.0,UN_World Bank,US$,2900,1.0
Haiti,Total,2011.0,UN_World Bank,US$,700,
Honduras,Total,2011.0,UN_World Bank,US$,1970,
Hungary,Total,2011.0,UN_World Bank,US$,12730,
Iceland,Total,2011.0,UN_World Bank,US$,35020,
India,Total,2011.0,UN_World Bank,US$,1410,
Indonesia,Total,2011.0,UN_World Bank,US$,2940,
Iran (Islamic Republic of),Total,2011.0,UN_World Bank,US$,4520,1.0
Iraq,Total,2011.0,UN_World Bank,US$,2640,
Ireland,Total,2011.0,UN_World Bank,US$,38580,
Israel,Total,2011.0,UN_World Bank,US$,28930,
Italy,Total,2011.0,UN_World Bank,US$,35330,
Jamaica,Total,2011.0,UN_World Bank,US$,4980,
Japan,Total,2011.0,UN_World Bank,US$,45180,
Jordan,Total,2011.0,UN_World Bank,US$,4380,
Kazakhstan,Total,2011.0,UN_World Bank,US$,8220,
Kenya,Total,2011.0,UN_World Bank,US$,820,
Kiribati,Total,2011.0,UN_World Bank,US$,2110,
Kuwait,Total,2011.0,UN_World Bank,US$,48900,1.0
Kyrgyzstan,Total,2011.0,UN_World Bank,US$,920,
Lao People's Democratic Republic,Total,2011.0,UN_World Bank,US$,1130,
Latin America and Caribbean,Total,2011.0,UN_World Bank,US$,8595,2.0
Latvia,Total,2011.0,UN_World Bank,US$,12350,
Least Developed Countries/Territories,Total,2011.0,UN_World Bank,US$,695,2.0
Lebanon,Total,2011.0,UN_World Bank,US$,9110,
Lesotho,Total,2011.0,UN_World Bank,US$,1220,
Liberia,Total,2011.0,UN_World Bank,US$,240,
Libya,Total,2011.0,UN_World Bank,US$,12320,1.0
Liechtenstein,Total,2011.0,UN_World Bank,US$,137070,1.0
Lithuania,Total,2011.0,UN_World Bank,US$,12280,
Luxembourg,Total,2011.0,UN_World Bank,US$,78130,
Madagascar,Total,2011.0,UN_World Bank,US$,430,
Malawi,Total,2011.0,UN_World Bank,US$,340,
Malaysia,Total,2011.0,UN_World Bank,US$,8420,
Maldives,Total,2011.0,UN_World Bank,US$,6530,
Mali,Total,2011.0,UN_World Bank,US$,610,
Malta,Total,2011.0,UN_World Bank,US$,18620,1.0
Marshall Islands,Total,2011.0,UN_World Bank,US$,3910,
Mauritania,Total,2011.0,UN_World Bank,US$,1000,
Mauritius,Total,2011.0,UN_World Bank,US$,8240,
Mexico,Total,2011.0,UN_World Bank,US$,9240,
Micronesia (Federated States of),Total,2011.0,UN_World Bank,US$,2900,
Middle East and North Africa,Total,2011.0,UN_World Bank,US$,6234,2.0
Monaco,Total,2011.0,UN_World Bank,US$,183150,1.0
Mongolia,Total,2011.0,UN_World Bank,US$,2320,
Montenegro,Total,2011.0,UN_World Bank,US$,7060,
Morocco,Total,2011.0,UN_World Bank,US$,2970,
Mozambique,Total,2011.0,UN_World Bank,US$,470,
Myanmar,Total,2011.0,UN_World Bank,US$,"Low-income country (GNI per capita is $1,025 or less).",
Namibia,Total,2011.0,UN_World Bank,US$,4700,
Nepal,Total,2011.0,UN_World Bank,US$,540,
Netherlands,Total,2011.0,UN_World Bank,US$,49730,
New Zealand,Total,2011.0,UN_World Bank,US$,29350,1.0
Nicaragua,Total,2011.0,UN_World Bank,US$,1170,
Niger,Total,2011.0,UN_World Bank,US$,360,
Nigeria,Total,2011.0,UN_World Bank,US$,1200,
Norway,Total,2011.0,UN_World Bank,US$,88890,
Oman,Total,2011.0,UN_World Bank,US$,19260,1.0
Pakistan,Total,2011.0,UN_World Bank,US$,1120,
Palau,Total,2011.0,UN_World Bank,US$,7250,
Panama,Total,2011.0,UN_World Bank,US$,7910,
Papua New Guinea,Total,2011.0,UN_World Bank,US$,1480,
Paraguay,Total,2011.0,UN_World Bank,US$,2970,
Peru,Total,2011.0,UN_World Bank,US$,5500,
Philippines,Total,2011.0,UN_World Bank,US$,2210,
Poland,Total,2011.0,UN_World Bank,US$,12480,
Portugal,Total,2011.0,UN_World Bank,US$,21250,
Qatar,Total,2011.0,UN_World Bank,US$,80440,
Republic of Korea,Total,2011.0,UN_World Bank,US$,20870,
Republic of Moldova,Total,2011.0,UN_World Bank,US$,1980,
Romania,Total,2011.0,UN_World Bank,US$,7910,
Russian Federation,Total,2011.0,UN_World Bank,US$,10400,
Rwanda,Total,2011.0,UN_World Bank,US$,570,
Saint Kitts and Nevis,Total,2011.0,UN_World Bank,US$,12480,
Saint Lucia,Total,2011.0,UN_World Bank,US$,6680,
Saint Vincent and the Grenadines,Total,2011.0,UN_World Bank,US$,6100,
Samoa,Total,2011.0,UN_World Bank,US$,3190,
San Marino,Total,2011.0,UN_World Bank,US$,50400,1.0
Sao Tome and Principe,Total,2011.0,UN_World Bank,US$,1360,
Saudi Arabia,Total,2011.0,UN_World Bank,US$,17820,
Senegal,Total,2011.0,UN_World Bank,US$,1070,
Serbia,Total,2011.0,UN_World Bank,US$,5680,
Seychelles,Total,2011.0,UN_World Bank,US$,11130,
Sierra Leone,Total,2011.0,UN_World Bank,US$,340,
Singapore,Total,2011.0,UN_World Bank,US$,42930,
Slovakia,Total,2011.0,UN_World Bank,US$,16070,
Slovenia,Total,2011.0,UN_World Bank,US$,23610,
Solomon Islands,Total,2011.0,UN_World Bank,US$,1110,
Somalia,Total,2011.0,UN_World Bank,US$,"Low-income country (GNI per capita is $1,025 or less).",
South Africa,Total,2011.0,UN_World Bank,US$,6960,
South Asia,Total,2011.0,UN_World Bank,US$,1319,2.0
South Sudan,Total,2011.0,UN_World Bank,US$,"Lower-middle-income country (GNI per capita is $1,026 to $4,035).",3.0
Spain,Total,2011.0,UN_World Bank,US$,30990,
Sri Lanka,Total,2011.0,UN_World Bank,US$,2580,
State of Palestine,Total,2011.0,UN_World Bank,US$,"Lower-middle-income country (GNI per capita is $1,026 to $4,035).",
Sub-Saharan Africa,Total,2011.0,UN_World Bank,US$,1269,2.0
Sudan (pre-cession),Total,2011.0,UN_World Bank,US$,1300,4.0
Suriname,Total,2011.0,UN_World Bank,US$,7640,1.0
Swaziland,Total,2011.0,UN_World Bank,US$,3300,
Sweden,Total,2011.0,UN_World Bank,US$,53230,
Switzerland,Total,2011.0,UN_World Bank,US$,76380,
Syrian Arab Republic,Total,2011.0,UN_World Bank,US$,2750,1.0
Tajikistan,Total,2011.0,UN_World Bank,US$,870,
Thailand,Total,2011.0,UN_World Bank,US$,4420,
The former Yugoslav Republic of Macedonia,Total,2011.0,UN_World Bank,US$,4730,
Timor-Leste,Total,2011.0,UN_World Bank,US$,2730,1.0
Togo,Total,2011.0,UN_World Bank,US$,560,
Tonga,Total,2011.0,UN_World Bank,US$,3580,
Trinidad and Tobago,Total,2011.0,UN_World Bank,US$,15040,
Tunisia,Total,2011.0,UN_World Bank,US$,4070,
Turkey,Total,2011.0,UN_World Bank,US$,10410,
Turkmenistan,Total,2011.0,UN_World Bank,US$,4110,
Tuvalu,Total,2011.0,UN_World Bank,US$,5010,
Uganda,Total,2011.0,UN_World Bank,US$,510,
Ukraine,Total,2011.0,UN_World Bank,US$,3120,
United Arab Emirates,Total,2011.0,UN_World Bank,US$,40760,
United Kingdom,Total,2011.0,UN_World Bank,US$,37780,
United Republic of Tanzania,Total,2011.0,UN_World Bank,US$,540,
United States,Total,2011.0,UN_World Bank,US$,48450,
Uruguay,Total,2011.0,UN_World Bank,US$,11860,
Uzbekistan,Total,2011.0,UN_World Bank,US$,1510,
Vanuatu,Total,2011.0,UN_World Bank,US$,2870,
Venezuela (Bolivarian Republic of),Total,2011.0,UN_World Bank,US$,11920,
Viet Nam,Total,2011.0,UN_World Bank,US$,1260,
Western and Central Africa,Total,2011.0,UN_World Bank,US$,937,2.0
World,Total,2011.0,UN_World Bank,US$,9513,2.0
Yemen,Total,2011.0,UN_World Bank,US$,1070,
Zambia,Total,2011.0,UN_World Bank,US$,1160,
Zimbabwe,Total,2011.0,UN_World Bank,US$,640,
fnSeqID,Footnote,,,,,
1,Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages.,,,,,
2,"For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
3,"Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item).",,,,,
4,"Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item).",,,,,
