Country or Area,Subgroup,Year,Source,Unit,Antenatal care coverage (ANC),Antenatal care coverage (ANC) Footnotes
Democratic Republic of the Congo,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,89.0,1.0
Djibouti,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,92.0,2.0
Dominica,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,1.0
Dominican Republic,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,1.0
East Asia and Pacific,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,93.0,3.0
Eastern and Southern Africa,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,81.0,3.0
Ecuador,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,84.0,2.0
Egypt,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,74.0,1.0
El Salvador,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,94.0,1.0
Equatorial Guinea,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,86.0,2.0
Eritrea,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,70.0,2.0
Ethiopia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,43.0,1.0
Fiji,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,1.0
Finland,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,2.0
France,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,2.0
Gabon,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,94.0,2.0
Gambia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,98.0,1.0
Georgia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,98.0,1.0
Germany,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,2.0
Ghana,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,96.0,1.0
Grenada,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,1.0
Guatemala,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,93.0,1.0
Guinea,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,88.0,1.0
Guinea-Bissau,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,93.0,1.0
Guyana,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,92.0,1.0
Haiti,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,85.0,2.0
Honduras,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,92.0,2.0
India,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,74.0,2.0
Indonesia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,93.0,1.0
Iran (Islamic Republic of),Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,98.0,2.0
Iraq,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,84.0,2.0
Ireland,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,2.0
Italy,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,2.0
Jamaica,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,1.0
Jordan,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,1.0
Kazakhstan,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,2.0
Kenya,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,92.0,1.0
Kiribati,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,88.0,1.0
Kuwait,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,1.0
Kyrgyzstan,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,97.0,2.0
Lao People's Democratic Republic,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,35.0,2.0
Latin America and Caribbean,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,96.0,3.0
Latvia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,92.0,2.0
Least Developed Countries/Territories,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,74.0,3.0
Lebanon,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,96.0,2.0
Lesotho,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,92.0,1.0
Liberia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,79.0,1.0
Libya,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,93.0,1.0
Lithuania,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,2.0
Madagascar,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,86.0,1.0
Malawi,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,95.0,1.0
Malaysia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,91.0,1.0
Maldives,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,1.0
Mali,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,70.0,2.0
Malta,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,2.0
Marshall Islands,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,81.0,1.0
Mauritania,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,75.0,1.0
Mexico,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,96.0,1.0
Micronesia (Federated States of),Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,80.0,1.0
Middle East and North Africa,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,77.0,3.0
Mongolia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,1.0
Montenegro,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,97.0,2.0
Morocco,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,77.0,1.0
Mozambique,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,92.0,1.0
Myanmar,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,83.0,1.0
Namibia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,95.0,1.0
Nauru,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,95.0,1.0
Nepal,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,58.0,1.0
Nicaragua,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,90.0,1.0
Niger,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,46.0,2.0
Nigeria,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,58.0,1.0
Niue,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,1.0
Oman,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,1.0
Pakistan,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,61.0,1.0
Palau,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,90.0,1.0
Panama,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,96.0,1.0
Papua New Guinea,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,79.0,2.0
Paraguay,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,96.0,1.0
Peru,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,95.0,1.0
Philippines,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,91.0,1.0
Portugal,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,2.0
Qatar,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,1.0
Republic of Moldova,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,98.0,2.0
Romania,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,94.0,2.0
Rwanda,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,98.0,1.0
Saint Kitts and Nevis,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,1.0
Saint Lucia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,1.0
Saint Vincent and the Grenadines,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,1.0
Samoa,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,93.0,1.0
Sao Tome and Principe,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,98.0,1.0
Saudi Arabia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,97.0,1.0
Senegal,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,93.0,1.0
Serbia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,1.0
Sierra Leone,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,93.0,1.0
Slovakia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,97.0,2.0
Slovenia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,2.0
Solomon Islands,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,74.0,1.0
Somalia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,26.0,2.0
South Africa,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,97.0,1.0
South Asia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,70.0,3.0
South Sudan,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,40.0,4.0
Sri Lanka,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,1.0
State of Palestine,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,2.0
Sub-Saharan Africa,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,77.0,3.0
Sudan,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,56.0,4.0
Suriname,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,90.0,2.0
Swaziland,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,97.0,1.0
Sweden,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,2.0
Syrian Arab Republic,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,88.0,1.0
Tajikistan,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,89.0,1.0
Thailand,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,1.0
The former Yugoslav Republic of Macedonia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,1.0
Timor-Leste,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,84.0,1.0
Togo,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,72.0,1.0
Tonga,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,98.0,1.0
Trinidad and Tobago,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,96.0,2.0
Tunisia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,96.0,2.0
Turkey,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,92.0,1.0
Turkmenistan,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,2.0
Tuvalu,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,97.0,1.0
Uganda,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,93.0,1.0
Ukraine,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,1.0
United Arab Emirates,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,100.0,1.0
United Republic of Tanzania,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,88.0,1.0
Uruguay,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,96.0,1.0
Uzbekistan,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99.0,2.0
Vanuatu,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,84.0,1.0
Venezuela (Bolivarian Republic of),Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,94.0,2.0
