Country or Area,Subgroup,Year,Source,Unit,Annual number of under-five deaths,Annual number of under-five deaths Footnotes
Côte d'Ivoire,Total,2011.0,UN_UNICEF,Thousand,75.0,
Croatia,Total,2011.0,UN_UNICEF,Thousand,0.0,
Cuba,Total,2011.0,UN_UNICEF,Thousand,1.0,
Cyprus,Total,2011.0,UN_UNICEF,Thousand,0.0,
Czech Republic,Total,2011.0,UN_UNICEF,Thousand,0.0,
Democratic People's Republic of Korea,Total,2011.0,UN_UNICEF,Thousand,12.0,
Democratic Republic of the Congo,Total,2011.0,UN_UNICEF,Thousand,465.0,
Denmark,Total,2011.0,UN_UNICEF,Thousand,0.0,
Djibouti,Total,2011.0,UN_UNICEF,Thousand,2.0,
Dominica,Total,2011.0,UN_UNICEF,Thousand,0.0,
Dominican Republic,Total,2011.0,UN_UNICEF,Thousand,5.0,
East Asia and Pacific,Total,2011.0,UN_UNICEF,Thousand,590.0,1.0
Eastern and Southern Africa,Total,2011.0,UN_UNICEF,Thousand,1177.0,1.0
Ecuador,Total,2011.0,UN_UNICEF,Thousand,7.0,
Egypt,Total,2011.0,UN_UNICEF,Thousand,40.0,
El Salvador,Total,2011.0,UN_UNICEF,Thousand,2.0,
Equatorial Guinea,Total,2011.0,UN_UNICEF,Thousand,3.0,
Eritrea,Total,2011.0,UN_UNICEF,Thousand,13.0,
Estonia,Total,2011.0,UN_UNICEF,Thousand,0.0,
Ethiopia,Total,2011.0,UN_UNICEF,Thousand,194.0,
Fiji,Total,2011.0,UN_UNICEF,Thousand,0.0,
Finland,Total,2011.0,UN_UNICEF,Thousand,0.0,
France,Total,2011.0,UN_UNICEF,Thousand,3.0,
Gabon,Total,2011.0,UN_UNICEF,Thousand,3.0,
Gambia,Total,2011.0,UN_UNICEF,Thousand,6.0,
Georgia,Total,2011.0,UN_UNICEF,Thousand,1.0,
Germany,Total,2011.0,UN_UNICEF,Thousand,3.0,
Ghana,Total,2011.0,UN_UNICEF,Thousand,60.0,
Greece,Total,2011.0,UN_UNICEF,Thousand,1.0,
Grenada,Total,2011.0,UN_UNICEF,Thousand,0.0,
Guatemala,Total,2011.0,UN_UNICEF,Thousand,14.0,
Guinea,Total,2011.0,UN_UNICEF,Thousand,48.0,
Guinea-Bissau,Total,2011.0,UN_UNICEF,Thousand,9.0,
Guyana,Total,2011.0,UN_UNICEF,Thousand,0.0,
Haiti,Total,2011.0,UN_UNICEF,Thousand,19.0,
Honduras,Total,2011.0,UN_UNICEF,Thousand,4.0,
Hungary,Total,2011.0,UN_UNICEF,Thousand,1.0,
Iceland,Total,2011.0,UN_UNICEF,Thousand,0.0,
India,Total,2011.0,UN_UNICEF,Thousand,1655.0,
Indonesia,Total,2011.0,UN_UNICEF,Thousand,134.0,
Iran (Islamic Republic of),Total,2011.0,UN_UNICEF,Thousand,33.0,
Iraq,Total,2011.0,UN_UNICEF,Thousand,42.0,
Ireland,Total,2011.0,UN_UNICEF,Thousand,0.0,
Israel,Total,2011.0,UN_UNICEF,Thousand,1.0,
Italy,Total,2011.0,UN_UNICEF,Thousand,2.0,
Jamaica,Total,2011.0,UN_UNICEF,Thousand,1.0,
Japan,Total,2011.0,UN_UNICEF,Thousand,4.0,
Jordan,Total,2011.0,UN_UNICEF,Thousand,3.0,
Kazakhstan,Total,2011.0,UN_UNICEF,Thousand,11.0,
Kenya,Total,2011.0,UN_UNICEF,Thousand,107.0,
Kiribati,Total,2011.0,UN_UNICEF,Thousand,0.0,
Kuwait,Total,2011.0,UN_UNICEF,Thousand,1.0,
Kyrgyzstan,Total,2011.0,UN_UNICEF,Thousand,4.0,
Lao People's Democratic Republic,Total,2011.0,UN_UNICEF,Thousand,6.0,
Latin America and Caribbean,Total,2011.0,UN_UNICEF,Thousand,203.0,1.0
Latvia,Total,2011.0,UN_UNICEF,Thousand,0.0,
Least Developed Countries/Territories,Total,2011.0,UN_UNICEF,Thousand,2649.0,1.0
Lebanon,Total,2011.0,UN_UNICEF,Thousand,1.0,
Lesotho,Total,2011.0,UN_UNICEF,Thousand,5.0,
Liberia,Total,2011.0,UN_UNICEF,Thousand,12.0,
Libya,Total,2011.0,UN_UNICEF,Thousand,2.0,
Lithuania,Total,2011.0,UN_UNICEF,Thousand,0.0,
Luxembourg,Total,2011.0,UN_UNICEF,Thousand,0.0,
Madagascar,Total,2011.0,UN_UNICEF,Thousand,45.0,
Malawi,Total,2011.0,UN_UNICEF,Thousand,52.0,
Malaysia,Total,2011.0,UN_UNICEF,Thousand,4.0,
Maldives,Total,2011.0,UN_UNICEF,Thousand,0.0,
Mali,Total,2011.0,UN_UNICEF,Thousand,121.0,
Malta,Total,2011.0,UN_UNICEF,Thousand,0.0,
Marshall Islands,Total,2011.0,UN_UNICEF,Thousand,0.0,
Mauritania,Total,2011.0,UN_UNICEF,Thousand,13.0,
Mauritius,Total,2011.0,UN_UNICEF,Thousand,0.0,
Mexico,Total,2011.0,UN_UNICEF,Thousand,34.0,
Micronesia (Federated States of),Total,2011.0,UN_UNICEF,Thousand,0.0,
Middle East and North Africa,Total,2011.0,UN_UNICEF,Thousand,351.0,1.0
Monaco,Total,2011.0,UN_UNICEF,Thousand,0.0,
Mongolia,Total,2011.0,UN_UNICEF,Thousand,2.0,
Montenegro,Total,2011.0,UN_UNICEF,Thousand,0.0,
Morocco,Total,2011.0,UN_UNICEF,Thousand,21.0,
Mozambique,Total,2011.0,UN_UNICEF,Thousand,86.0,
Myanmar,Total,2011.0,UN_UNICEF,Thousand,53.0,
Namibia,Total,2011.0,UN_UNICEF,Thousand,2.0,
Nauru,Total,2011.0,UN_UNICEF,Thousand,0.0,
Nepal,Total,2011.0,UN_UNICEF,Thousand,34.0,
Netherlands,Total,2011.0,UN_UNICEF,Thousand,1.0,
New Zealand,Total,2011.0,UN_UNICEF,Thousand,0.0,
Nicaragua,Total,2011.0,UN_UNICEF,Thousand,4.0,
Niger,Total,2011.0,UN_UNICEF,Thousand,89.0,
Nigeria,Total,2011.0,UN_UNICEF,Thousand,756.0,
Niue,Total,2011.0,UN_UNICEF,Thousand,0.0,
Norway,Total,2011.0,UN_UNICEF,Thousand,0.0,
Oman,Total,2011.0,UN_UNICEF,Thousand,0.0,
Pakistan,Total,2011.0,UN_UNICEF,Thousand,352.0,
Palau,Total,2011.0,UN_UNICEF,Thousand,0.0,
Panama,Total,2011.0,UN_UNICEF,Thousand,1.0,
Papua New Guinea,Total,2011.0,UN_UNICEF,Thousand,12.0,
Paraguay,Total,2011.0,UN_UNICEF,Thousand,3.0,
Peru,Total,2011.0,UN_UNICEF,Thousand,11.0,
Philippines,Total,2011.0,UN_UNICEF,Thousand,57.0,
Poland,Total,2011.0,UN_UNICEF,Thousand,2.0,
Portugal,Total,2011.0,UN_UNICEF,Thousand,0.0,
Qatar,Total,2011.0,UN_UNICEF,Thousand,0.0,
Republic of Korea,Total,2011.0,UN_UNICEF,Thousand,3.0,
Republic of Moldova,Total,2011.0,UN_UNICEF,Thousand,1.0,
Romania,Total,2011.0,UN_UNICEF,Thousand,3.0,
Russian Federation,Total,2011.0,UN_UNICEF,Thousand,20.0,
Rwanda,Total,2011.0,UN_UNICEF,Thousand,23.0,
Saint Kitts and Nevis,Total,2011.0,UN_UNICEF,Thousand,0.0,
Saint Lucia,Total,2011.0,UN_UNICEF,Thousand,0.0,
Saint Vincent and the Grenadines,Total,2011.0,UN_UNICEF,Thousand,0.0,
Samoa,Total,2011.0,UN_UNICEF,Thousand,0.0,
San Marino,Total,2011.0,UN_UNICEF,Thousand,0.0,
Sao Tome and Principe,Total,2011.0,UN_UNICEF,Thousand,0.0,
Saudi Arabia,Total,2011.0,UN_UNICEF,Thousand,6.0,
Senegal,Total,2011.0,UN_UNICEF,Thousand,30.0,
Serbia,Total,2011.0,UN_UNICEF,Thousand,1.0,
Seychelles,Total,2011.0,UN_UNICEF,Thousand,0.0,
Sierra Leone,Total,2011.0,UN_UNICEF,Thousand,42.0,
Singapore,Total,2011.0,UN_UNICEF,Thousand,0.0,
Slovakia,Total,2011.0,UN_UNICEF,Thousand,0.0,
Slovenia,Total,2011.0,UN_UNICEF,Thousand,0.0,
Solomon Islands,Total,2011.0,UN_UNICEF,Thousand,0.0,
Somalia,Total,2011.0,UN_UNICEF,Thousand,71.0,
South Africa,Total,2011.0,UN_UNICEF,Thousand,47.0,
South Asia,Total,2011.0,UN_UNICEF,Thousand,2309.0,1.0
South Sudan,Total,2011.0,UN_UNICEF,Thousand,43.0,2.0
Spain,Total,2011.0,UN_UNICEF,Thousand,2.0,
Sri Lanka,Total,2011.0,UN_UNICEF,Thousand,5.0,
State of Palestine,Total,2011.0,UN_UNICEF,Thousand,3.0,
Sub-Saharan Africa,Total,2011.0,UN_UNICEF,Thousand,3370.0,1.0
Sudan,Total,2011.0,UN_UNICEF,Thousand,95.0,2.0
Suriname,Total,2011.0,UN_UNICEF,Thousand,0.0,
Swaziland,Total,2011.0,UN_UNICEF,Thousand,4.0,
Sweden,Total,2011.0,UN_UNICEF,Thousand,0.0,
Switzerland,Total,2011.0,UN_UNICEF,Thousand,0.0,
Syrian Arab Republic,Total,2011.0,UN_UNICEF,Thousand,7.0,
Tajikistan,Total,2011.0,UN_UNICEF,Thousand,12.0,
Thailand,Total,2011.0,UN_UNICEF,Thousand,10.0,
The former Yugoslav Republic of Macedonia,Total,2011.0,UN_UNICEF,Thousand,0.0,
Timor-Leste,Total,2011.0,UN_UNICEF,Thousand,2.0,
Togo,Total,2011.0,UN_UNICEF,Thousand,21.0,
Tonga,Total,2011.0,UN_UNICEF,Thousand,0.0,
Trinidad and Tobago,Total,2011.0,UN_UNICEF,Thousand,1.0,
Tunisia,Total,2011.0,UN_UNICEF,Thousand,3.0,
Turkey,Total,2011.0,UN_UNICEF,Thousand,20.0,
Turkmenistan,Total,2011.0,UN_UNICEF,Thousand,5.0,
Tuvalu,Total,2011.0,UN_UNICEF,Thousand,0.0,
Uganda,Total,2011.0,UN_UNICEF,Thousand,131.0,
Ukraine,Total,2011.0,UN_UNICEF,Thousand,5.0,
United Arab Emirates,Total,2011.0,UN_UNICEF,Thousand,1.0,
United Kingdom,Total,2011.0,UN_UNICEF,Thousand,4.0,
United Republic of Tanzania,Total,2011.0,UN_UNICEF,Thousand,122.0,
United States,Total,2011.0,UN_UNICEF,Thousand,32.0,
Uruguay,Total,2011.0,UN_UNICEF,Thousand,1.0,
Uzbekistan,Total,2011.0,UN_UNICEF,Thousand,30.0,
Vanuatu,Total,2011.0,UN_UNICEF,Thousand,0.0,
Venezuela (Bolivarian Republic of),Total,2011.0,UN_UNICEF,Thousand,9.0,
Viet Nam,Total,2011.0,UN_UNICEF,Thousand,32.0,
Western and Central Africa,Total,2011.0,UN_UNICEF,Thousand,2096.0,1.0
World,Total,2011.0,UN_UNICEF,Thousand,6914.0,1.0
Yemen,Total,2011.0,UN_UNICEF,Thousand,70.0,
Zambia,Total,2011.0,UN_UNICEF,Thousand,46.0,
Zimbabwe,Total,2011.0,UN_UNICEF,Thousand,24.0,
fnSeqID,Footnote,,,,,
1,"For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
2,"Because of the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the United Nations on 14 July 2011, disaggregated data for the Sudan and South Sudan as separate States are not yet available for most indicators. Aggregated data presented are for the Sudan pre-cession (see Memorandum item).",,,,,
