Country or Area,Subgroup,Year,Source,Unit,Proportion of population with access to improved sanitation,Proportion of population with access to improved sanitation Footnotes
Cook Islands,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Cook Islands,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Cook Islands,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Costa Rica,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Costa Rica,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Costa Rica,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Costa Rica,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Côte d'Ivoire,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,11.0,
Côte d'Ivoire,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,36.0,
Côte d'Ivoire,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,24.0,
Côte d'Ivoire,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,3.3,
Croatia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Croatia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Croatia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Croatia,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Cuba,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,81.0,
Cuba,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,94.0,
Cuba,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
Cuba,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.2,
Cyprus,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Cyprus,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Cyprus,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Cyprus,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Czech Republic,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Czech Republic,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Czech Republic,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Czech Republic,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Democratic People's Republic of Korea,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,71.0,
Democratic People's Republic of Korea,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,86.0,
Democratic People's Republic of Korea,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,80.0,
Democratic People's Republic of Korea,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.2,
Democratic Republic of the Congo,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,24.0,
Democratic Republic of the Congo,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,24.0,
Democratic Republic of the Congo,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,24.0,
Democratic Republic of the Congo,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Denmark,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Denmark,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Denmark,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Denmark,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Djibouti,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,10.0,
Djibouti,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,63.0,
Djibouti,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,50.0,
Djibouti,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,6.3,
Dominican Republic,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,75.0,
Dominican Republic,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,
Dominican Republic,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,83.0,
Dominican Republic,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.2,
East Asia and Pacific,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,58.0,1.0
East Asia and Pacific,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,77.0,1.0
East Asia and Pacific,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,67.0,2.0
East Asia and Pacific,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.3,1.0
Eastern and Southern Africa,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,27.0,1.0
Eastern and Southern Africa,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,54.0,1.0
Eastern and Southern Africa,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,35.0,2.0
Eastern and Southern Africa,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,2.0,1.0
Ecuador,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,84.0,
Ecuador,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Ecuador,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Ecuador,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,
Egypt,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Egypt,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Egypt,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Egypt,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
El Salvador,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,83.0,
El Salvador,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,89.0,
El Salvador,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,
El Salvador,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,
Eritrea,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,4.0,
Estonia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,94.0,
Estonia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Estonia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Estonia,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Ethiopia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,19.0,
Ethiopia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,29.0,
Ethiopia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,21.0,
Ethiopia,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.5,
Fiji,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,71.0,
Fiji,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,94.0,
Fiji,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,83.0,
Fiji,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.3,
Finland,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Finland,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Finland,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Finland,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
France,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
France,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
France,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
