Country or Area,Subgroup,Year,Source,Unit,Father's support for learning,Father's support for learning Footnotes
Ghana,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,30.0,1.0
Guyana,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,52.0,1.0
Iraq,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,60.0,1.0
Jamaica,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,41.0,1.0
Kazakhstan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,49.0,1.0
Kyrgyzstan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,54.0,1.0
Lao People's Democratic Republic,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,24.0,1.0
Lebanon,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,74.0,2.0
Mali,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,14.0,1.0
Mauritania,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,30.0,1.0
Mongolia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,41.0,1.0
Montenegro,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,79.0,1.0
Morocco,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,56.0,2.0
Mozambique,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,20.0,1.0
Myanmar,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,44.0,2.0
Nigeria,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,38.0,1.0
Serbia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,78.0,1.0
Sierra Leone,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,42.0,1.0
Somalia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,48.0,1.0
Suriname,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,31.0,1.0
Swaziland,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,10.0,1.0
Syrian Arab Republic,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,62.0,1.0
Tajikistan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,23.0,1.0
Thailand,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,57.0,1.0
The former Yugoslav Republic of Macedonia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,71.0,1.0
Togo,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,38.0,1.0
Trinidad and Tobago,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,63.0,1.0
Uzbekistan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,54.0,1.0
Viet Nam,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,61.0,1.0
Western and Central Africa,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,35.0,3.0
Yemen,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,37.0,1.0
fnSeqID,Footnote,,,,,
1,"Data refer to the most recent year available during the period specified in the column heading. Changes in the definitions of several ECD indicators were made between the third and fourth round of MICS (MICS3 and MICS4). In order to allow for comparability with MICS4, data from MICS3 for the adult support for learning, father's support for learning and learning materials at home (playthings) indicators were recalculated according to MICS4 indicator definitions. Therefore, the recalculated data presented here will differ from estimates reported in MICS3 national reports.",,,,,
2,"Data refer to the most recent year available during the period specified in the column heading. Changes in the definitions of several ECD indicators were made between the third and fourth round of MICS (MICS3 and MICS4). In order to allow for comparability with MICS4, data from MICS3 for the adult support for learning, father's support for learning and learning materials at home (playthings) indicators were recalculated according to MICS4 indicator definitions. Therefore, the recalculated data presented here will differ from estimates reported in MICS3 national reports. Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",,,,,
3,"Data refer to the most recent year available during the period specified in the column heading. Changes in the definitions of several ECD indicators were made between the third and fourth round of MICS (MICS3 and MICS4). In order to allow for comparability with MICS4, data from MICS3 for the adult support for learning, father's support for learning and learning materials at home (playthings) indicators were recalculated according to MICS4 indicator definitions. Therefore, the recalculated data presented here will differ from estimates reported in MICS3 national reports. For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
