Country or Area,Subgroup,Year,Source,Unit,Central government expenditure allocated to health',Central government expenditure allocated to health' Footnotes
Germany,Total,2007-2010,UN_World Bank,Percent,8.0,1.0
Ghana,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Greece,Total,2007-2010,UN_World Bank,Percent,7.0,1.0
Grenada,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Guatemala,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Guinea,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Guinea-Bissau,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Guyana,Total,2007-2010,UN_World Bank,Percent,7.0,1.0
Haiti,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Honduras,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Hungary,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Iceland,Total,2007-2010,UN_World Bank,Percent,7.0,1.0
India,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Indonesia,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Iran (Islamic Republic of),Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Iraq,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Ireland,Total,2007-2010,UN_World Bank,Percent,7.0,1.0
Israel,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Italy,Total,2007-2010,UN_World Bank,Percent,7.0,1.0
Jamaica,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Japan,Total,2007-2010,UN_World Bank,Percent,7.0,1.0
Jordan,Total,2007-2010,UN_World Bank,Percent,6.0,1.0
Kazakhstan,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Kiribati,Total,2007-2010,UN_World Bank,Percent,10.0,1.0
Kuwait,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Kyrgyzstan,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Lao People's Democratic Republic,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Latin America and Caribbean,Total,2007-2010,UN_World Bank,Percent,4.0,2.0
Latvia,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Least Developed Countries/Territories,Total,2007-2010,UN_World Bank,Percent,2.0,2.0
Lebanon,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Lesotho,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Liberia,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Libya,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Lithuania,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Luxembourg,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Madagascar,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Malawi,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Malaysia,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Maldives,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Mali,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Malta,Total,2007-2010,UN_World Bank,Percent,6.0,1.0
Marshall Islands,Total,2007-2010,UN_World Bank,Percent,16.0,1.0
Mauritania,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Mauritius,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Mexico,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Micronesia (Federated States of),Total,2007-2010,UN_World Bank,Percent,13.0,1.0
Middle East and North Africa,Total,2007-2010,UN_World Bank,Percent,2.0,2.0
Monaco,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Mongolia,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Montenegro,Total,2007-2010,UN_World Bank,Percent,7.0,1.0
Morocco,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Mozambique,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Myanmar,Total,2007-2010,UN_World Bank,Percent,0.0,1.0
Namibia,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Nepal,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Netherlands,Total,2007-2010,UN_World Bank,Percent,8.0,1.0
New Zealand,Total,2007-2010,UN_World Bank,Percent,8.0,1.0
Nicaragua,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Niger,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Nigeria,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Norway,Total,2007-2010,UN_World Bank,Percent,8.0,1.0
Oman,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Pakistan,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Palau,Total,2007-2010,UN_World Bank,Percent,9.0,1.0
Panama,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Papua New Guinea,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Paraguay,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Peru,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Philippines,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Poland,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Portugal,Total,2007-2010,UN_World Bank,Percent,8.0,1.0
Qatar,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Republic of Korea,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Republic of Moldova,Total,2007-2010,UN_World Bank,Percent,6.0,1.0
Romania,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Russian Federation,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Rwanda,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Saint Kitts and Nevis,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Saint Lucia,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Saint Vincent and the Grenadines,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Samoa,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
San Marino,Total,2007-2010,UN_World Bank,Percent,6.0,1.0
Sao Tome and Principe,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Saudi Arabia,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Senegal,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Serbia,Total,2007-2010,UN_World Bank,Percent,6.0,1.0
Seychelles,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Sierra Leone,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Singapore,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Slovakia,Total,2007-2010,UN_World Bank,Percent,6.0,1.0
Slovenia,Total,2007-2010,UN_World Bank,Percent,6.0,1.0
Solomon Islands,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
South Africa,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Spain,Total,2007-2010,UN_World Bank,Percent,7.0,1.0
Sri Lanka,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Sub-Saharan Africa,Total,2007-2010,UN_World Bank,Percent,3.0,2.0
Sudan (pre-cession),Total,2007-2010,UN_World Bank,Percent,2.0,4.0
Suriname,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Swaziland,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Sweden,Total,2007-2010,UN_World Bank,Percent,8.0,1.0
Switzerland,Total,2007-2010,UN_World Bank,Percent,6.0,1.0
Syrian Arab Republic,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Tajikistan,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Thailand,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
The former Yugoslav Republic of Macedonia,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Timor-Leste,Total,2007-2010,UN_World Bank,Percent,9.0,1.0
Togo,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Tonga,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Trinidad and Tobago,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Tunisia,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Turkey,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Turkmenistan,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Tuvalu,Total,2007-2010,UN_World Bank,Percent,10.0,1.0
Uganda,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Ukraine,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
United Arab Emirates,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
United Kingdom,Total,2007-2010,UN_World Bank,Percent,8.0,1.0
United Republic of Tanzania,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
United States,Total,2007-2010,UN_World Bank,Percent,8.0,1.0
Uruguay,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Uzbekistan,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Vanuatu,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Venezuela (Bolivarian Republic of),Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Viet Nam,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
World,Total,2007-2010,UN_World Bank,Percent,6.0,3.0
Yemen,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Zambia,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
fnSeqID,Footnote,,,,,
1,Data refer to the most recent year available during the period specified in the column heading. ,,,,,
2,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
3,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX. Excludes China.",,,,,
4,"Data refer to the most recent year available during the period specified in the column heading. Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item).",,,,,
