Country or Area,Subgroup,Year,Source,Unit,Ratio of life expectancy at birth of females to males,Ratio of life expectancy at birth of females to males Footnotes
Denmark,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Djibouti,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Dominican Republic,Total,2011.0,UN_United Nations Population Division,Ratio,108.0,
East Asia and Pacific,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,1.0
Eastern and Southern Africa,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,1.0
Ecuador,Total,2011.0,UN_United Nations Population Division,Ratio,108.0,
Egypt,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
El Salvador,Total,2011.0,UN_United Nations Population Division,Ratio,114.0,
Equatorial Guinea,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Eritrea,Total,2011.0,UN_United Nations Population Division,Ratio,108.0,
Estonia,Total,2011.0,UN_United Nations Population Division,Ratio,115.0,
Ethiopia,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Fiji,Total,2011.0,UN_United Nations Population Division,Ratio,108.0,
Finland,Total,2011.0,UN_United Nations Population Division,Ratio,108.0,
France,Total,2011.0,UN_United Nations Population Division,Ratio,108.0,
Gabon,Total,2011.0,UN_United Nations Population Division,Ratio,103.0,
Gambia,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Georgia,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Germany,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Ghana,Total,2011.0,UN_United Nations Population Division,Ratio,103.0,
Greece,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Grenada,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Guatemala,Total,2011.0,UN_United Nations Population Division,Ratio,111.0,
Guinea,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Guinea-Bissau,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Guyana,Total,2011.0,UN_United Nations Population Division,Ratio,109.0,
Haiti,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Honduras,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Hungary,Total,2011.0,UN_United Nations Population Division,Ratio,111.0,
Iceland,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
India,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Indonesia,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Iran (Islamic Republic of),Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Iraq,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Ireland,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Israel,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Italy,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Jamaica,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Japan,Total,2011.0,UN_United Nations Population Division,Ratio,109.0,
Jordan,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Kazakhstan,Total,2011.0,UN_United Nations Population Division,Ratio,118.0,
Kenya,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Kuwait,Total,2011.0,UN_United Nations Population Division,Ratio,102.0,
Kyrgyzstan,Total,2011.0,UN_United Nations Population Division,Ratio,113.0,
Lao People's Democratic Republic,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Latin America and Caribbean,Total,2011.0,UN_United Nations Population Division,Ratio,109.0,1.0
Latvia,Total,2011.0,UN_United Nations Population Division,Ratio,115.0,
Least Developed Countries/Territories,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,1.0
Lebanon,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Lesotho,Total,2011.0,UN_United Nations Population Division,Ratio,97.0,
Liberia,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Libya,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Lithuania,Total,2011.0,UN_United Nations Population Division,Ratio,117.0,
Luxembourg,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Madagascar,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Malawi,Total,2011.0,UN_United Nations Population Division,Ratio,100.0,
Malaysia,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Maldives,Total,2011.0,UN_United Nations Population Division,Ratio,103.0,
Mali,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Malta,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Mauritania,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Mauritius,Total,2011.0,UN_United Nations Population Division,Ratio,109.0,
Mexico,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Micronesia (Federated States of),Total,2011.0,UN_United Nations Population Division,Ratio,103.0,
Middle East and North Africa,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,1.0
Mongolia,Total,2011.0,UN_United Nations Population Division,Ratio,112.0,
Montenegro,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Morocco,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Mozambique,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Myanmar,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Namibia,Total,2011.0,UN_United Nations Population Division,Ratio,102.0,
Nepal,Total,2011.0,UN_United Nations Population Division,Ratio,103.0,
Netherlands,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
New Zealand,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Nicaragua,Total,2011.0,UN_United Nations Population Division,Ratio,109.0,
Niger,Total,2011.0,UN_United Nations Population Division,Ratio,102.0,
Nigeria,Total,2011.0,UN_United Nations Population Division,Ratio,103.0,
Norway,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Oman,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Pakistan,Total,2011.0,UN_United Nations Population Division,Ratio,103.0,
Panama,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Papua New Guinea,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Paraguay,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Peru,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Philippines,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Poland,Total,2011.0,UN_United Nations Population Division,Ratio,112.0,
Portugal,Total,2011.0,UN_United Nations Population Division,Ratio,108.0,
Qatar,Total,2011.0,UN_United Nations Population Division,Ratio,99.0,
Republic of Korea,Total,2011.0,UN_United Nations Population Division,Ratio,109.0,
Republic of Moldova,Total,2011.0,UN_United Nations Population Division,Ratio,111.0,
Romania,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Russian Federation,Total,2011.0,UN_United Nations Population Division,Ratio,119.0,
Rwanda,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Saint Lucia,Total,2011.0,UN_United Nations Population Division,Ratio,108.0,
Saint Vincent and the Grenadines,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Samoa,Total,2011.0,UN_United Nations Population Division,Ratio,109.0,
Sao Tome and Principe,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Saudi Arabia,Total,2011.0,UN_United Nations Population Division,Ratio,103.0,
Senegal,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Serbia,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Sierra Leone,Total,2011.0,UN_United Nations Population Division,Ratio,103.0,
Singapore,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Slovakia,Total,2011.0,UN_United Nations Population Division,Ratio,111.0,
Slovenia,Total,2011.0,UN_United Nations Population Division,Ratio,109.0,
Solomon Islands,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Somalia,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
South Africa,Total,2011.0,UN_United Nations Population Division,Ratio,102.0,
South Asia,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,1.0
Spain,Total,2011.0,UN_United Nations Population Division,Ratio,108.0,
Sri Lanka,Total,2011.0,UN_United Nations Population Division,Ratio,109.0,
State of Palestine,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Sub-Saharan Africa,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,1.0
Sudan (pre-cession),Total,2011.0,UN_United Nations Population Division,Ratio,106.0,2.0
Suriname,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Swaziland,Total,2011.0,UN_United Nations Population Division,Ratio,98.0,
Sweden,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Switzerland,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Syrian Arab Republic,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Tajikistan,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Thailand,Total,2011.0,UN_United Nations Population Division,Ratio,109.0,
The former Yugoslav Republic of Macedonia,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Timor-Leste,Total,2011.0,UN_United Nations Population Division,Ratio,103.0,
Togo,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Tonga,Total,2011.0,UN_United Nations Population Division,Ratio,108.0,
Trinidad and Tobago,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Tunisia,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Turkey,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Turkmenistan,Total,2011.0,UN_United Nations Population Division,Ratio,114.0,
Uganda,Total,2011.0,UN_United Nations Population Division,Ratio,103.0,
Ukraine,Total,2011.0,UN_United Nations Population Division,Ratio,118.0,
United Arab Emirates,Total,2011.0,UN_United Nations Population Division,Ratio,103.0,
United Kingdom,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
United Republic of Tanzania,Total,2011.0,UN_United Nations Population Division,Ratio,103.0,
United States,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Uruguay,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Uzbekistan,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Vanuatu,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Venezuela (Bolivarian Republic of),Total,2011.0,UN_United Nations Population Division,Ratio,108.0,
Viet Nam,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Western and Central Africa,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,1.0
World,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,1.0
Yemen,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Zambia,Total,2011.0,UN_United Nations Population Division,Ratio,102.0,
Zimbabwe,Total,2011.0,UN_United Nations Population Division,Ratio,97.0,
fnSeqID,Footnote,,,,,
1,"For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
2,"Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item).",,,,,
