Country or Area,Subgroup,Year,Source,Unit,Cellular subscribers,Cellular subscribers Footnotes
Somalia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,7.0,
South Africa,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,127.0,
South Asia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,69.0,1.0
Spain,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,114.0,
Sri Lanka,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,87.0,
Sub-Saharan Africa,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,53.0,1.0
Sudan (pre-cession),Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,56.0,2.0
Suriname,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,179.0,
Swaziland,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,64.0,
Sweden,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,119.0,
Switzerland,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,130.0,
Syrian Arab Republic,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,63.0,
Tajikistan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,91.0,
Thailand,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,113.0,
The former Yugoslav Republic of Macedonia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,109.0,
Timor-Leste,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,53.0,
Togo,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,50.0,
Tonga,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,53.0,
Trinidad and Tobago,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,136.0,
Tunisia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,117.0,
Turkey,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,89.0,
Turkmenistan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,69.0,
Tuvalu,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,22.0,
Uganda,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,48.0,
Ukraine,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,123.0,
United Arab Emirates,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,149.0,
United Kingdom,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,131.0,
United Republic of Tanzania,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,56.0,
United States,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,106.0,
Uruguay,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,141.0,
Uzbekistan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,92.0,
Venezuela (Bolivarian Republic of),Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,98.0,
Viet Nam,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,143.0,
Western and Central Africa,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,54.0,1.0
World,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,85.0,1.0
Yemen,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,47.0,
Zambia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,61.0,
Zimbabwe,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,72.0,
fnSeqID,Footnote,,,,,
1,"For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
2,"Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item).",,,,,
