Country or Area,Subgroup,Year,Source,Unit,Average annual rate of reduction of total fertility rate,Average annual rate of reduction of total fertility rate Footnotes
Ecuador,Total,1990-2011,UN_United Nations Population Division,Percent,1.9,
Ecuador,Total,1970-1990,UN_United Nations Population Division,Percent,2.7,
Egypt,Total,1990-2011,UN_United Nations Population Division,Percent,2.3,
Egypt,Total,1970-1990,UN_United Nations Population Division,Percent,1.6,
El Salvador,Total,1990-2011,UN_United Nations Population Division,Percent,2.8,
El Salvador,Total,1970-1990,UN_United Nations Population Division,Percent,2.3,
Equatorial Guinea,Total,1990-2011,UN_United Nations Population Division,Percent,0.7,
Equatorial Guinea,Total,1970-1990,UN_United Nations Population Division,Percent,-0.2,
Eritrea,Total,1990-2011,UN_United Nations Population Division,Percent,1.7,
Eritrea,Total,1970-1990,UN_United Nations Population Division,Percent,0.3,
Estonia,Total,1990-2011,UN_United Nations Population Division,Percent,0.6,
Estonia,Total,1970-1990,UN_United Nations Population Division,Percent,0.4,
Ethiopia,Total,1990-2011,UN_United Nations Population Division,Percent,2.7,
Ethiopia,Total,1970-1990,UN_United Nations Population Division,Percent,-0.2,
Fiji,Total,1990-2011,UN_United Nations Population Division,Percent,1.2,
Fiji,Total,1970-1990,UN_United Nations Population Division,Percent,1.5,
Finland,Total,1990-2011,UN_United Nations Population Division,Percent,-0.3,
Finland,Total,1970-1990,UN_United Nations Population Division,Percent,0.3,
France,Total,1990-2011,UN_United Nations Population Division,Percent,-0.6,
France,Total,1970-1990,UN_United Nations Population Division,Percent,1.8,
Gabon,Total,1990-2011,UN_United Nations Population Division,Percent,2.3,
Gabon,Total,1970-1990,UN_United Nations Population Division,Percent,-0.5,
Gambia,Total,1990-2011,UN_United Nations Population Division,Percent,1.1,
Gambia,Total,1970-1990,UN_United Nations Population Division,Percent,0.0,
Georgia,Total,1990-2011,UN_United Nations Population Division,Percent,1.6,
Georgia,Total,1970-1990,UN_United Nations Population Division,Percent,0.9,
Germany,Total,1990-2011,UN_United Nations Population Division,Percent,-0.2,
Germany,Total,1970-1990,UN_United Nations Population Division,Percent,1.9,
Ghana,Total,1990-2011,UN_United Nations Population Division,Percent,1.5,
Ghana,Total,1970-1990,UN_United Nations Population Division,Percent,1.1,
Greece,Total,1990-2011,UN_United Nations Population Division,Percent,-0.3,
Greece,Total,1970-1990,UN_United Nations Population Division,Percent,2.5,
Grenada,Total,1990-2011,UN_United Nations Population Division,Percent,2.6,
Grenada,Total,1970-1990,UN_United Nations Population Division,Percent,0.9,
Guatemala,Total,1990-2011,UN_United Nations Population Division,Percent,1.7,
Guatemala,Total,1970-1990,UN_United Nations Population Division,Percent,0.6,
Guinea,Total,1990-2011,UN_United Nations Population Division,Percent,1.3,
Guinea,Total,1970-1990,UN_United Nations Population Division,Percent,0.1,
Guinea-Bissau,Total,1990-2011,UN_United Nations Population Division,Percent,1.4,
Guinea-Bissau,Total,1970-1990,UN_United Nations Population Division,Percent,-0.5,
Guyana,Total,1990-2011,UN_United Nations Population Division,Percent,0.7,
Guyana,Total,1970-1990,UN_United Nations Population Division,Percent,3.8,
Haiti,Total,1990-2011,UN_United Nations Population Division,Percent,2.4,
Haiti,Total,1970-1990,UN_United Nations Population Division,Percent,0.3,
Honduras,Total,1990-2011,UN_United Nations Population Division,Percent,2.4,
Honduras,Total,1970-1990,UN_United Nations Population Division,Percent,1.7,
Hungary,Total,1990-2011,UN_United Nations Population Division,Percent,1.2,
Hungary,Total,1970-1990,UN_United Nations Population Division,Percent,0.6,
Iceland,Total,1990-2011,UN_United Nations Population Division,Percent,0.1,
Iceland,Total,1970-1990,UN_United Nations Population Division,Percent,1.6,
India,Total,1990-2011,UN_United Nations Population Division,Percent,2.0,
India,Total,1970-1990,UN_United Nations Population Division,Percent,1.7,
Indonesia,Total,1990-2011,UN_United Nations Population Division,Percent,1.9,
Indonesia,Total,1970-1990,UN_United Nations Population Division,Percent,2.8,
Iran (Islamic Republic of),Total,1990-2011,UN_United Nations Population Division,Percent,5.1,
Iran (Islamic Republic of),Total,1970-1990,UN_United Nations Population Division,Percent,1.5,
Iraq,Total,1990-2011,UN_United Nations Population Division,Percent,1.2,
Iraq,Total,1970-1990,UN_United Nations Population Division,Percent,1.0,
Ireland,Total,1990-2011,UN_United Nations Population Division,Percent,-0.3,
Ireland,Total,1970-1990,UN_United Nations Population Division,Percent,3.2,
Israel,Total,1990-2011,UN_United Nations Population Division,Percent,0.1,
Israel,Total,1970-1990,UN_United Nations Population Division,Percent,1.2,
Italy,Total,1990-2011,UN_United Nations Population Division,Percent,-0.5,
Italy,Total,1970-1990,UN_United Nations Population Division,Percent,3.2,
Jamaica,Total,1990-2011,UN_United Nations Population Division,Percent,1.2,
Jamaica,Total,1970-1990,UN_United Nations Population Division,Percent,3.1,
Japan,Total,1990-2011,UN_United Nations Population Division,Percent,0.6,
Japan,Total,1970-1990,UN_United Nations Population Division,Percent,1.5,
Jordan,Total,1990-2011,UN_United Nations Population Division,Percent,3.1,
Jordan,Total,1970-1990,UN_United Nations Population Division,Percent,1.6,
Kazakhstan,Total,1990-2011,UN_United Nations Population Division,Percent,0.5,
Kazakhstan,Total,1970-1990,UN_United Nations Population Division,Percent,1.1,
Kenya,Total,1990-2011,UN_United Nations Population Division,Percent,1.2,
Kenya,Total,1970-1990,UN_United Nations Population Division,Percent,1.5,
Kuwait,Total,1990-2011,UN_United Nations Population Division,Percent,0.6,
Kuwait,Total,1970-1990,UN_United Nations Population Division,Percent,5.1,
Kyrgyzstan,Total,1990-2011,UN_United Nations Population Division,Percent,1.8,
Kyrgyzstan,Total,1970-1990,UN_United Nations Population Division,Percent,1.2,
Lao People's Democratic Republic,Total,1990-2011,UN_United Nations Population Division,Percent,4.0,
Lao People's Democratic Republic,Total,1970-1990,UN_United Nations Population Division,Percent,-0.1,
Latin America and Caribbean,Total,1990-2011,UN_United Nations Population Division,Percent,1.8,1.0
Latin America and Caribbean,Total,1970-1990,UN_United Nations Population Division,Percent,2.5,1.0
Latvia,Total,1990-2011,UN_United Nations Population Division,Percent,1.2,
Latvia,Total,1970-1990,UN_United Nations Population Division,Percent,0.0,
Least Developed Countries/Territories,Total,1990-2011,UN_United Nations Population Division,Percent,1.7,1.0
Least Developed Countries/Territories,Total,1970-1990,UN_United Nations Population Division,Percent,0.6,1.0
Lebanon,Total,1990-2011,UN_United Nations Population Division,Percent,2.7,
Lebanon,Total,1970-1990,UN_United Nations Population Division,Percent,2.4,
Lesotho,Total,1990-2011,UN_United Nations Population Division,Percent,2.1,
Lesotho,Total,1970-1990,UN_United Nations Population Division,Percent,0.8,
Liberia,Total,1990-2011,UN_United Nations Population Division,Percent,1.1,
Liberia,Total,1970-1990,UN_United Nations Population Division,Percent,0.1,
Libya,Total,1990-2011,UN_United Nations Population Division,Percent,3.1,
Libya,Total,1970-1990,UN_United Nations Population Division,Percent,2.3,
Lithuania,Total,1990-2011,UN_United Nations Population Division,Percent,1.4,
Lithuania,Total,1970-1990,UN_United Nations Population Division,Percent,0.7,
Luxembourg,Total,1990-2011,UN_United Nations Population Division,Percent,-0.3,
Luxembourg,Total,1970-1990,UN_United Nations Population Division,Percent,1.1,
Madagascar,Total,1990-2011,UN_United Nations Population Division,Percent,1.5,
Madagascar,Total,1970-1990,UN_United Nations Population Division,Percent,0.8,
Malawi,Total,1990-2011,UN_United Nations Population Division,Percent,0.6,
Malawi,Total,1970-1990,UN_United Nations Population Division,Percent,0.4,
Malaysia,Total,1990-2011,UN_United Nations Population Division,Percent,1.4,
Malaysia,Total,1970-1990,UN_United Nations Population Division,Percent,1.6,
Maldives,Total,1990-2011,UN_United Nations Population Division,Percent,6.1,
Maldives,Total,1970-1990,UN_United Nations Population Division,Percent,0.8,
Mali,Total,1990-2011,UN_United Nations Population Division,Percent,0.6,
Mali,Total,1970-1990,UN_United Nations Population Division,Percent,-0.1,
Malta,Total,1990-2011,UN_United Nations Population Division,Percent,2.2,
Malta,Total,1970-1990,UN_United Nations Population Division,Percent,-0.2,
Mauritania,Total,1990-2011,UN_United Nations Population Division,Percent,1.4,
Mauritania,Total,1970-1990,UN_United Nations Population Division,Percent,0.7,
Mauritius,Total,1990-2011,UN_United Nations Population Division,Percent,1.7,
Mauritius,Total,1970-1990,UN_United Nations Population Division,Percent,2.7,
Mexico,Total,1990-2011,UN_United Nations Population Division,Percent,1.9,
Mexico,Total,1970-1990,UN_United Nations Population Division,Percent,3.4,
Micronesia (Federated States of),Total,1990-2011,UN_United Nations Population Division,Percent,1.8,
Micronesia (Federated States of),Total,1970-1990,UN_United Nations Population Division,Percent,1.7,
Middle East and North Africa,Total,1990-2011,UN_United Nations Population Division,Percent,2.8,1.0
Middle East and North Africa,Total,1970-1990,UN_United Nations Population Division,Percent,1.5,1.0
Mongolia,Total,1990-2011,UN_United Nations Population Division,Percent,2.4,
Mongolia,Total,1970-1990,UN_United Nations Population Division,Percent,3.1,
Montenegro,Total,1990-2011,UN_United Nations Population Division,Percent,0.6,
Montenegro,Total,1970-1990,UN_United Nations Population Division,Percent,1.2,
Morocco,Total,1990-2011,UN_United Nations Population Division,Percent,2.8,
Morocco,Total,1970-1990,UN_United Nations Population Division,Percent,2.8,
Mozambique,Total,1990-2011,UN_United Nations Population Division,Percent,1.2,
Mozambique,Total,1970-1990,UN_United Nations Population Division,Percent,0.3,
Myanmar,Total,1990-2011,UN_United Nations Population Division,Percent,2.6,
Myanmar,Total,1970-1990,UN_United Nations Population Division,Percent,2.8,
Namibia,Total,1990-2011,UN_United Nations Population Division,Percent,2.4,
Namibia,Total,1970-1990,UN_United Nations Population Division,Percent,1.1,
Nepal,Total,1990-2011,UN_United Nations Population Division,Percent,3.2,
Nepal,Total,1970-1990,UN_United Nations Population Division,Percent,0.8,
Netherlands,Total,1990-2011,UN_United Nations Population Division,Percent,-0.6,
Netherlands,Total,1970-1990,UN_United Nations Population Division,Percent,2.2,
New Zealand,Total,1990-2011,UN_United Nations Population Division,Percent,-0.2,
New Zealand,Total,1970-1990,UN_United Nations Population Division,Percent,2.0,
Nicaragua,Total,1990-2011,UN_United Nations Population Division,Percent,2.9,
Nicaragua,Total,1970-1990,UN_United Nations Population Division,Percent,1.9,
Niger,Total,1990-2011,UN_United Nations Population Division,Percent,0.5,
Niger,Total,1970-1990,UN_United Nations Population Division,Percent,-0.3,
Nigeria,Total,1990-2011,UN_United Nations Population Division,Percent,0.7,
Nigeria,Total,1970-1990,UN_United Nations Population Division,Percent,0.1,
Norway,Total,1990-2011,UN_United Nations Population Division,Percent,-0.2,
Norway,Total,1970-1990,UN_United Nations Population Division,Percent,1.5,
Oman,Total,1990-2011,UN_United Nations Population Division,Percent,5.5,
Oman,Total,1970-1990,UN_United Nations Population Division,Percent,0.1,
Pakistan,Total,1990-2011,UN_United Nations Population Division,Percent,2.8,
Pakistan,Total,1970-1990,UN_United Nations Population Division,Percent,0.5,
Panama,Total,1990-2011,UN_United Nations Population Division,Percent,1.0,
Panama,Total,1970-1990,UN_United Nations Population Division,Percent,2.8,
Papua New Guinea,Total,1990-2011,UN_United Nations Population Division,Percent,1.0,
Papua New Guinea,Total,1970-1990,UN_United Nations Population Division,Percent,1.2,
Paraguay,Total,1990-2011,UN_United Nations Population Division,Percent,2.1,
Paraguay,Total,1970-1990,UN_United Nations Population Division,Percent,1.2,
Peru,Total,1990-2011,UN_United Nations Population Division,Percent,2.1,
Peru,Total,1970-1990,UN_United Nations Population Division,Percent,2.5,
Philippines,Total,1990-2011,UN_United Nations Population Division,Percent,1.6,
Philippines,Total,1970-1990,UN_United Nations Population Division,Percent,1.9,
Poland,Total,1990-2011,UN_United Nations Population Division,Percent,1.8,
Poland,Total,1970-1990,UN_United Nations Population Division,Percent,0.4,
Portugal,Total,1990-2011,UN_United Nations Population Division,Percent,0.7,
Portugal,Total,1970-1990,UN_United Nations Population Division,Percent,3.3,
Qatar,Total,1990-2011,UN_United Nations Population Division,Percent,3.0,
Qatar,Total,1970-1990,UN_United Nations Population Division,Percent,2.5,
Republic of Korea,Total,1990-2011,UN_United Nations Population Division,Percent,0.8,
Republic of Korea,Total,1970-1990,UN_United Nations Population Division,Percent,5.2,
Republic of Moldova,Total,1990-2011,UN_United Nations Population Division,Percent,2.4,
Republic of Moldova,Total,1970-1990,UN_United Nations Population Division,Percent,0.3,
Romania,Total,1990-2011,UN_United Nations Population Division,Percent,1.5,
Romania,Total,1970-1990,UN_United Nations Population Division,Percent,2.1,
Russian Federation,Total,1990-2011,UN_United Nations Population Division,Percent,1.0,
Russian Federation,Total,1970-1990,UN_United Nations Population Division,Percent,0.3,
Rwanda,Total,1990-2011,UN_United Nations Population Division,Percent,1.3,
Rwanda,Total,1970-1990,UN_United Nations Population Division,Percent,0.7,
Saint Lucia,Total,1990-2011,UN_United Nations Population Division,Percent,2.6,
Saint Lucia,Total,1970-1990,UN_United Nations Population Division,Percent,2.9,
Saint Vincent and the Grenadines,Total,1990-2011,UN_United Nations Population Division,Percent,1.8,
Saint Vincent and the Grenadines,Total,1970-1990,UN_United Nations Population Division,Percent,3.6,
Samoa,Total,1990-2011,UN_United Nations Population Division,Percent,1.1,
Samoa,Total,1970-1990,UN_United Nations Population Division,Percent,1.2,
Sao Tome and Principe,Total,1990-2011,UN_United Nations Population Division,Percent,1.9,
Sao Tome and Principe,Total,1970-1990,UN_United Nations Population Division,Percent,0.9,
Saudi Arabia,Total,1990-2011,UN_United Nations Population Division,Percent,3.6,
Saudi Arabia,Total,1970-1990,UN_United Nations Population Division,Percent,1.1,
Senegal,Total,1990-2011,UN_United Nations Population Division,Percent,1.6,
Senegal,Total,1970-1990,UN_United Nations Population Division,Percent,0.5,
Serbia,Total,1990-2011,UN_United Nations Population Division,Percent,1.4,
Serbia,Total,1970-1990,UN_United Nations Population Division,Percent,0.6,
Sierra Leone,Total,1990-2011,UN_United Nations Population Division,Percent,0.7,
Sierra Leone,Total,1970-1990,UN_United Nations Population Division,Percent,0.1,
Singapore,Total,1990-2011,UN_United Nations Population Division,Percent,1.5,
Singapore,Total,1970-1990,UN_United Nations Population Division,Percent,2.9,
Slovakia,Total,1990-2011,UN_United Nations Population Division,Percent,2.0,
Slovakia,Total,1970-1990,UN_United Nations Population Division,Percent,1.0,
Slovenia,Total,1990-2011,UN_United Nations Population Division,Percent,0.1,
Slovenia,Total,1970-1990,UN_United Nations Population Division,Percent,2.0,
Solomon Islands,Total,1990-2011,UN_United Nations Population Division,Percent,1.6,
Solomon Islands,Total,1970-1990,UN_United Nations Population Division,Percent,0.8,
Somalia,Total,1990-2011,UN_United Nations Population Division,Percent,0.2,
Somalia,Total,1970-1990,UN_United Nations Population Division,Percent,0.4,
South Africa,Total,1990-2011,UN_United Nations Population Division,Percent,2.0,
South Africa,Total,1970-1990,UN_United Nations Population Division,Percent,2.1,
South Asia,Total,1990-2011,UN_United Nations Population Division,Percent,2.1,1.0
South Asia,Total,1970-1990,UN_United Nations Population Division,Percent,1.6,1.0
Spain,Total,1990-2011,UN_United Nations Population Division,Percent,-0.5,
Spain,Total,1970-1990,UN_United Nations Population Division,Percent,3.8,
Sri Lanka,Total,1990-2011,UN_United Nations Population Division,Percent,0.4,
Sri Lanka,Total,1970-1990,UN_United Nations Population Division,Percent,2.8,
State of Palestine,Total,1990-2011,UN_United Nations Population Division,Percent,1.9,
State of Palestine,Total,1970-1990,UN_United Nations Population Division,Percent,0.9,
Sub-Saharan Africa,Total,1990-2011,UN_United Nations Population Division,Percent,1.2,1.0
Sub-Saharan Africa,Total,1970-1990,UN_United Nations Population Division,Percent,0.3,1.0
Sudan (pre-cession),Total,1990-2011,UN_United Nations Population Division,Percent,1.5,2.0
Sudan (pre-cession),Total,1970-1990,UN_United Nations Population Division,Percent,0.5,2.0
Suriname,Total,1990-2011,UN_United Nations Population Division,Percent,0.8,
Suriname,Total,1970-1990,UN_United Nations Population Division,Percent,3.6,
Swaziland,Total,1990-2011,UN_United Nations Population Division,Percent,2.7,
Swaziland,Total,1970-1990,UN_United Nations Population Division,Percent,0.9,
Sweden,Total,1990-2011,UN_United Nations Population Division,Percent,0.2,
Sweden,Total,1970-1990,UN_United Nations Population Division,Percent,0.1,
Switzerland,Total,1990-2011,UN_United Nations Population Division,Percent,0.1,
Switzerland,Total,1970-1990,UN_United Nations Population Division,Percent,1.6,
Syrian Arab Republic,Total,1990-2011,UN_United Nations Population Division,Percent,3.0,
Syrian Arab Republic,Total,1970-1990,UN_United Nations Population Division,Percent,1.8,
Tajikistan,Total,1990-2011,UN_United Nations Population Division,Percent,2.2,
Tajikistan,Total,1970-1990,UN_United Nations Population Division,Percent,1.4,
Thailand,Total,1990-2011,UN_United Nations Population Division,Percent,1.4,
Thailand,Total,1970-1990,UN_United Nations Population Division,Percent,4.9,
The former Yugoslav Republic of Macedonia,Total,1990-2011,UN_United Nations Population Division,Percent,1.9,
The former Yugoslav Republic of Macedonia,Total,1970-1990,UN_United Nations Population Division,Percent,1.9,
Timor-Leste,Total,1990-2011,UN_United Nations Population Division,Percent,-0.6,
Timor-Leste,Total,1970-1990,UN_United Nations Population Division,Percent,0.5,
Togo,Total,1990-2011,UN_United Nations Population Division,Percent,2.2,
Togo,Total,1970-1990,UN_United Nations Population Division,Percent,0.6,
Tonga,Total,1990-2011,UN_United Nations Population Division,Percent,0.9,
Tonga,Total,1970-1990,UN_United Nations Population Division,Percent,1.2,
Trinidad and Tobago,Total,1990-2011,UN_United Nations Population Division,Percent,1.9,
Trinidad and Tobago,Total,1970-1990,UN_United Nations Population Division,Percent,1.8,
Tunisia,Total,1990-2011,UN_United Nations Population Division,Percent,2.9,
Tunisia,Total,1970-1990,UN_United Nations Population Division,Percent,3.0,
Turkey,Total,1990-2011,UN_United Nations Population Division,Percent,1.9,
Turkey,Total,1970-1990,UN_United Nations Population Division,Percent,3.0,
Turkmenistan,Total,1990-2011,UN_United Nations Population Division,Percent,2.9,
Turkmenistan,Total,1970-1990,UN_United Nations Population Division,Percent,1.9,
Uganda,Total,1990-2011,UN_United Nations Population Division,Percent,0.8,
Uganda,Total,1970-1990,UN_United Nations Population Division,Percent,0.0,
Ukraine,Total,1990-2011,UN_United Nations Population Division,Percent,1.2,
Ukraine,Total,1970-1990,UN_United Nations Population Division,Percent,0.6,
United Arab Emirates,Total,1990-2011,UN_United Nations Population Division,Percent,4.5,
United Arab Emirates,Total,1970-1990,UN_United Nations Population Division,Percent,2.0,
United Kingdom,Total,1990-2011,UN_United Nations Population Division,Percent,-0.1,
United Kingdom,Total,1970-1990,UN_United Nations Population Division,Percent,1.2,
United Republic of Tanzania,Total,1990-2011,UN_United Nations Population Division,Percent,0.6,
United Republic of Tanzania,Total,1970-1990,UN_United Nations Population Division,Percent,0.4,
United States,Total,1990-2011,UN_United Nations Population Division,Percent,-0.3,
United States,Total,1970-1990,UN_United Nations Population Division,Percent,0.7,
Uruguay,Total,1990-2011,UN_United Nations Population Division,Percent,0.9,
Uruguay,Total,1970-1990,UN_United Nations Population Division,Percent,0.7,
Uzbekistan,Total,1990-2011,UN_United Nations Population Division,Percent,2.8,
Uzbekistan,Total,1970-1990,UN_United Nations Population Division,Percent,2.2,
Vanuatu,Total,1990-2011,UN_United Nations Population Division,Percent,1.2,
Vanuatu,Total,1970-1990,UN_United Nations Population Division,Percent,1.2,
Venezuela (Bolivarian Republic of),Total,1990-2011,UN_United Nations Population Division,Percent,1.7,
Venezuela (Bolivarian Republic of),Total,1970-1990,UN_United Nations Population Division,Percent,2.2,
Viet Nam,Total,1990-2011,UN_United Nations Population Division,Percent,3.3,
Viet Nam,Total,1970-1990,UN_United Nations Population Division,Percent,3.6,
Western and Central Africa,Total,1990-2011,UN_United Nations Population Division,Percent,1.0,1.0
Western and Central Africa,Total,1970-1990,UN_United Nations Population Division,Percent,0.1,1.0
World,Total,1990-2011,UN_United Nations Population Division,Percent,1.3,1.0
World,Total,1970-1990,UN_United Nations Population Division,Percent,1.9,1.0
Yemen,Total,1990-2011,UN_United Nations Population Division,Percent,2.5,
Yemen,Total,1970-1990,UN_United Nations Population Division,Percent,-0.7,
Zambia,Total,1990-2011,UN_United Nations Population Division,Percent,0.1,
Zambia,Total,1970-1990,UN_United Nations Population Division,Percent,0.7,
