"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Thailand","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","58","1"
"Thailand","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","49","1"
"The former Yugoslav Republic of Macedonia","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","71","1"
"The former Yugoslav Republic of Macedonia","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","70","1"
"The former Yugoslav Republic of Macedonia","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","79","1"
"Togo","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","31","1"
"Togo","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","26","1"
"Togo","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","41","1"
"Trinidad and Tobago","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","65","1"
"Trinidad and Tobago","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","63","1"
"Trinidad and Tobago","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","72","1"
"Ukraine","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","47","1"
"Ukraine","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","36","1"
"Ukraine","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","47","1"
"Uzbekistan","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","67","1"
"Uzbekistan","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","74","1"
"Uzbekistan","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","62","1"
"Viet Nam","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","49","1"
"Viet Nam","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","41","1"
"Viet Nam","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","54","1"
"Western and Central Africa","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","36","3"
"Western and Central Africa","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","29","3"
"Western and Central Africa","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","43","3"
"Yemen","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","49","1"
"Yemen","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","45","1"
"Yemen","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","49","1"

"fnSeqID","Footnote"
"1","Data refer to the most recent year available during the period specified in the column heading. Changes in the definitions of several ECD indicators were made between the third and fourth round of MICS (MICS3 and MICS4). In order to allow for comparability with MICS4, data from MICS3 for the adult support for learning, father's support for learning and learning materials at home (playthings) indicators were recalculated according to MICS4 indicator definitions. Therefore, the recalculated data presented here will differ from estimates reported in MICS3 national reports."
"2","Data refer to the most recent year available during the period specified in the column heading. Changes in the definitions of several ECD indicators were made between the third and fourth round of MICS (MICS3 and MICS4). In order to allow for comparability with MICS4, data from MICS3 for the adult support for learning, father's support for learning and learning materials at home (playthings) indicators were recalculated according to MICS4 indicator definitions. Therefore, the recalculated data presented here will differ from estimates reported in MICS3 national reports. Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages."
"3","Data refer to the most recent year available during the period specified in the column heading. Changes in the definitions of several ECD indicators were made between the third and fourth round of MICS (MICS3 and MICS4). In order to allow for comparability with MICS4, data from MICS3 for the adult support for learning, father's support for learning and learning materials at home (playthings) indicators were recalculated according to MICS4 indicator definitions. Therefore, the recalculated data presented here will differ from estimates reported in MICS3 national reports. For a complete list of countries and territories in the regions, subregions and country categories, see page XX."
