Country or Area,Reduction in under-five mortality rate_1990.0,Reduction in under-five mortality rate_2000.0
Nigeria,42.0,34.0
Niue,-49.0,28.0
Norway,63.0,37.0
Oman,82.0,60.0
Pakistan,41.0,24.0
Palau,42.0,25.0
Panama,41.0,24.0
Papua New Guinea,34.0,19.0
Paraguay,57.0,37.0
Peru,76.0,53.0
Philippines,55.0,35.0
Poland,66.0,40.0
Portugal,77.0,53.0
Qatar,62.0,39.0
Republic of Korea,36.0,16.0
Republic of Moldova,54.0,33.0
Romania,67.0,53.0
Russian Federation,56.0,44.0
Rwanda,65.0,70.0
Saint Kitts and Nevis,74.0,55.0
Saint Lucia,31.0,14.0
Saint Vincent and the Grenadines,21.0,5.0
Samoa,37.0,18.0
San Marino,85.0,66.0
Sao Tome and Principe,8.0,4.0
Saudi Arabia,78.0,55.0
Senegal,52.0,50.0
Serbia,75.0,44.0
Seychelles,17.0,0.0
Sierra Leone,31.0,23.0
Singapore,65.0,33.0
Slovakia,56.0,34.0
Slovenia,73.0,48.0
Solomon Islands,48.0,29.0
Somalia,0.0,0.0
South Africa,25.0,37.0
South Asia,48.0,30.0
South Sudan,45.0,27.0
Spain,61.0,36.0
Sri Lanka,58.0,36.0
State of Palestine,49.0,27.0
Sub-Saharan Africa,39.0,29.0
Sudan,30.0,17.0
Suriname,43.0,26.0
Swaziland,-24.0,9.0
Sweden,58.0,32.0
Switzerland,46.0,23.0
Syrian Arab Republic,58.0,33.0
Tajikistan,45.0,33.0
Thailand,65.0,34.0
The former Yugoslav Republic of Macedonia,74.0,41.0
Timor-Leste,70.0,51.0
Togo,25.0,14.0
Tonga,37.0,21.0
Trinidad and Tobago,25.0,14.0
Tunisia,68.0,45.0
Turkey,79.0,57.0
Turkmenistan,44.0,26.0
Tuvalu,48.0,30.0
Uganda,49.0,36.0
Ukraine,48.0,46.0
United Arab Emirates,70.0,46.0
United Kingdom,45.0,23.0
United Republic of Tanzania,57.0,47.0
United States,34.0,12.0
Uruguay,55.0,40.0
Uzbekistan,35.0,20.0
Vanuatu,66.0,43.0
Venezuela (Bolivarian Republic of),51.0,33.0
Viet Nam,57.0,36.0
Western and Central Africa,33.0,24.0
World,41.0,29.0
Yemen,39.0,23.0
Zambia,57.0,46.0
Zimbabwe,15.0,37.0
