Country or Area,Proportion of population with sustainable access to an improved water source_Rural,Proportion of population with sustainable access to an improved water source_Total,Proportion of population with sustainable access to an improved water source_Urban
Mauritania,48.0,50.0,52.0
Mauritius,99.0,99.0,100.0
Mexico,91.0,96.0,97.0
Middle East and North Africa,76.0,86.0,93.0
Monaco,,100.0,100.0
Mongolia,53.0,82.0,100.0
Montenegro,96.0,98.0,99.0
Morocco,61.0,83.0,98.0
Mozambique,29.0,47.0,77.0
Myanmar,78.0,83.0,93.0
Namibia,90.0,93.0,99.0
Nauru,,88.0,88.0
Nepal,88.0,89.0,93.0
Netherlands,100.0,100.0,100.0
New Zealand,100.0,100.0,100.0
Nicaragua,68.0,85.0,98.0
Niger,39.0,49.0,100.0
Nigeria,43.0,58.0,74.0
Niue,100.0,100.0,100.0
Norway,100.0,100.0,100.0
Oman,78.0,89.0,93.0
Pakistan,89.0,92.0,96.0
Palau,96.0,85.0,83.0
Panama,,,97.0
Papua New Guinea,33.0,40.0,87.0
Paraguay,66.0,86.0,99.0
Peru,65.0,85.0,91.0
Philippines,92.0,92.0,93.0
Poland,,,100.0
Portugal,100.0,99.0,99.0
Qatar,100.0,100.0,100.0
Republic of Korea,88.0,98.0,100.0
Republic of Moldova,93.0,96.0,99.0
Romania,,,99.0
Russian Federation,92.0,97.0,99.0
Rwanda,63.0,65.0,76.0
Saint Kitts and Nevis,99.0,99.0,99.0
Saint Lucia,95.0,96.0,98.0
Samoa,96.0,96.0,96.0
Sao Tome and Principe,88.0,89.0,89.0
Saudi Arabia,,,97.0
Senegal,56.0,72.0,93.0
Serbia,98.0,99.0,99.0
Seychelles,,,100.0
Sierra Leone,35.0,55.0,87.0
Singapore,,100.0,100.0
Slovakia,100.0,100.0,100.0
Slovenia,99.0,99.0,100.0
Somalia,7.0,29.0,66.0
South Africa,79.0,91.0,99.0
South Asia,88.0,90.0,96.0
Spain,100.0,100.0,100.0
Sri Lanka,90.0,91.0,99.0
State of Palestine,81.0,85.0,86.0
Sub-Saharan Africa,49.0,61.0,83.0
Sudan (pre-cession),52.0,58.0,67.0
Suriname,81.0,92.0,97.0
Swaziland,65.0,71.0,91.0
Sweden,100.0,100.0,100.0
Switzerland,100.0,100.0,100.0
Syrian Arab Republic,86.0,90.0,93.0
Tajikistan,54.0,64.0,92.0
Thailand,95.0,96.0,97.0
The former Yugoslav Republic of Macedonia,99.0,100.0,100.0
Timor-Leste,60.0,69.0,91.0
Togo,40.0,61.0,89.0
Tonga,100.0,100.0,100.0
Trinidad and Tobago,93.0,94.0,98.0
Tunisia,,,99.0
Turkey,99.0,100.0,100.0
Turkmenistan,,,97.0
Tuvalu,97.0,98.0,98.0
Uganda,68.0,72.0,95.0
Ukraine,98.0,98.0,98.0
United Arab Emirates,100.0,100.0,100.0
United Kingdom,100.0,100.0,100.0
United Republic of Tanzania,44.0,53.0,79.0
United States,94.0,99.0,100.0
Uruguay,100.0,100.0,100.0
Uzbekistan,81.0,87.0,98.0
Vanuatu,87.0,90.0,98.0
Viet Nam,93.0,95.0,99.0
Western and Central Africa,47.0,62.0,82.0
World,81.0,89.0,96.0
Yemen,47.0,55.0,72.0
Zambia,46.0,61.0,87.0
Zimbabwe,69.0,80.0,98.0
