Country or Area,Infant mortality rate (IMR)_1990.0,Infant mortality rate (IMR)_2011.0
Marshall Islands,41.0,22.0
Mauritania,81.0,76.0
Mauritius,21.0,13.0
Mexico,38.0,13.0
Micronesia (Federated States of),44.0,34.0
Middle East and North Africa,54.0,28.0
Monaco,6.0,3.0
Mongolia,76.0,26.0
Montenegro,16.0,7.0
Morocco,64.0,28.0
Mozambique,151.0,72.0
Myanmar,77.0,48.0
Namibia,49.0,30.0
Nauru,32.0,32.0
Nepal,94.0,39.0
Netherlands,7.0,3.0
New Zealand,9.0,5.0
Nicaragua,50.0,22.0
Niger,133.0,66.0
Nigeria,127.0,78.0
Niue,12.0,18.0
Norway,7.0,3.0
Oman,36.0,7.0
Pakistan,95.0,59.0
Palau,27.0,14.0
Panama,26.0,17.0
Papua New Guinea,64.0,45.0
Paraguay,41.0,19.0
Peru,54.0,14.0
Philippines,40.0,20.0
Poland,15.0,5.0
Portugal,11.0,3.0
Qatar,17.0,6.0
Republic of Korea,6.0,4.0
Republic of Moldova,29.0,14.0
Romania,31.0,11.0
Russian Federation,23.0,10.0
Rwanda,95.0,38.0
Saint Kitts and Nevis,22.0,6.0
Saint Lucia,18.0,14.0
Saint Vincent and the Grenadines,21.0,20.0
Samoa,25.0,16.0
San Marino,11.0,2.0
Sao Tome and Principe,62.0,58.0
Saudi Arabia,34.0,8.0
Senegal,69.0,47.0
Serbia,25.0,6.0
Seychelles,14.0,12.0
Sierra Leone,158.0,119.0
Singapore,6.0,2.0
Slovakia,16.0,7.0
Slovenia,9.0,2.0
Solomon Islands,34.0,18.0
Somalia,108.0,108.0
South Africa,48.0,35.0
South Asia,85.0,48.0
South Sudan,129.0,76.0
Spain,9.0,4.0
Sri Lanka,24.0,11.0
State of Palestine,36.0,20.0
Sub-Saharan Africa,107.0,69.0
Sudan,77.0,57.0
Suriname,44.0,26.0
Swaziland,61.0,69.0
Sweden,6.0,2.0
Switzerland,7.0,4.0
Syrian Arab Republic,30.0,13.0
Tajikistan,89.0,53.0
Thailand,29.0,11.0
The former Yugoslav Republic of Macedonia,34.0,9.0
Timor-Leste,135.0,46.0
Togo,85.0,73.0
Tonga,21.0,13.0
Trinidad and Tobago,32.0,25.0
Tunisia,40.0,14.0
Turkey,60.0,12.0
Turkmenistan,75.0,45.0
Tuvalu,45.0,25.0
Uganda,106.0,58.0
Ukraine,17.0,9.0
United Arab Emirates,19.0,6.0
United Kingdom,8.0,4.0
United Republic of Tanzania,97.0,45.0
United States,9.0,6.0
Uruguay,20.0,9.0
Uzbekistan,62.0,42.0
Vanuatu,31.0,11.0
Venezuela (Bolivarian Republic of),26.0,13.0
Viet Nam,36.0,17.0
Western and Central Africa,116.0,83.0
World,61.0,37.0
Yemen,89.0,57.0
Zambia,114.0,53.0
Zimbabwe,53.0,43.0
