Country or Area,Crude birth rate (CBR)_1970.0,Crude birth rate (CBR)_1990.0,Crude birth rate (CBR)_2011.0
Estonia,15.0,14.0,12.0
Ethiopia,47.0,48.0,31.0
Fiji,34.0,29.0,21.0
Finland,14.0,13.0,11.0
France,17.0,13.0,13.0
Gabon,34.0,38.0,27.0
Gambia,51.0,47.0,38.0
Georgia,19.0,17.0,12.0
Germany,14.0,11.0,9.0
Ghana,47.0,39.0,31.0
Greece,17.0,10.0,10.0
Grenada,28.0,28.0,19.0
Guatemala,44.0,39.0,32.0
Guinea,49.0,46.0,38.0
Guinea-Bissau,46.0,46.0,38.0
Guyana,37.0,25.0,18.0
Haiti,39.0,37.0,26.0
Honduras,47.0,38.0,26.0
Hungary,15.0,12.0,10.0
Iceland,21.0,17.0,15.0
India,38.0,31.0,22.0
Indonesia,40.0,26.0,18.0
Iran (Islamic Republic of),42.0,34.0,17.0
Iraq,45.0,38.0,35.0
Ireland,22.0,14.0,16.0
Israel,26.0,22.0,21.0
Italy,17.0,10.0,9.0
Jamaica,36.0,26.0,18.0
Japan,19.0,10.0,8.0
Jordan,51.0,36.0,25.0
Kazakhstan,26.0,23.0,21.0
Kenya,51.0,42.0,37.0
Kuwait,49.0,21.0,18.0
Kyrgyzstan,31.0,31.0,24.0
Lao People's Democratic Republic,42.0,42.0,22.0
Latin America and Caribbean,36.0,27.0,18.0
Latvia,14.0,14.0,11.0
Least Developed Countries/Territories,47.0,43.0,33.0
Lebanon,33.0,26.0,15.0
Lesotho,43.0,36.0,28.0
Liberia,49.0,46.0,39.0
Libya,49.0,26.0,23.0
Lithuania,17.0,15.0,11.0
Luxembourg,13.0,13.0,12.0
Madagascar,48.0,45.0,35.0
Malawi,52.0,48.0,44.0
Malaysia,33.0,28.0,20.0
Maldives,50.0,41.0,17.0
Mali,49.0,49.0,46.0
Malta,16.0,16.0,9.0
Mauritania,47.0,41.0,33.0
Mauritius,29.0,22.0,13.0
Mexico,43.0,28.0,19.0
Micronesia (Federated States of),41.0,34.0,24.0
Middle East and North Africa,44.0,34.0,24.0
Mongolia,44.0,32.0,23.0
Montenegro,10.0,11.0,12.0
Morocco,47.0,30.0,19.0
Mozambique,48.0,43.0,37.0
Myanmar,40.0,27.0,17.0
Namibia,43.0,38.0,26.0
Nepal,44.0,39.0,24.0
Netherlands,17.0,13.0,11.0
New Zealand,22.0,17.0,15.0
Nicaragua,46.0,37.0,23.0
Niger,56.0,56.0,48.0
Nigeria,46.0,44.0,40.0
Norway,17.0,14.0,12.0
Oman,49.0,38.0,18.0
Pakistan,43.0,40.0,27.0
Panama,37.0,26.0,20.0
Papua New Guinea,44.0,35.0,30.0
Paraguay,37.0,33.0,24.0
Peru,42.0,30.0,20.0
Philippines,39.0,33.0,25.0
Poland,17.0,15.0,11.0
Portugal,21.0,11.0,9.0
Qatar,36.0,24.0,12.0
Republic of Korea,32.0,16.0,10.0
Republic of Moldova,18.0,19.0,12.0
Romania,21.0,14.0,10.0
Russian Federation,14.0,14.0,12.0
Rwanda,51.0,45.0,41.0
Saint Lucia,39.0,28.0,17.0
Saint Vincent and the Grenadines,40.0,25.0,17.0
Samoa,39.0,32.0,24.0
Sao Tome and Principe,41.0,38.0,31.0
Saudi Arabia,47.0,36.0,22.0
Senegal,51.0,44.0,37.0
Serbia,18.0,15.0,11.0
Sierra Leone,47.0,44.0,38.0
Singapore,23.0,19.0,9.0
Slovakia,18.0,15.0,11.0
Slovenia,17.0,11.0,10.0
Solomon Islands,45.0,40.0,31.0
Somalia,51.0,45.0,43.0
South Africa,38.0,29.0,21.0
South Asia,40.0,33.0,23.0
Spain,20.0,10.0,11.0
Sri Lanka,31.0,20.0,18.0
State of Palestine,50.0,45.0,33.0
Sub-Saharan Africa,47.0,44.0,37.0
Sudan (pre-cession),46.0,41.0,32.0
Suriname,37.0,23.0,18.0
Swaziland,49.0,43.0,29.0
Sweden,14.0,14.0,12.0
Switzerland,16.0,12.0,10.0
Syrian Arab Republic,47.0,36.0,22.0
Tajikistan,40.0,39.0,28.0
Thailand,38.0,19.0,12.0
The former Yugoslav Republic of Macedonia,24.0,17.0,11.0
Timor-Leste,42.0,43.0,38.0
Togo,49.0,42.0,32.0
Tonga,36.0,31.0,27.0
Trinidad and Tobago,27.0,21.0,15.0
Tunisia,39.0,27.0,17.0
Turkey,39.0,26.0,18.0
Turkmenistan,37.0,35.0,21.0
Uganda,49.0,50.0,45.0
Ukraine,15.0,13.0,11.0
United Arab Emirates,37.0,26.0,13.0
United Kingdom,15.0,14.0,12.0
United Republic of Tanzania,48.0,44.0,41.0
United States,16.0,16.0,14.0
Uruguay,21.0,18.0,15.0
Uzbekistan,36.0,35.0,21.0
Vanuatu,42.0,36.0,29.0
Venezuela (Bolivarian Republic of),37.0,29.0,20.0
Viet Nam,41.0,30.0,16.0
Western and Central Africa,47.0,45.0,39.0
World,33.0,26.0,19.0
Yemen,51.0,52.0,38.0
Zambia,49.0,44.0,46.0
Zimbabwe,48.0,37.0,29.0
