Country or Area,Adult HIVAIDS prevalence rate_Female 15-24 yr,Adult HIVAIDS prevalence rate_Male 15-24 yr,Adult HIVAIDS prevalence rate_Total 15-24 yr,Adult HIVAIDS prevalence rate_Total 15-49 yr
Somalia,0.4,0.3,0.3,0.7
South Africa,11.9,5.3,8.6,17.3
South Asia,0.1,0.1,0.1,0.2
South Sudan,2.5,1.0,1.7,3.1
Spain,0.1,0.2,0.1,0.4
Sri Lanka,,,,
Sub-Saharan Africa,3.0,1.3,2.2,4.8
Sudan,0.2,0.2,0.2,0.4
Suriname,0.2,0.2,0.2,1.0
Swaziland,15.3,6.3,10.8,26.0
Sweden,,,,0.2
Switzerland,0.1,0.2,0.2,0.4
Tajikistan,0.1,0.1,0.1,0.3
Thailand,0.2,0.3,0.2,1.2
Togo,2.1,0.9,1.5,3.4
Trinidad and Tobago,1.0,0.6,0.8,1.5
Tunisia,,,,
Turkey,,,,
Uganda,5.3,2.4,3.8,7.2
Ukraine,0.1,0.1,0.1,0.8
United Kingdom,0.1,0.1,0.1,0.3
United Republic of Tanzania,4.0,1.8,2.9,5.8
United States,0.2,0.3,0.2,0.6
Uruguay,0.2,0.4,0.3,0.6
Venezuela (Bolivarian Republic of),0.1,0.4,0.2,0.5
Viet Nam,0.2,0.3,0.2,0.5
Western and Central Africa,1.8,0.7,1.3,2.6
World,0.5,0.3,0.4,0.8
Yemen,0.1,0.1,0.1,0.2
Zambia,7.0,3.1,5.0,12.5
