Country or Area,Life expectancy at birth_1970.0,Life expectancy at birth_1990.0,Life expectancy at birth_2011.0
Serbia,68.0,72.0,75.0
Sierra Leone,35.0,39.0,48.0
Singapore,68.0,76.0,81.0
Slovakia,70.0,71.0,75.0
Slovenia,69.0,73.0,79.0
Solomon Islands,54.0,57.0,68.0
Somalia,40.0,45.0,51.0
South Africa,53.0,62.0,53.0
South Asia,49.0,59.0,66.0
Spain,72.0,77.0,81.0
Sri Lanka,63.0,70.0,75.0
State of Palestine,56.0,68.0,73.0
Sub-Saharan Africa,44.0,50.0,55.0
Sudan (pre-cession),45.0,53.0,61.0
Suriname,63.0,67.0,71.0
Swaziland,48.0,59.0,49.0
Sweden,74.0,78.0,81.0
Switzerland,73.0,78.0,82.0
Syrian Arab Republic,60.0,71.0,76.0
Tajikistan,60.0,63.0,68.0
Thailand,60.0,73.0,74.0
The former Yugoslav Republic of Macedonia,66.0,71.0,75.0
Timor-Leste,40.0,46.0,62.0
Togo,45.0,53.0,57.0
Tonga,65.0,70.0,72.0
Trinidad and Tobago,65.0,69.0,70.0
Tunisia,54.0,69.0,75.0
Turkey,50.0,63.0,74.0
Turkmenistan,58.0,63.0,65.0
Uganda,50.0,47.0,54.0
Ukraine,71.0,70.0,68.0
United Arab Emirates,62.0,72.0,77.0
United Kingdom,72.0,76.0,80.0
United Republic of Tanzania,47.0,51.0,58.0
United States,71.0,75.0,79.0
Uruguay,69.0,73.0,77.0
Uzbekistan,63.0,67.0,68.0
Vanuatu,52.0,63.0,71.0
Venezuela (Bolivarian Republic of),64.0,71.0,74.0
Viet Nam,48.0,66.0,75.0
Western and Central Africa,42.0,48.0,53.0
World,59.0,65.0,69.0
Yemen,40.0,56.0,65.0
Zambia,49.0,47.0,49.0
Zimbabwe,55.0,61.0,51.0
