Country or Area,Total fertility rate (TFR)_1970.0,Total fertility rate (TFR)_1990.0,Total fertility rate (TFR)_2011.0
Mali,6.9,7.1,6.2
Malta,2.0,2.1,1.3
Mauritania,6.8,5.9,4.5
Mauritius,4.0,2.3,1.6
Mexico,6.7,3.4,2.3
Micronesia (Federated States of),6.9,5.0,3.4
Middle East and North Africa,6.7,5.0,2.8
Mongolia,7.6,4.1,2.5
Montenegro,2.4,1.9,1.6
Morocco,7.1,4.0,2.2
Mozambique,6.6,6.2,4.8
Myanmar,6.1,3.4,2.0
Namibia,6.5,5.2,3.2
Nepal,6.1,5.2,2.7
Netherlands,2.4,1.6,1.8
New Zealand,3.1,2.1,2.2
Nicaragua,6.9,4.8,2.6
Niger,7.4,7.8,7.0
Nigeria,6.5,6.4,5.5
Norway,2.5,1.9,1.9
Oman,7.3,7.2,2.2
Pakistan,6.6,6.0,3.3
Panama,5.3,3.0,2.5
Papua New Guinea,6.2,4.8,3.9
Paraguay,5.7,4.5,2.9
Peru,6.3,3.8,2.5
Philippines,6.3,4.3,3.1
Poland,2.2,2.0,1.4
Portugal,3.0,1.5,1.3
Qatar,6.9,4.2,2.2
Republic of Korea,4.5,1.6,1.4
Republic of Moldova,2.6,2.4,1.5
Romania,2.9,1.9,1.4
Russian Federation,2.0,1.9,1.5
Rwanda,8.1,7.0,5.3
Saint Lucia,6.1,3.4,2.0
Saint Vincent and the Grenadines,6.0,3.0,2.0
Samoa,6.1,4.8,3.8
Sao Tome and Principe,6.5,5.4,3.6
Saudi Arabia,7.3,5.8,2.7
Senegal,7.4,6.6,4.7
Serbia,2.4,2.1,1.6
Sierra Leone,5.9,5.7,4.9
Singapore,3.2,1.8,1.3
Slovakia,2.5,2.0,1.3
Slovenia,2.3,1.5,1.5
Solomon Islands,6.9,5.9,4.2
Somalia,7.2,6.6,6.3
South Africa,5.6,3.7,2.4
South Asia,5.7,4.2,2.7
Spain,2.9,1.3,1.5
Sri Lanka,4.3,2.5,2.3
State of Palestine,7.9,6.5,4.4
Sub-Saharan Africa,6.7,6.2,4.9
Sudan (pre-cession),6.6,6.0,4.3
Suriname,5.7,2.7,2.3
Swaziland,6.9,5.7,3.3
Sweden,2.0,2.0,1.9
Switzerland,2.1,1.5,1.5
Syrian Arab Republic,7.6,5.3,2.9
Tajikistan,6.9,5.2,3.2
Thailand,5.6,2.1,1.6
The former Yugoslav Republic of Macedonia,3.1,2.1,1.4
Timor-Leste,5.9,5.3,6.1
Togo,7.1,6.3,4.0
Tonga,5.9,4.6,3.9
Trinidad and Tobago,3.5,2.4,1.6
Tunisia,6.6,3.6,2.0
Turkey,5.5,3.0,2.1
Turkmenistan,6.3,4.3,2.4
Uganda,7.1,7.1,6.1
Ukraine,2.1,1.9,1.5
United Arab Emirates,6.6,4.4,1.7
United Kingdom,2.3,1.8,1.9
United Republic of Tanzania,6.8,6.2,5.5
United States,2.2,1.9,2.1
Uruguay,2.9,2.5,2.1
Uzbekistan,6.5,4.2,2.3
Vanuatu,6.3,4.9,3.8
Venezuela (Bolivarian Republic of),5.4,3.4,2.4
Viet Nam,7.4,3.6,1.8
Western and Central Africa,6.6,6.5,5.3
World,4.7,3.2,2.4
Yemen,7.5,8.7,5.1
Zambia,7.4,6.5,6.3
Zimbabwe,7.4,5.2,3.2
