Country or Area,Prevalence of underweight (moderate and severe) - WHO_Percent_Poorest 20%,Prevalence of underweight (moderate and severe) - WHO_Percent_Richest 20%,Prevalence of underweight (moderate and severe) - WHO_Percent_Rural,Prevalence of underweight (moderate and severe) - WHO_Percent_Total <5 yr,Prevalence of underweight (moderate and severe) - WHO_Percent_Urban,Prevalence of underweight (moderate and severe) - WHO_Ratio_Ratio of poorest to richest,Prevalence of underweight (moderate and severe) - WHO_Ratio_Ratio of rural to urban
Somalia,42.0,14.0,38.0,32.0,20.0,3.0,1.9
South Africa,,,9.0,9.0,10.0,,0.9
South Asia,55.0,19.0,43.0,33.0,31.0,2.8,1.4
South Sudan,32.0,21.0,29.0,28.0,23.0,1.6,1.3
Sri Lanka,29.0,11.0,,21.0,,2.6,
Sub-Saharan Africa,30.0,12.0,24.0,21.0,15.0,2.5,1.6
Sudan,40.0,17.0,35.0,32.0,24.0,2.4,1.5
Suriname,9.0,5.0,8.0,7.0,7.0,1.8,1.1
Swaziland,8.0,4.0,6.0,6.0,4.0,2.3,1.5
Syrian Arab Republic,10.0,7.0,9.0,10.0,9.0,1.5,1.0
Tajikistan,17.0,13.0,16.0,15.0,12.0,1.3,1.3
Thailand,11.0,3.0,8.0,7.0,5.0,3.3,1.7
The former Yugoslav Republic of Macedonia,2.0,0.0,2.0,1.0,1.0,,2.3
Timor-Leste,49.0,35.0,47.0,45.0,35.0,1.4,1.4
Togo,21.0,9.0,20.0,17.0,10.0,2.5,1.9
Tunisia,,,,3.0,,,
Turkey,4.0,1.0,3.0,2.0,1.0,8.4,2.1
Turkmenistan,8.0,2.0,9.0,8.0,7.0,3.2,1.2
Tuvalu,1.0,0.0,,2.0,,,
Uganda,,,15.0,14.0,7.0,,2.3
United Republic of Tanzania,22.0,9.0,17.0,16.0,11.0,2.3,1.5
United States,,,,1.0,,,
Uruguay,,,,5.0,,,
Uzbekistan,5.0,3.0,4.0,4.0,4.0,1.5,0.9
Vanuatu,12.0,10.0,11.0,,11.0,1.2,1.0
Venezuela (Bolivarian Republic of),,,,4.0,,,
Viet Nam,21.0,3.0,14.0,12.0,6.0,6.6,2.3
Western and Central Africa,31.0,11.0,26.0,23.0,16.0,2.7,1.7
World,39.0,14.0,28.0,16.0,15.0,2.7,1.9
Yemen,,,,43.0,,,
Zambia,16.0,11.0,15.0,15.0,13.0,1.5,1.2
Zimbabwe,,,10.0,10.0,8.0,,1.3
