Country or Area,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Poorest 20%,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Richest 20%,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Rural,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Total <5 yr,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Urban,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Ratio_Ratio of richest to poorest,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Ratio_Ratio of urban to rural
Sudan,21.0,16.0,22.0,22.0,23.0,0.7,1.1
Suriname,,,60.0,44.0,24.0,,0.4
Swaziland,58.0,60.0,55.0,57.0,65.0,1.0,1.2
Syrian Arab Republic,45.0,59.0,44.0,50.0,56.0,1.3,1.3
Tajikistan,52.0,50.0,78.0,73.0,70.0,1.0,0.9
Thailand,56.0,54.0,59.0,57.0,50.0,1.0,0.9
The former Yugoslav Republic of Macedonia,,,30.0,62.0,19.0,,0.6
Timor-Leste,70.0,71.0,74.0,71.0,65.0,1.0,0.9
Togo,8.0,19.0,10.0,11.0,15.0,2.5,1.5
Tunisia,,,50.0,55.0,58.0,,1.1
Turkmenistan,45.0,30.0,45.0,40.0,32.0,0.7,0.7
Uganda,43.0,45.0,43.0,44.0,46.0,1.1,1.1
United Republic of Tanzania,41.0,38.0,44.0,44.0,44.0,0.9,1.0
Uzbekistan,,,31.0,28.0,34.0,,1.1
Vanuatu,,,,23.0,,,
Venezuela (Bolivarian Republic of),39.0,55.0,,38.0,,1.4,
Viet Nam,,,46.0,47.0,47.0,,1.0
Western and Central Africa,21.0,42.0,23.0,27.0,35.0,2.0,1.5
World,29.0,44.0,33.0,35.0,40.0,1.5,1.2
Yemen,31.0,37.0,34.0,33.0,30.0,1.2,0.9
Zambia,61.0,61.0,60.0,60.0,59.0,1.0,1.0
Zimbabwe,18.0,28.0,18.0,21.0,26.0,1.6,1.4
